country,admin_1,market,latitude,longitude,period_date,currency,product,value
Ethiopia,Afar,Abaala,13.36,39.76,2020-01-01,ETB,maize,1200.0
Ethiopia,Afar,Abaala,13.36,39.76,2020-02-01,ETB,maize,1200.0
Ethiopia,Afar,Abaala,13.36,39.76,2023-02-01,ETB,maize,6400.0
Ethiopia,Afar,Abaala,13.36,39.76,2023-08-01,ETB,maize,6500.0
Ethiopia,Afar,Abaala,13.36,39.76,2024-05-01,ETB,maize,5000.0
Ethiopia,Afar,Abaala,13.36,39.76,2024-06-01,ETB,maize,5000.0
Ethiopia,Afar,Abaala,13.36,39.76,2024-07-01,ETB,maize,4600.0
Ethiopia,Afar,Abaala,13.36,39.76,2024-09-01,ETB,maize,4600.0
Ethiopia,Afar,Abaala,13.36,39.76,2024-10-01,ETB,maize,4600.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-01-01,ETB,maize,5200.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-02-01,ETB,maize,5600.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-03-01,ETB,maize,5200.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-05-01,ETB,maize,5600.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-06-01,ETB,maize,5500.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-07-01,ETB,maize,4800.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-08-01,ETB,maize,4500.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-09-01,ETB,maize,5000.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-10-01,ETB,maize,5400.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-11-01,ETB,maize,4800.0
Ethiopia,Afar,Abaala,13.36,39.76,2025-12-01,ETB,maize,5000.0
Ethiopia,Afar,Abaala,13.36,39.76,2026-01-01,ETB,maize,5600.0
Ethiopia,Afar,Abaala,13.36,39.76,2026-02-01,ETB,maize,5600.0
Ethiopia,Afar,Abaala,13.36,39.76,2026-03-01,ETB,maize,6000.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-01-01,ETB,maize,210.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-02-01,ETB,maize,140.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-03-01,ETB,maize,220.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-04-01,ETB,maize,220.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-05-01,ETB,maize,225.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-07-01,ETB,maize,240.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-08-01,ETB,maize,245.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-09-01,ETB,maize,245.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-10-01,ETB,maize,240.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2007-12-01,ETB,maize,250.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-01-01,ETB,maize,253.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-02-01,ETB,maize,358.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-03-01,ETB,maize,360.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-04-01,ETB,maize,370.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-05-01,ETB,maize,540.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-06-01,ETB,maize,690.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-07-01,ETB,maize,710.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-08-01,ETB,maize,773.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-09-01,ETB,maize,710.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-10-01,ETB,maize,664.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-11-01,ETB,maize,580.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-12-01,ETB,maize,600.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-01-01,ETB,maize,460.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-02-01,ETB,maize,450.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-03-01,ETB,maize,415.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-04-01,ETB,maize,446.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-05-01,ETB,maize,416.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-06-01,ETB,maize,560.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-07-01,ETB,maize,446.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-08-01,ETB,maize,476.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-09-01,ETB,maize,476.0
Ethiopia,Tigray,Abi Adi,13.56,38.97,2009-10-01,ETB,maize,545.0
