country,admin_1,market,latitude,longitude,period_date,currency,product,value,temp_mean,temp_max,temp_min,precipitation,humidity
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-01-01,ETB,maize,253.0,19.84,30.12,8.44,0.14,47.24
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-01-01,ETB,sorghum,2.6,19.84,30.12,8.44,0.14,47.24
Ethiopia,Tigray,Abi Adi,13.56,38.97,2008-01-01,ETB,wheat,4.42,19.84,30.12,8.44,0.14,47.24
Ethiopia,Amhara,Abomsa,9.98,39.98,2008-01-01,ETB,maize,195.0,20.11,29.56,12.53,0.34,45.92
Ethiopia,Addis Ababa,Addis Ababa,9.02,38.75,2008-01-01,ETB,maize,255.5,14.65,26.62,3.79,0.23,51.68
Ethiopia,Addis Ababa,Addis Ababa,9.02,38.75,2008-01-01,ETB,sorghum,3.96,14.65,26.62,3.79,0.23,51.68
Ethiopia,Addis Ababa,Addis Ababa,9.02,38.75,2008-01-01,ETB,teff,436.0,14.65,26.62,3.79,0.23,51.68
Ethiopia,Addis Ababa,Addis Ababa,9.02,38.75,2008-01-01,ETB,wheat,346.25,14.65,26.62,3.79,0.23,51.68
Ethiopia,Amhara,Ajeber,10.63,38.78,2008-01-01,ETB,wheat,3.0,19.82,28.23,11.12,0.19,40.64
Ethiopia,Tigray,Alamata,12.42,39.56,2008-01-01,ETB,maize,235.0,16.0,25.86,7.28,0.35,56.06
Ethiopia,SNNPR,Amaro,5.83,37.9,2008-01-01,ETB,wheat,3.9,19.97,31.31,9.68,0.5,43.23
Ethiopia,Oromia,Ambo,8.98,37.85,2008-01-01,ETB,maize,232.0,15.12,26.16,4.59,0.15,52.36
Ethiopia,Oromia,Ambo,8.98,37.85,2008-01-01,ETB,wheat,300.0,15.12,26.16,4.59,0.15,52.36
Ethiopia,SNNPR,Aroresa,6.22,39.02,2008-01-01,ETB,wheat,2.8,16.41,27.12,6.71,0.55,51.14
Ethiopia,Oromia,Assela,7.95,39.13,2008-01-01,ETB,wheat,320.0,15.05,25.6,5.03,0.29,46.12
Ethiopia,Somali,Babile,9.23,42.6,2008-01-01,ETB,maize,300.0,21.74,33.14,11.34,0.05,39.86
Ethiopia,Somali,Babile,9.23,42.6,2008-01-01,ETB,sorghum,3.0,21.74,33.14,11.34,0.05,39.86
Ethiopia,Amhara,Baher Dar,11.6,37.38,2008-01-01,ETB,maize,220.0,19.21,28.87,8.68,0.23,51.57
Ethiopia,Amhara,Bati,11.18,40.02,2008-01-01,ETB,maize,225.0,20.08,29.43,11.4,0.37,47.56
