period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.56,38.97,19.84,30.12,8.44,0.14,47.24,Abi Adi
2008-02-01,13.56,38.97,20.25,31.52,7.88,0.0,39.89,Abi Adi
2008-03-01,13.56,38.97,22.15,33.8,8.56,0.11,23.98,Abi Adi
2008-04-01,13.56,38.97,22.82,34.1,12.92,2.07,40.68,Abi Adi
2008-05-01,13.56,38.97,24.6,35.31,16.65,1.23,42.73,Abi Adi
2008-06-01,13.56,38.97,22.69,33.2,15.24,1.9,55.75,Abi Adi
2008-07-01,13.56,38.97,20.21,30.65,14.39,6.04,73.08,Abi Adi
2008-08-01,13.56,38.97,19.42,28.04,14.3,8.45,80.72,Abi Adi
2008-09-01,13.56,38.97,20.57,28.59,13.72,2.76,68.29,Abi Adi
2008-10-01,13.56,38.97,20.35,28.46,11.57,0.14,54.79,Abi Adi
2008-11-01,13.56,38.97,18.97,28.95,7.76,0.36,49.33,Abi Adi
2008-12-01,13.56,38.97,18.62,29.16,7.73,0.0,44.88,Abi Adi
2009-01-01,13.56,38.97,19.72,30.63,9.24,0.01,40.97,Abi Adi
2009-02-01,13.56,38.97,21.83,33.01,10.8,0.25,39.76,Abi Adi
2009-03-01,13.56,38.97,24.17,34.83,13.41,0.07,38.42,Abi Adi
2009-04-01,13.56,38.97,24.63,35.71,14.59,0.15,34.91,Abi Adi
2009-05-01,13.56,38.97,25.73,34.79,15.11,0.1,31.44,Abi Adi
2009-06-01,13.56,38.97,23.85,35.21,15.65,4.08,53.54,Abi Adi
2009-07-01,13.56,38.97,19.58,28.81,14.48,11.32,79.32,Abi Adi
2009-08-01,13.56,38.97,19.9,28.31,13.35,8.0,80.62,Abi Adi
2009-09-01,13.56,38.97,20.88,28.42,13.61,2.24,65.35,Abi Adi
2009-10-01,13.56,38.97,19.56,27.99,9.78,1.34,57.23,Abi Adi
2009-11-01,13.56,38.97,19.13,28.25,8.84,0.03,46.84,Abi Adi
2009-12-01,13.56,38.97,20.08,29.47,11.4,0.06,50.28,Abi Adi
2010-01-01,13.56,38.97,20.19,30.84,9.66,0.0,45.25,Abi Adi
2010-02-01,13.56,38.97,22.45,33.05,12.51,0.02,39.05,Abi Adi
2010-03-01,13.56,38.97,22.48,33.79,8.67,0.51,40.99,Abi Adi
2010-04-01,13.56,38.97,24.73,34.39,15.95,1.42,45.46,Abi Adi
2010-05-01,13.56,38.97,25.45,35.27,16.45,1.36,40.42,Abi Adi
2010-06-01,13.56,38.97,23.16,34.26,15.05,2.04,57.29,Abi Adi
2010-07-01,13.56,38.97,19.52,30.95,14.22,8.82,78.81,Abi Adi
2010-08-01,13.56,38.97,18.77,24.93,14.42,15.35,86.83,Abi Adi
2010-09-01,13.56,38.97,19.81,26.19,11.31,4.24,74.62,Abi Adi
2010-10-01,13.56,38.97,19.14,27.02,11.62,0.13,62.94,Abi Adi
2010-11-01,13.56,38.97,18.39,26.83,9.52,0.13,53.54,Abi Adi
2010-12-01,13.56,38.97,17.96,27.5,7.17,0.0,48.66,Abi Adi
2011-01-01,13.56,38.97,19.67,30.08,10.84,0.04,49.58,Abi Adi
2011-02-01,13.56,38.97,20.64,32.43,8.86,0.03,39.39,Abi Adi
2011-03-01,13.56,38.97,21.28,33.04,10.64,0.73,44.82,Abi Adi
