period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.98,39.98,20.11,29.56,12.53,0.34,45.92,Abomsa
2008-02-01,9.98,39.98,19.81,30.72,9.91,0.05,42.07,Abomsa
2008-03-01,9.98,39.98,22.23,34.68,11.0,0.01,22.65,Abomsa
2008-04-01,9.98,39.98,23.0,33.66,13.35,1.95,49.19,Abomsa
2008-05-01,9.98,39.98,25.59,34.42,18.22,0.78,43.14,Abomsa
2008-06-01,9.98,39.98,25.89,35.37,18.73,1.25,43.73,Abomsa
2008-07-01,9.98,39.98,24.33,34.91,17.07,7.11,56.34,Abomsa
2008-08-01,9.98,39.98,22.67,29.16,16.67,7.85,65.31,Abomsa
2008-09-01,9.98,39.98,22.78,29.09,16.74,3.03,62.06,Abomsa
2008-10-01,9.98,39.98,21.52,30.2,12.52,0.41,53.23,Abomsa
2008-11-01,9.98,39.98,18.65,27.83,9.51,1.72,59.06,Abomsa
2008-12-01,9.98,39.98,18.64,28.67,10.33,0.07,45.65,Abomsa
2009-01-01,9.98,39.98,19.77,30.11,11.86,0.76,50.63,Abomsa
2009-02-01,9.98,39.98,21.71,32.6,13.22,0.3,43.92,Abomsa
2009-03-01,9.98,39.98,23.25,34.57,15.36,1.0,46.54,Abomsa
2009-04-01,9.98,39.98,23.66,33.73,16.01,1.3,54.02,Abomsa
2009-05-01,9.98,39.98,25.98,34.71,18.37,0.17,33.31,Abomsa
2009-06-01,9.98,39.98,26.87,35.3,19.47,1.44,39.87,Abomsa
2009-07-01,9.98,39.98,23.48,32.91,17.79,7.28,61.04,Abomsa
2009-08-01,9.98,39.98,23.3,30.23,17.37,6.7,64.05,Abomsa
2009-09-01,9.98,39.98,23.22,29.44,15.96,3.4,58.73,Abomsa
2009-10-01,9.98,39.98,20.68,30.56,11.71,2.26,59.78,Abomsa
2009-11-01,9.98,39.98,20.17,29.79,10.55,0.1,45.22,Abomsa
2009-12-01,9.98,39.98,20.36,30.43,13.45,0.69,58.65,Abomsa
2010-01-01,9.98,39.98,19.78,29.8,11.06,0.01,48.27,Abomsa
2010-02-01,9.98,39.98,20.85,33.09,13.43,3.51,62.39,Abomsa
2010-03-01,9.98,39.98,21.07,30.0,12.06,2.65,63.57,Abomsa
2010-04-01,9.98,39.98,23.72,32.32,16.83,3.17,60.98,Abomsa
2010-05-01,9.98,39.98,24.78,33.59,17.59,2.09,57.64,Abomsa
2010-06-01,9.98,39.98,26.09,34.79,19.04,2.82,47.53,Abomsa
2010-07-01,9.98,39.98,23.24,33.06,16.5,10.01,63.82,Abomsa
2010-08-01,9.98,39.98,22.12,29.0,16.48,10.22,72.8,Abomsa
2010-09-01,9.98,39.98,21.98,28.42,16.38,4.12,68.82,Abomsa
2010-10-01,9.98,39.98,21.4,28.69,13.46,0.28,55.26,Abomsa
2010-11-01,9.98,39.98,19.51,29.64,11.39,1.1,51.48,Abomsa
2010-12-01,9.98,39.98,18.81,28.36,10.41,0.15,46.07,Abomsa
2011-01-01,9.98,39.98,19.98,31.5,12.28,0.13,51.05,Abomsa
2011-02-01,9.98,39.98,21.36,32.26,12.12,0.12,42.2,Abomsa
2011-03-01,9.98,39.98,21.45,32.91,12.82,1.28,44.66,Abomsa
2011-04-01,9.98,39.98,24.03,33.27,14.67,1.98,50.54,Abomsa
2011-05-01,9.98,39.98,24.5,33.65,17.33,2.09,52.79,Abomsa
2011-06-01,9.98,39.98,25.65,34.17,19.12,2.05,49.41,Abomsa
2011-07-01,9.98,39.98,24.22,33.15,17.49,4.27,57.13,Abomsa
2011-08-01,9.98,39.98,23.73,32.56,16.58,3.77,60.4,Abomsa
2011-09-01,9.98,39.98,24.21,32.39,15.73,1.27,54.34,Abomsa
2011-10-01,9.98,39.98,22.11,32.08,12.2,0.08,39.46,Abomsa
2011-11-01,9.98,39.98,21.12,30.23,13.31,0.3,52.05,Abomsa
2011-12-01,9.98,39.98,18.92,28.62,10.06,0.01,45.84,Abomsa
2012-01-01,9.98,39.98,20.01,29.66,12.82,0.02,46.33,Abomsa
2012-02-01,9.98,39.98,20.74,34.04,11.02,0.0,37.84,Abomsa
2012-03-01,9.98,39.98,22.58,33.64,12.82,0.61,36.82,Abomsa
2012-04-01,9.98,39.98,23.3,31.68,15.48,2.22,59.13,Abomsa
2012-05-01,9.98,39.98,25.64,34.29,17.65,0.29,40.55,Abomsa
2012-06-01,9.98,39.98,26.38,35.54,18.9,1.75,39.14,Abomsa
2012-07-01,9.98,39.98,23.41,31.47,16.39,8.46,62.86,Abomsa
2012-08-01,9.98,39.98,22.53,28.8,17.29,8.99,68.08,Abomsa
2012-09-01,9.98,39.98,22.61,28.49,17.18,3.49,64.01,Abomsa
