period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.02,38.75,14.65,26.62,3.79,0.23,51.68,Addis Ababa
2008-02-01,9.02,38.75,16.07,28.23,4.55,0.1,42.55,Addis Ababa
2008-03-01,9.02,38.75,18.05,30.11,4.47,0.12,24.86,Addis Ababa
2008-04-01,9.02,38.75,17.23,28.96,6.73,1.79,56.8,Addis Ababa
2008-05-01,9.02,38.75,18.21,28.73,10.47,1.98,61.42,Addis Ababa
2008-06-01,9.02,38.75,17.53,27.96,10.06,2.91,68.16,Addis Ababa
2008-07-01,9.02,38.75,15.73,24.14,8.66,9.36,78.95,Addis Ababa
2008-08-01,9.02,38.75,15.52,21.45,9.85,10.04,82.88,Addis Ababa
2008-09-01,9.02,38.75,15.13,21.85,8.17,5.31,81.07,Addis Ababa
2008-10-01,9.02,38.75,14.36,23.05,5.03,0.93,71.42,Addis Ababa
2008-11-01,9.02,38.75,12.79,22.54,1.46,2.28,69.28,Addis Ababa
2008-12-01,9.02,38.75,13.3,23.72,3.62,0.1,59.41,Addis Ababa
2009-01-01,9.02,38.75,14.58,25.04,4.28,1.69,60.61,Addis Ababa
2009-02-01,9.02,38.75,15.95,26.84,6.38,0.27,55.77,Addis Ababa
2009-03-01,9.02,38.75,18.19,30.94,8.74,0.85,51.51,Addis Ababa
2009-04-01,9.02,38.75,17.9,29.2,8.81,1.76,62.46,Addis Ababa
2009-05-01,9.02,38.75,19.02,29.4,9.11,1.23,49.46,Addis Ababa
2009-06-01,9.02,38.75,19.23,30.11,11.14,2.5,57.24,Addis Ababa
2009-07-01,9.02,38.75,15.81,23.74,10.93,6.89,79.43,Addis Ababa
2009-08-01,9.02,38.75,15.88,22.67,9.89,6.58,81.9,Addis Ababa
2009-09-01,9.02,38.75,15.76,23.14,7.65,3.24,75.21,Addis Ababa
2009-10-01,9.02,38.75,14.15,23.79,4.4,2.58,72.87,Addis Ababa
2009-11-01,9.02,38.75,13.78,24.23,3.28,0.16,58.36,Addis Ababa
2009-12-01,9.02,38.75,14.88,24.49,6.73,1.7,72.24,Addis Ababa
2010-01-01,9.02,38.75,15.55,26.38,5.42,0.07,57.56,Addis Ababa
2010-02-01,9.02,38.75,16.76,29.17,10.28,3.23,68.52,Addis Ababa
2010-03-01,9.02,38.75,16.68,26.52,5.65,2.55,67.3,Addis Ababa
2010-04-01,9.02,38.75,17.25,25.93,9.87,4.55,73.43,Addis Ababa
2010-05-01,9.02,38.75,17.6,26.28,11.34,3.86,74.47,Addis Ababa
2010-06-01,9.02,38.75,17.56,26.4,10.8,5.75,72.01,Addis Ababa
2010-07-01,9.02,38.75,15.77,23.4,10.7,8.64,82.01,Addis Ababa
2010-08-01,9.02,38.75,15.11,21.63,10.13,7.73,86.54,Addis Ababa
2010-09-01,9.02,38.75,15.27,22.06,7.97,6.37,83.99,Addis Ababa
2010-10-01,9.02,38.75,13.89,22.4,5.05,0.51,71.5,Addis Ababa
2010-11-01,9.02,38.75,13.29,22.82,3.31,0.75,64.1,Addis Ababa
2010-12-01,9.02,38.75,13.96,24.03,3.15,0.42,57.04,Addis Ababa
2011-01-01,9.02,38.75,15.11,26.28,5.49,0.16,58.75,Addis Ababa
2011-02-01,9.02,38.75,16.41,28.27,4.24,0.34,45.49,Addis Ababa
2011-03-01,9.02,38.75,16.68,27.96,6.54,2.12,52.16,Addis Ababa
2011-04-01,9.02,38.75,17.91,29.28,7.05,1.9,60.46,Addis Ababa
2011-05-01,9.02,38.75,17.94,28.06,9.59,3.23,65.41,Addis Ababa
2011-06-01,9.02,38.75,17.62,26.42,11.45,4.08,70.66,Addis Ababa
2011-07-01,9.02,38.75,16.09,25.09,9.41,4.58,77.98,Addis Ababa
