period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,14.27,39.46,16.78,28.12,7.45,0.47,56.87,Adigrat
2008-02-01,14.27,39.46,16.94,29.26,6.74,0.03,49.51,Adigrat
2008-03-01,14.27,39.46,19.07,31.64,7.15,0.0,26.24,Adigrat
2008-04-01,14.27,39.46,19.8,31.93,9.86,2.0,45.89,Adigrat
2008-05-01,14.27,39.46,21.41,31.62,13.29,0.56,48.91,Adigrat
2008-06-01,14.27,39.46,21.49,30.75,14.4,0.49,52.8,Adigrat
2008-07-01,14.27,39.46,19.87,30.21,13.51,1.99,67.75,Adigrat
2008-08-01,14.27,39.46,19.8,30.29,14.16,2.54,67.73,Adigrat
2008-09-01,14.27,39.46,19.98,29.28,12.55,0.94,57.51,Adigrat
2008-10-01,14.27,39.46,18.35,28.04,9.63,0.17,56.25,Adigrat
2008-11-01,14.27,39.46,16.43,27.1,6.31,0.4,55.17,Adigrat
2008-12-01,14.27,39.46,15.61,26.98,5.84,0.0,51.77,Adigrat
2009-01-01,14.27,39.46,16.7,27.7,7.37,0.08,51.19,Adigrat
2009-02-01,14.27,39.46,18.45,30.66,8.21,0.11,48.26,Adigrat
2009-03-01,14.27,39.46,20.21,32.18,11.29,0.24,50.89,Adigrat
2009-04-01,14.27,39.46,20.89,32.05,10.81,0.5,43.31,Adigrat
2009-05-01,14.27,39.46,22.16,31.91,12.99,0.01,37.79,Adigrat
2009-06-01,14.27,39.46,22.83,32.44,14.68,0.87,46.18,Adigrat
2009-07-01,14.27,39.46,19.0,29.62,13.72,4.64,73.63,Adigrat
2009-08-01,14.27,39.46,19.73,29.5,13.36,4.25,71.97,Adigrat
2009-09-01,14.27,39.46,20.18,29.46,12.91,0.26,53.09,Adigrat
2009-10-01,14.27,39.46,18.26,28.61,8.32,0.76,53.37,Adigrat
2009-11-01,14.27,39.46,17.16,27.48,7.33,0.02,47.88,Adigrat
2009-12-01,14.27,39.46,17.14,27.39,8.44,0.24,60.18,Adigrat
2010-01-01,14.27,39.46,16.8,28.41,5.95,0.0,55.17,Adigrat
2010-02-01,14.27,39.46,18.94,30.3,9.35,0.42,48.2,Adigrat
2010-03-01,14.27,39.46,19.24,31.3,7.51,0.54,46.91,Adigrat
2010-04-01,14.27,39.46,21.52,31.71,12.08,1.54,53.73,Adigrat
2010-05-01,14.27,39.46,22.12,32.02,12.95,0.88,46.64,Adigrat
2010-06-01,14.27,39.46,21.89,32.04,14.37,0.78,53.2,Adigrat
2010-07-01,14.27,39.46,18.96,29.2,13.59,4.77,74.66,Adigrat
2010-08-01,14.27,39.46,18.51,27.16,14.22,7.13,79.55,Adigrat
2010-09-01,14.27,39.46,19.08,26.95,10.49,0.95,64.36,Adigrat
2010-10-01,14.27,39.46,17.87,27.26,9.44,0.06,57.36,Adigrat
2010-11-01,14.27,39.46,16.47,26.26,7.43,0.05,53.78,Adigrat
2010-12-01,14.27,39.46,15.58,25.72,5.11,0.01,52.15,Adigrat
2011-01-01,14.27,39.46,16.64,27.6,8.36,0.07,60.5,Adigrat
2011-02-01,14.27,39.46,17.58,29.58,7.15,0.17,48.0,Adigrat
2011-03-01,14.27,39.46,18.14,30.04,8.58,0.83,51.63,Adigrat
2011-04-01,14.27,39.46,21.27,31.94,12.07,0.21,45.7,Adigrat
2011-05-01,14.27,39.46,20.82,30.61,12.59,2.48,54.78,Adigrat
2011-06-01,14.27,39.46,22.01,31.68,13.66,0.09,44.33,Adigrat
2011-07-01,14.27,39.46,20.07,30.71,14.17,1.3,65.21,Adigrat
2011-08-01,14.27,39.46,20.23,30.48,14.21,1.03,66.2,Adigrat
2011-09-01,14.27,39.46,19.92,30.32,12.69,0.36,57.93,Adigrat
2011-10-01,14.27,39.46,18.22,28.4,8.44,0.17,50.86,Adigrat
2011-11-01,14.27,39.46,17.42,27.61,8.0,0.51,61.22,Adigrat
2011-12-01,14.27,39.46,15.76,27.46,6.0,0.01,54.16,Adigrat
2012-01-01,14.27,39.46,16.8,28.75,6.62,0.0,55.97,Adigrat
2012-02-01,14.27,39.46,17.56,30.79,6.81,0.0,40.7,Adigrat
2012-03-01,14.27,39.46,19.34,31.78,8.85,0.02,43.13,Adigrat
2012-04-01,14.27,39.46,21.26,30.93,12.25,0.57,51.6,Adigrat
2012-05-01,14.27,39.46,22.24,33.09,13.82,0.07,43.95,Adigrat
2012-06-01,14.27,39.46,22.01,32.3,14.09,0.24,46.47,Adigrat
2012-07-01,14.27,39.46,19.82,29.76,14.48,2.14,69.54,Adigrat
2012-08-01,14.27,39.46,19.5,29.49,13.66,1.67,70.24,Adigrat
2012-09-01,14.27,39.46,20.27,29.82,12.29,0.51,54.82,Adigrat
2012-10-01,14.27,39.46,18.83,29.91,9.14,0.02,46.49,Adigrat
