period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.63,38.78,19.82,28.23,11.12,0.19,40.64,Ajeber
2008-02-01,10.63,38.78,20.59,29.17,10.65,0.01,36.15,Ajeber
2008-03-01,10.63,38.78,22.22,31.21,11.05,0.0,24.27,Ajeber
2008-04-01,10.63,38.78,22.06,31.38,13.77,1.17,41.59,Ajeber
2008-05-01,10.63,38.78,23.5,31.92,15.5,1.12,42.71,Ajeber
2008-06-01,10.63,38.78,22.63,31.63,16.41,1.21,48.79,Ajeber
2008-07-01,10.63,38.78,19.67,29.94,13.0,8.37,66.79,Ajeber
2008-08-01,10.63,38.78,19.4,24.07,14.58,9.26,69.29,Ajeber
2008-09-01,10.63,38.78,20.05,24.79,14.93,3.45,63.44,Ajeber
2008-10-01,10.63,38.78,19.36,25.93,12.39,0.49,57.7,Ajeber
2008-11-01,10.63,38.78,17.93,25.96,9.5,1.66,54.15,Ajeber
2008-12-01,10.63,38.78,18.9,26.86,11.36,0.09,43.93,Ajeber
2009-01-01,10.63,38.78,20.12,28.12,11.85,0.67,42.09,Ajeber
2009-02-01,10.63,38.78,21.44,30.19,13.78,0.13,40.04,Ajeber
2009-03-01,10.63,38.78,23.26,32.11,15.44,0.73,39.71,Ajeber
2009-04-01,10.63,38.78,23.48,32.02,15.73,0.8,42.01,Ajeber
2009-05-01,10.63,38.78,24.35,32.46,16.89,0.16,33.75,Ajeber
2009-06-01,10.63,38.78,24.06,32.64,16.67,1.51,41.56,Ajeber
2009-07-01,10.63,38.78,18.56,25.2,12.93,9.97,72.72,Ajeber
2009-08-01,10.63,38.78,19.75,25.08,15.54,8.66,69.45,Ajeber
2009-09-01,10.63,38.78,20.66,25.12,16.11,3.19,59.02,Ajeber
2009-10-01,10.63,38.78,19.0,25.01,11.93,2.99,58.16,Ajeber
2009-11-01,10.63,38.78,18.84,26.24,10.79,0.07,46.31,Ajeber
2009-12-01,10.63,38.78,20.07,27.08,13.59,0.92,54.0,Ajeber
2010-01-01,10.63,38.78,20.64,28.55,13.04,0.01,42.32,Ajeber
2010-02-01,10.63,38.78,22.01,30.6,15.79,1.08,47.88,Ajeber
2010-03-01,10.63,38.78,22.07,30.37,13.03,1.68,45.94,Ajeber
2010-04-01,10.63,38.78,23.01,30.56,16.68,2.45,52.1,Ajeber
2010-05-01,10.63,38.78,23.16,30.78,17.75,2.55,53.04,Ajeber
2010-06-01,10.63,38.78,22.7,31.26,16.29,2.63,52.18,Ajeber
2010-07-01,10.63,38.78,19.19,27.13,14.26,11.47,72.64,Ajeber
2010-08-01,10.63,38.78,18.31,23.64,14.68,14.18,78.93,Ajeber
2010-09-01,10.63,38.78,19.84,24.67,15.53,4.62,67.65,Ajeber
2010-10-01,10.63,38.78,19.11,24.34,12.99,0.32,58.81,Ajeber
2010-11-01,10.63,38.78,18.32,25.26,10.87,0.54,50.59,Ajeber
2010-12-01,10.63,38.78,18.68,26.18,10.84,0.18,47.95,Ajeber
2011-01-01,10.63,38.78,20.24,28.7,13.17,0.23,45.94,Ajeber
2011-02-01,10.63,38.78,21.22,30.23,11.95,0.11,35.01,Ajeber
2011-03-01,10.63,38.78,20.84,29.89,13.06,1.68,44.59,Ajeber
2011-04-01,10.63,38.78,22.92,31.39,15.67,0.99,44.05,Ajeber
2011-05-01,10.63,38.78,23.13,31.88,15.99,2.34,47.23,Ajeber
2011-06-01,10.63,38.78,22.52,30.04,15.57,1.98,51.99,Ajeber
2011-07-01,10.63,38.78,19.42,27.58,13.59,5.18,68.41,Ajeber
2011-08-01,10.63,38.78,19.03,25.48,13.41,6.13,71.76,Ajeber
2011-09-01,10.63,38.78,20.15,26.52,14.91,1.18,62.78,Ajeber
2011-10-01,10.63,38.78,20.27,27.89,12.14,0.1,44.56,Ajeber
2011-11-01,10.63,38.78,20.68,28.55,13.16,0.52,48.49,Ajeber
2011-12-01,10.63,38.78,19.39,28.02,10.23,0.0,39.05,Ajeber
2012-01-01,10.63,38.78,20.22,28.59,11.38,0.01,40.04,Ajeber
2012-02-01,10.63,38.78,20.64,29.96,11.69,0.0,32.6,Ajeber
2012-03-01,10.63,38.78,22.25,31.41,13.2,0.61,34.92,Ajeber
2012-04-01,10.63,38.78,22.97,30.74,15.55,1.53,46.66,Ajeber
2012-05-01,10.63,38.78,23.87,31.8,16.9,0.46,39.48,Ajeber
2012-06-01,10.63,38.78,23.2,32.31,15.19,1.53,43.92,Ajeber
2012-07-01,10.63,38.78,19.03,26.07,13.01,10.12,72.51,Ajeber
2012-08-01,10.63,38.78,18.95,23.54,15.13,9.7,73.98,Ajeber
2012-09-01,10.63,38.78,20.03,24.55,15.88,3.34,65.38,Ajeber
2012-10-01,10.63,38.78,18.79,25.97,10.89,0.23,53.62,Ajeber
2012-11-01,10.63,38.78,19.9,27.57,12.58,0.12,45.43,Ajeber
2012-12-01,10.63,38.78,19.72,27.67,11.47,0.23,42.7,Ajeber
2013-01-01,10.63,38.78,20.54,29.81,11.94,0.85,44.22,Ajeber
2013-02-01,10.63,38.78,21.72,30.56,13.41,0.03,36.4,Ajeber
2013-03-01,10.63,38.78,23.39,31.09,15.13,1.24,42.92,Ajeber
2013-04-01,10.63,38.78,23.8,32.06,17.8,1.6,47.15,Ajeber
2013-05-01,10.63,38.78,23.71,31.97,17.93,1.63,45.32,Ajeber
2013-06-01,10.63,38.78,22.49,31.52,16.51,2.87,51.27,Ajeber
2013-07-01,10.63,38.78,18.15,25.77,12.94,14.7,77.82,Ajeber
2013-08-01,10.63,38.78,18.45,23.4,14.03,9.93,76.02,Ajeber
2013-09-01,10.63,38.78,19.99,24.56,15.57,3.11,65.14,Ajeber
2013-10-01,10.63,38.78,18.6,23.99,12.84,4.15,62.62,Ajeber
2013-11-01,10.63,38.78,18.59,24.93,11.49,0.44,57.66,Ajeber
2013-12-01,10.63,38.78,18.37,26.43,9.99,0.0,45.19,Ajeber
2014-01-01,10.63,38.78,20.74,29.02,12.09,0.11,44.23,Ajeber
2014-02-01,10.63,38.78,22.03,29.75,14.54,0.64,43.78,Ajeber
2014-03-01,10.63,38.78,22.57,30.65,15.15,1.6,47.09,Ajeber
2014-04-01,10.63,38.78,22.22,29.83,14.72,2.47,50.69,Ajeber
2014-05-01,10.63,38.78,22.67,30.42,16.57,2.23,52.35,Ajeber
2014-06-01,10.63,38.78,23.43,31.13,17.15,2.2,45.29,Ajeber
2014-07-01,10.63,38.78,20.25,30.73,15.45,8.78,67.05,Ajeber
2014-08-01,10.63,38.78,19.25,24.68,13.29,9.83,71.08,Ajeber
2014-09-01,10.63,38.78,19.53,24.18,15.4,5.59,67.72,Ajeber
2014-10-01,10.63,38.78,18.46,24.32,12.5,1.83,64.91,Ajeber
2014-11-01,10.63,38.78,18.77,26.17,11.32,0.39,55.53,Ajeber
2014-12-01,10.63,38.78,18.56,26.62,10.04,0.34,47.14,Ajeber
2015-01-01,10.63,38.78,19.45,28.72,10.64,0.11,41.35,Ajeber
2015-02-01,10.63,38.78,21.55,30.82,11.4,0.31,36.75,Ajeber
2015-03-01,10.63,38.78,22.45,31.0,13.95,0.93,38.62,Ajeber
2015-04-01,10.63,38.78,23.65,31.73,15.65,0.01,32.62,Ajeber
2015-05-01,10.63,38.78,23.14,31.91,16.18,2.84,48.15,Ajeber
2015-06-01,10.63,38.78,22.72,30.33,16.53,2.46,49.73,Ajeber
2015-07-01,10.63,38.78,21.71,28.6,16.87,4.14,57.7,Ajeber
2015-08-01,10.63,38.78,20.0,25.18,15.45,9.0,68.76,Ajeber
2015-09-01,10.63,38.78,20.57,26.49,15.98,2.54,61.03,Ajeber
2015-10-01,10.63,38.78,20.52,28.23,14.1,0.68,52.85,Ajeber
2015-11-01,10.63,38.78,20.07,27.64,12.24,1.45,52.75,Ajeber
2015-12-01,10.63,38.78,19.92,27.29,12.16,0.64,52.47,Ajeber
2016-01-01,10.63,38.78,21.65,28.67,14.05,0.14,46.97,Ajeber
2016-02-01,10.63,38.78,22.4,30.19,14.43,0.78,40.47,Ajeber
2016-03-01,10.63,38.78,24.04,32.42,15.67,1.26,44.87,Ajeber
2016-04-01,10.63,38.78,23.35,31.11,17.59,2.65,52.11,Ajeber
2016-05-01,10.63,38.78,21.89,28.78,16.63,5.76,56.19,Ajeber
2016-06-01,10.63,38.78,22.24,30.63,16.25,2.81,51.5,Ajeber
2016-07-01,10.63,38.78,19.07,24.87,15.15,9.95,74.39,Ajeber
2016-08-01,10.63,38.78,19.07,24.25,13.92,10.74,72.52,Ajeber
2016-09-01,10.63,38.78,19.9,24.92,15.5,4.45,65.62,Ajeber
2016-10-01,10.63,38.78,19.16,24.46,11.57,0.83,57.74,Ajeber
2016-11-01,10.63,38.78,18.52,27.35,8.93,0.15,47.36,Ajeber
2016-12-01,10.63,38.78,18.31,27.65,9.52,0.02,42.76,Ajeber
2017-01-01,10.63,38.78,18.48,28.43,8.58,0.0,30.31,Ajeber
2017-02-01,10.63,38.78,20.98,29.53,13.56,1.1,50.79,Ajeber
2017-03-01,10.63,38.78,22.79,31.11,15.17,1.71,42.57,Ajeber
2017-04-01,10.63,38.78,22.85,32.01,14.01,1.18,42.03,Ajeber
2017-05-01,10.63,38.78,22.3,30.43,16.65,3.56,55.53,Ajeber
2017-06-01,10.63,38.78,23.93,31.42,17.62,1.46,43.04,Ajeber
2017-07-01,10.63,38.78,20.48,26.63,15.31,10.96,68.18,Ajeber
2017-08-01,10.63,38.78,19.38,24.89,14.72,9.59,73.27,Ajeber
2017-09-01,10.63,38.78,20.1,24.43,16.24,5.17,66.9,Ajeber
2017-10-01,10.63,38.78,19.39,24.93,12.94,0.96,62.74,Ajeber
2017-11-01,10.63,38.78,18.95,26.23,11.26,0.36,51.41,Ajeber
2017-12-01,10.63,38.78,17.98,26.86,8.89,0.0,38.36,Ajeber
2018-01-01,10.63,38.78,20.04,28.13,11.19,0.03,40.81,Ajeber
2018-02-01,10.63,38.78,21.18,29.75,11.65,1.9,45.09,Ajeber
2018-03-01,10.63,38.78,22.41,29.94,14.21,0.28,40.12,Ajeber
2018-04-01,10.63,38.78,22.32,30.01,16.72,2.58,52.99,Ajeber
2018-05-01,10.63,38.78,23.46,31.2,16.04,1.13,45.66,Ajeber
2018-06-01,10.63,38.78,21.94,29.83,15.84,2.94,55.23,Ajeber
2018-07-01,10.63,38.78,19.11,26.5,14.46,6.27,71.3,Ajeber
2018-08-01,10.63,38.78,18.99,24.81,14.22,7.68,72.4,Ajeber
2018-09-01,10.63,38.78,19.88,24.87,15.2,3.26,62.27,Ajeber
2018-10-01,10.63,38.78,19.37,25.46,12.53,1.51,59.37,Ajeber
2018-11-01,10.63,38.78,19.31,26.56,10.97,0.93,51.91,Ajeber
2018-12-01,10.63,38.78,19.73,27.88,12.18,0.05,44.89,Ajeber
2019-01-01,10.63,38.78,19.7,29.6,10.42,0.0,33.54,Ajeber
2019-02-01,10.63,38.78,21.67,30.31,13.17,1.39,44.57,Ajeber
2019-03-01,10.63,38.78,22.87,31.05,15.66,1.79,50.37,Ajeber
2019-04-01,10.63,38.78,22.57,29.95,16.33,3.51,55.52,Ajeber
2019-05-01,10.63,38.78,23.43,32.12,16.64,0.44,44.13,Ajeber
2019-06-01,10.63,38.78,23.5,31.53,16.88,2.21,48.33,Ajeber
