period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.46,38.14,18.58,29.86,7.61,0.28,45.28,Alaba
2008-02-01,7.46,38.14,19.95,31.13,8.35,0.39,37.56,Alaba
2008-03-01,7.46,38.14,21.29,32.86,8.46,0.96,28.98,Alaba
2008-04-01,7.46,38.14,19.7,31.43,10.09,6.06,65.35,Alaba
2008-05-01,7.46,38.14,19.04,29.08,13.03,2.99,75.19,Alaba
2008-06-01,7.46,38.14,17.65,26.03,12.17,3.15,78.52,Alaba
2008-07-01,7.46,38.14,17.05,24.78,10.12,8.52,82.05,Alaba
2008-08-01,7.46,38.14,16.83,23.4,11.99,9.46,84.56,Alaba
2008-09-01,7.46,38.14,17.32,23.66,11.31,7.74,82.98,Alaba
2008-10-01,7.46,38.14,16.68,23.72,7.81,6.08,77.77,Alaba
2008-11-01,7.46,38.14,15.01,23.35,4.84,5.26,75.34,Alaba
2008-12-01,7.46,38.14,15.52,25.2,5.61,0.11,64.35,Alaba
2009-01-01,7.46,38.14,17.16,26.6,5.98,1.09,62.06,Alaba
2009-02-01,7.46,38.14,19.55,31.1,9.0,0.22,52.97,Alaba
2009-03-01,7.46,38.14,22.19,33.08,11.62,1.23,44.87,Alaba
2009-04-01,7.46,38.14,20.54,31.24,13.22,3.87,66.98,Alaba
2009-05-01,7.46,38.14,20.36,31.17,12.36,3.93,65.27,Alaba
2009-06-01,7.46,38.14,19.07,28.77,12.55,4.27,74.14,Alaba
2009-07-01,7.46,38.14,16.95,23.67,10.86,7.2,81.29,Alaba
2009-08-01,7.46,38.14,17.21,23.68,12.0,6.34,83.22,Alaba
2009-09-01,7.46,38.14,17.76,24.48,12.24,5.39,80.52,Alaba
2009-10-01,7.46,38.14,17.0,24.35,8.01,5.14,77.68,Alaba
2009-11-01,7.46,38.14,16.3,25.72,6.52,0.38,63.51,Alaba
2009-12-01,7.46,38.14,18.15,26.75,9.63,2.22,70.35,Alaba
2010-01-01,7.46,38.14,18.7,29.9,8.51,0.22,55.84,Alaba
2010-02-01,7.46,38.14,19.85,31.15,11.84,3.19,65.25,Alaba
2010-03-01,7.46,38.14,19.71,30.15,9.88,3.4,66.64,Alaba
2010-04-01,7.46,38.14,19.94,30.02,11.51,7.47,72.99,Alaba
2010-05-01,7.46,38.14,19.15,26.46,14.47,8.09,81.02,Alaba
2010-06-01,7.46,38.14,17.72,24.99,12.12,7.88,83.67,Alaba
2010-07-01,7.46,38.14,16.44,23.23,11.17,7.6,86.92,Alaba
2010-08-01,7.46,38.14,16.56,23.03,11.6,7.38,87.76,Alaba
2010-09-01,7.46,38.14,17.1,23.31,12.55,6.92,85.21,Alaba
2010-10-01,7.46,38.14,17.05,24.2,8.58,2.16,76.78,Alaba
2010-11-01,7.46,38.14,16.51,24.39,7.06,0.77,65.96,Alaba
2010-12-01,7.46,38.14,16.96,26.67,5.43,0.57,57.29,Alaba
2011-01-01,7.46,38.14,18.6,29.85,7.13,0.22,52.27,Alaba
2011-02-01,7.46,38.14,20.2,31.99,8.22,0.4,39.31,Alaba
2011-03-01,7.46,38.14,20.3,32.02,9.77,2.31,49.26,Alaba
2011-04-01,7.46,38.14,21.37,31.8,10.36,3.22,58.63,Alaba
2011-05-01,7.46,38.14,19.49,29.03,13.64,7.08,75.29,Alaba
2011-06-01,7.46,38.14,17.63,25.05,12.19,3.91,82.34,Alaba
2011-07-01,7.46,38.14,17.15,24.72,11.69,4.62,82.51,Alaba
2011-08-01,7.46,38.14,16.96,24.11,10.48,3.18,83.15,Alaba
2011-09-01,7.46,38.14,17.54,24.87,12.52,3.46,81.81,Alaba
2011-10-01,7.46,38.14,17.6,26.9,8.29,1.8,64.04,Alaba
2011-11-01,7.46,38.14,17.88,27.08,8.2,3.51,68.73,Alaba
2011-12-01,7.46,38.14,17.23,28.1,6.23,0.09,51.34,Alaba
2012-01-01,7.46,38.14,19.25,30.28,7.02,0.0,39.89,Alaba
2012-02-01,7.46,38.14,20.7,31.95,8.78,0.07,31.44,Alaba
2012-03-01,7.46,38.14,21.95,32.82,9.87,0.55,35.56,Alaba
2012-04-01,7.46,38.14,19.68,28.71,13.02,7.44,70.87,Alaba
2012-05-01,7.46,38.14,19.62,28.25,12.84,4.11,71.9,Alaba
2012-06-01,7.46,38.14,18.16,27.09,11.87,2.91,77.73,Alaba
2012-07-01,7.46,38.14,16.97,23.52,11.21,8.6,84.49,Alaba
2012-08-01,7.46,38.14,16.56,22.39,11.69,14.72,87.28,Alaba
2012-09-01,7.46,38.14,17.09,22.83,11.72,8.88,85.82,Alaba
2012-10-01,7.46,38.14,16.71,23.94,7.43,1.74,76.29,Alaba
2012-11-01,7.46,38.14,17.38,25.73,8.33,1.07,67.76,Alaba
2012-12-01,7.46,38.14,17.64,26.58,7.56,0.6,60.81,Alaba
2013-01-01,7.46,38.14,18.99,31.05,8.23,0.73,54.8,Alaba
2013-02-01,7.46,38.14,21.17,32.48,9.9,0.16,38.04,Alaba
2013-03-01,7.46,38.14,21.01,32.13,12.66,4.86,60.91,Alaba
2013-04-01,7.46,38.14,19.38,28.09,12.9,8.47,75.14,Alaba
2013-05-01,7.46,38.14,18.24,25.39,12.45,7.55,81.43,Alaba
2013-06-01,7.46,38.14,16.98,23.64,12.39,8.06,86.16,Alaba
2013-07-01,7.46,38.14,16.17,22.55,11.44,8.6,88.14,Alaba
2013-08-01,7.46,38.14,16.0,22.14,10.74,7.27,88.07,Alaba
2013-09-01,7.46,38.14,17.16,23.61,12.08,6.16,84.19,Alaba
2013-10-01,7.46,38.14,16.6,23.24,7.93,7.01,80.49,Alaba
2013-11-01,7.46,38.14,16.49,23.91,7.78,2.42,76.96,Alaba
2013-12-01,7.46,38.14,15.81,25.13,5.47,0.03,63.31,Alaba
2014-01-01,7.46,38.14,18.41,29.04,8.04,0.14,58.78,Alaba
2014-02-01,7.46,38.14,20.15,29.81,10.38,1.81,61.56,Alaba
2014-03-01,7.46,38.14,21.32,32.02,11.51,2.81,58.87,Alaba
2014-04-01,7.46,38.14,19.96,29.03,11.65,5.8,71.3,Alaba
2014-05-01,7.46,38.14,18.82,26.39,13.01,11.47,80.2,Alaba
2014-06-01,7.46,38.14,17.91,26.32,12.18,4.67,81.04,Alaba
2014-07-01,7.46,38.14,16.9,23.32,11.55,7.21,86.25,Alaba
2014-08-01,7.46,38.14,16.74,22.84,12.01,7.11,86.23,Alaba
2014-09-01,7.46,38.14,17.09,22.88,12.08,8.44,84.79,Alaba
2014-10-01,7.46,38.14,16.6,23.54,8.58,5.74,81.41,Alaba
2014-11-01,7.46,38.14,16.71,24.06,8.42,1.61,74.91,Alaba
2014-12-01,7.46,38.14,15.96,24.65,6.67,1.13,63.22,Alaba
2015-01-01,7.46,38.14,17.2,29.15,5.07,0.08,52.89,Alaba
2015-02-01,7.46,38.14,20.7,31.11,8.47,0.19,42.6,Alaba
2015-03-01,7.46,38.14,21.94,32.85,10.62,0.84,42.71,Alaba
2015-04-01,7.46,38.14,21.64,32.64,10.56,1.44,52.71,Alaba
2015-05-01,7.46,38.14,20.05,31.93,13.2,4.59,71.5,Alaba
2015-06-01,7.46,38.14,18.59,29.14,13.33,5.14,77.6,Alaba
