period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.6,38.42,22.55,33.51,11.21,0.44,39.28,Aleta Wondo
2008-02-01,6.6,38.42,23.55,34.76,12.19,0.34,33.73,Aleta Wondo
2008-03-01,6.6,38.42,24.39,35.46,11.95,1.36,34.14,Aleta Wondo
2008-04-01,6.6,38.42,22.1,33.31,14.42,6.41,66.24,Aleta Wondo
2008-05-01,6.6,38.42,21.15,30.28,15.09,2.0,72.6,Aleta Wondo
2008-06-01,6.6,38.42,20.33,28.56,14.64,2.34,71.62,Aleta Wondo
2008-07-01,6.6,38.42,19.53,27.93,13.98,4.39,75.5,Aleta Wondo
2008-08-01,6.6,38.42,19.43,26.38,14.58,5.5,77.52,Aleta Wondo
2008-09-01,6.6,38.42,20.02,26.06,15.14,7.13,77.56,Aleta Wondo
2008-10-01,6.6,38.42,20.04,26.57,14.23,7.2,76.21,Aleta Wondo
2008-11-01,6.6,38.42,18.87,25.89,10.39,4.37,72.81,Aleta Wondo
2008-12-01,6.6,38.42,20.05,29.45,9.83,0.09,58.5,Aleta Wondo
2009-01-01,6.6,38.42,21.18,31.04,10.68,1.99,54.76,Aleta Wondo
2009-02-01,6.6,38.42,23.85,34.56,14.52,0.24,42.89,Aleta Wondo
2009-03-01,6.6,38.42,25.45,35.25,15.89,1.39,40.19,Aleta Wondo
2009-04-01,6.6,38.42,22.07,30.89,14.73,6.55,71.9,Aleta Wondo
2009-05-01,6.6,38.42,21.38,31.81,14.29,6.28,71.94,Aleta Wondo
2009-06-01,6.6,38.42,20.8,27.74,13.93,2.51,74.28,Aleta Wondo
2009-07-01,6.6,38.42,19.71,26.42,13.11,4.84,72.43,Aleta Wondo
2009-08-01,6.6,38.42,20.12,28.3,13.69,2.84,73.22,Aleta Wondo
2009-09-01,6.6,38.42,20.84,28.26,15.37,4.77,73.25,Aleta Wondo
2009-10-01,6.6,38.42,20.5,27.75,14.22,5.69,75.3,Aleta Wondo
