period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.83,37.9,19.97,31.31,9.68,0.5,43.23,Amaro
2008-02-01,5.83,37.9,21.52,32.19,10.89,0.12,32.76,Amaro
2008-03-01,5.83,37.9,22.13,32.87,11.47,1.34,37.24,Amaro
2008-04-01,5.83,37.9,19.53,30.34,12.65,5.35,71.66,Amaro
2008-05-01,5.83,37.9,18.87,26.2,13.28,1.79,75.91,Amaro
2008-06-01,5.83,37.9,18.2,26.2,12.5,2.13,74.28,Amaro
2008-07-01,5.83,37.9,17.32,25.77,11.61,3.97,78.15,Amaro
2008-08-01,5.83,37.9,17.44,24.45,12.32,4.69,79.23,Amaro
2008-09-01,5.83,37.9,18.04,25.22,12.64,5.78,79.46,Amaro
2008-10-01,5.83,37.9,17.92,24.85,12.28,6.6,81.21,Amaro
2008-11-01,5.83,37.9,17.08,24.12,8.67,4.87,76.48,Amaro
2008-12-01,5.83,37.9,17.41,27.01,7.64,0.07,62.46,Amaro
2009-01-01,5.83,37.9,18.88,29.0,8.95,2.41,57.73,Amaro
2009-02-01,5.83,37.9,20.9,31.76,12.42,0.19,48.53,Amaro
2009-03-01,5.83,37.9,22.79,32.79,13.4,0.78,43.97,Amaro
2009-04-01,5.83,37.9,19.62,28.44,12.96,5.11,76.3,Amaro
2009-05-01,5.83,37.9,18.88,29.22,12.13,6.24,77.81,Amaro
2009-06-01,5.83,37.9,18.44,25.14,11.41,1.8,77.76,Amaro
2009-07-01,5.83,37.9,17.83,25.52,10.26,2.64,72.6,Amaro
2009-08-01,5.83,37.9,18.38,27.43,11.66,1.69,71.63,Amaro
2009-09-01,5.83,37.9,19.04,28.07,12.72,3.69,72.41,Amaro
2009-10-01,5.83,37.9,18.02,25.35,11.52,5.89,81.0,Amaro
2009-11-01,5.83,37.9,18.63,27.42,9.69,1.31,65.31,Amaro
2009-12-01,5.83,37.9,19.12,28.41,10.48,2.73,68.57,Amaro
2010-01-01,5.83,37.9,20.17,30.94,11.14,0.33,53.99,Amaro
2010-02-01,5.83,37.9,20.65,31.87,13.21,4.08,60.86,Amaro
2010-03-01,5.83,37.9,19.34,28.8,11.45,5.46,73.05,Amaro
2010-04-01,5.83,37.9,18.83,26.66,11.98,8.94,82.32,Amaro
2010-05-01,5.83,37.9,18.59,25.62,13.3,7.66,85.49,Amaro
2010-06-01,5.83,37.9,17.71,23.78,12.02,4.11,84.04,Amaro
2010-07-01,5.83,37.9,16.85,23.93,11.87,3.3,81.96,Amaro
2010-08-01,5.83,37.9,17.18,23.68,11.76,4.18,80.52,Amaro
2010-09-01,5.83,37.9,17.72,24.84,11.53,2.38,78.7,Amaro
2010-10-01,5.83,37.9,18.38,25.27,12.63,3.72,79.4,Amaro
2010-11-01,5.83,37.9,18.42,27.71,10.21,0.87,63.58,Amaro
2010-12-01,5.83,37.9,19.51,29.16,8.73,0.13,47.55,Amaro
2011-01-01,5.83,37.9,20.84,31.18,9.92,0.07,38.05,Amaro
2011-02-01,5.83,37.9,21.67,32.89,11.33,0.31,35.44,Amaro
2011-03-01,5.83,37.9,22.82,33.03,13.67,0.54,39.91,Amaro
2011-04-01,5.83,37.9,21.62,32.9,13.1,2.88,58.99,Amaro
2011-05-01,5.83,37.9,18.65,28.25,13.52,7.64,82.07,Amaro
2011-06-01,5.83,37.9,17.75,24.17,13.22,2.89,83.07,Amaro
2011-07-01,5.83,37.9,17.76,25.02,11.18,2.36,77.95,Amaro
2011-08-01,5.83,37.9,18.29,27.04,11.59,0.93,73.0,Amaro
2011-09-01,5.83,37.9,18.57,26.53,12.98,2.47,74.8,Amaro
2011-10-01,5.83,37.9,19.09,28.23,11.81,2.67,73.28,Amaro
2011-11-01,5.83,37.9,17.65,25.16,9.6,8.54,82.77,Amaro
2011-12-01,5.83,37.9,17.6,27.68,8.08,0.59,65.35,Amaro
2012-01-01,5.83,37.9,19.94,30.89,8.15,0.0,43.95,Amaro
2012-02-01,5.83,37.9,21.57,33.01,10.57,0.04,33.13,Amaro
2012-03-01,5.83,37.9,22.62,32.62,11.63,0.24,35.27,Amaro
2012-04-01,5.83,37.9,18.55,27.41,13.74,13.67,80.83,Amaro
2012-05-01,5.83,37.9,18.2,24.84,12.27,5.2,85.35,Amaro
2012-06-01,5.83,37.9,17.45,23.4,12.03,1.43,82.73,Amaro
2012-07-01,5.83,37.9,16.75,23.34,11.98,3.53,84.32,Amaro
2012-08-01,5.83,37.9,16.98,24.08,11.55,10.82,83.13,Amaro
2012-09-01,5.83,37.9,17.27,23.49,11.86,5.01,82.86,Amaro
2012-10-01,5.83,37.9,17.95,24.49,11.31,4.3,82.33,Amaro
2012-11-01,5.83,37.9,17.77,24.39,9.51,1.88,78.38,Amaro
2012-12-01,5.83,37.9,18.31,26.72,9.4,1.17,67.42,Amaro
2013-01-01,5.83,37.9,20.04,30.35,10.08,0.29,53.02,Amaro
2013-02-01,5.83,37.9,22.27,32.73,12.34,0.15,37.23,Amaro
2013-03-01,5.83,37.9,20.97,32.89,13.56,5.87,63.1,Amaro
