period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.98,37.85,15.12,26.16,4.59,0.15,52.36,Ambo
2008-02-01,8.98,37.85,16.91,27.19,6.08,0.1,42.41,Ambo
2008-03-01,8.98,37.85,18.74,29.77,5.6,0.12,27.54,Ambo
2008-04-01,8.98,37.85,18.09,29.21,7.67,1.56,54.07,Ambo
2008-05-01,8.98,37.85,18.78,29.03,11.01,1.93,59.85,Ambo
2008-06-01,8.98,37.85,17.12,26.65,11.11,3.23,71.55,Ambo
2008-07-01,8.98,37.85,15.22,22.63,9.05,9.87,81.6,Ambo
2008-08-01,8.98,37.85,15.56,21.18,11.14,10.21,82.47,Ambo
2008-09-01,8.98,37.85,15.55,21.54,8.61,5.3,79.9,Ambo
2008-10-01,8.98,37.85,14.89,21.93,5.71,0.97,72.35,Ambo
2008-11-01,8.98,37.85,13.34,21.63,2.41,2.12,69.67,Ambo
2008-12-01,8.98,37.85,13.73,23.14,4.08,0.09,61.9,Ambo
2009-01-01,8.98,37.85,14.97,24.06,4.27,1.48,61.65,Ambo
2009-02-01,8.98,37.85,16.73,27.07,7.54,0.25,55.72,Ambo
2009-03-01,8.98,37.85,19.07,29.91,9.67,0.73,50.57,Ambo
2009-04-01,8.98,37.85,19.0,29.44,10.21,1.68,58.69,Ambo
2009-05-01,8.98,37.85,19.65,29.98,10.58,1.26,49.42,Ambo
2009-06-01,8.98,37.85,19.02,29.42,10.89,2.73,59.9,Ambo
2009-07-01,8.98,37.85,15.44,22.03,10.78,7.16,81.46,Ambo
2009-08-01,8.98,37.85,15.8,22.13,10.78,6.88,81.94,Ambo
2009-09-01,8.98,37.85,16.13,22.53,8.54,3.38,75.24,Ambo
2009-10-01,8.98,37.85,14.96,22.84,4.93,2.49,72.08,Ambo
2009-11-01,8.98,37.85,14.68,24.05,4.25,0.11,58.2,Ambo
2009-12-01,8.98,37.85,15.62,24.26,7.46,1.47,70.3,Ambo
2010-01-01,8.98,37.85,16.55,26.5,6.77,0.07,56.49,Ambo
2010-02-01,8.98,37.85,17.3,28.23,10.55,2.87,67.05,Ambo
2010-03-01,8.98,37.85,17.84,27.3,7.84,2.24,62.52,Ambo
2010-04-01,8.98,37.85,18.15,27.25,10.92,3.79,69.31,Ambo
2010-05-01,8.98,37.85,18.22,26.74,12.14,4.05,71.6,Ambo
2010-06-01,8.98,37.85,17.41,25.86,11.94,6.35,73.54,Ambo
2010-07-01,8.98,37.85,15.29,22.23,11.0,9.33,83.71,Ambo
2010-08-01,8.98,37.85,14.89,20.73,10.41,8.14,86.8,Ambo
2010-09-01,8.98,37.85,15.65,21.42,8.39,6.57,82.85,Ambo
2010-10-01,8.98,37.85,14.57,21.73,6.18,0.58,72.57,Ambo
2010-11-01,8.98,37.85,13.64,21.48,4.36,0.75,65.89,Ambo
2010-12-01,8.98,37.85,14.15,22.6,3.59,0.43,61.27,Ambo
2011-01-01,8.98,37.85,15.58,25.24,5.69,0.15,60.82,Ambo
2011-02-01,8.98,37.85,16.93,27.76,5.02,0.34,46.15,Ambo
2011-03-01,8.98,37.85,17.3,27.81,7.93,2.0,53.2,Ambo
2011-04-01,8.98,37.85,18.68,28.98,8.73,1.79,57.91,Ambo
2011-05-01,8.98,37.85,18.43,28.6,11.36,3.28,64.81,Ambo
2011-06-01,8.98,37.85,17.25,25.7,12.05,4.59,73.05,Ambo
2011-07-01,8.98,37.85,15.79,23.64,9.79,4.91,79.79,Ambo
2011-08-01,8.98,37.85,15.3,21.44,9.89,4.57,83.01,Ambo
2011-09-01,8.98,37.85,15.66,22.7,8.21,3.08,79.89,Ambo
2011-10-01,8.98,37.85,15.49,24.53,5.77,0.17,59.88,Ambo
2011-11-01,8.98,37.85,16.45,25.36,6.32,0.84,64.36,Ambo
2011-12-01,8.98,37.85,15.38,25.78,4.02,0.04,50.13,Ambo
2012-01-01,8.98,37.85,16.48,27.23,4.16,0.01,44.74,Ambo
2012-02-01,8.98,37.85,17.27,28.7,6.55,0.0,34.88,Ambo
2012-03-01,8.98,37.85,18.98,29.89,7.04,0.51,37.85,Ambo
2012-04-01,8.98,37.85,18.45,27.62,10.39,3.55,62.52,Ambo
2012-05-01,8.98,37.85,19.43,29.45,10.16,0.96,54.23,Ambo
2012-06-01,8.98,37.85,18.09,29.39,11.45,3.15,64.57,Ambo
2012-07-01,8.98,37.85,15.46,21.69,10.44,11.03,82.96,Ambo
2012-08-01,8.98,37.85,15.22,21.42,10.44,11.83,85.61,Ambo
2012-09-01,8.98,37.85,15.45,20.76,9.8,5.94,83.3,Ambo
2012-10-01,8.98,37.85,14.16,22.11,4.95,0.12,69.33,Ambo
