period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.01,37.54,22.86,31.47,12.53,0.81,39.59,Arba Minch
2008-02-01,6.01,37.54,24.11,32.56,13.96,0.31,33.59,Arba Minch
2008-03-01,6.01,37.54,24.35,33.06,14.99,1.98,38.93,Arba Minch
2008-04-01,6.01,37.54,22.16,31.63,15.98,4.38,64.36,Arba Minch
2008-05-01,6.01,37.54,21.27,27.89,15.95,1.61,68.72,Arba Minch
2008-06-01,6.01,37.54,20.13,27.7,14.15,2.53,69.25,Arba Minch
2008-07-01,6.01,37.54,19.42,28.13,14.19,3.43,71.94,Arba Minch
2008-08-01,6.01,37.54,19.86,27.12,14.5,3.21,70.6,Arba Minch
2008-09-01,6.01,37.54,20.76,28.02,15.41,3.72,69.01,Arba Minch
2008-10-01,6.01,37.54,20.5,27.51,14.36,5.13,71.96,Arba Minch
2008-11-01,6.01,37.54,19.95,26.88,12.63,3.44,66.34,Arba Minch
2008-12-01,6.01,37.54,21.19,29.12,11.72,0.12,51.41,Arba Minch
2009-01-01,6.01,37.54,22.04,30.04,12.86,1.86,48.79,Arba Minch
2009-02-01,6.01,37.54,23.83,32.44,15.55,0.34,43.27,Arba Minch
2009-03-01,6.01,37.54,24.85,33.13,16.35,1.54,44.27,Arba Minch
2009-04-01,6.01,37.54,21.81,29.64,16.31,6.02,71.62,Arba Minch
2009-05-01,6.01,37.54,21.46,30.4,15.41,3.75,70.22,Arba Minch
2009-06-01,6.01,37.54,21.42,28.38,15.87,1.33,66.19,Arba Minch
2009-07-01,6.01,37.54,20.4,27.91,13.62,2.35,63.21,Arba Minch
2009-08-01,6.01,37.54,20.88,29.1,14.05,1.95,63.44,Arba Minch
2009-09-01,6.01,37.54,21.5,28.84,15.19,4.49,64.29,Arba Minch
2009-10-01,6.01,37.54,20.69,27.68,15.94,4.09,72.19,Arba Minch
2009-11-01,6.01,37.54,22.05,28.97,13.58,0.86,53.83,Arba Minch
2009-12-01,6.01,37.54,21.74,29.66,15.65,3.07,61.42,Arba Minch
2010-01-01,6.01,37.54,22.37,31.1,14.2,0.97,51.24,Arba Minch
2010-02-01,6.01,37.54,23.37,31.73,17.19,2.71,54.48,Arba Minch
2010-03-01,6.01,37.54,22.32,31.22,15.33,4.1,63.45,Arba Minch
2010-04-01,6.01,37.54,21.84,29.87,15.09,4.32,71.88,Arba Minch
2010-05-01,6.01,37.54,20.8,27.96,16.18,6.06,78.93,Arba Minch
2010-06-01,6.01,37.54,20.05,25.9,14.97,3.8,76.64,Arba Minch
2010-07-01,6.01,37.54,19.18,27.21,13.85,3.27,74.09,Arba Minch
2010-08-01,6.01,37.54,19.75,26.8,13.73,3.13,71.54,Arba Minch
2010-09-01,6.01,37.54,20.4,27.12,14.37,2.97,68.54,Arba Minch
2010-10-01,6.01,37.54,21.3,28.93,15.76,2.7,67.74,Arba Minch
2010-11-01,6.01,37.54,21.94,29.0,13.9,1.11,53.65,Arba Minch
2010-12-01,6.01,37.54,22.33,29.55,12.28,0.57,44.33,Arba Minch
2011-01-01,6.01,37.54,23.38,31.85,14.43,0.26,37.51,Arba Minch
2011-02-01,6.01,37.54,24.36,33.31,14.05,0.26,32.97,Arba Minch
2011-03-01,6.01,37.54,24.8,33.25,16.18,1.59,41.08,Arba Minch
2011-04-01,6.01,37.54,23.7,32.38,16.89,2.99,56.9,Arba Minch
2011-05-01,6.01,37.54,21.14,28.77,15.99,5.4,73.53,Arba Minch
