period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.22,39.02,16.41,27.12,6.71,0.55,51.14,Aroresa
2008-02-01,6.22,39.02,18.04,28.89,8.37,0.07,40.06,Aroresa
2008-03-01,6.22,39.02,19.21,30.24,8.59,1.14,41.43,Aroresa
2008-04-01,6.22,39.02,17.73,26.56,11.06,5.91,75.22,Aroresa
2008-05-01,6.22,39.02,17.41,24.69,11.73,1.85,78.13,Aroresa
2008-06-01,6.22,39.02,16.73,25.84,11.17,2.04,76.21,Aroresa
2008-07-01,6.22,39.02,16.13,25.52,10.63,3.61,79.1,Aroresa
2008-08-01,6.22,39.02,16.12,23.85,10.37,4.38,80.43,Aroresa
2008-09-01,6.22,39.02,16.73,24.32,10.47,5.64,80.9,Aroresa
2008-10-01,6.22,39.02,16.61,23.51,10.86,6.7,83.33,Aroresa
2008-11-01,6.22,39.02,14.92,21.86,6.28,5.21,80.83,Aroresa
2008-12-01,6.22,39.02,14.71,23.79,6.72,0.08,65.8,Aroresa
2009-01-01,6.22,39.02,15.96,25.02,7.05,2.43,63.03,Aroresa
2009-02-01,6.22,39.02,17.43,27.36,8.78,0.19,55.56,Aroresa
2009-03-01,6.22,39.02,19.35,29.88,9.87,0.68,52.92,Aroresa
2009-04-01,6.22,39.02,18.05,26.58,10.87,5.13,79.13,Aroresa
2009-05-01,6.22,39.02,17.65,25.85,11.51,6.16,79.64,Aroresa
2009-06-01,6.22,39.02,17.16,24.68,11.0,1.77,78.51,Aroresa
2009-07-01,6.22,39.02,16.05,23.75,9.04,2.29,75.43,Aroresa
2009-08-01,6.22,39.02,16.58,24.91,10.84,1.51,74.22,Aroresa
2009-09-01,6.22,39.02,17.34,25.99,10.9,3.34,75.56,Aroresa
2009-10-01,6.22,39.02,16.42,23.77,10.46,6.4,84.1,Aroresa
2009-11-01,6.22,39.02,15.7,23.43,7.09,1.59,72.27,Aroresa
2009-12-01,6.22,39.02,16.47,24.69,8.76,2.85,74.73,Aroresa
2010-01-01,6.22,39.02,17.1,26.39,8.35,0.27,57.71,Aroresa
2010-02-01,6.22,39.02,18.15,29.09,10.56,3.78,65.7,Aroresa
2010-03-01,6.22,39.02,17.31,25.43,9.73,5.56,77.69,Aroresa
2010-04-01,6.22,39.02,17.38,24.33,11.82,9.93,85.34,Aroresa
2010-05-01,6.22,39.02,17.21,23.7,11.9,7.65,87.84,Aroresa
2010-06-01,6.22,39.02,16.33,23.04,10.69,3.94,86.09,Aroresa
2010-07-01,6.22,39.02,15.53,22.07,10.46,3.04,83.5,Aroresa
2010-08-01,6.22,39.02,15.61,23.22,10.48,4.08,83.35,Aroresa
2010-09-01,6.22,39.02,16.13,24.09,9.57,2.25,81.49,Aroresa
2010-10-01,6.22,39.02,16.73,24.3,11.61,3.88,82.76,Aroresa
2010-11-01,6.22,39.02,15.56,23.35,8.17,0.88,69.78,Aroresa
2010-12-01,6.22,39.02,16.12,25.53,7.11,0.1,53.68,Aroresa
2011-01-01,6.22,39.02,17.1,27.27,7.74,0.06,47.06,Aroresa
2011-02-01,6.22,39.02,18.35,29.63,8.1,0.29,42.55,Aroresa
2011-03-01,6.22,39.02,19.43,29.54,11.21,0.38,44.34,Aroresa
2011-04-01,6.22,39.02,19.31,28.53,12.01,2.94,63.84,Aroresa
2011-05-01,6.22,39.02,17.44,26.39,11.94,7.58,82.84,Aroresa
2011-06-01,6.22,39.02,16.73,23.38,12.21,2.69,82.46,Aroresa
2011-07-01,6.22,39.02,16.68,25.02,10.89,2.15,77.65,Aroresa
2011-08-01,6.22,39.02,16.84,25.66,10.5,0.79,74.25,Aroresa
2011-09-01,6.22,39.02,17.09,25.1,11.63,2.31,76.58,Aroresa
2011-10-01,6.22,39.02,17.17,25.74,9.22,2.91,77.33,Aroresa
2011-11-01,6.22,39.02,16.2,24.39,9.18,8.33,84.79,Aroresa
2011-12-01,6.22,39.02,15.28,24.8,6.99,0.58,67.19,Aroresa
2012-01-01,6.22,39.02,16.76,28.0,5.59,0.0,48.22,Aroresa
2012-02-01,6.22,39.02,18.11,29.17,7.96,0.04,40.3,Aroresa
2012-03-01,6.22,39.02,19.46,30.25,8.42,0.17,40.91,Aroresa
2012-04-01,6.22,39.02,17.12,25.23,11.98,13.95,83.5,Aroresa
2012-05-01,6.22,39.02,17.05,23.57,11.46,4.91,85.82,Aroresa
2012-06-01,6.22,39.02,16.34,23.78,11.23,1.32,82.64,Aroresa
