period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.95,39.13,15.05,25.6,5.03,0.29,46.12,Assela
2008-02-01,7.95,39.13,15.62,26.78,4.54,0.07,40.99,Assela
2008-03-01,7.95,39.13,17.33,28.2,4.97,0.08,27.77,Assela
2008-04-01,7.95,39.13,17.09,27.96,8.16,1.47,61.91,Assela
2008-05-01,7.95,39.13,18.12,27.54,10.37,1.24,62.64,Assela
2008-06-01,7.95,39.13,17.35,26.29,10.18,1.65,67.88,Assela
2008-07-01,7.95,39.13,15.8,24.71,9.63,7.29,76.7,Assela
2008-08-01,7.95,39.13,15.08,20.86,9.93,6.9,82.81,Assela
2008-09-01,7.95,39.13,15.16,21.31,9.33,3.7,81.1,Assela
2008-10-01,7.95,39.13,14.29,22.72,5.83,2.3,74.04,Assela
2008-11-01,7.95,39.13,12.65,21.89,3.14,2.74,72.16,Assela
2008-12-01,7.95,39.13,13.28,23.5,3.78,0.07,59.35,Assela
2009-01-01,7.95,39.13,14.64,25.38,4.46,1.62,58.58,Assela
2009-02-01,7.95,39.13,15.79,26.44,6.99,0.16,53.17,Assela
2009-03-01,7.95,39.13,17.9,29.05,8.44,1.11,48.79,Assela
2009-04-01,7.95,39.13,17.24,26.53,9.58,2.46,68.21,Assela
2009-05-01,7.95,39.13,18.17,27.81,10.26,0.87,58.46,Assela
2009-06-01,7.95,39.13,18.61,28.66,10.58,1.76,60.19,Assela
2009-07-01,7.95,39.13,15.6,23.21,10.27,6.44,77.63,Assela
2009-08-01,7.95,39.13,15.84,22.12,8.85,4.71,80.12,Assela
2009-09-01,7.95,39.13,15.52,21.8,9.08,3.57,77.76,Assela
2009-10-01,7.95,39.13,14.06,21.94,5.44,3.61,77.78,Assela
2009-11-01,7.95,39.13,13.81,23.92,4.41,0.24,60.32,Assela
2009-12-01,7.95,39.13,14.79,23.87,7.07,2.17,72.31,Assela
2010-01-01,7.95,39.13,15.03,26.13,4.83,0.06,57.03,Assela
2010-02-01,7.95,39.13,16.55,27.52,8.69,2.93,65.14,Assela
2010-03-01,7.95,39.13,16.07,24.5,6.55,3.4,72.35,Assela
2010-04-01,7.95,39.13,16.88,25.53,8.17,3.43,73.54,Assela
2010-05-01,7.95,39.13,17.33,24.99,11.33,3.12,74.23,Assela
2010-06-01,7.95,39.13,16.83,24.46,10.23,3.59,73.65,Assela
2010-07-01,7.95,39.13,15.11,22.01,9.76,6.94,81.88,Assela
2010-08-01,7.95,39.13,14.81,21.03,10.34,6.05,85.69,Assela
2010-09-01,7.95,39.13,15.02,21.61,9.27,4.98,83.5,Assela
2010-10-01,7.95,39.13,13.87,21.44,6.39,1.02,75.96,Assela
2010-11-01,7.95,39.13,13.79,23.32,4.99,0.41,63.62,Assela
2010-12-01,7.95,39.13,14.14,24.48,3.56,0.34,51.51,Assela
2011-01-01,7.95,39.13,15.35,25.99,4.94,0.12,49.49,Assela
2011-02-01,7.95,39.13,16.35,27.09,5.16,0.16,41.83,Assela
2011-03-01,7.95,39.13,16.88,28.08,7.34,0.97,46.45,Assela
2011-04-01,7.95,39.13,17.94,28.27,8.11,1.77,58.79,Assela
2011-05-01,7.95,39.13,17.4,26.96,10.45,2.69,69.87,Assela
2011-06-01,7.95,39.13,17.01,25.42,10.66,2.0,72.31,Assela
2011-07-01,7.95,39.13,15.97,24.92,10.39,3.65,76.36,Assela
2011-08-01,7.95,39.13,15.81,22.99,9.45,2.65,78.34,Assela
2011-09-01,7.95,39.13,16.34,24.36,10.33,1.64,74.95,Assela
2011-10-01,7.95,39.13,15.37,24.98,6.0,0.76,57.87,Assela
2011-11-01,7.95,39.13,15.24,25.17,5.96,1.61,66.82,Assela
2011-12-01,7.95,39.13,14.14,25.07,2.83,0.04,49.49,Assela
2012-01-01,7.95,39.13,15.27,26.09,5.31,0.01,45.2,Assela
2012-02-01,7.95,39.13,16.12,28.28,6.03,0.03,38.23,Assela
2012-03-01,7.95,39.13,17.81,28.84,6.41,0.23,37.25,Assela
2012-04-01,7.95,39.13,16.86,25.6,9.58,3.68,69.35,Assela
2012-05-01,7.95,39.13,17.74,26.65,10.28,1.07,64.31,Assela
2012-06-01,7.95,39.13,17.77,27.84,11.22,1.49,65.07,Assela
2012-07-01,7.95,39.13,15.66,22.48,9.42,7.12,80.48,Assela
2012-08-01,7.95,39.13,14.98,21.26,10.19,8.92,85.07,Assela
2012-09-01,7.95,39.13,14.87,20.76,9.26,3.62,83.09,Assela
2012-10-01,7.95,39.13,14.01,22.36,5.35,0.7,74.45,Assela
2012-11-01,7.95,39.13,14.99,24.22,5.41,0.2,64.67,Assela
2012-12-01,7.95,39.13,15.01,24.9,5.81,0.3,56.65,Assela
2013-01-01,7.95,39.13,15.77,27.05,5.8,0.57,54.87,Assela
2013-02-01,7.95,39.13,17.08,28.03,6.8,0.04,40.27,Assela
2013-03-01,7.95,39.13,17.91,28.81,9.96,1.84,59.61,Assela
2013-04-01,7.95,39.13,17.04,25.48,10.28,4.14,74.09,Assela
2013-05-01,7.95,39.13,17.06,26.08,10.87,2.16,71.67,Assela
2013-06-01,7.95,39.13,16.49,24.97,10.18,3.25,74.34,Assela
2013-07-01,7.95,39.13,14.86,21.94,10.58,8.43,83.93,Assela
2013-08-01,7.95,39.13,14.56,20.43,9.73,6.67,85.4,Assela
2013-09-01,7.95,39.13,15.07,21.07,9.41,3.02,81.85,Assela
2013-10-01,7.95,39.13,14.11,21.42,6.34,2.21,77.8,Assela
2013-11-01,7.95,39.13,13.78,22.09,4.63,2.41,77.43,Assela
2013-12-01,7.95,39.13,13.22,23.06,3.8,0.06,59.0,Assela
2014-01-01,7.95,39.13,15.48,25.49,5.12,0.05,53.02,Assela
2014-02-01,7.95,39.13,16.97,26.36,7.64,0.85,60.13,Assela
2014-03-01,7.95,39.13,17.38,27.69,8.78,1.35,59.58,Assela
2014-04-01,7.95,39.13,17.04,27.22,9.27,2.35,68.89,Assela
2014-05-01,7.95,39.13,17.48,26.31,11.3,2.36,70.63,Assela
2014-06-01,7.95,39.13,17.65,26.74,10.16,1.67,65.64,Assela
2014-07-01,7.95,39.13,16.11,25.31,10.17,5.31,78.27,Assela
2014-08-01,7.95,39.13,15.35,21.34,10.03,4.93,82.19,Assela
2014-09-01,7.95,39.13,15.1,21.44,9.73,3.57,81.72,Assela
2014-10-01,7.95,39.13,13.93,21.28,6.29,4.14,79.96,Assela
2014-11-01,7.95,39.13,14.01,22.67,5.42,1.26,73.23,Assela
2014-12-01,7.95,39.13,13.26,23.07,4.65,1.04,59.62,Assela
2015-01-01,7.95,39.13,14.26,25.18,4.99,0.26,50.65,Assela
2015-02-01,7.95,39.13,16.78,26.98,5.44,0.26,43.66,Assela
2015-03-01,7.95,39.13,17.59,28.54,7.89,0.69,47.35,Assela
2015-04-01,7.95,39.13,17.54,27.38,7.74,1.04,55.08,Assela
2015-05-01,7.95,39.13,17.35,26.8,10.8,4.03,71.14,Assela
2015-06-01,7.95,39.13,16.59,24.57,10.06,5.28,74.05,Assela
2015-07-01,7.95,39.13,16.36,23.26,9.68,3.03,76.78,Assela
2015-08-01,7.95,39.13,15.97,22.41,10.03,6.15,80.02,Assela
2015-09-01,7.95,39.13,15.76,22.75,9.36,2.47,77.38,Assela
2015-10-01,7.95,39.13,15.61,23.5,8.48,1.68,73.07,Assela
2015-11-01,7.95,39.13,14.49,23.43,5.12,2.56,70.55,Assela
2015-12-01,7.95,39.13,14.26,24.05,5.33,1.39,69.24,Assela
2016-01-01,7.95,39.13,15.58,25.2,7.21,1.19,68.11,Assela
2016-02-01,7.95,39.13,16.61,27.95,5.92,1.17,51.12,Assela
2016-03-01,7.95,39.13,18.18,28.07,9.47,2.27,60.42,Assela
2016-04-01,7.95,39.13,17.06,26.56,10.67,9.24,78.85,Assela
2016-05-01,7.95,39.13,15.85,22.94,9.21,4.97,80.6,Assela
2016-06-01,7.95,39.13,15.84,23.41,9.83,2.37,77.1,Assela
2016-07-01,7.95,39.13,15.55,21.85,10.53,5.64,82.86,Assela
2016-08-01,7.95,39.13,15.07,21.35,9.58,6.37,82.59,Assela
2016-09-01,7.95,39.13,15.14,22.26,8.81,3.72,80.28,Assela
2016-10-01,7.95,39.13,14.4,21.22,5.34,2.31,77.18,Assela
2016-11-01,7.95,39.13,13.74,22.95,3.11,1.87,65.37,Assela
2016-12-01,7.95,39.13,12.96,22.85,3.41,0.36,60.52,Assela
2017-01-01,7.95,39.13,13.3,25.29,2.1,0.0,36.52,Assela
2017-02-01,7.95,39.13,16.05,25.88,6.55,1.41,59.11,Assela
2017-03-01,7.95,39.13,17.68,29.43,8.77,2.44,50.78,Assela
2017-04-01,7.95,39.13,16.91,26.2,8.86,2.31,66.24,Assela
2017-05-01,7.95,39.13,16.69,25.18,9.75,5.78,76.65,Assela
2017-06-01,7.95,39.13,16.96,24.9,9.84,2.58,72.36,Assela
2017-07-01,7.95,39.13,15.63,21.82,9.98,6.28,81.9,Assela
2017-08-01,7.95,39.13,15.54,21.98,10.76,6.9,83.12,Assela
2017-09-01,7.95,39.13,14.92,21.17,9.73,7.85,84.8,Assela
2017-10-01,7.95,39.13,14.39,21.39,7.75,2.22,80.11,Assela
2017-11-01,7.95,39.13,12.96,21.35,3.72,1.83,71.35,Assela
2017-12-01,7.95,39.13,12.44,23.29,2.28,0.08,52.94,Assela
2018-01-01,7.95,39.13,14.39,26.28,4.03,0.1,48.91,Assela
2018-02-01,7.95,39.13,16.18,26.71,4.23,1.95,55.93,Assela
2018-03-01,7.95,39.13,15.82,24.97,6.41,2.67,65.74,Assela
2018-04-01,7.95,39.13,15.84,23.21,10.05,7.01,78.76,Assela
2018-05-01,7.95,39.13,16.29,23.84,9.72,3.44,75.68,Assela
2018-06-01,7.95,39.13,15.88,23.67,9.43,4.07,79.06,Assela
2018-07-01,7.95,39.13,15.33,22.3,10.32,3.65,81.46,Assela
2018-08-01,7.95,39.13,15.3,22.22,9.26,6.59,81.86,Assela
2018-09-01,7.95,39.13,14.97,21.74,7.94,2.17,78.16,Assela
2018-10-01,7.95,39.13,14.88,23.08,7.13,2.15,75.01,Assela
2018-11-01,7.95,39.13,14.18,23.2,5.02,4.73,75.0,Assela
2018-12-01,7.95,39.13,13.77,22.84,5.29,0.28,65.85,Assela
2019-01-01,7.95,39.13,14.24,25.76,3.49,0.0,43.43,Assela
2019-02-01,7.95,39.13,17.24,27.65,7.16,0.31,51.06,Assela
2019-03-01,7.95,39.13,18.1,29.28,8.87,1.58,53.19,Assela
2019-04-01,7.95,39.13,17.63,27.45,10.52,3.14,68.86,Assela
2019-05-01,7.95,39.13,17.9,27.52,10.68,2.09,67.26,Assela
2019-06-01,7.95,39.13,16.9,25.14,10.64,3.81,74.99,Assela
2019-07-01,7.95,39.13,16.12,23.17,10.32,3.36,78.26,Assela
2019-08-01,7.95,39.13,15.26,22.93,10.17,7.72,82.85,Assela
2019-09-01,7.95,39.13,15.52,21.47,9.54,8.55,83.42,Assela
2019-10-01,7.95,39.13,13.69,20.95,5.5,3.49,82.56,Assela
2019-11-01,7.95,39.13,14.18,22.01,6.5,2.31,80.52,Assela
2019-12-01,7.95,39.13,13.86,22.51,5.49,2.09,77.43,Assela
2020-01-01,7.95,39.13,14.87,24.45,5.82,0.43,67.26,Assela
2020-02-01,7.95,39.13,16.3,26.58,7.91,0.94,62.32,Assela
2020-03-01,7.95,39.13,17.98,27.94,8.97,1.7,61.33,Assela
2020-04-01,7.95,39.13,17.21,26.89,10.3,8.29,73.12,Assela
2020-05-01,7.95,39.13,16.08,23.02,10.09,5.92,80.71,Assela
2020-06-01,7.95,39.13,15.87,22.11,9.86,5.3,80.17,Assela
2020-07-01,7.95,39.13,14.73,20.9,10.22,6.8,85.3,Assela
2020-08-01,7.95,39.13,14.88,20.66,9.66,9.13,87.14,Assela
2020-09-01,7.95,39.13,15.03,20.68,10.24,7.45,84.75,Assela
2020-10-01,7.95,39.13,13.7,20.91,5.76,2.51,75.38,Assela
2020-11-01,7.95,39.13,13.44,22.38,3.97,0.9,69.63,Assela
2020-12-01,7.95,39.13,13.22,22.78,4.07,1.88,64.7,Assela
2021-01-01,7.95,39.13,13.08,22.69,4.36,7.38,63.75,Assela
2021-02-01,7.95,39.13,15.28,25.36,5.13,0.93,59.05,Assela
2021-03-01,7.95,39.13,16.51,27.15,6.38,0.51,48.83,Assela
2021-04-01,7.95,39.13,16.62,27.5,7.51,6.01,65.82,Assela
2021-05-01,7.95,39.13,15.9,23.55,9.44,5.26,77.84,Assela
2021-06-01,7.95,39.13,16.32,25.11,9.54,1.93,73.58,Assela
2021-07-01,7.95,39.13,15.15,22.9,10.3,5.26,81.43,Assela
2021-08-01,7.95,39.13,15.44,21.46,9.56,7.09,82.66,Assela
2021-09-01,7.95,39.13,15.27,21.47,9.7,6.95,83.67,Assela
2021-10-01,7.95,39.13,14.03,21.5,5.67,3.8,78.62,Assela
2021-11-01,7.95,39.13,13.47,22.19,5.0,6.42,70.9,Assela
2021-12-01,7.95,39.13,13.14,22.38,2.53,2.71,71.09,Assela
2022-01-01,7.95,39.13,14.11,23.59,4.67,0.81,68.23,Assela
2022-02-01,7.95,39.13,15.52,26.09,6.46,0.42,58.41,Assela
2022-03-01,7.95,39.13,17.1,27.47,7.48,1.09,52.0,Assela
2022-04-01,7.95,39.13,16.7,25.91,8.85,5.93,70.13,Assela
2022-05-01,7.95,39.13,17.66,26.97,10.09,1.55,63.51,Assela
2022-06-01,7.95,39.13,16.75,25.76,10.57,4.05,72.93,Assela
2022-07-01,7.95,39.13,15.06,21.55,9.65,4.89,81.5,Assela
2022-08-01,7.95,39.13,15.01,20.81,10.32,5.64,84.74,Assela
2022-09-01,7.95,39.13,15.32,21.58,9.79,3.64,82.47,Assela
2022-10-01,7.95,39.13,14.52,21.74,5.65,2.7,78.72,Assela
2022-11-01,7.95,39.13,14.01,22.29,5.7,0.82,67.53,Assela
2022-12-01,7.95,39.13,14.38,23.71,5.03,0.65,62.28,Assela
2023-01-01,7.95,39.13,14.6,25.59,5.27,0.12,51.26,Assela
2023-02-01,7.95,39.13,15.93,27.4,5.59,1.72,42.28,Assela
2023-03-01,7.95,39.13,16.39,24.87,8.52,4.39,72.71,Assela
2023-04-01,7.95,39.13,16.21,24.33,9.51,9.14,78.16,Assela
2023-05-01,7.95,39.13,16.28,22.63,9.96,5.97,81.76,Assela
2023-06-01,7.95,39.13,16.29,22.9,10.54,3.26,79.45,Assela
2023-07-01,7.95,39.13,16.03,22.3,11.04,5.36,82.33,Assela
2023-08-01,7.95,39.13,15.94,23.57,9.59,5.93,81.65,Assela
2023-09-01,7.95,39.13,15.99,23.43,9.95,3.63,80.12,Assela
2023-10-01,7.95,39.13,15.46,22.6,8.85,5.47,79.65,Assela
2023-11-01,7.95,39.13,13.89,20.88,5.33,6.84,84.77,Assela
2023-12-01,7.95,39.13,13.8,22.92,4.95,0.32,74.92,Assela
2024-01-01,7.95,39.13,15.41,25.12,7.73,0.56,68.59,Assela
2024-02-01,7.95,39.13,17.17,26.95,8.82,1.93,65.28,Assela
2024-03-01,7.95,39.13,17.78,27.61,10.23,2.22,65.21,Assela
2024-04-01,7.95,39.13,17.75,26.62,11.81,6.16,76.98,Assela
2024-05-01,7.95,39.13,17.77,25.59,11.56,3.05,75.7,Assela
2024-06-01,7.95,39.13,17.25,26.75,10.24,4.35,74.22,Assela
2024-07-01,7.95,39.13,16.02,22.84,11.5,9.24,83.42,Assela
2024-08-01,7.95,39.13,15.36,21.09,10.76,7.18,86.18,Assela
2024-09-01,7.95,39.13,15.39,21.62,9.45,4.43,83.37,Assela
2024-10-01,7.95,39.13,15.06,21.5,9.01,5.91,85.22,Assela
2024-11-01,7.95,39.13,13.36,21.32,5.49,1.17,76.18,Assela
2024-12-01,7.95,39.13,12.96,23.58,3.15,0.1,60.19,Assela
2025-01-01,7.95,39.13,14.81,25.53,4.52,0.02,54.86,Assela
2025-02-01,7.95,39.13,16.64,27.19,5.92,0.06,44.63,Assela
2025-03-01,7.95,39.13,17.66,28.72,9.09,3.06,62.79,Assela
2025-04-01,7.95,39.13,17.24,26.47,9.17,2.77,66.75,Assela
2025-05-01,7.95,39.13,16.9,24.92,9.86,4.73,72.74,Assela
2025-06-01,7.95,39.13,17.87,26.05,11.17,2.03,66.98,Assela
2025-07-01,7.95,39.13,16.38,23.65,10.73,5.84,78.47,Assela
2025-08-01,7.95,39.13,15.2,21.68,10.22,11.02,84.46,Assela
2025-09-01,7.95,39.13,15.15,21.18,9.47,11.22,84.67,Assela
2025-10-01,7.95,39.13,13.87,20.68,7.0,4.37,80.71,Assela
2025-11-01,7.95,39.13,13.05,21.49,4.03,1.02,70.04,Assela
2025-12-01,7.95,39.13,14.6,23.71,5.05,1.5,70.78,Assela
