period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.07,34.53,26.9,37.39,16.76,0.24,35.21,Assosa
2008-02-01,10.07,34.53,28.15,38.77,16.63,0.02,26.1,Assosa
2008-03-01,10.07,34.53,30.28,40.39,19.75,0.22,24.09,Assosa
2008-04-01,10.07,34.53,26.88,38.56,19.37,2.1,55.36,Assosa
2008-05-01,10.07,34.53,25.67,36.7,17.87,3.11,64.67,Assosa
2008-06-01,10.07,34.53,23.78,33.81,17.88,5.3,72.76,Assosa
2008-07-01,10.07,34.53,22.22,30.58,17.51,3.65,80.02,Assosa
2008-08-01,10.07,34.53,22.55,29.6,17.79,3.71,80.24,Assosa
2008-09-01,10.07,34.53,23.54,31.84,18.47,3.25,76.62,Assosa
2008-10-01,10.07,34.53,24.51,33.55,17.8,2.98,69.07,Assosa
2008-11-01,10.07,34.53,26.13,36.23,16.85,0.63,49.44,Assosa
2008-12-01,10.07,34.53,27.24,36.8,17.81,0.09,39.27,Assosa
2009-01-01,10.07,34.53,27.95,38.11,19.01,0.04,27.78,Assosa
2009-02-01,10.07,34.53,29.55,39.51,19.83,0.23,27.58,Assosa
2009-03-01,10.07,34.53,30.06,40.58,18.91,0.38,24.15,Assosa
2009-04-01,10.07,34.53,27.61,39.56,19.51,2.01,53.05,Assosa
2009-05-01,10.07,34.53,27.45,38.86,19.85,1.28,49.33,Assosa
2009-06-01,10.07,34.53,24.47,33.15,18.09,4.78,69.99,Assosa
2009-07-01,10.07,34.53,23.26,31.5,17.57,4.02,74.16,Assosa
2009-08-01,10.07,34.53,23.32,31.16,18.35,3.65,76.98,Assosa
2009-09-01,10.07,34.53,24.17,32.51,18.27,4.2,75.24,Assosa
2009-10-01,10.07,34.53,25.28,34.05,18.09,3.21,65.69,Assosa
2009-11-01,10.07,34.53,26.51,36.41,16.86,0.27,46.73,Assosa
2009-12-01,10.07,34.53,26.88,37.6,17.29,0.06,32.04,Assosa
2010-01-01,10.07,34.53,27.74,38.85,17.01,0.03,26.19,Assosa
2010-02-01,10.07,34.53,29.31,40.43,17.51,0.03,21.82,Assosa
2010-03-01,10.07,34.53,29.64,40.83,18.31,0.11,20.73,Assosa
2010-04-01,10.07,34.53,30.74,41.13,21.36,0.62,32.53,Assosa
2010-05-01,10.07,34.53,25.95,35.61,20.14,3.12,67.16,Assosa
2010-06-01,10.07,34.53,24.04,32.9,18.91,4.88,75.12,Assosa
2010-07-01,10.07,34.53,22.48,30.3,17.9,3.79,80.6,Assosa
