period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.13,40.16,23.65,34.27,15.43,0.4,36.36,Awash arba
2008-02-01,9.13,40.16,23.51,35.75,13.64,0.03,33.49,Awash arba
2008-03-01,9.13,40.16,26.01,37.97,14.0,0.02,17.86,Awash arba
2008-04-01,9.13,40.16,26.25,37.79,16.24,2.03,47.42,Awash arba
2008-05-01,9.13,40.16,27.86,37.39,19.37,1.31,46.24,Awash arba
2008-06-01,9.13,40.16,28.1,38.4,19.6,1.2,43.41,Awash arba
2008-07-01,9.13,40.16,26.13,37.84,17.29,5.55,55.89,Awash arba
2008-08-01,9.13,40.16,24.12,31.42,17.92,5.83,68.4,Awash arba
2008-09-01,9.13,40.16,24.99,33.32,17.92,2.68,62.38,Awash arba
2008-10-01,9.13,40.16,25.21,35.04,16.64,1.37,45.91,Awash arba
2008-11-01,9.13,40.16,21.32,31.23,12.62,2.11,56.3,Awash arba
2008-12-01,9.13,40.16,21.94,32.44,13.06,0.07,39.22,Awash arba
2009-01-01,9.13,40.16,23.13,34.61,13.82,1.04,43.9,Awash arba
2009-02-01,9.13,40.16,25.55,36.58,16.24,0.29,35.67,Awash arba
2009-03-01,9.13,40.16,27.35,38.72,18.31,1.13,37.49,Awash arba
2009-04-01,9.13,40.16,26.76,37.27,19.3,1.76,51.63,Awash arba
2009-05-01,9.13,40.16,29.15,38.87,20.22,0.35,34.4,Awash arba
2009-06-01,9.13,40.16,29.15,39.39,19.76,1.38,40.54,Awash arba
2009-07-01,9.13,40.16,25.79,34.77,19.58,4.49,57.25,Awash arba
2009-08-01,9.13,40.16,25.7,34.11,17.95,3.84,60.71,Awash arba
2009-09-01,9.13,40.16,26.11,34.58,18.48,2.92,56.37,Awash arba
2009-10-01,9.13,40.16,23.74,35.41,15.23,2.71,56.57,Awash arba
2009-11-01,9.13,40.16,23.82,33.96,14.41,0.26,37.01,Awash arba
2009-12-01,9.13,40.16,23.87,33.81,16.12,1.36,52.86,Awash arba
2010-01-01,9.13,40.16,23.55,34.64,13.41,0.02,39.24,Awash arba
2010-02-01,9.13,40.16,24.25,37.15,16.9,3.82,56.37,Awash arba
2010-03-01,9.13,40.16,23.87,33.58,14.66,3.39,62.18,Awash arba
2010-04-01,9.13,40.16,25.89,35.19,17.66,3.67,61.28,Awash arba
2010-05-01,9.13,40.16,27.03,36.49,19.61,2.16,57.97,Awash arba
2010-06-01,9.13,40.16,27.87,37.16,19.72,2.32,49.33,Awash arba
2010-07-01,9.13,40.16,25.15,35.18,18.42,5.76,62.82,Awash arba
2010-08-01,9.13,40.16,23.87,32.01,18.44,5.96,71.33,Awash arba
2010-09-01,9.13,40.16,23.75,31.42,17.24,5.77,70.51,Awash arba
2010-10-01,9.13,40.16,24.63,33.38,16.49,0.44,47.86,Awash arba
2010-11-01,9.13,40.16,23.3,33.66,14.06,0.53,41.93,Awash arba
2010-12-01,9.13,40.16,22.63,33.54,13.39,0.11,35.62,Awash arba
2011-01-01,9.13,40.16,23.9,35.5,14.35,0.11,38.51,Awash arba
2011-02-01,9.13,40.16,25.04,36.57,14.8,0.11,32.95,Awash arba
2011-03-01,9.13,40.16,25.25,37.38,15.7,1.36,37.32,Awash arba
2011-04-01,9.13,40.16,27.23,37.75,16.84,2.18,47.23,Awash arba
2011-05-01,9.13,40.16,27.2,37.61,19.41,2.11,52.37,Awash arba
2011-06-01,9.13,40.16,27.76,37.43,19.25,1.27,48.61,Awash arba
2011-07-01,9.13,40.16,26.49,36.04,19.44,2.6,53.59,Awash arba
2011-08-01,9.13,40.16,26.67,36.34,19.33,2.21,54.46,Awash arba
2011-09-01,9.13,40.16,27.09,37.28,19.46,1.17,49.52,Awash arba
2011-10-01,9.13,40.16,26.0,36.97,15.94,0.31,31.53,Awash arba
2011-11-01,9.13,40.16,24.49,34.07,15.07,0.63,44.72,Awash arba
2011-12-01,9.13,40.16,22.4,33.49,13.23,0.01,36.51,Awash arba
2012-01-01,9.13,40.16,23.54,35.0,15.12,0.01,36.25,Awash arba
2012-02-01,9.13,40.16,24.5,37.27,14.56,0.0,30.18,Awash arba
2012-03-01,9.13,40.16,26.64,38.37,16.07,0.2,27.1,Awash arba
2012-04-01,9.13,40.16,26.03,35.73,17.31,2.71,55.12,Awash arba
2012-05-01,9.13,40.16,28.16,37.85,19.91,0.78,43.26,Awash arba
2012-06-01,9.13,40.16,28.4,38.58,19.19,1.33,42.99,Awash arba
2012-07-01,9.13,40.16,25.49,33.93,17.59,5.06,60.77,Awash arba
2012-08-01,9.13,40.16,24.04,31.33,18.3,6.77,70.12,Awash arba
2012-09-01,9.13,40.16,24.14,32.55,17.62,3.03,66.75,Awash arba
2012-10-01,9.13,40.16,24.54,34.27,15.25,0.23,43.36,Awash arba
2012-11-01,9.13,40.16,25.25,34.65,16.13,0.09,34.56,Awash arba
2012-12-01,9.13,40.16,24.07,34.37,14.92,0.22,37.35,Awash arba
2013-01-01,9.13,40.16,24.11,37.19,15.08,0.4,41.49,Awash arba
2013-02-01,9.13,40.16,25.45,37.17,15.54,0.04,31.27,Awash arba
2013-03-01,9.13,40.16,27.24,38.03,18.14,1.58,45.17,Awash arba
2013-04-01,9.13,40.16,25.8,34.92,19.75,4.13,62.93,Awash arba
2013-05-01,9.13,40.16,27.19,37.0,19.76,1.32,53.7,Awash arba
2013-06-01,9.13,40.16,27.35,36.88,19.05,2.17,50.31,Awash arba
2013-07-01,9.13,40.16,24.57,34.25,17.95,7.08,64.85,Awash arba
2013-08-01,9.13,40.16,23.67,30.91,17.69,5.91,71.5,Awash arba
2013-09-01,9.13,40.16,24.89,34.04,17.67,2.81,63.36,Awash arba
2013-10-01,9.13,40.16,24.4,33.19,17.03,1.38,52.28,Awash arba
2013-11-01,9.13,40.16,22.73,32.2,14.26,2.26,57.26,Awash arba
