period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.23,42.6,21.74,33.14,11.34,0.05,39.86,Babile
2008-02-01,9.23,42.6,21.47,34.15,8.01,0.01,33.23,Babile
2008-03-01,9.23,42.6,23.29,35.73,11.26,0.11,22.21,Babile
2008-04-01,9.23,42.6,23.1,33.81,13.61,3.79,56.11,Babile
2008-05-01,9.23,42.6,21.92,33.37,15.07,2.82,69.88,Babile
2008-06-01,9.23,42.6,21.23,32.24,14.54,0.86,65.43,Babile
2008-07-01,9.23,42.6,20.15,29.82,13.47,3.81,69.16,Babile
2008-08-01,9.23,42.6,19.95,27.38,12.74,3.74,72.92,Babile
2008-09-01,9.23,42.6,22.08,30.95,13.99,1.42,63.41,Babile
2008-10-01,9.23,42.6,22.41,31.58,13.23,2.18,52.38,Babile
2008-11-01,9.23,42.6,19.67,30.31,9.2,2.17,55.03,Babile
2008-12-01,9.23,42.6,20.13,31.47,9.42,0.01,40.25,Babile
2009-01-01,9.23,42.6,21.33,31.59,10.18,0.3,43.71,Babile
2009-02-01,9.23,42.6,23.1,33.36,12.23,0.16,37.95,Babile
2009-03-01,9.23,42.6,24.67,35.88,13.55,0.71,38.76,Babile
2009-04-01,9.23,42.6,23.15,34.47,14.78,3.79,61.26,Babile
2009-05-01,9.23,42.6,24.04,34.96,15.1,0.97,56.68,Babile
2009-06-01,9.23,42.6,22.38,32.94,14.74,3.09,63.91,Babile
2009-07-01,9.23,42.6,20.56,29.2,13.74,1.92,65.32,Babile
2009-08-01,9.23,42.6,21.38,30.27,14.32,1.39,61.28,Babile
2009-09-01,9.23,42.6,23.29,33.77,15.42,1.28,54.2,Babile
2009-10-01,9.23,42.6,21.54,33.58,12.27,3.68,61.93,Babile
2009-11-01,9.23,42.6,21.18,31.21,10.47,0.17,42.12,Babile
2009-12-01,9.23,42.6,22.19,31.97,11.95,0.34,48.38,Babile
2010-01-01,9.23,42.6,21.65,33.51,8.21,0.0,38.24,Babile
2010-02-01,9.23,42.6,22.96,34.81,13.89,1.88,45.85,Babile
2010-03-01,9.23,42.6,22.81,32.35,11.23,2.33,55.7,Babile
2010-04-01,9.23,42.6,22.38,32.17,14.08,6.81,70.23,Babile
2010-05-01,9.23,42.6,21.64,29.66,16.08,5.55,80.47,Babile
2010-06-01,9.23,42.6,20.17,28.9,13.69,4.05,80.3,Babile
2010-07-01,9.23,42.6,18.92,26.15,13.46,3.99,79.39,Babile
2010-08-01,9.23,42.6,19.08,26.61,13.07,3.98,78.11,Babile
2010-09-01,9.23,42.6,20.19,27.93,13.11,3.39,72.85,Babile
2010-10-01,9.23,42.6,21.78,31.19,12.14,0.4,52.27,Babile
2010-11-01,9.23,42.6,20.86,31.05,10.21,0.68,46.58,Babile
2010-12-01,9.23,42.6,20.09,30.94,9.03,0.07,37.82,Babile
2011-01-01,9.23,42.6,21.34,32.42,9.82,0.01,38.74,Babile
2011-02-01,9.23,42.6,22.71,34.45,11.46,0.03,35.04,Babile
2011-03-01,9.23,42.6,23.6,35.15,13.01,0.57,33.07,Babile
2011-04-01,9.23,42.6,24.17,34.36,13.57,4.13,51.41,Babile
2011-05-01,9.23,42.6,22.22,33.16,15.8,4.44,71.95,Babile
2011-06-01,9.23,42.6,21.24,29.29,14.32,1.02,71.54,Babile
2011-07-01,9.23,42.6,21.05,31.53,14.85,1.82,67.61,Babile
2011-08-01,9.23,42.6,21.46,30.79,14.74,0.84,61.47,Babile
