period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.6,37.38,19.21,28.87,8.68,0.23,51.57,Baher Dar
2008-02-01,11.6,37.38,20.59,30.19,9.79,0.0,38.1,Baher Dar
2008-03-01,11.6,37.38,22.45,32.3,10.63,0.07,27.78,Baher Dar
2008-04-01,11.6,37.38,21.42,31.9,11.42,2.17,48.09,Baher Dar
2008-05-01,11.6,37.38,21.06,30.18,13.02,4.9,59.28,Baher Dar
2008-06-01,11.6,37.38,19.05,28.16,13.74,6.54,73.17,Baher Dar
2008-07-01,11.6,37.38,17.18,24.58,11.79,12.48,84.24,Baher Dar
2008-08-01,11.6,37.38,17.19,22.93,13.09,14.69,84.39,Baher Dar
2008-09-01,11.6,37.38,17.98,24.19,12.05,5.94,77.25,Baher Dar
2008-10-01,11.6,37.38,17.49,23.56,9.41,2.28,70.41,Baher Dar
2008-11-01,11.6,37.38,16.72,24.39,6.38,1.68,61.9,Baher Dar
2008-12-01,11.6,37.38,17.63,25.75,8.57,0.08,55.66,Baher Dar
2009-01-01,11.6,37.38,18.33,27.44,8.51,0.48,49.12,Baher Dar
2009-02-01,11.6,37.38,21.27,30.63,10.93,0.42,45.18,Baher Dar
2009-03-01,11.6,37.38,22.56,32.36,14.26,0.77,43.08,Baher Dar
2009-04-01,11.6,37.38,22.6,32.57,13.46,1.64,43.73,Baher Dar
2009-05-01,11.6,37.38,23.25,32.39,14.15,0.82,40.12,Baher Dar
2009-06-01,11.6,37.38,20.87,31.22,13.88,5.41,65.9,Baher Dar
2009-07-01,11.6,37.38,17.03,23.91,12.38,14.64,84.58,Baher Dar
2009-08-01,11.6,37.38,17.73,23.78,12.41,11.57,84.33,Baher Dar
2009-09-01,11.6,37.38,18.45,24.13,12.48,5.11,72.23,Baher Dar
2009-10-01,11.6,37.38,17.49,24.2,8.61,3.67,67.27,Baher Dar
2009-11-01,11.6,37.38,17.15,24.71,6.8,0.33,59.1,Baher Dar
2009-12-01,11.6,37.38,17.83,26.18,9.78,0.42,59.39,Baher Dar
2010-01-01,11.6,37.38,19.08,29.3,8.94,0.05,50.47,Baher Dar
