period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.18,40.02,20.08,29.43,11.4,0.37,47.56,Bati
2008-02-01,11.18,40.02,19.83,30.37,9.85,0.09,43.01,Bati
2008-03-01,11.18,40.02,22.31,33.9,10.65,0.0,22.35,Bati
2008-04-01,11.18,40.02,23.45,34.52,13.27,1.33,45.4,Bati
2008-05-01,11.18,40.02,25.74,35.5,17.2,1.06,41.91,Bati
2008-06-01,11.18,40.02,26.87,35.49,18.48,0.64,36.1,Bati
2008-07-01,11.18,40.02,25.1,35.89,18.07,5.84,52.79,Bati
2008-08-01,11.18,40.02,23.07,29.83,17.02,6.75,64.53,Bati
2008-09-01,11.18,40.02,22.79,29.95,15.91,2.96,62.17,Bati
2008-10-01,11.18,40.02,22.03,30.02,14.19,0.35,51.64,Bati
2008-11-01,11.18,40.02,19.04,27.76,9.33,1.65,57.07,Bati
2008-12-01,11.18,40.02,18.81,27.85,10.03,0.1,45.72,Bati
2009-01-01,11.18,40.02,19.69,29.64,11.16,0.6,50.59,Bati
2009-02-01,11.18,40.02,21.67,32.81,12.93,0.21,44.25,Bati
2009-03-01,11.18,40.02,23.18,35.02,14.79,0.84,46.69,Bati
2009-04-01,11.18,40.02,23.76,34.39,15.51,1.41,52.76,Bati
2009-05-01,11.18,40.02,26.36,35.44,17.25,0.11,31.58,Bati
2009-06-01,11.18,40.02,27.41,36.05,19.83,1.49,36.08,Bati
2009-07-01,11.18,40.02,23.64,33.02,15.76,9.16,62.17,Bati
2009-08-01,11.18,40.02,23.1,30.28,16.93,6.08,66.54,Bati
2009-09-01,11.18,40.02,23.33,30.54,15.9,1.97,57.43,Bati
2009-10-01,11.18,40.02,21.16,31.32,11.33,2.55,57.21,Bati
2009-11-01,11.18,40.02,20.47,29.44,11.12,0.08,44.16,Bati
2009-12-01,11.18,40.02,20.25,30.82,13.28,0.81,59.97,Bati
2010-01-01,11.18,40.02,19.66,29.34,10.75,0.01,49.23,Bati
2010-02-01,11.18,40.02,20.69,31.97,12.89,1.91,61.42,Bati
2010-03-01,11.18,40.02,21.43,30.79,11.44,2.13,60.33,Bati
2010-04-01,11.18,40.02,24.3,33.35,16.34,2.03,57.47,Bati
2010-05-01,11.18,40.02,25.32,34.31,19.18,1.98,54.55,Bati
2010-06-01,11.18,40.02,27.03,35.96,19.19,2.06,39.78,Bati
2010-07-01,11.18,40.02,23.46,33.72,17.09,9.02,62.86,Bati
2010-08-01,11.18,40.02,22.17,28.87,17.26,10.16,73.21,Bati
2010-09-01,11.18,40.02,22.01,28.47,15.53,2.92,69.01,Bati
2010-10-01,11.18,40.02,22.09,29.13,13.27,0.44,52.68,Bati
2010-11-01,11.18,40.02,19.84,29.65,10.86,0.58,49.51,Bati
2010-12-01,11.18,40.02,19.02,28.33,9.9,0.16,44.23,Bati
2011-01-01,11.18,40.02,19.69,30.54,11.29,0.23,54.36,Bati
2011-02-01,11.18,40.02,21.27,31.56,10.96,0.11,43.1,Bati
2011-03-01,11.18,40.02,21.06,32.55,12.95,1.66,47.74,Bati
2011-04-01,11.18,40.02,24.42,33.58,13.5,0.91,47.93,Bati
2011-05-01,11.18,40.02,24.87,34.12,17.27,2.19,50.12,Bati
2011-06-01,11.18,40.02,26.71,35.32,19.11,0.82,38.94,Bati
2011-07-01,11.18,40.02,24.97,33.63,18.34,4.19,55.6,Bati
2011-08-01,11.18,40.02,23.96,33.37,18.43,3.61,60.41,Bati
