period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.9,40.78,20.97,31.35,11.76,0.33,38.36,Bedessa
2008-02-01,8.9,40.78,20.66,32.23,9.1,0.01,36.06,Bedessa
2008-03-01,8.9,40.78,23.11,34.54,10.72,0.05,20.45,Bedessa
2008-04-01,8.9,40.78,22.52,33.55,13.45,3.4,58.27,Bedessa
2008-05-01,8.9,40.78,23.18,32.3,15.83,2.23,60.51,Bedessa
2008-06-01,8.9,40.78,23.68,34.71,16.0,1.18,52.89,Bedessa
2008-07-01,8.9,40.78,21.83,33.35,14.94,7.88,64.97,Bedessa
2008-08-01,8.9,40.78,20.06,26.7,13.89,8.29,77.44,Bedessa
2008-09-01,8.9,40.78,20.9,28.22,14.54,2.45,71.62,Bedessa
2008-10-01,8.9,40.78,21.07,29.99,13.5,2.26,58.76,Bedessa
2008-11-01,8.9,40.78,18.13,27.5,9.18,2.98,63.15,Bedessa
2008-12-01,8.9,40.78,18.62,28.7,8.66,0.03,47.63,Bedessa
2009-01-01,8.9,40.78,20.22,30.45,10.79,0.88,48.34,Bedessa
2009-02-01,8.9,40.78,22.1,33.05,12.51,0.68,42.53,Bedessa
2009-03-01,8.9,40.78,23.97,35.21,13.77,1.15,41.67,Bedessa
2009-04-01,8.9,40.78,22.97,33.51,14.91,2.81,62.07,Bedessa
2009-05-01,8.9,40.78,24.87,34.66,16.55,0.63,48.18,Bedessa
2009-06-01,8.9,40.78,24.48,34.83,15.95,2.73,52.4,Bedessa
2009-07-01,8.9,40.78,21.49,29.76,14.76,5.82,65.87,Bedessa
2009-08-01,8.9,40.78,21.33,29.4,14.58,4.14,67.97,Bedessa
2009-09-01,8.9,40.78,22.31,30.74,14.22,2.92,63.61,Bedessa
2009-10-01,8.9,40.78,20.36,31.21,11.89,3.48,65.61,Bedessa
2009-11-01,8.9,40.78,20.36,30.01,10.14,0.31,46.38,Bedessa
2009-12-01,8.9,40.78,20.91,30.01,12.99,1.1,57.07,Bedessa
2010-01-01,8.9,40.78,20.57,31.97,9.63,0.0,43.13,Bedessa
2010-02-01,8.9,40.78,21.64,33.66,13.99,3.03,57.49,Bedessa
2010-03-01,8.9,40.78,21.13,30.1,11.08,3.64,66.04,Bedessa
2010-04-01,8.9,40.78,22.32,30.55,14.87,4.4,69.02,Bedessa
2010-05-01,8.9,40.78,22.87,31.56,16.46,3.32,69.56,Bedessa
2010-06-01,8.9,40.78,23.24,32.16,16.24,2.51,61.18,Bedessa
2010-07-01,8.9,40.78,21.1,30.79,15.35,8.02,70.89,Bedessa
2010-08-01,8.9,40.78,20.0,27.03,14.48,9.96,79.24,Bedessa
2010-09-01,8.9,40.78,19.9,27.01,14.06,8.86,78.43,Bedessa
2010-10-01,8.9,40.78,20.49,27.99,11.89,0.57,59.9,Bedessa
2010-11-01,8.9,40.78,19.49,29.28,10.12,0.67,53.18,Bedessa
2010-12-01,8.9,40.78,19.24,29.91,8.39,0.11,42.37,Bedessa
2011-01-01,8.9,40.78,20.78,32.19,10.86,0.06,41.06,Bedessa
2011-02-01,8.9,40.78,22.13,33.53,11.21,0.05,35.34,Bedessa
2011-03-01,8.9,40.78,22.27,33.37,12.98,1.56,40.26,Bedessa
2011-04-01,8.9,40.78,23.6,33.69,14.26,3.05,55.0,Bedessa
2011-05-01,8.9,40.78,23.25,33.81,16.51,3.36,63.3,Bedessa
2011-06-01,8.9,40.78,23.36,32.52,16.08,0.83,59.62,Bedessa
2011-07-01,8.9,40.78,22.32,31.44,15.86,3.21,62.87,Bedessa
2011-08-01,8.9,40.78,22.55,31.56,16.17,2.57,62.17,Bedessa
2011-09-01,8.9,40.78,22.84,31.51,15.62,1.43,58.99,Bedessa
2011-10-01,8.9,40.78,22.43,33.51,12.56,0.53,41.46,Bedessa
2011-11-01,8.9,40.78,21.2,30.68,11.59,1.01,53.68,Bedessa
2011-12-01,8.9,40.78,19.52,30.73,8.81,0.01,40.98,Bedessa
2012-01-01,8.9,40.78,20.79,31.69,11.08,0.01,39.32,Bedessa
2012-02-01,8.9,40.78,21.73,33.53,11.03,0.0,33.74,Bedessa
2012-03-01,8.9,40.78,23.7,34.61,12.78,0.1,29.77,Bedessa
2012-04-01,8.9,40.78,22.44,32.56,14.71,3.3,62.98,Bedessa
2012-05-01,8.9,40.78,23.87,33.87,16.16,1.82,58.12,Bedessa
2012-06-01,8.9,40.78,24.18,34.64,15.85,1.19,53.23,Bedessa
2012-07-01,8.9,40.78,21.59,30.09,14.71,5.56,68.12,Bedessa
2012-08-01,8.9,40.78,20.49,27.55,14.74,8.7,76.68,Bedessa
2012-09-01,8.9,40.78,20.34,26.9,15.01,4.09,76.23,Bedessa
2012-10-01,8.9,40.78,20.58,29.35,12.6,0.29,57.83,Bedessa
2012-11-01,8.9,40.78,21.62,31.02,12.98,0.29,47.81,Bedessa
2012-12-01,8.9,40.78,21.11,30.83,11.5,0.12,43.25,Bedessa
2013-01-01,8.9,40.78,21.18,33.89,11.89,0.54,46.74,Bedessa
2013-02-01,8.9,40.78,22.81,34.03,13.01,0.01,32.75,Bedessa
2013-03-01,8.9,40.78,23.36,34.33,15.53,2.11,52.81,Bedessa
2013-04-01,8.9,40.78,22.08,30.5,16.06,5.19,72.84,Bedessa
2013-05-01,8.9,40.78,22.69,31.13,16.41,1.64,66.93,Bedessa
2013-06-01,8.9,40.78,23.24,32.43,15.86,1.27,58.71,Bedessa
2013-07-01,8.9,40.78,20.68,30.23,14.96,10.36,73.94,Bedessa
2013-08-01,8.9,40.78,19.87,26.35,14.51,7.71,79.15,Bedessa
2013-09-01,8.9,40.78,20.62,27.68,14.7,3.8,73.61,Bedessa
2013-10-01,8.9,40.78,20.21,28.05,13.85,2.33,64.57,Bedessa
2013-11-01,8.9,40.78,19.23,26.79,11.73,3.76,67.92,Bedessa
2013-12-01,8.9,40.78,18.35,28.32,8.82,0.06,49.39,Bedessa
2014-01-01,8.9,40.78,20.44,31.52,10.17,0.01,45.11,Bedessa
2014-02-01,8.9,40.78,22.44,32.99,13.59,0.41,50.03,Bedessa
2014-03-01,8.9,40.78,23.03,33.96,14.79,2.08,53.49,Bedessa
2014-04-01,8.9,40.78,22.47,32.44,15.35,2.96,65.01,Bedessa
2014-05-01,8.9,40.78,22.98,32.19,16.46,2.87,66.29,Bedessa
2014-06-01,8.9,40.78,23.96,33.67,15.11,0.88,52.76,Bedessa
2014-07-01,8.9,40.78,22.44,33.21,15.35,5.32,62.46,Bedessa
2014-08-01,8.9,40.78,21.18,29.19,15.11,4.61,71.49,Bedessa
2014-09-01,8.9,40.78,20.57,27.21,14.72,6.27,74.45,Bedessa
2014-10-01,8.9,40.78,19.85,28.21,12.63,3.3,67.7,Bedessa
2014-11-01,8.9,40.78,20.16,29.19,13.04,0.52,58.63,Bedessa
2014-12-01,8.9,40.78,19.16,28.94,10.36,0.26,44.55,Bedessa
2015-01-01,8.9,40.78,19.22,31.52,10.21,0.12,43.69,Bedessa
2015-02-01,8.9,40.78,22.85,33.3,11.96,0.02,32.98,Bedessa
2015-03-01,8.9,40.78,23.81,34.57,14.09,0.81,39.45,Bedessa
2015-04-01,8.9,40.78,23.81,34.09,14.23,0.65,45.39,Bedessa
2015-05-01,8.9,40.78,22.9,33.25,15.56,5.1,66.53,Bedessa
2015-06-01,8.9,40.78,22.7,31.68,15.71,3.12,64.39,Bedessa
2015-07-01,8.9,40.78,23.32,32.87,15.62,1.31,57.93,Bedessa
2015-08-01,8.9,40.78,22.12,30.68,15.26,4.96,64.92,Bedessa
2015-09-01,8.9,40.78,23.35,31.2,15.83,1.37,57.01,Bedessa
2015-10-01,8.9,40.78,23.32,33.3,16.02,0.6,51.37,Bedessa
2015-11-01,8.9,40.78,21.15,31.59,11.52,1.57,55.27,Bedessa
2015-12-01,8.9,40.78,20.39,31.27,11.95,0.6,53.2,Bedessa
2016-01-01,8.9,40.78,21.12,31.64,11.78,0.81,54.83,Bedessa
2016-02-01,8.9,40.78,21.69,33.17,10.58,0.71,42.44,Bedessa
2016-03-01,8.9,40.78,25.37,35.45,15.69,1.26,48.05,Bedessa
2016-04-01,8.9,40.78,22.28,32.64,16.56,7.94,72.5,Bedessa
2016-05-01,8.9,40.78,21.14,28.57,14.82,6.62,77.24,Bedessa
2016-06-01,8.9,40.78,22.18,30.79,15.68,0.94,64.73,Bedessa
2016-07-01,8.9,40.78,21.85,31.5,15.02,5.67,68.06,Bedessa
2016-08-01,8.9,40.78,20.41,27.84,13.54,6.38,73.48,Bedessa
2016-09-01,8.9,40.78,21.13,29.35,14.24,2.64,66.46,Bedessa
2016-10-01,8.9,40.78,21.39,30.32,13.1,0.75,56.91,Bedessa
2016-11-01,8.9,40.78,20.68,30.88,9.47,0.96,45.75,Bedessa
2016-12-01,8.9,40.78,19.23,29.51,9.79,0.56,47.6,Bedessa
2017-01-01,8.9,40.78,19.49,31.59,8.91,0.0,27.18,Bedessa
2017-02-01,8.9,40.78,21.76,32.55,11.21,1.46,51.58,Bedessa
2017-03-01,8.9,40.78,23.69,35.49,14.69,4.01,44.12,Bedessa
2017-04-01,8.9,40.78,23.26,32.41,15.56,1.39,58.1,Bedessa
2017-05-01,8.9,40.78,22.08,30.22,15.12,5.46,71.63,Bedessa
2017-06-01,8.9,40.78,23.58,32.31,16.38,0.97,58.31,Bedessa
2017-07-01,8.9,40.78,22.32,31.54,15.85,4.3,64.93,Bedessa
2017-08-01,8.9,40.78,21.65,30.29,15.32,5.35,69.11,Bedessa
2017-09-01,8.9,40.78,21.01,28.47,15.59,7.28,74.8,Bedessa
2017-10-01,8.9,40.78,21.06,29.76,14.16,0.75,63.95,Bedessa
2017-11-01,8.9,40.78,20.19,29.78,11.41,0.31,50.05,Bedessa
2017-12-01,8.9,40.78,18.24,31.06,8.27,0.02,38.09,Bedessa
2018-01-01,8.9,40.78,19.36,31.06,7.85,0.01,38.92,Bedessa
