period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.0,39.0,18.5,28.4,8.29,0.17,44.19,Bichena
2008-02-01,10.0,39.0,19.47,29.55,8.05,0.06,38.26,Bichena
2008-03-01,10.0,39.0,21.04,31.85,8.36,0.02,25.03,Bichena
2008-04-01,10.0,39.0,20.9,31.4,11.98,1.44,45.59,Bichena
2008-05-01,10.0,39.0,22.56,31.6,14.78,1.19,46.11,Bichena
2008-06-01,10.0,39.0,21.18,31.13,13.97,1.92,56.53,Bichena
2008-07-01,10.0,39.0,18.2,28.86,11.82,10.49,73.81,Bichena
2008-08-01,10.0,39.0,17.96,23.55,12.99,10.63,76.68,Bichena
2008-09-01,10.0,39.0,18.65,23.78,12.82,4.16,69.73,Bichena
2008-10-01,10.0,39.0,17.93,24.89,9.9,0.52,62.86,Bichena
2008-11-01,10.0,39.0,16.39,25.17,7.01,1.6,60.4,Bichena
2008-12-01,10.0,39.0,17.31,27.25,8.27,0.08,49.44,Bichena
2009-01-01,10.0,39.0,18.56,28.25,8.23,0.91,48.41,Bichena
2009-02-01,10.0,39.0,20.3,30.28,11.14,0.17,43.35,Bichena
2009-03-01,10.0,39.0,22.29,32.25,13.04,0.75,41.79,Bichena
2009-04-01,10.0,39.0,22.48,31.68,13.69,0.85,45.57,Bichena
2009-05-01,10.0,39.0,23.33,32.11,15.37,0.37,36.21,Bichena
2009-06-01,10.0,39.0,22.68,32.69,15.08,2.04,47.67,Bichena
2009-07-01,10.0,39.0,17.63,24.86,12.88,9.07,76.94,Bichena
2009-08-01,10.0,39.0,18.34,24.48,12.63,9.27,76.12,Bichena
2009-09-01,10.0,39.0,19.23,24.6,13.85,3.47,64.75,Bichena
2009-10-01,10.0,39.0,17.63,24.63,9.41,2.49,63.44,Bichena
2009-11-01,10.0,39.0,17.34,26.4,7.62,0.07,51.29,Bichena
2009-12-01,10.0,39.0,18.67,26.88,11.47,1.0,59.66,Bichena
2010-01-01,10.0,39.0,19.57,29.46,9.95,0.06,46.69,Bichena
2010-02-01,10.0,39.0,20.73,30.66,13.19,1.77,54.11,Bichena
2010-03-01,10.0,39.0,20.8,30.69,9.66,1.81,51.67,Bichena
2010-04-01,10.0,39.0,21.9,30.31,14.69,2.71,56.71,Bichena
2010-05-01,10.0,39.0,21.87,30.31,15.88,2.95,58.8,Bichena
2010-06-01,10.0,39.0,20.98,30.42,13.83,4.2,61.12,Bichena
2010-07-01,10.0,39.0,17.84,25.86,12.12,11.9,78.58,Bichena
2010-08-01,10.0,39.0,17.08,23.14,12.25,12.81,84.31,Bichena
2010-09-01,10.0,39.0,18.59,23.87,12.94,5.4,73.66,Bichena
2010-10-01,10.0,39.0,17.68,23.88,10.23,0.31,63.86,Bichena
2010-11-01,10.0,39.0,16.74,24.83,8.43,0.71,56.69,Bichena
2010-12-01,10.0,39.0,17.39,25.75,7.49,0.25,53.07,Bichena
2011-01-01,10.0,39.0,19.18,28.44,10.34,0.18,49.4,Bichena
2011-02-01,10.0,39.0,19.92,30.28,8.84,0.21,38.26,Bichena
2011-03-01,10.0,39.0,20.08,30.37,11.27,1.71,46.36,Bichena
2011-04-01,10.0,39.0,21.69,31.36,12.03,1.29,48.4,Bichena
2011-05-01,10.0,39.0,22.09,32.19,14.7,2.55,51.29,Bichena
2011-06-01,10.0,39.0,21.03,29.37,13.91,3.31,59.85,Bichena
2011-07-01,10.0,39.0,18.2,27.19,12.65,5.59,74.11,Bichena
2011-08-01,10.0,39.0,17.76,24.74,11.03,5.95,77.62,Bichena
2011-09-01,10.0,39.0,18.84,25.76,13.52,1.74,68.54,Bichena
2011-10-01,10.0,39.0,18.75,27.74,9.77,0.08,49.37,Bichena
2011-11-01,10.0,39.0,19.65,28.03,10.4,0.56,52.51,Bichena
2011-12-01,10.0,39.0,18.05,28.31,7.54,0.01,42.43,Bichena
2012-01-01,10.0,39.0,19.08,28.89,8.42,0.01,41.81,Bichena
2012-02-01,10.0,39.0,19.48,30.34,8.95,0.0,34.54,Bichena
2012-03-01,10.0,39.0,21.44,31.75,10.4,0.55,35.59,Bichena
2012-04-01,10.0,39.0,21.82,30.35,14.02,2.08,51.62,Bichena
2012-05-01,10.0,39.0,22.9,31.75,15.43,0.46,41.57,Bichena
2012-06-01,10.0,39.0,21.96,31.89,14.08,2.42,50.05,Bichena
2012-07-01,10.0,39.0,17.76,24.56,11.78,12.04,78.51,Bichena
