period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.45,38.2,16.34,25.66,7.9,0.31,47.31,Bitchena
2008-02-01,10.45,38.2,17.59,28.15,6.41,0.0,38.12,Bitchena
2008-03-01,10.45,38.2,19.52,30.92,7.72,0.01,23.95,Bitchena
2008-04-01,10.45,38.2,18.32,28.49,9.07,2.28,50.91,Bitchena
2008-05-01,10.45,38.2,19.2,28.1,11.69,2.92,56.81,Bitchena
2008-06-01,10.45,38.2,18.22,27.38,11.79,2.02,64.19,Bitchena
2008-07-01,10.45,38.2,16.01,25.76,8.87,10.34,77.14,Bitchena
2008-08-01,10.45,38.2,15.56,20.83,10.44,13.04,79.65,Bitchena
2008-09-01,10.45,38.2,15.84,21.21,9.32,5.22,75.6,Bitchena
2008-10-01,10.45,38.2,15.18,21.13,7.5,1.38,69.12,Bitchena
2008-11-01,10.45,38.2,13.96,21.32,4.41,1.97,64.75,Bitchena
2008-12-01,10.45,38.2,14.89,23.21,5.78,0.15,56.21,Bitchena
2009-01-01,10.45,38.2,16.22,25.26,7.42,0.81,51.75,Bitchena
2009-02-01,10.45,38.2,17.91,28.17,9.44,0.3,49.91,Bitchena
2009-03-01,10.45,38.2,20.04,29.53,11.17,1.15,45.42,Bitchena
2009-04-01,10.45,38.2,19.75,29.61,9.21,1.1,49.36,Bitchena
2009-05-01,10.45,38.2,20.88,29.73,12.11,0.41,38.32,Bitchena
2009-06-01,10.45,38.2,19.75,29.63,11.75,2.89,55.3,Bitchena
2009-07-01,10.45,38.2,15.48,22.33,11.11,11.72,80.09,Bitchena
2009-08-01,10.45,38.2,16.07,21.97,10.88,12.21,79.7,Bitchena
2009-09-01,10.45,38.2,16.56,21.83,10.79,5.44,70.18,Bitchena
2009-10-01,10.45,38.2,14.93,21.64,7.06,4.86,69.02,Bitchena
2009-11-01,10.45,38.2,14.47,21.48,5.67,0.18,57.86,Bitchena
2009-12-01,10.45,38.2,15.49,23.01,8.87,1.03,67.95,Bitchena
2010-01-01,10.45,38.2,16.62,26.1,7.03,0.01,55.09,Bitchena
2010-02-01,10.45,38.2,18.58,28.06,10.3,0.75,53.39,Bitchena
2010-03-01,10.45,38.2,18.48,29.96,9.59,2.16,52.67,Bitchena
2010-04-01,10.45,38.2,19.26,27.6,12.31,3.65,62.73,Bitchena
2010-05-01,10.45,38.2,18.96,26.69,12.29,4.81,65.48,Bitchena
2010-06-01,10.45,38.2,17.89,25.97,11.3,3.75,69.13,Bitchena
2010-07-01,10.45,38.2,15.74,23.19,10.62,13.16,81.38,Bitchena
2010-08-01,10.45,38.2,15.17,20.88,10.28,16.7,85.45,Bitchena
2010-09-01,10.45,38.2,15.88,21.21,10.99,7.8,79.18,Bitchena
2010-10-01,10.45,38.2,14.96,21.16,8.31,0.87,69.46,Bitchena
2010-11-01,10.45,38.2,14.36,21.48,6.11,0.71,60.86,Bitchena
2010-12-01,10.45,38.2,14.76,23.12,6.18,0.2,61.53,Bitchena
2011-01-01,10.45,38.2,16.4,25.66,9.08,0.32,58.95,Bitchena
2011-02-01,10.45,38.2,17.97,27.91,7.94,0.13,36.34,Bitchena
2011-03-01,10.45,38.2,17.38,27.57,8.73,2.03,52.9,Bitchena
2011-04-01,10.45,38.2,19.52,29.02,11.59,1.03,50.12,Bitchena
2011-05-01,10.45,38.2,19.16,29.4,11.38,4.3,59.27,Bitchena
2011-06-01,10.45,38.2,17.97,25.7,11.46,2.45,67.95,Bitchena
2011-07-01,10.45,38.2,15.84,23.66,9.63,6.0,78.19,Bitchena
2011-08-01,10.45,38.2,15.56,21.99,8.21,7.49,80.53,Bitchena
2011-09-01,10.45,38.2,15.97,22.07,9.38,1.86,76.19,Bitchena
2011-10-01,10.45,38.2,15.76,24.16,7.4,0.29,58.07,Bitchena
2011-11-01,10.45,38.2,16.26,24.91,8.12,1.3,63.22,Bitchena
2011-12-01,10.45,38.2,15.85,25.74,5.37,0.0,45.34,Bitchena
2012-01-01,10.45,38.2,17.17,26.91,6.38,0.01,41.99,Bitchena
2012-02-01,10.45,38.2,17.35,28.79,7.21,0.0,32.22,Bitchena
2012-03-01,10.45,38.2,19.07,29.72,9.33,0.84,38.49,Bitchena
2012-04-01,10.45,38.2,19.57,29.04,10.35,1.54,52.04,Bitchena
2012-05-01,10.45,38.2,20.23,29.66,11.98,0.96,47.43,Bitchena
2012-06-01,10.45,38.2,19.33,29.38,11.98,1.7,54.33,Bitchena
