period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.7,37.07,20.79,30.38,9.82,0.18,48.27,Bure
2008-02-01,10.7,37.07,22.67,32.69,11.52,0.02,31.73,Bure
2008-03-01,10.7,37.07,24.9,35.55,13.26,0.08,22.03,Bure
2008-04-01,10.7,37.07,22.97,33.7,12.99,2.83,51.19,Bure
2008-05-01,10.7,37.07,21.51,32.74,13.95,6.89,65.94,Bure
2008-06-01,10.7,37.07,19.29,27.68,14.33,8.65,81.14,Bure
2008-07-01,10.7,37.07,17.92,24.22,12.68,14.08,87.44,Bure
2008-08-01,10.7,37.07,18.21,24.43,14.17,15.14,87.52,Bure
2008-09-01,10.7,37.07,19.02,26.13,13.11,6.04,82.06,Bure
2008-10-01,10.7,37.07,18.86,25.19,10.65,3.05,75.52,Bure
2008-11-01,10.7,37.07,17.66,25.09,6.88,1.63,68.45,Bure
2008-12-01,10.7,37.07,18.54,26.15,9.52,0.13,61.03,Bure
2009-01-01,10.7,37.07,19.91,29.94,9.52,0.29,50.03,Bure
2009-02-01,10.7,37.07,22.98,32.95,11.98,0.46,43.95,Bure
2009-03-01,10.7,37.07,24.35,35.03,15.12,0.98,41.5,Bure
2009-04-01,10.7,37.07,24.15,35.96,13.97,2.46,44.51,Bure
2009-05-01,10.7,37.07,24.89,35.45,15.52,1.23,40.37,Bure
2009-06-01,10.7,37.07,21.12,31.12,14.96,6.43,71.31,Bure
2009-07-01,10.7,37.07,17.97,23.81,13.79,12.04,86.7,Bure
2009-08-01,10.7,37.07,18.6,24.86,12.59,11.02,86.97,Bure
2009-09-01,10.7,37.07,19.65,26.74,12.57,8.31,77.51,Bure
2009-10-01,10.7,37.07,18.83,25.85,9.63,4.58,73.1,Bure
2009-11-01,10.7,37.07,18.06,25.59,7.11,0.28,64.37,Bure
2009-12-01,10.7,37.07,19.18,26.72,10.77,0.46,61.42,Bure
2010-01-01,10.7,37.07,20.87,30.08,9.92,0.06,48.24,Bure
2010-02-01,10.7,37.07,23.02,33.08,12.3,0.3,37.3,Bure
2010-03-01,10.7,37.07,23.75,35.11,13.74,0.66,35.87,Bure
2010-04-01,10.7,37.07,24.35,34.32,15.46,2.15,48.6,Bure
2010-05-01,10.7,37.07,21.9,30.19,15.57,7.23,68.62,Bure
2010-06-01,10.7,37.07,19.96,27.09,14.94,10.68,80.17,Bure
2010-07-01,10.7,37.07,17.92,25.25,14.16,14.28,88.5,Bure
2010-08-01,10.7,37.07,17.95,24.69,14.45,14.73,89.75,Bure
2010-09-01,10.7,37.07,18.84,25.32,12.88,10.78,85.51,Bure
2010-10-01,10.7,37.07,19.36,25.83,11.55,1.61,71.73,Bure
2010-11-01,10.7,37.07,18.24,24.69,8.45,0.89,67.73,Bure
2010-12-01,10.7,37.07,18.52,26.67,9.77,0.12,61.07,Bure
2011-01-01,10.7,37.07,20.1,29.57,11.67,0.34,54.64,Bure
2011-02-01,10.7,37.07,22.59,33.43,11.68,0.05,30.6,Bure
2011-03-01,10.7,37.07,23.19,33.64,13.42,1.01,39.51,Bure
2011-04-01,10.7,37.07,24.92,34.86,15.46,1.27,40.08,Bure
2011-05-01,10.7,37.07,22.32,33.68,14.94,6.37,61.45,Bure
2011-06-01,10.7,37.07,19.71,27.34,15.1,8.87,80.26,Bure
2011-07-01,10.7,37.07,18.21,25.66,12.85,8.45,85.4,Bure
2011-08-01,10.7,37.07,18.1,24.46,12.45,7.3,87.28,Bure
2011-09-01,10.7,37.07,18.67,26.07,11.76,5.63,83.62,Bure
2011-10-01,10.7,37.07,18.98,25.93,9.4,0.8,69.16,Bure
2011-11-01,10.7,37.07,18.34,26.03,9.96,1.63,70.37,Bure
2011-12-01,10.7,37.07,19.27,29.3,8.25,0.01,51.65,Bure
2012-01-01,10.7,37.07,21.23,31.78,9.07,0.01,40.2,Bure
2012-02-01,10.7,37.07,23.09,33.84,10.79,0.0,22.94,Bure
2012-03-01,10.7,37.07,24.61,35.05,14.37,0.48,31.63,Bure
2012-04-01,10.7,37.07,24.62,35.57,14.78,0.58,28.91,Bure
2012-05-01,10.7,37.07,23.73,35.35,16.1,3.13,53.26,Bure
2012-06-01,10.7,37.07,20.47,31.34,13.89,5.18,71.66,Bure
2012-07-01,10.7,37.07,17.73,23.97,13.27,13.92,87.98,Bure
2012-08-01,10.7,37.07,17.96,23.97,13.73,13.41,89.22,Bure
2012-09-01,10.7,37.07,18.55,24.61,13.55,9.6,86.86,Bure
2012-10-01,10.7,37.07,18.89,26.28,8.3,1.45,70.27,Bure
2012-11-01,10.7,37.07,18.69,25.92,10.85,1.65,72.71,Bure
2012-12-01,10.7,37.07,18.58,26.35,8.91,0.42,62.92,Bure
2013-01-01,10.7,37.07,20.83,31.22,10.62,0.09,50.12,Bure
2013-02-01,10.7,37.07,23.24,34.28,13.49,0.09,32.78,Bure
2013-03-01,10.7,37.07,24.57,34.53,14.5,0.49,32.56,Bure
2013-04-01,10.7,37.07,24.52,36.13,13.81,1.01,32.45,Bure
2013-05-01,10.7,37.07,21.55,32.83,15.55,8.58,67.85,Bure
2013-06-01,10.7,37.07,19.31,27.44,14.12,8.51,80.5,Bure
2013-07-01,10.7,37.07,17.35,23.86,12.95,19.11,89.3,Bure
2013-08-01,10.7,37.07,17.47,23.33,13.82,12.13,90.27,Bure
2013-09-01,10.7,37.07,18.86,25.84,14.05,6.86,84.21,Bure
2013-10-01,10.7,37.07,18.7,25.1,11.1,5.33,77.0,Bure
