period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.34,41.88,27.47,37.93,17.31,0.1,34.3,Charati
2008-02-01,5.34,41.88,27.57,37.78,17.03,0.0,27.95,Charati
2008-03-01,5.34,41.88,29.31,39.52,18.87,0.07,28.16,Charati
2008-04-01,5.34,41.88,27.4,38.37,20.36,6.76,63.26,Charati
2008-05-01,5.34,41.88,26.89,34.92,19.36,0.47,64.52,Charati
2008-06-01,5.34,41.88,27.01,35.16,20.24,0.2,53.44,Charati
2008-07-01,5.34,41.88,26.82,34.68,20.47,0.41,50.32,Charati
2008-08-01,5.34,41.88,28.01,35.49,20.97,0.61,46.47,Charati
2008-09-01,5.34,41.88,29.28,38.32,21.81,0.65,43.29,Charati
2008-10-01,5.34,41.88,27.64,36.21,21.96,4.82,59.46,Charati
2008-11-01,5.34,41.88,24.43,33.73,14.11,3.63,64.71,Charati
2008-12-01,5.34,41.88,25.28,35.21,14.56,0.0,43.48,Charati
2009-01-01,5.34,41.88,27.02,36.95,15.85,0.32,40.1,Charati
2009-02-01,5.34,41.88,28.89,38.75,19.26,0.17,34.48,Charati
2009-03-01,5.34,41.88,30.46,39.39,19.66,0.33,34.1,Charati
2009-04-01,5.34,41.88,28.24,35.54,20.12,4.05,61.18,Charati
2009-05-01,5.34,41.88,28.33,35.87,21.86,1.24,57.17,Charati
2009-06-01,5.34,41.88,28.75,37.12,21.97,0.62,49.65,Charati
2009-07-01,5.34,41.88,27.81,36.14,20.39,0.14,46.23,Charati
2009-08-01,5.34,41.88,28.24,36.01,21.19,0.1,44.42,Charati
2009-09-01,5.34,41.88,29.35,37.71,21.97,0.61,43.08,Charati
2009-10-01,5.34,41.88,26.85,37.16,18.94,4.63,62.53,Charati
2009-11-01,5.34,41.88,26.66,35.63,17.69,0.84,53.67,Charati
2009-12-01,5.34,41.88,27.56,35.76,18.66,0.53,46.36,Charati
2010-01-01,5.34,41.88,27.67,37.19,16.63,0.0,32.72,Charati
2010-02-01,5.34,41.88,29.86,38.38,20.14,1.56,36.78,Charati
