period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.6,40.02,21.37,30.84,11.92,0.42,46.79,Chifra
2008-02-01,11.6,40.02,21.03,31.74,11.61,0.09,42.53,Chifra
2008-03-01,11.6,40.02,23.55,35.21,11.63,0.0,21.61,Chifra
2008-04-01,11.6,40.02,25.04,36.43,14.29,1.17,42.67,Chifra
2008-05-01,11.6,40.02,27.39,37.24,18.36,1.01,39.66,Chifra
2008-06-01,11.6,40.02,28.62,37.34,19.95,0.6,33.43,Chifra
2008-07-01,11.6,40.02,26.96,37.72,19.29,5.65,50.63,Chifra
2008-08-01,11.6,40.02,24.9,32.04,18.93,5.97,62.38,Chifra
2008-09-01,11.6,40.02,24.51,32.32,17.36,2.62,59.84,Chifra
2008-10-01,11.6,40.02,23.83,32.23,15.33,0.34,48.57,Chifra
2008-11-01,11.6,40.02,20.42,29.31,10.92,1.8,56.58,Chifra
2008-12-01,11.6,40.02,20.12,29.15,10.96,0.07,44.37,Chifra
2009-01-01,11.6,40.02,20.86,30.21,12.77,0.52,49.18,Chifra
2009-02-01,11.6,40.02,23.0,34.14,14.24,0.12,42.1,Chifra
2009-03-01,11.6,40.02,24.58,36.74,15.98,0.85,44.56,Chifra
2009-04-01,11.6,40.02,25.34,35.98,16.82,1.33,50.12,Chifra
2009-05-01,11.6,40.02,27.94,37.49,18.44,0.12,30.21,Chifra
2009-06-01,11.6,40.02,29.15,37.9,21.58,1.29,33.5,Chifra
2009-07-01,11.6,40.02,25.45,35.16,19.11,8.42,60.19,Chifra
2009-08-01,11.6,40.02,24.64,31.97,18.23,5.91,65.56,Chifra
2009-09-01,11.6,40.02,25.08,33.23,17.77,1.23,55.35,Chifra
2009-10-01,11.6,40.02,22.78,33.37,13.0,2.13,55.3,Chifra
2009-11-01,11.6,40.02,22.1,31.69,12.7,0.07,40.32,Chifra
2009-12-01,11.6,40.02,21.61,32.09,14.37,0.72,57.61,Chifra
2010-01-01,11.6,40.02,20.88,30.56,10.65,0.01,47.88,Chifra
2010-02-01,11.6,40.02,21.86,33.24,13.72,1.75,59.69,Chifra
2010-03-01,11.6,40.02,22.81,32.79,12.5,2.1,58.53,Chifra
2010-04-01,11.6,40.02,26.05,35.29,17.93,1.82,54.37,Chifra
2010-05-01,11.6,40.02,27.19,37.14,20.42,1.8,50.31,Chifra
2010-06-01,11.6,40.02,28.91,37.9,20.69,1.86,35.74,Chifra
2010-07-01,11.6,40.02,25.01,35.46,18.58,7.6,61.14,Chifra
2010-08-01,11.6,40.02,23.69,30.48,18.73,8.76,71.74,Chifra
2010-09-01,11.6,40.02,23.71,30.44,17.13,2.22,66.23,Chifra
2010-10-01,11.6,40.02,24.01,32.04,14.62,0.37,50.72,Chifra
2010-11-01,11.6,40.02,21.45,31.38,12.3,0.45,45.56,Chifra
2010-12-01,11.6,40.02,20.32,29.69,11.42,0.12,42.19,Chifra
2011-01-01,11.6,40.02,20.9,31.53,12.23,0.26,53.82,Chifra
2011-02-01,11.6,40.02,22.58,32.82,12.14,0.12,42.09,Chifra
2011-03-01,11.6,40.02,22.24,33.65,14.42,1.82,48.52,Chifra
2011-04-01,11.6,40.02,26.2,35.34,14.69,0.74,44.22,Chifra
2011-05-01,11.6,40.02,26.5,36.05,18.01,1.73,47.68,Chifra
2011-06-01,11.6,40.02,28.66,37.5,19.94,0.48,33.06,Chifra
2011-07-01,11.6,40.02,26.94,36.74,19.97,3.11,51.24,Chifra
2011-08-01,11.6,40.02,25.75,35.98,19.55,3.44,57.79,Chifra
2011-09-01,11.6,40.02,26.51,35.07,17.74,1.17,48.48,Chifra
2011-10-01,11.6,40.02,24.43,34.6,14.34,0.24,37.02,Chifra
2011-11-01,11.6,40.02,22.62,32.01,14.21,0.53,51.0,Chifra
2011-12-01,11.6,40.02,20.48,29.72,11.43,0.01,43.86,Chifra
2012-01-01,11.6,40.02,21.48,31.01,13.24,0.02,45.71,Chifra
2012-02-01,11.6,40.02,22.04,33.93,12.03,0.0,37.41,Chifra
2012-03-01,11.6,40.02,23.83,35.5,13.95,0.52,36.15,Chifra
2012-04-01,11.6,40.02,24.88,34.29,16.64,2.12,57.4,Chifra
2012-05-01,11.6,40.02,27.69,36.89,18.67,0.45,38.17,Chifra
2012-06-01,11.6,40.02,28.98,37.97,21.32,0.54,29.46,Chifra
2012-07-01,11.6,40.02,26.18,36.44,20.03,6.17,56.27,Chifra
2012-08-01,11.6,40.02,24.58,32.41,18.98,4.58,65.38,Chifra
2012-09-01,11.6,40.02,25.76,33.33,19.27,1.28,53.96,Chifra
2012-10-01,11.6,40.02,23.9,33.56,14.08,0.1,40.15,Chifra
2012-11-01,11.6,40.02,23.14,32.81,14.52,0.02,37.84,Chifra
2012-12-01,11.6,40.02,21.64,30.35,12.81,0.16,44.09,Chifra
2013-01-01,11.6,40.02,21.06,33.18,12.33,1.22,53.61,Chifra
2013-02-01,11.6,40.02,22.45,33.34,12.59,0.03,40.48,Chifra
2013-03-01,11.6,40.02,24.43,34.67,16.19,1.62,53.12,Chifra
2013-04-01,11.6,40.02,25.55,35.45,17.81,1.69,57.61,Chifra
2013-05-01,11.6,40.02,27.97,37.03,19.2,0.99,39.32,Chifra
2013-06-01,11.6,40.02,28.41,37.06,19.9,2.09,36.16,Chifra
2013-07-01,11.6,40.02,25.4,35.76,19.8,11.55,61.42,Chifra
2013-08-01,11.6,40.02,23.01,30.36,18.27,5.94,72.37,Chifra
2013-09-01,11.6,40.02,23.9,31.7,18.01,2.31,63.11,Chifra
2013-10-01,11.6,40.02,22.43,30.28,14.31,3.14,59.1,Chifra
2013-11-01,11.6,40.02,21.85,30.34,12.89,0.28,55.51,Chifra
2013-12-01,11.6,40.02,20.1,29.96,11.76,0.03,43.71,Chifra
2014-01-01,11.6,40.02,21.16,31.28,11.95,0.09,49.39,Chifra
2014-02-01,11.6,40.02,22.19,33.22,14.92,0.81,58.39,Chifra
2014-03-01,11.6,40.02,23.77,33.75,15.32,1.88,55.09,Chifra
2014-04-01,11.6,40.02,25.2,35.24,15.97,1.64,52.84,Chifra
2014-05-01,11.6,40.02,26.33,35.24,18.29,2.22,52.21,Chifra
2014-06-01,11.6,40.02,28.4,37.8,20.63,1.54,37.07,Chifra
2014-07-01,11.6,40.02,26.18,37.73,19.28,8.21,57.5,Chifra
2014-08-01,11.6,40.02,24.17,31.76,18.76,4.71,66.34,Chifra
2014-09-01,11.6,40.02,23.76,30.64,17.95,4.01,64.58,Chifra
2014-10-01,11.6,40.02,22.54,30.75,15.1,2.13,58.29,Chifra
2014-11-01,11.6,40.02,22.13,31.54,13.63,0.29,52.01,Chifra
2014-12-01,11.6,40.02,20.48,29.93,12.27,0.16,45.17,Chifra
2015-01-01,11.6,40.02,19.93,31.1,11.7,0.66,51.05,Chifra
2015-02-01,11.6,40.02,23.0,33.05,12.56,0.12,38.9,Chifra
2015-03-01,11.6,40.02,24.39,34.39,14.23,1.0,42.44,Chifra
2015-04-01,11.6,40.02,26.04,35.94,16.85,0.0,32.4,Chifra
2015-05-01,11.6,40.02,27.26,37.95,18.24,1.22,44.12,Chifra
2015-06-01,11.6,40.02,27.95,37.34,18.94,1.42,38.87,Chifra
2015-07-01,11.6,40.02,28.25,37.74,20.39,2.99,42.25,Chifra
2015-08-01,11.6,40.02,25.02,34.99,19.22,10.77,65.1,Chifra
2015-09-01,11.6,40.02,24.92,33.42,18.02,3.47,59.33,Chifra
2015-10-01,11.6,40.02,24.2,32.69,16.28,0.64,51.39,Chifra
2015-11-01,11.6,40.02,22.35,31.65,13.17,1.68,58.1,Chifra
2015-12-01,11.6,40.02,20.7,29.51,13.6,2.0,62.95,Chifra
2016-01-01,11.6,40.02,21.05,30.9,13.8,0.37,60.87,Chifra
2016-02-01,11.6,40.02,22.24,33.5,11.83,0.71,48.23,Chifra
2016-03-01,11.6,40.02,26.04,36.61,15.99,1.66,50.72,Chifra
2016-04-01,11.6,40.02,24.19,33.93,18.26,5.84,69.5,Chifra
2016-05-01,11.6,40.02,25.3,34.1,18.2,3.78,56.14,Chifra
2016-06-01,11.6,40.02,27.77,36.94,18.76,1.62,42.52,Chifra
2016-07-01,11.6,40.02,25.19,35.0,18.88,8.28,62.22,Chifra
2016-08-01,11.6,40.02,23.83,30.84,17.53,8.75,69.72,Chifra
2016-09-01,11.6,40.02,24.08,31.5,18.12,4.2,63.98,Chifra
2016-10-01,11.6,40.02,23.47,31.24,14.29,0.66,48.26,Chifra
2016-11-01,11.6,40.02,21.68,31.38,11.17,0.24,42.73,Chifra
2016-12-01,11.6,40.02,21.02,30.44,11.31,0.04,39.69,Chifra
2017-01-01,11.6,40.02,20.4,30.68,10.48,0.0,28.25,Chifra
2017-02-01,11.6,40.02,21.29,33.08,13.71,3.19,63.14,Chifra
2017-03-01,11.6,40.02,23.68,33.72,15.73,3.17,56.39,Chifra
2017-04-01,11.6,40.02,24.8,35.88,14.96,0.59,49.31,Chifra
2017-05-01,11.6,40.02,25.67,34.76,18.9,2.8,57.65,Chifra
2017-06-01,11.6,40.02,28.91,38.1,20.62,0.88,32.55,Chifra
2017-07-01,11.6,40.02,27.36,36.62,20.36,4.3,51.53,Chifra
2017-08-01,11.6,40.02,25.23,34.53,19.33,7.15,64.89,Chifra
2017-09-01,11.6,40.02,23.76,30.68,17.85,7.08,67.0,Chifra
2017-10-01,11.6,40.02,23.11,30.98,14.31,1.03,59.68,Chifra
2017-11-01,11.6,40.02,21.55,30.33,12.47,0.42,50.19,Chifra
2017-12-01,11.6,40.02,19.49,30.84,10.3,0.0,37.92,Chifra
2018-01-01,11.6,40.02,20.52,30.63,10.15,0.09,46.78,Chifra
2018-02-01,11.6,40.02,22.4,33.18,11.54,1.85,49.49,Chifra
2018-03-01,11.6,40.02,23.3,34.05,14.63,0.48,44.09,Chifra
2018-04-01,11.6,40.02,24.27,33.23,17.81,4.75,63.28,Chifra
2018-05-01,11.6,40.02,26.9,36.96,18.14,0.31,45.71,Chifra
2018-06-01,11.6,40.02,28.26,37.67,20.33,1.39,39.67,Chifra
2018-07-01,11.6,40.02,26.94,36.38,19.2,5.75,53.44,Chifra
2018-08-01,11.6,40.02,24.67,31.82,18.81,5.71,65.42,Chifra
2018-09-01,11.6,40.02,24.16,31.48,17.26,5.33,61.56,Chifra
2018-10-01,11.6,40.02,23.27,32.12,14.68,1.37,56.29,Chifra
2018-11-01,11.6,40.02,21.94,31.38,12.36,1.47,53.05,Chifra
2018-12-01,11.6,40.02,21.21,30.46,12.11,0.03,47.83,Chifra
2019-01-01,11.6,40.02,21.51,31.63,11.56,0.0,35.28,Chifra
2019-02-01,11.6,40.02,22.49,32.71,14.68,2.89,54.99,Chifra
2019-03-01,11.6,40.02,24.14,37.06,15.81,1.94,61.07,Chifra
