period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.62,40.31,18.67,28.37,10.32,0.32,48.87,Dalifagi
2008-02-01,10.62,40.31,18.49,29.96,8.14,0.07,43.88,Dalifagi
2008-03-01,10.62,40.31,20.82,33.22,10.0,0.0,23.23,Dalifagi
2008-04-01,10.62,40.31,21.81,32.72,11.78,1.5,48.56,Dalifagi
2008-05-01,10.62,40.31,24.3,33.59,16.25,0.82,43.44,Dalifagi
2008-06-01,10.62,40.31,25.1,34.18,16.0,0.7,39.87,Dalifagi
2008-07-01,10.62,40.31,23.44,33.99,16.71,5.7,55.04,Dalifagi
2008-08-01,10.62,40.31,21.53,28.3,15.43,6.8,66.09,Dalifagi
2008-09-01,10.62,40.31,21.45,28.3,15.42,2.7,63.56,Dalifagi
2008-10-01,10.62,40.31,20.41,28.4,12.53,0.3,53.59,Dalifagi
2008-11-01,10.62,40.31,17.59,26.54,7.71,1.59,59.02,Dalifagi
2008-12-01,10.62,40.31,17.25,27.12,8.49,0.09,47.98,Dalifagi
2009-01-01,10.62,40.31,18.44,29.34,9.22,0.62,52.06,Dalifagi
2009-02-01,10.62,40.31,20.2,31.36,11.61,0.26,46.38,Dalifagi
2009-03-01,10.62,40.31,21.77,33.16,13.25,0.84,48.75,Dalifagi
2009-04-01,10.62,40.31,22.27,32.58,13.76,1.35,55.49,Dalifagi
2009-05-01,10.62,40.31,24.63,33.43,16.12,0.1,34.01,Dalifagi
2009-06-01,10.62,40.31,25.8,34.39,17.8,1.38,38.14,Dalifagi
2009-07-01,10.62,40.31,22.22,31.36,15.9,8.48,63.19,Dalifagi
2009-08-01,10.62,40.31,21.89,28.79,15.42,6.44,66.92,Dalifagi
2009-09-01,10.62,40.31,21.85,28.14,14.37,2.84,60.48,Dalifagi
2009-10-01,10.62,40.31,19.4,29.25,9.9,2.64,61.03,Dalifagi
2009-11-01,10.62,40.31,18.76,28.02,10.22,0.08,47.39,Dalifagi
2009-12-01,10.62,40.31,18.92,29.57,12.15,0.73,61.88,Dalifagi
2010-01-01,10.62,40.31,18.35,28.34,9.84,0.01,50.94,Dalifagi
2010-02-01,10.62,40.31,19.56,31.99,12.51,2.56,62.93,Dalifagi
2010-03-01,10.62,40.31,20.02,28.9,9.99,2.22,62.89,Dalifagi
2010-04-01,10.62,40.31,22.65,31.48,15.19,2.41,60.55,Dalifagi
2010-05-01,10.62,40.31,23.54,32.28,17.42,1.96,58.16,Dalifagi
2010-06-01,10.62,40.31,25.08,34.12,17.89,2.01,44.93,Dalifagi
2010-07-01,10.62,40.31,22.06,32.2,15.41,9.81,64.75,Dalifagi
2010-08-01,10.62,40.31,20.9,28.03,15.78,10.96,74.82,Dalifagi
2010-09-01,10.62,40.31,20.57,27.22,14.8,3.46,71.51,Dalifagi
2010-10-01,10.62,40.31,20.2,27.37,11.96,0.34,56.11,Dalifagi
2010-11-01,10.62,40.31,18.16,28.01,9.81,0.81,53.05,Dalifagi
2010-12-01,10.62,40.31,17.49,27.24,8.55,0.17,47.55,Dalifagi
2011-01-01,10.62,40.31,18.5,29.92,11.18,0.18,54.83,Dalifagi
2011-02-01,10.62,40.31,19.95,30.99,9.61,0.09,44.23,Dalifagi
2011-03-01,10.62,40.31,19.78,31.82,11.42,1.51,48.28,Dalifagi
2011-04-01,10.62,40.31,22.67,31.76,12.43,1.36,51.64,Dalifagi
2011-05-01,10.62,40.31,23.21,32.5,16.11,2.16,53.51,Dalifagi
2011-06-01,10.62,40.31,24.9,33.51,17.74,1.04,44.59,Dalifagi
2011-07-01,10.62,40.31,23.31,32.03,16.71,4.19,57.51,Dalifagi
2011-08-01,10.62,40.31,22.48,31.43,15.85,3.7,62.22,Dalifagi
2011-09-01,10.62,40.31,23.02,30.83,14.69,1.03,54.54,Dalifagi
