period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.79,38.25,13.72,24.26,3.49,0.22,54.56,Dalocha
2008-02-01,7.79,38.25,15.06,26.59,4.5,0.14,46.42,Dalocha
2008-03-01,7.79,38.25,17.1,28.83,4.43,0.32,29.41,Dalocha
2008-04-01,7.79,38.25,16.2,27.17,6.55,3.06,64.33,Dalocha
2008-05-01,7.79,38.25,16.56,25.14,10.03,3.06,72.53,Dalocha
2008-06-01,7.79,38.25,15.12,23.32,9.78,3.49,79.35,Dalocha
2008-07-01,7.79,38.25,14.08,21.24,8.01,10.96,85.61,Dalocha
2008-08-01,7.79,38.25,14.03,20.33,8.98,11.36,87.01,Dalocha
2008-09-01,7.79,38.25,14.17,20.54,9.34,6.61,85.55,Dalocha
2008-10-01,7.79,38.25,13.02,20.7,3.84,3.26,79.09,Dalocha
2008-11-01,7.79,38.25,11.53,20.25,0.91,3.19,76.13,Dalocha
2008-12-01,7.79,38.25,11.57,20.72,1.9,0.09,67.51,Dalocha
2009-01-01,7.79,38.25,13.12,22.79,1.93,1.18,67.36,Dalocha
2009-02-01,7.79,38.25,14.86,25.5,5.21,0.17,59.9,Dalocha
2009-03-01,7.79,38.25,17.11,28.64,7.55,0.82,54.73,Dalocha
2009-04-01,7.79,38.25,16.89,27.17,8.47,2.1,68.55,Dalocha
2009-05-01,7.79,38.25,17.29,27.19,7.72,2.25,61.76,Dalocha
2009-06-01,7.79,38.25,16.63,26.94,9.62,4.16,72.39,Dalocha
2009-07-01,7.79,38.25,14.0,20.82,7.58,8.24,84.84,Dalocha
2009-08-01,7.79,38.25,14.47,21.06,9.51,7.95,85.18,Dalocha
2009-09-01,7.79,38.25,14.55,20.84,6.52,4.86,82.24,Dalocha
2009-10-01,7.79,38.25,13.32,20.76,3.43,3.58,79.64,Dalocha
2009-11-01,7.79,38.25,12.17,21.21,2.27,0.13,67.05,Dalocha
2009-12-01,7.79,38.25,13.77,21.81,5.38,2.03,78.53,Dalocha
2010-01-01,7.79,38.25,14.2,25.06,4.12,0.06,63.48,Dalocha
2010-02-01,7.79,38.25,15.66,26.48,7.7,2.36,72.97,Dalocha
2010-03-01,7.79,38.25,15.95,25.09,6.68,2.54,69.81,Dalocha
2010-04-01,7.79,38.25,16.45,25.78,8.3,5.0,75.98,Dalocha
2010-05-01,7.79,38.25,16.38,23.65,11.4,6.04,80.97,Dalocha
2010-06-01,7.79,38.25,15.41,22.76,9.15,7.46,82.28,Dalocha
2010-07-01,7.79,38.25,13.91,20.88,9.41,9.91,88.75,Dalocha
2010-08-01,7.79,38.25,13.77,19.52,9.85,8.43,90.64,Dalocha
2010-09-01,7.79,38.25,14.28,20.36,9.33,6.93,87.13,Dalocha
2010-10-01,7.79,38.25,12.87,20.3,4.52,1.38,79.27,Dalocha
2010-11-01,7.79,38.25,12.21,20.84,2.51,0.77,69.6,Dalocha
2010-12-01,7.79,38.25,12.45,21.81,1.16,0.73,64.03,Dalocha
2011-01-01,7.79,38.25,13.89,24.42,2.94,0.16,62.63,Dalocha
2011-02-01,7.79,38.25,15.27,26.52,3.97,0.47,49.65,Dalocha
2011-03-01,7.79,38.25,15.88,27.05,6.34,1.92,54.15,Dalocha
2011-04-01,7.79,38.25,17.2,27.16,6.88,2.31,63.65,Dalocha
2011-05-01,7.79,38.25,16.42,25.36,10.15,5.01,74.92,Dalocha
2011-06-01,7.79,38.25,15.25,23.15,9.9,4.49,81.57,Dalocha
2011-07-01,7.79,38.25,14.32,21.86,9.56,5.51,84.36,Dalocha
2011-08-01,7.79,38.25,14.0,20.85,8.32,4.57,86.64,Dalocha
2011-09-01,7.79,38.25,14.55,21.12,9.21,3.55,83.8,Dalocha
2011-10-01,7.79,38.25,13.4,22.39,4.57,0.75,66.99,Dalocha
2011-11-01,7.79,38.25,14.12,22.67,3.59,1.74,72.65,Dalocha
2011-12-01,7.79,38.25,13.02,24.12,2.05,0.04,56.78,Dalocha
2012-01-01,7.79,38.25,14.34,25.71,2.49,0.01,50.57,Dalocha
2012-02-01,7.79,38.25,15.92,28.28,5.1,0.03,38.47,Dalocha
2012-03-01,7.79,38.25,17.25,28.93,5.79,0.74,41.09,Dalocha
2012-04-01,7.79,38.25,16.43,25.53,10.08,4.51,71.84,Dalocha
2012-05-01,7.79,38.25,17.05,26.24,7.8,2.28,66.5,Dalocha
2012-06-01,7.79,38.25,15.99,26.62,9.21,2.93,74.84,Dalocha
