period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.16,37.9,16.94,26.32,8.61,0.16,47.52,Debark
2008-02-01,13.16,37.9,17.54,27.39,6.17,0.0,37.21,Debark
2008-03-01,13.16,37.9,19.74,29.94,9.62,0.06,24.02,Debark
2008-04-01,13.16,37.9,18.72,29.3,10.03,1.73,47.58,Debark
2008-05-01,13.16,37.9,19.67,30.06,12.8,1.1,53.43,Debark
2008-06-01,13.16,37.9,18.31,27.31,12.21,2.19,62.31,Debark
2008-07-01,13.16,37.9,16.67,24.38,11.51,6.42,75.02,Debark
2008-08-01,13.16,37.9,16.45,22.79,12.01,8.12,76.95,Debark
2008-09-01,13.16,37.9,16.75,22.29,11.84,2.55,71.39,Debark
2008-10-01,13.16,37.9,16.33,24.46,8.02,0.16,63.24,Debark
2008-11-01,13.16,37.9,15.86,25.46,6.18,0.54,51.81,Debark
2008-12-01,13.16,37.9,16.4,25.77,6.8,0.0,42.22,Debark
2009-01-01,13.16,37.9,17.08,26.6,7.62,0.03,35.22,Debark
2009-02-01,13.16,37.9,18.5,28.2,9.36,0.2,43.29,Debark
2009-03-01,13.16,37.9,19.85,29.96,11.33,0.08,43.0,Debark
2009-04-01,13.16,37.9,20.44,30.3,11.8,0.21,39.38,Debark
2009-05-01,13.16,37.9,21.29,29.76,12.26,0.12,36.26,Debark
2009-06-01,13.16,37.9,19.53,29.48,12.32,3.51,59.23,Debark
2009-07-01,13.16,37.9,16.42,24.04,11.94,9.88,78.11,Debark
2009-08-01,13.16,37.9,16.78,22.25,12.53,6.94,78.12,Debark
2009-09-01,13.16,37.9,17.26,22.49,12.63,2.11,66.73,Debark
2009-10-01,13.16,37.9,16.16,24.11,7.39,1.55,61.62,Debark
2009-11-01,13.16,37.9,16.29,24.83,7.65,0.04,50.41,Debark
2009-12-01,13.16,37.9,16.93,25.97,7.97,0.1,47.16,Debark
2010-01-01,13.16,37.9,17.2,26.9,7.69,0.0,44.3,Debark
2010-02-01,13.16,37.9,18.89,28.75,10.1,0.01,35.75,Debark
2010-03-01,13.16,37.9,18.71,29.6,10.52,0.6,43.43,Debark
2010-04-01,13.16,37.9,19.88,28.7,12.93,1.38,53.18,Debark
2010-05-01,13.16,37.9,20.45,29.62,14.35,1.53,50.54,Debark
2010-06-01,13.16,37.9,18.77,27.81,12.32,2.29,64.36,Debark
2010-07-01,13.16,37.9,16.38,25.25,11.51,8.17,78.2,Debark
2010-08-01,13.16,37.9,16.09,20.98,11.71,14.39,82.21,Debark
2010-09-01,13.16,37.9,16.44,21.24,11.11,3.52,74.07,Debark
2010-10-01,13.16,37.9,15.9,22.87,9.64,0.15,64.8,Debark
2010-11-01,13.16,37.9,16.01,24.32,7.27,0.21,54.97,Debark
2010-12-01,13.16,37.9,15.89,25.05,7.02,0.0,45.23,Debark
2011-01-01,13.16,37.9,16.46,26.39,8.34,0.06,47.93,Debark
2011-02-01,13.16,37.9,17.88,27.95,8.68,0.01,35.69,Debark
2011-03-01,13.16,37.9,17.64,28.12,8.64,1.07,48.33,Debark
2011-04-01,13.16,37.9,20.5,30.21,12.0,0.08,40.04,Debark
2011-05-01,13.16,37.9,19.11,28.58,12.85,4.09,58.97,Debark
2011-06-01,13.16,37.9,18.35,26.41,12.67,0.44,64.36,Debark
2011-07-01,13.16,37.9,16.68,25.96,11.57,4.02,74.63,Debark
2011-08-01,13.16,37.9,16.64,24.04,11.35,2.72,76.69,Debark
2011-09-01,13.16,37.9,16.98,25.24,11.14,1.51,70.24,Debark
2011-10-01,13.16,37.9,17.38,25.81,8.79,0.21,52.43,Debark
2011-11-01,13.16,37.9,16.78,26.04,8.54,0.28,51.84,Debark
2011-12-01,13.16,37.9,16.3,26.38,6.21,0.0,41.79,Debark
2012-01-01,13.16,37.9,17.22,26.89,8.51,0.0,42.18,Debark
2012-02-01,13.16,37.9,17.63,28.26,8.58,0.0,32.89,Debark
2012-03-01,13.16,37.9,19.15,29.74,9.21,0.03,35.28,Debark
2012-04-01,13.16,37.9,20.58,30.69,12.89,0.14,34.88,Debark
2012-05-01,13.16,37.9,20.96,30.19,12.71,0.18,44.74,Debark
2012-06-01,13.16,37.9,19.22,29.09,12.27,1.3,57.13,Debark
2012-07-01,13.16,37.9,16.61,23.4,12.21,5.99,78.14,Debark
2012-08-01,13.16,37.9,16.28,21.57,11.1,5.41,79.3,Debark
2012-09-01,13.16,37.9,16.78,23.05,11.45,2.27,72.41,Debark
2012-10-01,13.16,37.9,16.94,25.82,6.82,0.22,54.91,Debark
2012-11-01,13.16,37.9,17.08,26.18,10.12,0.78,56.15,Debark
2012-12-01,13.16,37.9,16.6,26.12,8.42,0.15,45.12,Debark
2013-01-01,13.16,37.9,17.84,27.3,7.92,0.01,41.3,Debark
2013-02-01,13.16,37.9,18.81,28.97,9.43,0.01,35.32,Debark
2013-03-01,13.16,37.9,20.17,29.78,12.48,0.18,36.27,Debark
2013-04-01,13.16,37.9,20.97,30.7,13.25,0.31,38.21,Debark
2013-05-01,13.16,37.9,20.09,28.69,13.64,1.77,49.33,Debark
2013-06-01,13.16,37.9,18.31,28.52,12.6,2.19,63.63,Debark
2013-07-01,13.16,37.9,16.0,24.5,10.91,10.3,78.45,Debark
2013-08-01,13.16,37.9,15.68,20.45,10.7,11.7,82.89,Debark
2013-09-01,13.16,37.9,16.6,21.95,11.97,2.18,72.89,Debark
2013-10-01,13.16,37.9,15.57,21.6,9.15,3.67,69.59,Debark
2013-11-01,13.16,37.9,15.69,23.11,8.15,0.49,65.94,Debark
2013-12-01,13.16,37.9,15.21,24.57,5.5,0.0,46.51,Debark
2014-01-01,13.16,37.9,16.83,26.37,8.31,0.04,47.53,Debark
2014-02-01,13.16,37.9,17.75,28.04,9.22,0.27,42.02,Debark
2014-03-01,13.16,37.9,18.85,29.19,10.36,1.37,49.84,Debark
2014-04-01,13.16,37.9,18.81,27.95,10.26,2.81,54.41,Debark
2014-05-01,13.16,37.9,18.79,27.16,12.41,3.11,63.21,Debark
2014-06-01,13.16,37.9,18.97,27.24,13.02,2.62,61.0,Debark
2014-07-01,13.16,37.9,17.01,25.83,11.98,12.32,77.19,Debark
2014-08-01,13.16,37.9,16.22,22.31,12.44,9.24,79.79,Debark
2014-09-01,13.16,37.9,15.98,21.4,11.52,4.54,76.22,Debark
2014-10-01,13.16,37.9,15.21,21.53,7.82,1.04,71.62,Debark
2014-11-01,13.16,37.9,15.51,23.23,7.2,0.18,63.14,Debark
2014-12-01,13.16,37.9,15.45,25.24,6.16,0.04,51.49,Debark
2015-01-01,13.16,37.9,16.57,26.83,7.61,0.01,43.95,Debark
2015-02-01,13.16,37.9,18.7,28.76,8.72,0.0,34.67,Debark
2015-03-01,13.16,37.9,19.5,28.97,10.05,0.19,39.04,Debark
2015-04-01,13.16,37.9,20.59,29.76,11.22,0.01,38.18,Debark
2015-05-01,13.16,37.9,20.6,29.87,12.96,0.64,48.9,Debark
2015-06-01,13.16,37.9,18.86,28.67,12.65,3.84,60.02,Debark
2015-07-01,13.16,37.9,18.1,25.52,12.91,3.32,67.61,Debark
2015-08-01,13.16,37.9,17.18,23.43,12.55,9.65,76.03,Debark
2015-09-01,13.16,37.9,17.45,24.73,11.98,0.39,68.34,Debark
2015-10-01,13.16,37.9,17.66,26.03,10.2,0.33,60.22,Debark
2015-11-01,13.16,37.9,17.36,26.57,8.92,0.24,57.89,Debark
2015-12-01,13.16,37.9,16.44,25.54,7.95,0.55,62.23,Debark
2016-01-01,13.16,37.9,16.79,26.48,8.2,0.02,49.74,Debark
2016-02-01,13.16,37.9,18.86,29.75,9.75,0.02,42.66,Debark
2016-03-01,13.16,37.9,20.78,30.21,11.65,1.74,42.58,Debark
2016-04-01,13.16,37.9,19.98,29.24,13.2,3.25,47.28,Debark
2016-05-01,13.16,37.9,18.18,25.79,13.16,4.37,66.84,Debark
2016-06-01,13.16,37.9,18.74,27.82,12.74,1.6,63.81,Debark
2016-07-01,13.16,37.9,16.37,23.81,12.17,12.92,80.02,Debark
2016-08-01,13.16,37.9,16.19,21.64,11.39,9.75,80.8,Debark
2016-09-01,13.16,37.9,16.66,21.97,11.93,2.85,74.26,Debark
2016-10-01,13.16,37.9,15.95,23.0,8.82,0.76,65.05,Debark
2016-11-01,13.16,37.9,15.61,24.71,5.28,0.0,47.44,Debark
2016-12-01,13.16,37.9,15.24,25.12,5.94,0.0,43.93,Debark
2017-01-01,13.16,37.9,16.09,27.04,5.7,0.0,25.42,Debark
2017-02-01,13.16,37.9,17.41,26.9,10.38,0.99,54.53,Debark
2017-03-01,13.16,37.9,19.05,29.48,11.29,0.11,42.8,Debark
2017-04-01,13.16,37.9,20.14,29.43,11.22,1.73,44.65,Debark
2017-05-01,13.16,37.9,18.78,26.93,12.44,2.45,65.02,Debark
2017-06-01,13.16,37.9,19.45,27.34,13.73,1.97,60.4,Debark
2017-07-01,13.16,37.9,17.63,25.33,11.68,4.48,73.06,Debark
2017-08-01,13.16,37.9,16.81,23.68,12.9,6.63,79.64,Debark
2017-09-01,13.16,37.9,17.06,24.14,11.62,1.26,72.95,Debark
2017-10-01,13.16,37.9,16.95,24.62,9.22,0.78,66.85,Debark
2017-11-01,13.16,37.9,16.83,25.53,7.8,0.07,49.96,Debark
2017-12-01,13.16,37.9,15.79,25.67,6.07,0.0,34.75,Debark
2018-01-01,13.16,37.9,16.28,26.83,7.34,0.0,44.03,Debark
2018-02-01,13.16,37.9,18.4,28.85,6.83,0.22,40.03,Debark
2018-03-01,13.16,37.9,18.89,29.22,9.6,0.21,38.96,Debark
2018-04-01,13.16,37.9,19.24,28.29,12.36,2.04,46.95,Debark
2018-05-01,13.16,37.9,20.43,29.42,12.74,0.2,48.78,Debark
2018-06-01,13.16,37.9,18.7,27.79,12.73,0.45,61.5,Debark
2018-07-01,13.16,37.9,17.09,25.85,12.3,6.73,72.84,Debark
2018-08-01,13.16,37.9,16.6,22.7,11.37,4.36,78.0,Debark
2018-09-01,13.16,37.9,17.09,24.01,11.17,1.06,69.2,Debark
2018-10-01,13.16,37.9,16.65,25.04,8.67,1.37,65.2,Debark
2018-11-01,13.16,37.9,16.02,24.14,7.67,1.31,62.31,Debark
2018-12-01,13.16,37.9,16.81,25.76,7.38,0.16,52.15,Debark
2019-01-01,13.16,37.9,16.96,27.1,6.45,0.0,33.2,Debark
2019-02-01,13.16,37.9,17.99,28.34,9.0,2.25,47.8,Debark
2019-03-01,13.16,37.9,19.0,29.28,10.13,0.79,50.13,Debark
2019-04-01,13.16,37.9,20.19,28.88,12.31,1.64,51.05,Debark
2019-05-01,13.16,37.9,20.9,30.35,13.21,0.07,44.17,Debark
2019-06-01,13.16,37.9,19.31,28.74,13.52,0.6,60.26,Debark
2019-07-01,13.16,37.9,18.31,26.75,12.75,0.43,65.87,Debark
2019-08-01,13.16,37.9,16.9,24.79,11.92,4.83,74.93,Debark
2019-09-01,13.16,37.9,17.42,23.18,12.31,4.75,73.57,Debark
2019-10-01,13.16,37.9,16.0,24.43,9.46,1.82,68.33,Debark
2019-11-01,13.16,37.9,16.75,24.57,9.64,1.21,66.11,Debark
2019-12-01,13.16,37.9,16.19,25.24,8.31,0.36,56.44,Debark
2020-01-01,13.16,37.9,16.64,26.84,7.19,0.06,47.47,Debark
2020-02-01,13.16,37.9,18.6,29.03,9.94,0.07,47.11,Debark
2020-03-01,13.16,37.9,20.11,30.45,11.2,0.15,35.81,Debark
2020-04-01,13.16,37.9,19.77,29.77,12.0,2.31,50.28,Debark
2020-05-01,13.16,37.9,19.24,28.5,12.72,3.28,57.08,Debark
2020-06-01,13.16,37.9,18.38,27.29,12.85,2.21,66.29,Debark
2020-07-01,13.16,37.9,16.5,24.42,11.59,7.94,77.0,Debark
2020-08-01,13.16,37.9,16.09,22.32,11.04,6.43,81.82,Debark
2020-09-01,13.16,37.9,16.71,22.26,11.8,4.06,73.51,Debark
2020-10-01,13.16,37.9,16.13,23.38,8.75,1.03,62.29,Debark
2020-11-01,13.16,37.9,15.82,24.98,6.93,0.12,54.3,Debark
2020-12-01,13.16,37.9,16.56,25.74,7.32,0.0,46.6,Debark
2021-01-01,13.16,37.9,16.85,26.34,6.8,0.01,37.64,Debark
2021-02-01,13.16,37.9,17.12,26.81,8.17,0.3,46.88,Debark
2021-03-01,13.16,37.9,19.03,29.76,9.03,0.0,36.81,Debark
2021-04-01,13.16,37.9,19.51,29.4,12.0,1.93,46.17,Debark
2021-05-01,13.16,37.9,17.86,26.26,12.07,6.29,63.24,Debark
2021-06-01,13.16,37.9,18.94,26.41,12.67,2.71,60.48,Debark
2021-07-01,13.16,37.9,15.83,22.68,10.89,22.28,83.07,Debark
2021-08-01,13.16,37.9,16.33,22.33,11.99,14.87,81.59,Debark
2021-09-01,13.16,37.9,16.44,22.31,11.4,7.21,74.3,Debark
2021-10-01,13.16,37.9,15.46,21.27,7.96,1.01,73.64,Debark
2021-11-01,13.16,37.9,15.47,23.76,7.68,0.05,63.36,Debark
2021-12-01,13.16,37.9,15.7,25.47,5.35,1.11,52.42,Debark
2022-01-01,13.16,37.9,15.53,24.23,7.37,1.27,62.03,Debark
2022-02-01,13.16,37.9,17.6,27.33,9.63,0.25,55.5,Debark
2022-03-01,13.16,37.9,19.62,29.84,10.36,0.3,40.39,Debark
2022-04-01,13.16,37.9,20.18,29.24,11.77,1.43,43.8,Debark
2022-05-01,13.16,37.9,21.16,29.45,13.04,0.69,42.12,Debark
2022-06-01,13.16,37.9,18.65,28.83,12.45,9.2,63.48,Debark
2022-07-01,13.16,37.9,15.75,22.27,10.72,17.91,82.76,Debark
2022-08-01,13.16,37.9,15.61,21.03,11.02,7.2,83.55,Debark
2022-09-01,13.16,37.9,16.59,21.86,11.51,1.92,75.85,Debark
2022-10-01,13.16,37.9,15.61,22.33,8.16,2.38,70.95,Debark
2022-11-01,13.16,37.9,15.82,23.57,8.46,0.04,55.71,Debark
2022-12-01,13.16,37.9,15.87,24.76,8.13,0.21,52.2,Debark
2023-01-01,13.16,37.9,16.47,26.74,7.16,0.26,47.6,Debark
2023-02-01,13.16,37.9,17.83,28.03,6.67,0.08,37.46,Debark
2023-03-01,13.16,37.9,18.81,28.67,10.17,0.27,36.86,Debark
2023-04-01,13.16,37.9,19.35,29.38,11.63,5.23,54.19,Debark
2023-05-01,13.16,37.9,19.82,27.73,12.2,1.91,53.35,Debark
2023-06-01,13.16,37.9,18.21,25.3,13.27,7.96,70.53,Debark
2023-07-01,13.16,37.9,17.49,24.39,11.76,7.83,75.22,Debark
2023-08-01,13.16,37.9,17.34,23.47,12.75,8.67,78.58,Debark
2023-09-01,13.16,37.9,17.58,23.51,11.54,1.57,72.3,Debark
2023-10-01,13.16,37.9,17.12,24.66,10.88,3.3,68.05,Debark
2023-11-01,13.16,37.9,15.98,24.49,7.7,1.08,69.52,Debark
2023-12-01,13.16,37.9,16.34,25.25,7.92,0.01,60.09,Debark
2024-01-01,13.16,37.9,17.11,26.52,8.69,0.02,51.6,Debark
2024-02-01,13.16,37.9,18.93,29.98,9.69,0.01,42.26,Debark
2024-03-01,13.16,37.9,20.38,30.45,11.69,0.1,42.5,Debark
2024-04-01,13.16,37.9,21.87,31.8,13.52,0.24,34.52,Debark
2024-05-01,13.16,37.9,22.02,31.12,14.75,0.55,44.3,Debark
2024-06-01,13.16,37.9,20.13,30.35,13.22,3.63,61.35,Debark
2024-07-01,13.16,37.9,17.23,25.08,11.61,9.18,77.71,Debark
2024-08-01,13.16,37.9,15.97,22.21,10.37,13.86,85.96,Debark
2024-09-01,13.16,37.9,17.19,22.47,11.68,3.07,73.39,Debark
2024-10-01,13.16,37.9,16.71,23.58,11.11,0.85,72.05,Debark
2024-11-01,13.16,37.9,16.04,24.02,8.11,0.05,61.24,Debark
2024-12-01,13.16,37.9,15.97,25.97,6.05,0.0,45.02,Debark
2025-01-01,13.16,37.9,16.9,26.41,7.18,0.0,41.65,Debark
2025-02-01,13.16,37.9,18.73,28.1,8.97,0.04,43.95,Debark
2025-03-01,13.16,37.9,20.06,30.11,11.54,0.16,41.8,Debark
2025-04-01,13.16,37.9,20.33,29.76,12.38,0.18,44.72,Debark
2025-05-01,13.16,37.9,19.77,28.09,11.98,4.85,56.8,Debark
2025-06-01,13.16,37.9,19.62,28.64,12.71,1.83,55.52,Debark
2025-07-01,13.16,37.9,17.83,24.48,12.71,5.75,72.0,Debark
2025-08-01,13.16,37.9,16.22,22.45,11.38,11.07,81.7,Debark
2025-09-01,13.16,37.9,16.64,22.09,12.24,7.08,76.29,Debark
2025-10-01,13.16,37.9,15.51,21.36,9.6,1.34,75.08,Debark
2025-11-01,13.16,37.9,15.65,23.1,7.74,0.11,59.71,Debark
2025-12-01,13.16,37.9,16.46,25.49,9.03,0.03,50.09,Debark
