period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.68,39.53,12.12,23.03,2.13,0.48,57.39,Debre Birhan
2008-02-01,9.68,39.53,12.68,24.99,2.09,0.05,50.52,Debre Birhan
2008-03-01,9.68,39.53,14.44,27.61,1.63,0.02,29.99,Debre Birhan
2008-04-01,9.68,39.53,14.3,25.01,4.47,1.94,62.88,Debre Birhan
2008-05-01,9.68,39.53,16.03,25.26,9.19,1.18,62.47,Debre Birhan
2008-06-01,9.68,39.53,16.15,26.05,9.11,1.56,62.91,Debre Birhan
2008-07-01,9.68,39.53,14.98,24.84,8.04,5.16,72.35,Debre Birhan
2008-08-01,9.68,39.53,14.04,21.42,8.42,6.03,79.91,Debre Birhan
2008-09-01,9.68,39.53,13.74,20.57,8.14,3.12,77.99,Debre Birhan
2008-10-01,9.68,39.53,12.79,21.15,3.34,0.71,69.48,Debre Birhan
2008-11-01,9.68,39.53,10.8,21.46,-0.71,2.19,70.64,Debre Birhan
2008-12-01,9.68,39.53,10.71,21.35,1.39,0.09,62.55,Debre Birhan
2009-01-01,9.68,39.53,12.25,23.74,2.17,1.19,62.55,Debre Birhan
2009-02-01,9.68,39.53,13.28,24.09,4.43,0.41,59.87,Debre Birhan
2009-03-01,9.68,39.53,15.0,26.24,6.09,1.39,60.28,Debre Birhan
2009-04-01,9.68,39.53,15.18,24.74,7.07,1.7,67.92,Debre Birhan
2009-05-01,9.68,39.53,16.38,26.35,7.69,0.29,51.12,Debre Birhan
2009-06-01,9.68,39.53,17.24,26.49,8.94,1.46,55.3,Debre Birhan
2009-07-01,9.68,39.53,14.42,22.4,9.1,4.5,77.25,Debre Birhan
2009-08-01,9.68,39.53,14.66,21.51,8.3,4.16,78.11,Debre Birhan
2009-09-01,9.68,39.53,14.26,21.14,7.62,2.91,73.13,Debre Birhan
2009-10-01,9.68,39.53,12.3,21.86,3.12,2.05,72.87,Debre Birhan
2009-11-01,9.68,39.53,11.46,21.67,1.35,0.21,60.18,Debre Birhan
2009-12-01,9.68,39.53,12.63,21.94,4.58,1.11,74.96,Debre Birhan
2010-01-01,9.68,39.53,12.86,23.6,3.12,0.04,61.55,Debre Birhan
2010-02-01,9.68,39.53,14.16,26.33,8.08,6.1,72.37,Debre Birhan
2010-03-01,9.68,39.53,13.39,21.97,3.64,3.84,75.1,Debre Birhan
2010-04-01,9.68,39.53,14.76,22.1,8.53,4.32,78.36,Debre Birhan
2010-05-01,9.68,39.53,15.49,23.56,9.69,2.28,75.72,Debre Birhan
2010-06-01,9.68,39.53,16.06,24.0,10.0,2.73,66.63,Debre Birhan
2010-07-01,9.68,39.53,14.39,23.15,8.87,5.55,78.85,Debre Birhan
2010-08-01,9.68,39.53,13.83,20.76,7.95,5.48,84.05,Debre Birhan
2010-09-01,9.68,39.53,13.58,20.37,7.55,4.56,82.25,Debre Birhan
2010-10-01,9.68,39.53,12.12,19.57,3.92,0.28,72.13,Debre Birhan
2010-11-01,9.68,39.53,11.11,21.41,2.22,1.27,66.58,Debre Birhan
2010-12-01,9.68,39.53,11.51,21.4,1.55,0.23,60.76,Debre Birhan
2011-01-01,9.68,39.53,12.58,24.14,3.69,0.17,64.43,Debre Birhan
2011-02-01,9.68,39.53,13.58,25.21,2.66,0.17,51.05,Debre Birhan
2011-03-01,9.68,39.53,13.67,25.74,4.62,1.79,56.62,Debre Birhan
2011-04-01,9.68,39.53,15.17,25.0,5.36,2.51,66.31,Debre Birhan
2011-05-01,9.68,39.53,15.5,24.67,7.34,2.12,68.34,Debre Birhan
2011-06-01,9.68,39.53,16.2,24.22,9.41,1.86,66.25,Debre Birhan
2011-07-01,9.68,39.53,14.85,23.28,8.71,2.87,74.37,Debre Birhan
2011-08-01,9.68,39.53,14.87,23.13,8.63,2.5,75.96,Debre Birhan
2011-09-01,9.68,39.53,14.78,22.17,7.03,1.44,73.59,Debre Birhan
2011-10-01,9.68,39.53,12.79,23.26,3.02,0.15,58.36,Debre Birhan
2011-11-01,9.68,39.53,13.28,22.79,3.84,0.42,66.97,Debre Birhan
2011-12-01,9.68,39.53,11.46,23.52,1.02,0.02,56.46,Debre Birhan
2012-01-01,9.68,39.53,12.38,23.44,2.66,0.02,56.64,Debre Birhan
2012-02-01,9.68,39.53,12.77,25.72,3.09,0.0,46.82,Debre Birhan
2012-03-01,9.68,39.53,14.56,26.73,3.64,0.38,46.15,Debre Birhan
2012-04-01,9.68,39.53,15.24,24.74,7.75,3.1,70.28,Debre Birhan
2012-05-01,9.68,39.53,16.08,25.4,8.16,0.42,58.73,Debre Birhan
2012-06-01,9.68,39.53,16.68,26.95,8.83,1.88,56.18,Debre Birhan
2012-07-01,9.68,39.53,14.54,22.53,7.81,5.51,78.39,Debre Birhan
