period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.22308,43.5654,23.26,34.59,13.13,0.04,40.22,Degehabour
2008-02-01,8.22308,43.5654,22.79,34.96,10.71,0.0,38.24,Degehabour
2008-03-01,8.22308,43.5654,24.68,36.89,12.65,0.03,26.68,Degehabour
2008-04-01,8.22308,43.5654,25.3,35.81,16.06,3.89,54.76,Degehabour
2008-05-01,8.22308,43.5654,24.18,32.39,18.04,1.92,66.68,Degehabour
2008-06-01,8.22308,43.5654,23.5,30.96,17.2,0.28,60.3,Degehabour
2008-07-01,8.22308,43.5654,22.63,30.78,16.93,1.33,60.25,Degehabour
2008-08-01,8.22308,43.5654,23.7,31.07,17.86,1.17,55.34,Degehabour
2008-09-01,8.22308,43.5654,25.76,34.4,18.94,0.96,49.89,Degehabour
2008-10-01,8.22308,43.5654,24.72,34.35,15.87,3.4,54.24,Degehabour
2008-11-01,8.22308,43.5654,21.65,31.68,12.1,1.57,57.82,Degehabour
2008-12-01,8.22308,43.5654,21.35,32.69,10.66,0.0,46.03,Degehabour
2009-01-01,8.22308,43.5654,23.21,32.88,12.21,0.22,46.13,Degehabour
2009-02-01,8.22308,43.5654,24.52,35.0,14.38,0.04,38.05,Degehabour
2009-03-01,8.22308,43.5654,26.11,36.6,15.07,0.27,37.08,Degehabour
2009-04-01,8.22308,43.5654,25.98,35.82,15.87,2.87,56.53,Degehabour
2009-05-01,8.22308,43.5654,26.22,34.91,18.67,0.45,53.88,Degehabour
2009-06-01,8.22308,43.5654,25.5,34.56,18.52,1.36,53.58,Degehabour
2009-07-01,8.22308,43.5654,23.65,31.46,17.14,0.72,54.29,Degehabour
2009-08-01,8.22308,43.5654,24.48,32.85,18.13,0.41,50.33,Degehabour
2009-09-01,8.22308,43.5654,26.01,35.33,19.31,0.71,46.93,Degehabour
2009-10-01,8.22308,43.5654,23.75,34.11,14.24,2.98,60.72,Degehabour
2009-11-01,8.22308,43.5654,22.76,32.66,12.89,0.29,47.23,Degehabour
2009-12-01,8.22308,43.5654,23.89,34.06,13.44,0.11,47.05,Degehabour
2010-01-01,8.22308,43.5654,22.84,33.82,10.43,0.0,42.84,Degehabour
2010-02-01,8.22308,43.5654,25.12,35.15,14.38,0.98,43.56,Degehabour
2010-03-01,8.22308,43.5654,25.24,34.46,14.1,1.55,51.28,Degehabour
2010-04-01,8.22308,43.5654,24.93,34.09,16.01,5.79,65.05,Degehabour
2010-05-01,8.22308,43.5654,23.59,30.9,18.3,4.28,77.06,Degehabour
2010-06-01,8.22308,43.5654,22.95,29.84,17.11,2.67,71.19,Degehabour
2010-07-01,8.22308,43.5654,21.84,28.95,16.44,1.31,66.39,Degehabour
2010-08-01,8.22308,43.5654,22.56,30.13,16.67,1.6,62.1,Degehabour
2010-09-01,8.22308,43.5654,23.97,32.41,17.35,1.66,57.54,Degehabour
2010-10-01,8.22308,43.5654,25.41,34.97,14.81,0.78,49.37,Degehabour
2010-11-01,8.22308,43.5654,23.35,32.86,11.75,0.09,41.75,Degehabour
2010-12-01,8.22308,43.5654,22.23,33.48,10.44,0.0,39.24,Degehabour
2011-01-01,8.22308,43.5654,22.6,33.85,9.82,0.0,38.87,Degehabour
2011-02-01,8.22308,43.5654,24.1,35.32,12.72,0.01,35.58,Degehabour
2011-03-01,8.22308,43.5654,25.22,35.98,14.79,0.03,32.98,Degehabour
2011-04-01,8.22308,43.5654,26.43,35.2,16.64,4.07,48.5,Degehabour
2011-05-01,8.22308,43.5654,23.48,31.78,17.77,3.36,74.65,Degehabour
2011-06-01,8.22308,43.5654,23.32,29.91,17.47,0.61,66.08,Degehabour
2011-07-01,8.22308,43.5654,23.6,31.37,18.15,0.64,59.49,Degehabour
2011-08-01,8.22308,43.5654,24.08,31.65,17.76,0.18,52.32,Degehabour
2011-09-01,8.22308,43.5654,25.92,34.53,18.97,0.51,47.98,Degehabour
2011-10-01,8.22308,43.5654,24.49,35.96,14.46,3.62,54.98,Degehabour
2011-11-01,8.22308,43.5654,22.65,33.26,12.61,2.99,64.93,Degehabour
2011-12-01,8.22308,43.5654,21.3,32.24,11.72,0.01,49.72,Degehabour
2012-01-01,8.22308,43.5654,22.7,34.44,12.14,0.0,42.48,Degehabour
2012-02-01,8.22308,43.5654,23.73,35.49,13.29,0.0,38.64,Degehabour
2012-03-01,8.22308,43.5654,25.4,35.65,13.8,0.01,32.37,Degehabour
2012-04-01,8.22308,43.5654,23.96,33.59,15.16,5.15,65.73,Degehabour
2012-05-01,8.22308,43.5654,23.13,31.46,17.18,3.94,76.61,Degehabour
2012-06-01,8.22308,43.5654,22.75,30.14,16.78,0.78,67.6,Degehabour
2012-07-01,8.22308,43.5654,22.23,29.56,16.83,0.47,62.87,Degehabour
2012-08-01,8.22308,43.5654,23.49,31.11,17.54,2.38,57.91,Degehabour
2012-09-01,8.22308,43.5654,23.61,32.8,17.01,2.88,60.75,Degehabour
2012-10-01,8.22308,43.5654,24.0,33.48,13.83,1.26,55.4,Degehabour
2012-11-01,8.22308,43.5654,23.42,32.5,13.82,0.71,53.11,Degehabour
2012-12-01,8.22308,43.5654,23.68,33.79,14.27,0.05,46.96,Degehabour
2013-01-01,8.22308,43.5654,23.5,34.6,12.27,0.21,45.06,Degehabour
2013-02-01,8.22308,43.5654,24.4,36.51,13.16,0.0,37.04,Degehabour
2013-03-01,8.22308,43.5654,25.09,35.23,15.73,3.41,51.17,Degehabour
2013-04-01,8.22308,43.5654,23.29,30.37,17.98,8.04,80.33,Degehabour
2013-05-01,8.22308,43.5654,22.19,28.74,16.32,2.58,82.87,Degehabour
2013-06-01,8.22308,43.5654,21.85,29.11,15.77,0.31,71.67,Degehabour
2013-07-01,8.22308,43.5654,21.69,28.79,15.97,1.44,65.51,Degehabour
2013-08-01,8.22308,43.5654,23.09,30.55,17.06,0.76,57.35,Degehabour
2013-09-01,8.22308,43.5654,25.16,33.41,18.4,1.29,51.27,Degehabour
2013-10-01,8.22308,43.5654,24.2,33.15,14.69,2.19,57.11,Degehabour
2013-11-01,8.22308,43.5654,21.97,31.38,11.71,3.98,66.69,Degehabour
2013-12-01,8.22308,43.5654,20.99,31.64,11.33,0.0,51.02,Degehabour
2014-01-01,8.22308,43.5654,22.26,33.49,11.11,0.0,45.0,Degehabour
2014-02-01,8.22308,43.5654,24.79,35.08,14.67,0.0,40.92,Degehabour
2014-03-01,8.22308,43.5654,26.3,35.37,15.93,0.9,41.82,Degehabour
2014-04-01,8.22308,43.5654,26.18,34.92,16.73,2.56,52.37,Degehabour
2014-05-01,8.22308,43.5654,24.36,32.7,17.56,3.08,69.2,Degehabour
2014-06-01,8.22308,43.5654,24.29,33.56,17.6,0.7,59.96,Degehabour
2014-07-01,8.22308,43.5654,23.42,30.67,17.33,0.81,57.68,Degehabour
2014-08-01,8.22308,43.5654,24.32,33.45,18.53,0.81,53.66,Degehabour
2014-09-01,8.22308,43.5654,24.28,31.61,18.41,3.61,57.3,Degehabour
