period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.2,40.02,23.13,33.65,13.71,0.6,40.75,Dekasuftu
2008-02-01,5.2,40.02,23.73,33.93,12.81,0.0,30.97,Dekasuftu
2008-03-01,5.2,40.02,25.35,35.39,14.51,0.56,35.71,Dekasuftu
2008-04-01,5.2,40.02,23.41,33.52,16.1,4.25,66.58,Dekasuftu
2008-05-01,5.2,40.02,23.25,31.53,16.12,0.51,67.29,Dekasuftu
2008-06-01,5.2,40.02,22.65,31.77,15.62,0.34,59.45,Dekasuftu
2008-07-01,5.2,40.02,22.3,31.78,15.65,0.65,58.34,Dekasuftu
2008-08-01,5.2,40.02,23.18,31.4,16.37,0.74,55.74,Dekasuftu
2008-09-01,5.2,40.02,24.28,33.77,16.71,1.26,52.66,Dekasuftu
2008-10-01,5.2,40.02,23.73,32.31,17.21,2.7,64.48,Dekasuftu
2008-11-01,5.2,40.02,21.18,30.87,11.76,2.66,66.02,Dekasuftu
2008-12-01,5.2,40.02,22.06,32.86,12.0,0.02,45.36,Dekasuftu
2009-01-01,5.2,40.02,23.12,33.08,13.34,0.8,44.7,Dekasuftu
2009-02-01,5.2,40.02,24.58,34.92,13.94,0.16,40.44,Dekasuftu
2009-03-01,5.2,40.02,26.06,36.04,16.34,0.64,40.42,Dekasuftu
2009-04-01,5.2,40.02,23.92,33.33,17.61,2.64,68.76,Dekasuftu
2009-05-01,5.2,40.02,23.65,32.61,16.72,1.78,66.44,Dekasuftu
2009-06-01,5.2,40.02,24.02,32.87,16.38,0.44,58.57,Dekasuftu
2009-07-01,5.2,40.02,22.8,32.13,14.32,0.19,54.93,Dekasuftu
2009-08-01,5.2,40.02,23.49,32.35,16.38,0.15,52.65,Dekasuftu
2009-09-01,5.2,40.02,24.89,33.87,17.3,0.66,49.31,Dekasuftu
2009-10-01,5.2,40.02,22.78,31.99,14.86,3.73,69.45,Dekasuftu
2009-11-01,5.2,40.02,22.27,31.8,13.39,1.1,62.58,Dekasuftu
2009-12-01,5.2,40.02,23.52,32.39,15.79,0.88,55.19,Dekasuftu
2010-01-01,5.2,40.02,23.49,33.35,12.49,0.13,40.64,Dekasuftu
2010-02-01,5.2,40.02,25.75,34.96,16.84,1.3,43.85,Dekasuftu
2010-03-01,5.2,40.02,23.67,34.08,14.72,2.99,65.2,Dekasuftu
