period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.25,40.47,19.98,30.44,10.44,0.31,38.67,Delo
2008-02-01,7.25,40.47,20.55,30.98,9.18,0.02,30.26,Delo
2008-03-01,7.25,40.47,22.26,32.97,9.96,0.05,25.98,Delo
2008-04-01,7.25,40.47,21.07,31.23,13.12,2.13,63.04,Delo
2008-05-01,7.25,40.47,22.15,31.49,14.34,1.18,61.13,Delo
2008-06-01,7.25,40.47,22.17,32.76,14.22,0.98,55.4,Delo
2008-07-01,7.25,40.47,21.33,31.68,13.3,4.38,61.09,Delo
2008-08-01,7.25,40.47,20.25,28.21,13.32,5.7,69.26,Delo
2008-09-01,7.25,40.47,21.01,30.03,14.18,1.96,66.27,Delo
2008-10-01,7.25,40.47,19.89,28.85,10.94,3.33,67.02,Delo
2008-11-01,7.25,40.47,17.67,27.06,7.79,3.28,66.69,Delo
2008-12-01,7.25,40.47,18.59,29.02,8.15,0.03,50.83,Delo
2009-01-01,7.25,40.47,19.17,29.32,9.02,1.54,51.73,Delo
2009-02-01,7.25,40.47,20.5,30.88,11.39,0.25,46.15,Delo
2009-03-01,7.25,40.47,22.4,33.3,12.14,0.56,43.13,Delo
2009-04-01,7.25,40.47,21.41,31.16,14.9,2.71,68.37,Delo
2009-05-01,7.25,40.47,22.56,32.09,14.37,1.22,59.54,Delo
2009-06-01,7.25,40.47,22.91,33.5,14.52,1.83,54.56,Delo
2009-07-01,7.25,40.47,21.24,30.02,13.89,2.72,58.57,Delo
2009-08-01,7.25,40.47,21.5,30.69,13.86,2.48,58.31,Delo
2009-09-01,7.25,40.47,21.79,31.3,14.55,2.28,60.08,Delo
2009-10-01,7.25,40.47,19.52,28.6,13.19,3.59,72.43,Delo
2009-11-01,7.25,40.47,19.55,29.18,9.87,0.59,54.73,Delo
2009-12-01,7.25,40.47,19.79,28.54,12.93,1.83,62.17,Delo
2010-01-01,7.25,40.47,20.09,30.33,10.58,0.02,44.43,Delo
2010-02-01,7.25,40.47,21.34,32.03,14.15,3.77,53.47,Delo
2010-03-01,7.25,40.47,19.59,28.1,10.64,5.65,72.69,Delo
2010-04-01,7.25,40.47,20.02,27.69,12.48,5.21,78.38,Delo
2010-05-01,7.25,40.47,20.76,27.62,14.97,3.59,77.8,Delo
2010-06-01,7.25,40.47,20.93,29.84,13.62,2.64,68.46,Delo
2010-07-01,7.25,40.47,19.98,27.94,13.64,4.29,70.0,Delo
2010-08-01,7.25,40.47,19.91,28.17,13.94,5.68,71.55,Delo
2010-09-01,7.25,40.47,19.89,28.26,13.54,3.65,71.55,Delo
2010-10-01,7.25,40.47,19.66,28.51,12.98,1.62,68.17,Delo
2010-11-01,7.25,40.47,19.16,28.09,9.8,0.56,55.12,Delo
2010-12-01,7.25,40.47,18.96,29.7,7.83,0.05,43.13,Delo
2011-01-01,7.25,40.47,20.04,30.97,9.4,0.06,37.7,Delo
2011-02-01,7.25,40.47,21.41,31.75,10.78,0.08,32.4,Delo
2011-03-01,7.25,40.47,21.61,32.07,12.55,0.82,39.32,Delo
2011-04-01,7.25,40.47,22.06,31.55,14.53,2.81,56.91,Delo
2011-05-01,7.25,40.47,20.93,30.28,14.53,3.68,72.0,Delo
2011-06-01,7.25,40.47,21.6,30.71,14.22,0.75,64.24,Delo
2011-07-01,7.25,40.47,21.68,30.89,14.45,1.88,60.29,Delo
2011-08-01,7.25,40.47,22.02,31.24,15.13,1.04,55.91,Delo
2011-09-01,7.25,40.47,22.49,31.65,15.39,0.92,54.94,Delo
2011-10-01,7.25,40.47,20.5,30.0,12.3,1.79,62.31,Delo
2011-11-01,7.25,40.47,19.12,29.52,11.76,3.29,72.32,Delo
2011-12-01,7.25,40.47,18.89,29.93,7.95,0.11,48.4,Delo
2012-01-01,7.25,40.47,20.37,30.77,9.97,0.01,35.04,Delo
2012-02-01,7.25,40.47,21.16,32.23,10.71,0.01,31.23,Delo
2012-03-01,7.25,40.47,22.38,32.51,12.25,0.1,32.77,Delo
2012-04-01,7.25,40.47,19.84,28.66,12.92,7.08,74.83,Delo
2012-05-01,7.25,40.47,20.82,29.8,14.05,1.7,71.05,Delo
2012-06-01,7.25,40.47,21.95,31.98,14.84,0.59,59.12,Delo
2012-07-01,7.25,40.47,21.02,29.32,14.3,3.57,64.65,Delo
2012-08-01,7.25,40.47,20.1,29.31,13.63,9.38,71.46,Delo
2012-09-01,7.25,40.47,19.46,26.58,12.78,4.47,75.42,Delo
2012-10-01,7.25,40.47,18.97,26.73,11.82,1.18,74.03,Delo
2012-11-01,7.25,40.47,19.14,27.96,9.9,0.85,67.01,Delo
2012-12-01,7.25,40.47,19.55,29.12,10.44,0.32,54.94,Delo
2013-01-01,7.25,40.47,20.43,32.09,10.81,0.53,47.06,Delo
2013-02-01,7.25,40.47,21.72,32.73,12.79,0.01,34.56,Delo
2013-03-01,7.25,40.47,21.2,32.35,13.99,3.91,61.36,Delo
2013-04-01,7.25,40.47,19.91,27.36,13.53,5.57,81.4,Delo
2013-05-01,7.25,40.47,20.57,28.68,14.55,1.94,74.33,Delo
2013-06-01,7.25,40.47,20.73,30.06,13.82,1.04,66.56,Delo
2013-07-01,7.25,40.47,19.77,29.26,14.04,6.91,72.36,Delo
2013-08-01,7.25,40.47,19.34,26.59,13.11,5.11,73.56,Delo
2013-09-01,7.25,40.47,20.18,28.41,13.11,2.75,69.95,Delo
2013-10-01,7.25,40.47,18.96,27.5,11.11,2.83,72.49,Delo
2013-11-01,7.25,40.47,17.86,24.85,10.75,5.57,77.71,Delo
2013-12-01,7.25,40.47,17.97,26.88,8.48,0.09,54.41,Delo
2014-01-01,7.25,40.47,19.7,29.84,11.44,0.01,47.79,Delo
2014-02-01,7.25,40.47,21.51,31.02,13.21,0.33,47.77,Delo
