period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.138,39.6342,13.08,23.74,4.19,0.31,53.3,Dessie
2008-02-01,11.138,39.6342,13.37,25.46,2.19,0.05,47.41,Dessie
2008-03-01,11.138,39.6342,14.94,27.3,2.29,0.0,28.01,Dessie
2008-04-01,11.138,39.6342,14.42,26.16,4.5,1.16,57.1,Dessie
2008-05-01,11.138,39.6342,16.26,26.11,8.46,1.15,57.52,Dessie
2008-06-01,11.138,39.6342,16.84,26.66,9.33,0.85,54.49,Dessie
2008-07-01,11.138,39.6342,15.55,25.88,9.38,7.09,69.03,Dessie
2008-08-01,11.138,39.6342,14.19,20.36,9.52,7.73,78.28,Dessie
2008-09-01,11.138,39.6342,13.68,19.88,7.46,3.18,76.57,Dessie
2008-10-01,11.138,39.6342,12.53,20.97,4.42,0.42,71.91,Dessie
2008-11-01,11.138,39.6342,11.16,21.28,0.57,1.8,67.5,Dessie
2008-12-01,11.138,39.6342,11.62,22.24,2.87,0.12,58.81,Dessie
2009-01-01,11.138,39.6342,13.29,24.27,3.5,0.63,54.74,Dessie
2009-02-01,11.138,39.6342,14.28,25.75,5.54,0.16,54.48,Dessie
2009-03-01,11.138,39.6342,15.96,26.78,7.51,0.82,54.67,Dessie
2009-04-01,11.138,39.6342,15.56,26.3,6.64,1.3,61.64,Dessie
2009-05-01,11.138,39.6342,16.76,26.61,8.27,0.11,45.36,Dessie
2009-06-01,11.138,39.6342,17.55,26.74,9.67,1.55,50.0,Dessie
2009-07-01,11.138,39.6342,14.32,22.47,7.16,10.67,77.39,Dessie
2009-08-01,11.138,39.6342,14.4,20.55,9.12,6.89,78.67,Dessie
2009-09-01,11.138,39.6342,13.83,20.31,8.23,2.22,72.85,Dessie
2009-10-01,11.138,39.6342,12.09,19.61,3.21,2.71,72.89,Dessie
2009-11-01,11.138,39.6342,11.74,21.92,1.53,0.1,58.73,Dessie
2009-12-01,11.138,39.6342,13.24,22.61,6.57,0.86,70.91,Dessie
2010-01-01,11.138,39.6342,13.46,24.27,5.0,0.01,58.28,Dessie
2010-02-01,11.138,39.6342,15.06,26.28,7.97,1.62,63.9,Dessie
2010-03-01,11.138,39.6342,14.61,24.92,5.32,2.0,64.46,Dessie
2010-04-01,11.138,39.6342,15.99,25.02,8.51,2.04,68.65,Dessie
2010-05-01,11.138,39.6342,16.31,24.89,10.32,2.06,68.28,Dessie
2010-06-01,11.138,39.6342,16.83,25.42,11.14,2.14,58.0,Dessie
2010-07-01,11.138,39.6342,14.52,23.85,8.67,11.13,77.46,Dessie
2010-08-01,11.138,39.6342,13.8,19.99,9.03,12.19,84.68,Dessie
2010-09-01,11.138,39.6342,13.46,19.7,7.48,3.16,81.39,Dessie
2010-10-01,11.138,39.6342,12.18,18.96,5.17,0.5,73.67,Dessie
2010-11-01,11.138,39.6342,11.55,21.8,3.15,0.55,63.96,Dessie
2010-12-01,11.138,39.6342,12.0,21.81,2.66,0.17,59.57,Dessie
2011-01-01,11.138,39.6342,13.5,23.54,5.38,0.27,61.72,Dessie
2011-02-01,11.138,39.6342,14.26,25.43,4.82,0.11,46.8,Dessie
2011-03-01,11.138,39.6342,13.8,25.58,5.3,1.77,56.99,Dessie
2011-04-01,11.138,39.6342,15.59,25.9,7.45,0.96,60.76,Dessie
2011-05-01,11.138,39.6342,15.98,26.89,7.93,2.08,62.97,Dessie
2011-06-01,11.138,39.6342,16.55,25.05,10.79,1.21,58.87,Dessie
2011-07-01,11.138,39.6342,15.13,23.37,9.78,5.06,73.45,Dessie
2011-08-01,11.138,39.6342,14.37,20.96,9.47,4.61,78.78,Dessie
2011-09-01,11.138,39.6342,14.41,20.8,7.0,1.3,73.35,Dessie
2011-10-01,11.138,39.6342,12.74,22.34,3.72,0.3,60.59,Dessie
2011-11-01,11.138,39.6342,13.47,23.76,4.93,0.54,65.87,Dessie
2011-12-01,11.138,39.6342,12.18,23.72,2.46,0.01,52.17,Dessie
2012-01-01,11.138,39.6342,13.34,24.38,3.43,0.02,53.14,Dessie
2012-02-01,11.138,39.6342,13.28,26.0,4.31,0.0,41.55,Dessie
2012-03-01,11.138,39.6342,15.05,26.59,4.92,0.66,44.34,Dessie
2012-04-01,11.138,39.6342,15.66,24.83,7.91,1.93,65.84,Dessie
2012-05-01,11.138,39.6342,16.23,25.96,7.85,0.58,57.4,Dessie
2012-06-01,11.138,39.6342,17.16,26.77,10.29,1.05,49.07,Dessie
2012-07-01,11.138,39.6342,14.79,22.44,9.57,8.99,76.5,Dessie
2012-08-01,11.138,39.6342,14.05,19.17,9.8,7.09,81.55,Dessie
2012-09-01,11.138,39.6342,13.87,19.05,8.64,2.24,77.68,Dessie
2012-10-01,11.138,39.6342,11.92,20.99,2.38,0.15,64.87,Dessie
2012-11-01,11.138,39.6342,12.98,22.79,4.74,0.04,58.34,Dessie
2012-12-01,11.138,39.6342,12.71,23.76,4.08,0.28,55.63,Dessie
2013-01-01,11.138,39.6342,13.51,25.58,4.06,1.22,59.15,Dessie
2013-02-01,11.138,39.6342,14.58,26.63,5.14,0.03,47.5,Dessie
2013-03-01,11.138,39.6342,16.17,27.83,6.61,1.56,59.79,Dessie
2013-04-01,11.138,39.6342,16.58,25.89,9.4,1.68,66.52,Dessie
2013-05-01,11.138,39.6342,16.63,25.93,9.7,1.42,58.93,Dessie
2013-06-01,11.138,39.6342,16.76,25.84,10.84,3.18,56.03,Dessie
2013-07-01,11.138,39.6342,14.07,21.35,9.03,18.28,82.32,Dessie
2013-08-01,11.138,39.6342,13.31,18.78,8.91,8.67,84.28,Dessie
2013-09-01,11.138,39.6342,13.46,19.1,8.33,2.55,78.26,Dessie
2013-10-01,11.138,39.6342,11.95,18.84,5.0,3.82,76.32,Dessie
2013-11-01,11.138,39.6342,11.69,19.94,3.87,0.48,73.88,Dessie
2013-12-01,11.138,39.6342,11.5,22.18,1.72,0.02,56.71,Dessie
2014-01-01,11.138,39.6342,13.68,23.93,4.07,0.12,59.09,Dessie
2014-02-01,11.138,39.6342,15.04,25.39,7.21,0.82,62.81,Dessie
2014-03-01,11.138,39.6342,15.14,25.47,7.41,2.24,65.23,Dessie
2014-04-01,11.138,39.6342,14.8,23.59,5.8,2.25,68.65,Dessie
2014-05-01,11.138,39.6342,15.58,24.07,8.13,2.07,69.13,Dessie
2014-06-01,11.138,39.6342,16.82,25.45,10.32,1.95,55.67,Dessie
2014-07-01,11.138,39.6342,15.42,24.95,9.7,8.61,72.97,Dessie
2014-08-01,11.138,39.6342,13.92,20.57,9.51,8.16,80.17,Dessie
2014-09-01,11.138,39.6342,13.1,18.4,8.56,4.86,81.86,Dessie
2014-10-01,11.138,39.6342,11.77,18.94,5.38,2.34,79.91,Dessie
2014-11-01,11.138,39.6342,11.63,21.08,3.04,0.32,72.67,Dessie
2014-12-01,11.138,39.6342,11.36,21.73,1.57,0.24,62.3,Dessie
2015-01-01,11.138,39.6342,12.4,23.23,3.54,0.46,55.28,Dessie
2015-02-01,11.138,39.6342,14.51,25.65,4.47,0.21,46.79,Dessie
2015-03-01,11.138,39.6342,14.9,26.37,5.1,1.58,52.8,Dessie
2015-04-01,11.138,39.6342,15.45,26.07,6.1,0.01,48.45,Dessie
2015-05-01,11.138,39.6342,16.16,25.89,7.19,2.28,63.87,Dessie
2015-06-01,11.138,39.6342,16.18,25.67,8.07,2.32,60.27,Dessie
2015-07-01,11.138,39.6342,16.41,24.67,10.51,4.24,63.2,Dessie
2015-08-01,11.138,39.6342,14.77,21.64,9.98,11.58,77.63,Dessie
2015-09-01,11.138,39.6342,13.83,20.62,8.48,3.93,77.3,Dessie
2015-10-01,11.138,39.6342,12.65,20.61,5.6,1.08,73.65,Dessie
2015-11-01,11.138,39.6342,12.11,20.78,3.32,2.61,75.16,Dessie
2015-12-01,11.138,39.6342,12.4,21.67,4.1,1.7,74.33,Dessie
2016-01-01,11.138,39.6342,14.05,23.5,6.65,0.33,69.54,Dessie
2016-02-01,11.138,39.6342,14.92,26.48,5.18,0.73,57.2,Dessie
2016-03-01,11.138,39.6342,16.4,26.81,8.21,2.25,63.76,Dessie
2016-04-01,11.138,39.6342,15.91,25.96,9.62,5.66,74.55,Dessie
2016-05-01,11.138,39.6342,14.7,21.7,9.38,6.52,71.56,Dessie
2016-06-01,11.138,39.6342,15.69,23.25,10.32,3.29,63.74,Dessie
2016-07-01,11.138,39.6342,14.42,21.21,9.32,9.87,80.6,Dessie
2016-08-01,11.138,39.6342,13.8,19.59,9.29,11.19,81.88,Dessie
2016-09-01,11.138,39.6342,13.52,19.63,8.79,5.36,79.05,Dessie
2016-10-01,11.138,39.6342,12.04,19.2,4.62,0.93,71.15,Dessie
2016-11-01,11.138,39.6342,11.19,21.5,0.62,0.3,61.32,Dessie
2016-12-01,11.138,39.6342,10.84,22.05,0.64,0.06,58.17,Dessie
2017-01-01,11.138,39.6342,11.59,24.86,0.99,0.0,34.93,Dessie
2017-02-01,11.138,39.6342,14.31,25.12,6.97,2.12,66.07,Dessie
2017-03-01,11.138,39.6342,15.16,24.52,6.66,2.99,62.23,Dessie
2017-04-01,11.138,39.6342,14.67,25.15,6.45,0.66,61.4,Dessie
2017-05-01,11.138,39.6342,15.27,23.4,8.5,4.16,73.27,Dessie
2017-06-01,11.138,39.6342,16.99,25.72,10.41,1.6,53.13,Dessie
2017-07-01,11.138,39.6342,15.68,23.07,10.65,8.68,73.9,Dessie
2017-08-01,11.138,39.6342,14.68,21.46,9.73,10.61,80.64,Dessie
2017-09-01,11.138,39.6342,13.43,19.74,9.02,7.87,82.25,Dessie
2017-10-01,11.138,39.6342,12.44,19.35,4.98,1.27,79.17,Dessie
2017-11-01,11.138,39.6342,11.34,20.42,3.52,0.68,69.13,Dessie
2017-12-01,11.138,39.6342,10.67,21.9,1.44,0.0,50.47,Dessie
2018-01-01,11.138,39.6342,13.0,24.29,4.25,0.08,56.08,Dessie
2018-02-01,11.138,39.6342,13.93,24.92,3.31,3.41,60.31,Dessie
2018-03-01,11.138,39.6342,14.26,24.62,5.35,0.69,60.74,Dessie
2018-04-01,11.138,39.6342,14.68,23.49,8.23,5.22,75.35,Dessie
2018-05-01,11.138,39.6342,15.74,24.67,7.49,0.83,64.43,Dessie
2018-06-01,11.138,39.6342,15.94,24.07,10.32,2.62,65.3,Dessie
2018-07-01,11.138,39.6342,15.0,22.24,9.75,6.72,76.48,Dessie
2018-08-01,11.138,39.6342,14.16,20.47,7.81,7.08,81.01,Dessie
2018-09-01,11.138,39.6342,13.21,19.61,6.99,4.88,77.7,Dessie
2018-10-01,11.138,39.6342,12.18,19.38,3.82,2.15,77.18,Dessie
2018-11-01,11.138,39.6342,11.63,20.87,3.4,1.91,71.11,Dessie
2018-12-01,11.138,39.6342,12.02,22.5,3.92,0.09,63.85,Dessie
2019-01-01,11.138,39.6342,12.41,25.59,1.67,0.0,44.49,Dessie
2019-02-01,11.138,39.6342,14.7,26.07,5.28,2.82,59.94,Dessie
2019-03-01,11.138,39.6342,15.39,24.95,8.99,3.32,71.9,Dessie
2019-04-01,11.138,39.6342,15.0,22.54,8.14,5.33,76.36,Dessie
2019-05-01,11.138,39.6342,15.45,25.18,8.4,0.57,63.06,Dessie
2019-06-01,11.138,39.6342,16.63,25.29,7.78,2.17,60.99,Dessie
2019-07-01,11.138,39.6342,15.97,23.68,11.05,3.54,69.6,Dessie
2019-08-01,11.138,39.6342,14.54,21.26,9.85,8.38,78.27,Dessie
2019-09-01,11.138,39.6342,14.22,19.89,8.46,8.47,80.7,Dessie
2019-10-01,11.138,39.6342,11.38,18.91,4.58,3.29,78.63,Dessie
2019-11-01,11.138,39.6342,12.16,19.58,5.99,1.63,79.52,Dessie
2019-12-01,11.138,39.6342,12.05,22.31,2.65,1.55,74.58,Dessie
2020-01-01,11.138,39.6342,13.45,23.75,4.47,0.42,67.89,Dessie
2020-02-01,11.138,39.6342,14.48,26.22,6.51,0.67,65.06,Dessie
2020-03-01,11.138,39.6342,15.95,26.03,7.7,1.98,64.49,Dessie
2020-04-01,11.138,39.6342,15.37,26.12,8.15,5.97,71.58,Dessie
2020-05-01,11.138,39.6342,14.87,23.0,7.05,3.47,69.92,Dessie
2020-06-01,11.138,39.6342,15.79,23.14,10.57,3.28,64.99,Dessie
2020-07-01,11.138,39.6342,14.26,22.48,9.02,10.26,79.0,Dessie
2020-08-01,11.138,39.6342,13.7,20.02,8.57,14.44,85.2,Dessie
2020-09-01,11.138,39.6342,13.58,19.15,9.3,5.93,81.04,Dessie
2020-10-01,11.138,39.6342,11.9,18.78,4.65,2.77,75.31,Dessie
2020-11-01,11.138,39.6342,10.97,20.06,2.69,0.36,68.05,Dessie
2020-12-01,11.138,39.6342,11.6,22.06,3.89,0.03,62.38,Dessie
2021-01-01,11.138,39.6342,12.26,23.27,3.81,0.53,54.88,Dessie
2021-02-01,11.138,39.6342,13.67,24.41,5.47,1.5,60.09,Dessie
2021-03-01,11.138,39.6342,14.31,26.42,4.13,0.05,46.6,Dessie
2021-04-01,11.138,39.6342,15.44,27.2,5.84,2.65,51.38,Dessie
2021-05-01,11.138,39.6342,14.92,23.38,7.56,3.47,66.93,Dessie
2021-06-01,11.138,39.6342,16.57,25.29,8.89,1.06,59.77,Dessie
2021-07-01,11.138,39.6342,14.29,22.55,9.69,15.86,81.29,Dessie
2021-08-01,11.138,39.6342,14.03,20.43,9.3,9.93,82.51,Dessie
2021-09-01,11.138,39.6342,13.55,19.54,8.56,6.0,80.68,Dessie
2021-10-01,11.138,39.6342,12.2,19.33,3.46,1.39,77.92,Dessie
2021-11-01,11.138,39.6342,11.72,21.26,3.03,2.53,67.09,Dessie
2021-12-01,11.138,39.6342,11.65,21.98,0.62,1.51,65.96,Dessie
2022-01-01,11.138,39.6342,12.36,21.92,3.49,1.88,71.83,Dessie
2022-02-01,11.138,39.6342,13.73,23.85,5.59,0.45,65.12,Dessie
2022-03-01,11.138,39.6342,14.24,26.22,4.87,2.51,58.57,Dessie
2022-04-01,11.138,39.6342,15.32,24.54,6.33,2.74,62.76,Dessie
2022-05-01,11.138,39.6342,16.49,26.23,9.41,0.34,52.62,Dessie
