period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,4.42,41.42,24.68,34.45,15.15,1.09,44.79,Dolo Ado
2008-02-01,4.42,41.42,25.22,35.4,14.94,0.0,33.78,Dolo Ado
2008-03-01,4.42,41.42,27.39,36.69,17.3,0.08,36.5,Dolo Ado
2008-04-01,4.42,41.42,25.99,35.96,19.56,5.27,64.12,Dolo Ado
2008-05-01,4.42,41.42,25.61,32.93,19.26,0.37,64.76,Dolo Ado
2008-06-01,4.42,41.42,24.66,33.18,17.58,0.31,59.53,Dolo Ado
2008-07-01,4.42,41.42,24.32,31.99,17.95,0.24,57.28,Dolo Ado
2008-08-01,4.42,41.42,25.53,33.26,18.52,0.4,53.05,Dolo Ado
2008-09-01,4.42,41.42,27.23,36.44,19.08,0.24,47.11,Dolo Ado
2008-10-01,4.42,41.42,26.78,34.76,21.01,2.03,57.37,Dolo Ado
2008-11-01,4.42,41.42,23.27,31.24,14.88,4.75,67.25,Dolo Ado
2008-12-01,4.42,41.42,23.6,32.71,13.99,0.02,48.27,Dolo Ado
2009-01-01,4.42,41.42,24.81,34.49,14.59,0.41,46.28,Dolo Ado
2009-02-01,4.42,41.42,26.82,35.87,16.95,0.31,39.45,Dolo Ado
2009-03-01,4.42,41.42,28.27,37.11,18.38,0.44,41.15,Dolo Ado
2009-04-01,4.42,41.42,26.76,34.73,19.6,2.7,62.72,Dolo Ado
2009-05-01,4.42,41.42,26.52,34.36,20.21,0.89,60.21,Dolo Ado
2009-06-01,4.42,41.42,26.64,34.82,19.47,0.16,54.55,Dolo Ado
2009-07-01,4.42,41.42,25.26,33.59,18.12,0.02,53.17,Dolo Ado
2009-08-01,4.42,41.42,25.77,33.69,18.61,0.01,50.71,Dolo Ado
2009-09-01,4.42,41.42,27.24,35.66,19.52,0.19,47.05,Dolo Ado
2009-10-01,4.42,41.42,25.13,35.12,18.61,6.52,66.67,Dolo Ado
2009-11-01,4.42,41.42,23.87,32.19,17.07,1.78,67.25,Dolo Ado
2009-12-01,4.42,41.42,25.0,32.2,17.26,0.81,56.89,Dolo Ado
2010-01-01,4.42,41.42,24.9,34.49,14.46,0.03,43.11,Dolo Ado
2010-02-01,4.42,41.42,27.73,36.02,18.9,1.41,42.73,Dolo Ado
2010-03-01,4.42,41.42,26.12,35.26,17.45,4.28,63.81,Dolo Ado
2010-04-01,4.42,41.42,25.1,32.72,19.51,5.51,77.47,Dolo Ado
2010-05-01,4.42,41.42,25.75,33.16,19.36,1.27,68.96,Dolo Ado
2010-06-01,4.42,41.42,25.68,33.85,19.56,0.09,61.31,Dolo Ado
2010-07-01,4.42,41.42,24.58,32.63,18.31,0.08,57.27,Dolo Ado
2010-08-01,4.42,41.42,25.05,33.12,17.5,0.24,54.24,Dolo Ado
2010-09-01,4.42,41.42,26.54,35.31,18.73,0.09,48.08,Dolo Ado
