period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.13,38.05,18.37,26.26,10.48,0.39,46.32,Ebinat
2008-02-01,12.13,38.05,19.07,26.81,9.48,0.0,37.7,Ebinat
2008-03-01,12.13,38.05,20.72,28.76,10.88,0.01,28.03,Ebinat
2008-04-01,12.13,38.05,20.01,28.42,11.71,1.13,43.97,Ebinat
2008-05-01,12.13,38.05,20.52,27.64,14.19,2.09,52.91,Ebinat
2008-06-01,12.13,38.05,19.12,26.31,14.19,2.0,62.86,Ebinat
2008-07-01,12.13,38.05,17.24,24.11,12.9,10.98,75.57,Ebinat
2008-08-01,12.13,38.05,16.89,21.51,13.34,14.12,76.83,Ebinat
2008-09-01,12.13,38.05,17.48,22.18,12.98,4.16,69.98,Ebinat
2008-10-01,12.13,38.05,16.94,22.32,10.0,1.1,63.84,Ebinat
2008-11-01,12.13,38.05,16.44,23.4,7.24,1.77,54.94,Ebinat
2008-12-01,12.13,38.05,17.29,24.33,10.39,0.05,47.61,Ebinat
2009-01-01,12.13,38.05,17.96,25.58,10.36,0.43,42.14,Ebinat
2009-02-01,12.13,38.05,19.94,27.76,11.74,0.32,42.78,Ebinat
2009-03-01,12.13,38.05,21.43,29.41,14.57,0.54,42.13,Ebinat
2009-04-01,12.13,38.05,20.94,29.01,13.42,0.78,43.43,Ebinat
2009-05-01,12.13,38.05,21.96,28.69,14.05,0.32,37.35,Ebinat
2009-06-01,12.13,38.05,20.82,29.27,14.27,2.92,55.53,Ebinat
2009-07-01,12.13,38.05,16.75,23.46,12.94,12.88,78.75,Ebinat
2009-08-01,12.13,38.05,17.45,21.78,13.68,11.16,76.51,Ebinat
2009-09-01,12.13,38.05,17.99,22.34,13.52,2.63,65.27,Ebinat
2009-10-01,12.13,38.05,17.1,22.44,9.58,3.59,60.14,Ebinat
2009-11-01,12.13,38.05,16.97,23.53,8.52,0.26,50.62,Ebinat
2009-12-01,12.13,38.05,17.63,24.34,10.88,0.49,53.7,Ebinat
