period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.07,38.47,19.48,29.7,9.35,0.12,40.69,Enseno
2008-02-01,8.07,38.47,19.93,30.25,9.13,0.1,37.17,Enseno
2008-03-01,8.07,38.47,21.61,32.06,9.09,0.12,25.67,Enseno
2008-04-01,8.07,38.47,21.51,32.71,11.7,1.66,53.23,Enseno
2008-05-01,8.07,38.47,22.02,31.25,15.46,1.55,58.79,Enseno
2008-06-01,8.07,38.47,20.41,29.01,14.2,2.45,66.96,Enseno
2008-07-01,8.07,38.47,19.02,27.2,12.38,8.94,74.67,Enseno
2008-08-01,8.07,38.47,18.23,23.73,13.76,8.5,80.51,Enseno
2008-09-01,8.07,38.47,18.65,24.62,12.73,4.71,77.42,Enseno
2008-10-01,8.07,38.47,18.04,26.4,9.29,1.89,69.06,Enseno
2008-11-01,8.07,38.47,16.18,25.25,6.44,2.5,67.98,Enseno
2008-12-01,8.07,38.47,17.07,27.8,7.12,0.05,54.39,Enseno
2009-01-01,8.07,38.47,18.56,28.48,7.89,1.06,54.38,Enseno
2009-02-01,8.07,38.47,20.85,31.69,10.7,0.08,44.21,Enseno
2009-03-01,8.07,38.47,22.97,33.37,13.58,0.79,40.28,Enseno
2009-04-01,8.07,38.47,21.8,31.45,13.88,1.59,58.94,Enseno
2009-05-01,8.07,38.47,22.74,32.14,14.68,1.3,50.39,Enseno
2009-06-01,8.07,38.47,22.21,31.99,14.92,2.55,59.02,Enseno
2009-07-01,8.07,38.47,18.82,26.07,13.55,6.85,74.58,Enseno
2009-08-01,8.07,38.47,18.76,24.75,13.34,6.04,78.66,Enseno
2009-09-01,8.07,38.47,19.22,26.23,12.79,3.62,72.89,Enseno
2009-10-01,8.07,38.47,18.05,26.45,9.18,2.92,70.52,Enseno
2009-11-01,8.07,38.47,17.82,27.92,8.19,0.09,54.25,Enseno
2009-12-01,8.07,38.47,19.01,28.15,11.25,1.48,64.59,Enseno
2010-01-01,8.07,38.47,19.53,30.32,9.42,0.04,48.41,Enseno
2010-02-01,8.07,38.47,20.85,31.02,13.08,2.16,58.99,Enseno
2010-03-01,8.07,38.47,20.64,29.94,10.97,2.13,62.61,Enseno
2010-04-01,8.07,38.47,21.53,31.83,12.6,3.24,64.17,Enseno
2010-05-01,8.07,38.47,21.62,31.16,15.85,3.59,67.65,Enseno
2010-06-01,8.07,38.47,20.33,28.51,13.97,5.08,71.58,Enseno
2010-07-01,8.07,38.47,18.39,24.87,13.69,7.9,79.84,Enseno
2010-08-01,8.07,38.47,18.1,24.25,13.15,6.39,82.45,Enseno
2010-09-01,8.07,38.47,18.43,23.9,12.8,5.14,79.65,Enseno
2010-10-01,8.07,38.47,18.02,25.89,10.06,0.69,68.69,Enseno
2010-11-01,8.07,38.47,18.19,27.13,8.63,0.36,55.3,Enseno
2010-12-01,8.07,38.47,18.16,28.49,6.54,0.52,47.43,Enseno
2011-01-01,8.07,38.47,19.65,29.58,8.6,0.1,44.92,Enseno
2011-02-01,8.07,38.47,20.69,31.26,9.51,0.3,37.92,Enseno
2011-03-01,8.07,38.47,21.23,31.54,11.49,1.29,43.3,Enseno
2011-04-01,8.07,38.47,22.69,32.28,12.33,1.49,50.59,Enseno
2011-05-01,8.07,38.47,21.52,30.62,15.13,3.23,63.83,Enseno
2011-06-01,8.07,38.47,20.33,28.21,14.2,3.12,70.45,Enseno
2011-07-01,8.07,38.47,19.15,27.48,14.03,4.4,74.46,Enseno
2011-08-01,8.07,38.47,18.88,25.42,12.27,3.49,76.45,Enseno
2011-09-01,8.07,38.47,19.61,27.82,13.97,2.5,72.67,Enseno
2011-10-01,8.07,38.47,19.27,29.32,9.86,0.47,51.59,Enseno
2011-11-01,8.07,38.47,19.39,28.64,9.55,1.12,58.83,Enseno
2011-12-01,8.07,38.47,18.3,28.07,7.11,0.03,43.61,Enseno
2012-01-01,8.07,38.47,19.48,29.65,8.05,0.0,40.21,Enseno
2012-02-01,8.07,38.47,20.74,31.29,10.17,0.02,33.48,Enseno
2012-03-01,8.07,38.47,22.35,32.48,10.73,0.42,33.46,Enseno
2012-04-01,8.07,38.47,21.11,29.85,13.99,3.49,62.97,Enseno
2012-05-01,8.07,38.47,22.09,31.2,14.52,1.25,56.73,Enseno
2012-06-01,8.07,38.47,21.06,30.87,13.65,2.13,63.7,Enseno
2012-07-01,8.07,38.47,18.81,25.77,12.67,9.45,77.98,Enseno
2012-08-01,8.07,38.47,18.08,23.76,13.12,10.32,82.75,Enseno
2012-09-01,8.07,38.47,18.41,24.36,12.95,4.92,79.52,Enseno
2012-10-01,8.07,38.47,17.53,25.99,8.49,0.4,69.07,Enseno
2012-11-01,8.07,38.47,18.88,28.38,9.47,0.08,56.93,Enseno
2012-12-01,8.07,38.47,19.04,28.4,9.98,0.25,50.92,Enseno
2013-01-01,8.07,38.47,19.91,31.34,9.31,0.52,49.03,Enseno
2013-02-01,8.07,38.47,21.66,31.62,11.36,0.05,35.5,Enseno
2013-03-01,8.07,38.47,22.41,32.12,14.62,2.54,52.86,Enseno
2013-04-01,8.07,38.47,21.27,30.25,15.0,4.02,66.58,Enseno
2013-05-01,8.07,38.47,20.79,29.46,14.24,3.57,67.99,Enseno
2013-06-01,8.07,38.47,19.25,26.68,14.04,5.34,75.79,Enseno
2013-07-01,8.07,38.47,17.86,24.06,12.8,8.88,81.76,Enseno
2013-08-01,8.07,38.47,17.58,23.65,12.7,6.47,83.2,Enseno
2013-09-01,8.07,38.47,18.59,24.8,13.35,4.28,78.34,Enseno
2013-10-01,8.07,38.47,17.73,24.99,9.52,2.65,73.12,Enseno
2013-11-01,8.07,38.47,17.57,26.03,8.77,0.96,70.07,Enseno
2013-12-01,8.07,38.47,17.31,26.87,7.36,0.01,52.85,Enseno
2014-01-01,8.07,38.47,19.94,29.77,9.52,0.07,46.74,Enseno
2014-02-01,8.07,38.47,21.45,30.96,12.22,1.05,52.87,Enseno
2014-03-01,8.07,38.47,22.3,32.38,13.13,1.35,51.24,Enseno
2014-04-01,8.07,38.47,21.62,30.54,13.45,1.93,60.45,Enseno
2014-05-01,8.07,38.47,21.38,30.23,14.89,3.44,64.66,Enseno
2014-06-01,8.07,38.47,21.08,30.09,14.07,2.64,64.28,Enseno
2014-07-01,8.07,38.47,19.08,27.29,13.32,6.12,76.83,Enseno
2014-08-01,8.07,38.47,18.36,24.32,13.41,5.99,80.3,Enseno
2014-09-01,8.07,38.47,18.66,24.77,13.24,5.07,77.46,Enseno
2014-10-01,8.07,38.47,17.51,25.47,9.71,3.55,74.95,Enseno
2014-11-01,8.07,38.47,18.07,26.53,9.71,0.76,64.75,Enseno
2014-12-01,8.07,38.47,17.41,26.48,8.02,0.68,53.3,Enseno
2015-01-01,8.07,38.47,18.27,29.39,6.94,0.15,46.23,Enseno
2015-02-01,8.07,38.47,21.54,31.21,10.06,0.1,36.67,Enseno
2015-03-01,8.07,38.47,22.63,32.8,12.25,0.58,39.62,Enseno
2015-04-01,8.07,38.47,22.31,31.84,12.22,0.57,43.71,Enseno
2015-05-01,8.07,38.47,21.64,31.34,15.07,3.61,63.38,Enseno
2015-06-01,8.07,38.47,20.42,30.06,14.58,4.63,69.53,Enseno
2015-07-01,8.07,38.47,19.8,26.96,14.43,4.36,73.7,Enseno
2015-08-01,8.07,38.47,19.15,25.04,13.87,5.25,77.0,Enseno
2015-09-01,8.07,38.47,19.94,26.68,14.01,2.29,70.36,Enseno
2015-10-01,8.07,38.47,20.1,28.56,12.59,1.18,62.68,Enseno
2015-11-01,8.07,38.47,18.88,28.23,8.87,1.13,61.48,Enseno
2015-12-01,8.07,38.47,19.28,28.83,9.69,0.4,56.47,Enseno
2016-01-01,8.07,38.47,20.43,29.91,11.98,0.74,56.75,Enseno
