period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.83,42.0,20.82,31.33,10.78,0.13,37.36,Fedis
2008-02-01,8.83,42.0,20.68,32.22,8.29,0.01,31.04,Fedis
2008-03-01,8.83,42.0,22.54,34.56,9.48,0.11,20.63,Fedis
2008-04-01,8.83,42.0,21.45,31.13,13.03,4.51,62.86,Fedis
2008-05-01,8.83,42.0,20.73,30.79,14.3,3.34,73.53,Fedis
2008-06-01,8.83,42.0,20.1,31.93,13.37,1.37,69.62,Fedis
2008-07-01,8.83,42.0,19.1,29.38,12.39,6.37,74.07,Fedis
2008-08-01,8.83,42.0,18.58,24.96,12.04,6.64,79.98,Fedis
2008-09-01,8.83,42.0,20.22,28.14,13.37,2.09,71.24,Fedis
2008-10-01,8.83,42.0,20.2,28.6,11.07,2.52,61.97,Fedis
2008-11-01,8.83,42.0,17.87,27.34,8.24,2.95,61.59,Fedis
2008-12-01,8.83,42.0,18.62,29.38,9.15,0.02,45.03,Fedis
2009-01-01,8.83,42.0,19.88,29.74,10.61,0.56,47.89,Fedis
2009-02-01,8.83,42.0,21.81,31.83,13.26,0.45,39.94,Fedis
2009-03-01,8.83,42.0,23.39,34.55,12.64,1.13,40.49,Fedis
2009-04-01,8.83,42.0,21.71,32.77,14.55,4.06,67.07,Fedis
2009-05-01,8.83,42.0,22.71,33.28,14.16,1.13,61.23,Fedis
2009-06-01,8.83,42.0,21.18,32.02,13.85,4.08,68.61,Fedis
2009-07-01,8.83,42.0,19.35,28.32,12.17,3.36,71.76,Fedis
2009-08-01,8.83,42.0,19.93,28.4,12.93,2.44,69.23,Fedis
2009-09-01,8.83,42.0,21.7,31.72,14.47,2.0,62.33,Fedis
2009-10-01,8.83,42.0,20.1,31.6,12.57,3.83,66.59,Fedis
2009-11-01,8.83,42.0,19.94,29.45,8.87,0.27,46.36,Fedis
2009-12-01,8.83,42.0,20.82,30.18,11.96,0.75,53.57,Fedis
2010-01-01,8.83,42.0,20.72,31.66,8.76,0.0,37.45,Fedis
2010-02-01,8.83,42.0,21.58,33.2,14.12,2.12,50.93,Fedis
2010-03-01,8.83,42.0,21.22,30.54,11.14,3.21,63.21,Fedis
2010-04-01,8.83,42.0,21.0,29.86,13.0,6.41,74.63,Fedis
2010-05-01,8.83,42.0,20.92,27.97,15.6,5.47,80.31,Fedis
2010-06-01,8.83,42.0,19.53,28.53,12.64,3.67,80.74,Fedis
2010-07-01,8.83,42.0,18.39,25.93,12.69,5.7,80.77,Fedis
2010-08-01,8.83,42.0,18.31,25.68,12.17,6.73,81.52,Fedis
2010-09-01,8.83,42.0,19.11,26.15,12.26,5.4,76.19,Fedis
2010-10-01,8.83,42.0,20.06,28.45,12.17,0.59,59.81,Fedis
2010-11-01,8.83,42.0,19.0,27.88,10.15,0.71,53.59,Fedis
2010-12-01,8.83,42.0,18.81,29.27,7.83,0.09,42.02,Fedis
2011-01-01,8.83,42.0,20.27,31.21,9.92,0.04,39.51,Fedis
2011-02-01,8.83,42.0,21.81,32.81,11.0,0.02,33.17,Fedis
2011-03-01,8.83,42.0,22.09,33.5,11.81,1.06,36.3,Fedis
2011-04-01,8.83,42.0,22.62,32.75,13.17,3.79,57.3,Fedis
2011-05-01,8.83,42.0,21.28,31.55,15.46,4.64,73.37,Fedis
2011-06-01,8.83,42.0,20.33,28.52,13.56,1.05,74.59,Fedis
2011-07-01,8.83,42.0,19.97,30.13,12.66,2.85,72.31,Fedis
2011-08-01,8.83,42.0,20.2,30.01,13.41,1.81,68.74,Fedis
2011-09-01,8.83,42.0,20.91,29.78,14.07,1.74,67.63,Fedis
2011-10-01,8.83,42.0,21.53,32.46,11.07,0.87,47.87,Fedis
2011-11-01,8.83,42.0,20.79,31.12,11.99,1.17,57.4,Fedis
2011-12-01,8.83,42.0,19.98,30.92,8.94,0.02,36.45,Fedis
2012-01-01,8.83,42.0,20.98,31.55,10.17,0.0,35.72,Fedis
2012-02-01,8.83,42.0,21.83,33.17,11.43,0.0,29.96,Fedis
2012-03-01,8.83,42.0,23.11,33.82,12.56,0.08,28.71,Fedis
2012-04-01,8.83,42.0,20.71,30.78,12.1,4.97,71.12,Fedis
2012-05-01,8.83,42.0,21.27,30.88,14.77,3.29,72.83,Fedis
2012-06-01,8.83,42.0,20.68,31.83,13.41,1.19,69.38,Fedis
2012-07-01,8.83,42.0,19.43,28.88,12.63,3.59,73.83,Fedis
2012-08-01,8.83,42.0,19.4,27.44,13.35,6.84,76.37,Fedis
2012-09-01,8.83,42.0,19.37,26.51,13.77,4.31,77.82,Fedis
2012-10-01,8.83,42.0,20.37,29.73,11.21,0.31,59.04,Fedis
2012-11-01,8.83,42.0,20.93,30.67,11.64,0.33,51.46,Fedis
2012-12-01,8.83,42.0,20.85,30.49,10.96,0.09,43.94,Fedis
2013-01-01,8.83,42.0,21.12,32.7,11.28,0.71,43.79,Fedis
2013-02-01,8.83,42.0,22.54,33.24,12.32,0.0,30.5,Fedis
2013-03-01,8.83,42.0,21.55,33.26,14.31,3.44,58.75,Fedis
