period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.11,40.65,23.52,33.53,14.2,0.65,41.62,Filtu
2008-02-01,5.11,40.65,24.03,34.06,13.69,0.0,31.76,Filtu
2008-03-01,5.11,40.65,25.89,35.86,15.65,0.15,34.92,Filtu
2008-04-01,5.11,40.65,24.03,34.37,17.04,5.67,66.5,Filtu
2008-05-01,5.11,40.65,23.96,31.78,16.71,0.46,66.59,Filtu
2008-06-01,5.11,40.65,23.46,32.17,16.41,0.25,58.69,Filtu
2008-07-01,5.11,40.65,23.2,32.29,16.58,0.38,56.75,Filtu
2008-08-01,5.11,40.65,24.2,32.26,17.16,0.6,53.62,Filtu
2008-09-01,5.11,40.65,25.71,35.15,17.78,0.65,47.96,Filtu
2008-10-01,5.11,40.65,24.75,33.28,18.01,2.94,61.29,Filtu
2008-11-01,5.11,40.65,21.59,30.54,12.68,3.72,66.65,Filtu
2008-12-01,5.11,40.65,22.32,31.81,12.67,0.01,46.05,Filtu
2009-01-01,5.11,40.65,23.44,33.16,13.78,0.61,45.54,Filtu
2009-02-01,5.11,40.65,25.09,34.75,14.86,0.26,40.08,Filtu
2009-03-01,5.11,40.65,26.53,35.94,16.83,0.51,40.81,Filtu
2009-04-01,5.11,40.65,24.91,34.03,18.07,2.82,65.56,Filtu
2009-05-01,5.11,40.65,24.95,33.38,18.22,1.19,61.9,Filtu
2009-06-01,5.11,40.65,25.27,34.19,18.36,0.36,55.04,Filtu
2009-07-01,5.11,40.65,23.9,32.87,16.11,0.08,52.97,Filtu
2009-08-01,5.11,40.65,24.46,33.15,17.35,0.08,50.95,Filtu
2009-09-01,5.11,40.65,25.83,34.56,18.02,0.54,47.76,Filtu
2009-10-01,5.11,40.65,23.5,33.44,16.65,4.98,67.92,Filtu
2009-11-01,5.11,40.65,22.8,31.93,14.64,1.37,62.56,Filtu
2009-12-01,5.11,40.65,23.84,31.98,16.81,0.94,55.15,Filtu
2010-01-01,5.11,40.65,23.68,33.32,13.0,0.03,41.28,Filtu
2010-02-01,5.11,40.65,26.18,34.73,17.67,1.83,43.29,Filtu
2010-03-01,5.11,40.65,24.19,34.07,15.4,3.65,65.25,Filtu
2010-04-01,5.11,40.65,23.3,32.12,17.51,6.51,79.36,Filtu
2010-05-01,5.11,40.65,23.9,31.96,17.72,1.63,72.68,Filtu
2010-06-01,5.11,40.65,24.19,32.43,17.7,0.46,62.28,Filtu
2010-07-01,5.11,40.65,23.21,32.32,16.76,0.2,57.4,Filtu
2010-08-01,5.11,40.65,23.8,32.65,16.34,0.49,54.27,Filtu
2010-09-01,5.11,40.65,25.26,34.82,17.1,0.31,47.69,Filtu
2010-10-01,5.11,40.65,25.06,35.43,17.78,2.32,56.43,Filtu
2010-11-01,5.11,40.65,23.76,31.79,15.12,0.37,51.87,Filtu
2010-12-01,5.11,40.65,23.36,33.06,13.39,0.01,38.0,Filtu
2011-01-01,5.11,40.65,23.91,35.21,13.86,0.01,34.48,Filtu
2011-02-01,5.11,40.65,25.05,34.7,13.92,0.02,31.59,Filtu
2011-03-01,5.11,40.65,25.72,35.24,17.25,0.44,36.32,Filtu
2011-04-01,5.11,40.65,26.05,35.26,17.65,2.91,54.13,Filtu
2011-05-01,5.11,40.65,24.57,32.41,18.02,1.77,65.21,Filtu
2011-06-01,5.11,40.65,24.68,32.49,18.4,0.11,56.13,Filtu
2011-07-01,5.11,40.65,24.55,32.71,17.18,0.08,53.38,Filtu
2011-08-01,5.11,40.65,24.65,33.42,17.57,0.02,50.01,Filtu
2011-09-01,5.11,40.65,25.89,34.92,18.63,0.21,48.04,Filtu
2011-10-01,5.11,40.65,23.48,33.57,15.74,5.43,69.67,Filtu
2011-11-01,5.11,40.65,22.06,30.66,14.56,4.03,80.5,Filtu
2011-12-01,5.11,40.65,21.53,32.37,12.06,0.35,62.43,Filtu
2012-01-01,5.11,40.65,22.66,33.02,12.06,0.01,44.74,Filtu
2012-02-01,5.11,40.65,24.58,35.96,14.02,0.02,37.12,Filtu
2012-03-01,5.11,40.65,25.93,35.61,15.62,0.11,35.31,Filtu
2012-04-01,5.11,40.65,23.27,31.37,15.67,6.64,72.88,Filtu
2012-05-01,5.11,40.65,23.72,31.47,17.53,1.43,71.13,Filtu
2012-06-01,5.11,40.65,23.52,31.94,16.84,0.27,61.0,Filtu
2012-07-01,5.11,40.65,23.03,31.71,16.7,0.29,57.79,Filtu
2012-08-01,5.11,40.65,23.67,32.99,15.74,2.78,56.4,Filtu
2012-09-01,5.11,40.65,24.12,34.36,16.4,1.23,55.84,Filtu
2012-10-01,5.11,40.65,24.42,32.1,17.67,1.82,62.73,Filtu
2012-11-01,5.11,40.65,24.29,33.18,16.7,1.41,60.19,Filtu
2012-12-01,5.11,40.65,24.08,32.46,15.28,0.65,51.89,Filtu
2013-01-01,5.11,40.65,25.14,35.75,15.13,0.13,39.12,Filtu
2013-02-01,5.11,40.65,25.98,35.77,16.64,0.0,33.75,Filtu
2013-03-01,5.11,40.65,25.38,36.04,17.21,4.04,56.9,Filtu
2013-04-01,5.11,40.65,23.07,30.18,18.34,5.27,82.01,Filtu
2013-05-01,5.11,40.65,22.64,31.3,15.64,1.97,75.66,Filtu
2013-06-01,5.11,40.65,22.59,30.71,16.26,0.48,65.6,Filtu
2013-07-01,5.11,40.65,22.56,31.45,16.03,0.58,60.55,Filtu
2013-08-01,5.11,40.65,23.38,31.59,16.22,0.78,56.16,Filtu
2013-09-01,5.11,40.65,25.09,34.02,17.31,0.68,49.76,Filtu
2013-10-01,5.11,40.65,24.69,32.96,18.21,2.07,59.59,Filtu
2013-11-01,5.11,40.65,22.16,29.64,14.37,4.96,73.54,Filtu
2013-12-01,5.11,40.65,22.27,31.78,13.33,0.08,48.46,Filtu
2014-01-01,5.11,40.65,23.55,33.83,13.96,0.0,41.38,Filtu
2014-02-01,5.11,40.65,25.89,34.85,17.68,0.27,39.48,Filtu
2014-03-01,5.11,40.65,26.33,35.35,16.96,0.86,47.52,Filtu
2014-04-01,5.11,40.65,24.65,34.41,17.46,4.84,65.14,Filtu
2014-05-01,5.11,40.65,23.78,31.49,16.58,2.5,70.48,Filtu
