period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.25,34.58,28.22,38.36,19.88,0.78,46.26,Gambela
2008-02-01,8.25,34.58,30.63,41.23,21.39,0.07,29.57,Gambela
2008-03-01,8.25,34.58,31.64,42.66,23.52,0.98,35.58,Gambela
2008-04-01,8.25,34.58,27.97,39.72,21.79,3.21,61.49,Gambela
2008-05-01,8.25,34.58,25.78,36.58,19.56,7.64,73.95,Gambela
2008-06-01,8.25,34.58,24.1,32.15,19.31,6.83,78.79,Gambela
2008-07-01,8.25,34.58,23.41,28.85,18.72,6.2,81.98,Gambela
2008-08-01,8.25,34.58,23.83,29.44,18.67,5.61,80.54,Gambela
2008-09-01,8.25,34.58,24.55,30.31,19.48,6.3,79.67,Gambela
2008-10-01,8.25,34.58,25.1,33.42,19.13,5.52,76.69,Gambela
2008-11-01,8.25,34.58,25.85,34.45,18.55,1.29,63.06,Gambela
2008-12-01,8.25,34.58,27.49,37.0,20.16,0.25,51.89,Gambela
2009-01-01,8.25,34.58,28.73,38.8,20.38,0.66,44.91,Gambela
2009-02-01,8.25,34.58,30.82,40.45,22.27,0.57,37.47,Gambela
2009-03-01,8.25,34.58,30.99,41.42,22.17,1.14,40.19,Gambela
2009-04-01,8.25,34.58,27.94,39.4,21.19,5.43,65.94,Gambela
2009-05-01,8.25,34.58,27.52,37.24,21.12,2.38,65.38,Gambela
2009-06-01,8.25,34.58,25.7,35.29,19.27,4.61,72.12,Gambela
2009-07-01,8.25,34.58,24.62,32.35,19.4,4.32,73.97,Gambela
2009-08-01,8.25,34.58,24.71,31.58,20.45,5.26,76.78,Gambela
2009-09-01,8.25,34.58,25.16,31.54,20.13,7.04,76.83,Gambela
2009-10-01,8.25,34.58,25.49,32.66,19.4,5.55,73.2,Gambela
2009-11-01,8.25,34.58,27.33,36.12,18.34,0.86,53.29,Gambela
2009-12-01,8.25,34.58,28.09,37.45,20.38,0.25,49.54,Gambela
2010-01-01,8.25,34.58,29.91,39.13,19.88,0.29,33.36,Gambela
2010-02-01,8.25,34.58,31.78,42.01,21.8,0.14,29.28,Gambela
2010-03-01,8.25,34.58,31.91,43.01,22.0,0.4,29.21,Gambela
2010-04-01,8.25,34.58,31.63,41.56,22.95,1.88,45.64,Gambela
2010-05-01,8.25,34.58,25.95,34.67,21.25,7.86,77.99,Gambela
2010-06-01,8.25,34.58,24.36,30.43,20.17,7.74,80.78,Gambela
2010-07-01,8.25,34.58,23.55,28.84,19.42,6.62,82.89,Gambela
2010-08-01,8.25,34.58,24.15,29.0,19.69,6.38,81.99,Gambela
2010-09-01,8.25,34.58,24.21,30.26,18.94,7.34,81.14,Gambela
2010-10-01,8.25,34.58,25.43,33.23,19.65,5.15,75.82,Gambela
2010-11-01,8.25,34.58,25.6,33.25,19.11,1.77,65.4,Gambela
2010-12-01,8.25,34.58,26.88,36.11,19.77,0.57,54.07,Gambela
2011-01-01,8.25,34.58,27.97,38.39,18.95,0.57,45.5,Gambela
2011-02-01,8.25,34.58,31.14,41.01,21.28,0.06,27.06,Gambela
2011-03-01,8.25,34.58,31.47,41.2,22.89,0.78,35.66,Gambela
2011-04-01,8.25,34.58,29.98,40.49,22.56,2.35,51.79,Gambela
2011-05-01,8.25,34.58,27.36,40.22,20.96,5.6,65.05,Gambela
2011-06-01,8.25,34.58,24.42,31.17,19.82,5.77,80.7,Gambela
2011-07-01,8.25,34.58,24.1,30.24,19.16,3.98,78.95,Gambela
2011-08-01,8.25,34.58,23.89,30.77,19.24,4.24,79.66,Gambela
2011-09-01,8.25,34.58,24.73,32.43,19.83,3.54,76.57,Gambela
2011-10-01,8.25,34.58,25.55,33.23,19.61,6.38,74.39,Gambela
2011-11-01,8.25,34.58,26.05,34.2,17.27,2.61,64.32,Gambela
2011-12-01,8.25,34.58,27.87,38.52,17.06,0.25,48.35,Gambela
2012-01-01,8.25,34.58,29.09,39.32,20.58,0.07,30.78,Gambela
2012-02-01,8.25,34.58,31.21,41.46,21.74,0.0,23.98,Gambela
2012-03-01,8.25,34.58,31.98,41.47,23.06,0.61,29.3,Gambela
2012-04-01,8.25,34.58,30.08,42.38,21.32,2.0,48.58,Gambela
2012-05-01,8.25,34.58,25.12,37.58,19.94,8.79,79.14,Gambela
2012-06-01,8.25,34.58,23.95,30.31,19.75,3.25,81.58,Gambela
2012-07-01,8.25,34.58,23.24,28.63,19.13,6.78,84.93,Gambela
2012-08-01,8.25,34.58,23.6,28.97,17.75,8.5,83.2,Gambela
2012-09-01,8.25,34.58,23.94,30.15,19.79,8.21,81.33,Gambela
2012-10-01,8.25,34.58,25.2,32.33,18.13,4.69,76.61,Gambela
