period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.95278,43.5574,27.46,37.79,17.39,0.0,38.48,Gode
2008-02-01,5.95278,43.5574,27.39,38.31,16.89,0.0,31.5,Gode
2008-03-01,5.95278,43.5574,28.73,39.2,17.87,0.04,30.66,Gode
2008-04-01,5.95278,43.5574,28.55,38.76,20.11,4.91,57.44,Gode
2008-05-01,5.95278,43.5574,27.62,35.51,21.22,0.05,62.55,Gode
2008-06-01,5.95278,43.5574,27.39,35.28,20.72,0.05,54.67,Gode
2008-07-01,5.95278,43.5574,27.04,34.29,20.68,0.05,51.59,Gode
2008-08-01,5.95278,43.5574,28.5,36.13,21.18,0.04,45.79,Gode
2008-09-01,5.95278,43.5574,30.17,38.84,22.41,0.05,42.24,Gode
2008-10-01,5.95278,43.5574,28.23,37.71,20.66,3.95,57.82,Gode
2008-11-01,5.95278,43.5574,25.02,34.51,15.16,2.72,63.44,Gode
2008-12-01,5.95278,43.5574,25.39,35.92,14.43,0.0,44.51,Gode
2009-01-01,5.95278,43.5574,27.2,36.7,16.37,0.02,41.45,Gode
2009-02-01,5.95278,43.5574,28.64,38.35,19.23,0.07,39.08,Gode
2009-03-01,5.95278,43.5574,30.24,39.02,20.41,0.05,37.07,Gode
2009-04-01,5.95278,43.5574,29.82,38.18,21.35,1.88,53.74,Gode
2009-05-01,5.95278,43.5574,29.97,38.4,22.98,0.21,50.23,Gode
2009-06-01,5.95278,43.5574,29.75,37.86,22.74,0.08,46.36,Gode
2009-07-01,5.95278,43.5574,28.18,35.73,21.11,0.01,46.34,Gode
2009-08-01,5.95278,43.5574,28.67,36.04,21.4,0.0,43.89,Gode
2009-09-01,5.95278,43.5574,30.02,37.69,22.51,0.12,42.25,Gode
2009-10-01,5.95278,43.5574,27.84,37.8,17.77,4.37,59.74,Gode
2009-11-01,5.95278,43.5574,26.65,35.36,17.0,0.6,54.57,Gode
2009-12-01,5.95278,43.5574,27.53,36.36,18.14,0.03,45.17,Gode
2010-01-01,5.95278,43.5574,27.55,37.21,15.64,0.0,35.49,Gode
2010-02-01,5.95278,43.5574,29.5,38.33,19.32,0.51,39.86,Gode
2010-03-01,5.95278,43.5574,29.17,38.35,18.85,2.17,51.31,Gode
2010-04-01,5.95278,43.5574,28.0,37.06,20.72,6.55,67.59,Gode
2010-05-01,5.95278,43.5574,27.79,34.83,21.75,0.42,66.9,Gode
2010-06-01,5.95278,43.5574,27.94,34.93,21.9,0.46,57.38,Gode
2010-07-01,5.95278,43.5574,27.14,34.59,20.95,0.04,51.36,Gode
2010-08-01,5.95278,43.5574,27.66,35.55,20.47,0.22,49.52,Gode
2010-09-01,5.95278,43.5574,29.23,36.62,21.88,0.16,44.56,Gode
2010-10-01,5.95278,43.5574,29.46,37.9,21.99,0.38,46.92,Gode
2010-11-01,5.95278,43.5574,28.58,37.36,17.88,0.02,37.12,Gode
2010-12-01,5.95278,43.5574,26.87,36.03,16.84,0.0,34.11,Gode
2011-01-01,5.95278,43.5574,26.68,37.63,16.49,0.0,36.56,Gode
2011-02-01,5.95278,43.5574,27.81,37.22,17.32,0.0,34.09,Gode
2011-03-01,5.95278,43.5574,29.16,38.63,20.13,0.0,32.96,Gode
2011-04-01,5.95278,43.5574,30.62,39.19,20.98,4.98,45.84,Gode
2011-05-01,5.95278,43.5574,27.56,34.79,21.66,1.04,67.0,Gode
2011-06-01,5.95278,43.5574,27.78,35.23,21.36,0.03,55.29,Gode
2011-07-01,5.95278,43.5574,28.31,35.85,21.87,0.0,48.96,Gode
2011-08-01,5.95278,43.5574,28.44,36.15,21.46,0.0,44.94,Gode
2011-09-01,5.95278,43.5574,30.04,38.27,22.7,0.01,42.48,Gode
2011-10-01,5.95278,43.5574,27.49,37.92,18.53,4.78,62.29,Gode
2011-11-01,5.95278,43.5574,25.24,31.77,15.59,3.95,75.63,Gode
2011-12-01,5.95278,43.5574,24.63,34.32,14.04,0.03,52.52,Gode
2012-01-01,5.95278,43.5574,25.94,36.1,14.86,0.0,42.5,Gode
2012-02-01,5.95278,43.5574,27.86,38.32,16.69,0.0,36.02,Gode
2012-03-01,5.95278,43.5574,29.43,38.66,18.43,0.0,34.31,Gode
2012-04-01,5.95278,43.5574,28.11,37.24,21.42,4.88,60.18,Gode
2012-05-01,5.95278,43.5574,27.13,34.22,21.34,1.72,68.45,Gode
2012-06-01,5.95278,43.5574,26.83,34.61,20.14,0.17,59.47,Gode
2012-07-01,5.95278,43.5574,26.47,33.97,20.57,0.06,53.61,Gode
2012-08-01,5.95278,43.5574,28.06,36.32,20.75,0.36,48.61,Gode
2012-09-01,5.95278,43.5574,28.77,38.49,21.17,0.66,47.49,Gode
2012-10-01,5.95278,43.5574,28.46,36.41,21.4,1.77,55.5,Gode
2012-11-01,5.95278,43.5574,27.98,35.91,19.75,1.0,53.29,Gode
2012-12-01,5.95278,43.5574,28.65,37.22,19.92,0.06,39.99,Gode
2013-01-01,5.95278,43.5574,28.29,37.99,18.64,0.0,37.34,Gode
2013-02-01,5.95278,43.5574,28.9,38.09,18.61,0.0,35.95,Gode
2013-03-01,5.95278,43.5574,29.76,39.03,20.79,2.14,46.4,Gode
2013-04-01,5.95278,43.5574,27.03,34.89,21.45,7.93,74.93,Gode
2013-05-01,5.95278,43.5574,25.63,33.52,18.87,0.84,76.51,Gode
2013-06-01,5.95278,43.5574,26.03,33.1,18.99,0.0,61.65,Gode
2013-07-01,5.95278,43.5574,26.35,33.39,19.46,0.03,53.63,Gode
2013-08-01,5.95278,43.5574,27.94,35.7,20.46,0.03,46.2,Gode
2013-09-01,5.95278,43.5574,29.48,37.52,21.83,0.07,42.29,Gode
2013-10-01,5.95278,43.5574,29.51,36.79,22.56,0.74,49.26,Gode
2013-11-01,5.95278,43.5574,25.41,35.6,16.11,6.35,71.35,Gode
2013-12-01,5.95278,43.5574,24.75,34.34,14.93,0.0,51.31,Gode
2014-01-01,5.95278,43.5574,26.15,35.84,16.53,0.0,43.28,Gode
2014-02-01,5.95278,43.5574,28.61,38.35,19.0,0.0,38.4,Gode
2014-03-01,5.95278,43.5574,30.68,39.01,21.07,0.2,39.38,Gode
2014-04-01,5.95278,43.5574,30.33,39.15,23.06,2.17,48.8,Gode
2014-05-01,5.95278,43.5574,28.03,35.23,21.68,1.61,63.04,Gode
2014-06-01,5.95278,43.5574,28.1,35.76,21.37,0.01,53.11,Gode
2014-07-01,5.95278,43.5574,28.01,35.38,20.83,0.02,48.07,Gode
2014-08-01,5.95278,43.5574,28.82,37.72,21.28,0.03,45.02,Gode
2014-09-01,5.95278,43.5574,29.57,37.31,22.19,1.02,44.14,Gode
2014-10-01,5.95278,43.5574,26.42,34.16,19.35,5.93,69.79,Gode
2014-11-01,5.95278,43.5574,26.43,34.91,16.52,1.33,63.25,Gode
2014-12-01,5.95278,43.5574,25.46,35.15,14.71,0.23,45.75,Gode
2015-01-01,5.95278,43.5574,25.76,36.79,14.02,0.0,35.4,Gode
2015-02-01,5.95278,43.5574,28.41,38.25,19.32,0.0,35.77,Gode
2015-03-01,5.95278,43.5574,29.52,39.03,19.2,0.77,40.05,Gode
2015-04-01,5.95278,43.5574,29.52,38.6,21.48,3.58,56.95,Gode
2015-05-01,5.95278,43.5574,27.68,35.13,22.14,1.65,67.24,Gode
2015-06-01,5.95278,43.5574,27.98,35.79,20.82,0.23,55.03,Gode
2015-07-01,5.95278,43.5574,28.13,35.85,21.47,0.09,49.35,Gode
2015-08-01,5.95278,43.5574,28.56,36.04,20.78,0.12,47.53,Gode
2015-09-01,5.95278,43.5574,30.14,38.32,22.67,0.07,42.57,Gode
2015-10-01,5.95278,43.5574,29.37,37.77,22.31,2.36,56.44,Gode
2015-11-01,5.95278,43.5574,25.4,32.99,15.25,5.67,74.55,Gode
2015-12-01,5.95278,43.5574,25.94,35.83,16.07,0.65,55.88,Gode
2016-01-01,5.95278,43.5574,27.46,36.85,16.82,0.01,45.14,Gode
2016-02-01,5.95278,43.5574,28.49,39.32,17.66,0.01,34.04,Gode
2016-03-01,5.95278,43.5574,31.66,40.98,22.61,0.18,38.69,Gode
2016-04-01,5.95278,43.5574,30.45,39.67,23.09,3.89,53.3,Gode
2016-05-01,5.95278,43.5574,27.29,35.11,20.83,1.01,65.52,Gode
2016-06-01,5.95278,43.5574,27.5,35.21,20.5,0.01,54.73,Gode
2016-07-01,5.95278,43.5574,27.07,34.97,20.25,0.01,49.27,Gode
2016-08-01,5.95278,43.5574,28.03,35.6,20.89,0.02,44.95,Gode
