period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.0,38.25,20.67,30.68,8.67,0.17,35.79,Gohatsiyon/GebreGuracha
2008-02-01,10.0,38.25,21.71,32.01,8.67,0.07,30.62,Gohatsiyon/GebreGuracha
2008-03-01,10.0,38.25,23.44,34.54,9.51,0.05,18.95,Gohatsiyon/GebreGuracha
2008-04-01,10.0,38.25,22.82,33.7,12.65,1.44,41.55,Gohatsiyon/GebreGuracha
2008-05-01,10.0,38.25,23.76,33.67,16.14,1.6,48.21,Gohatsiyon/GebreGuracha
2008-06-01,10.0,38.25,21.22,31.4,14.39,2.39,64.54,Gohatsiyon/GebreGuracha
2008-07-01,10.0,38.25,18.59,29.07,12.54,10.84,77.49,Gohatsiyon/GebreGuracha
2008-08-01,10.0,38.25,18.43,24.45,13.37,11.26,79.02,Gohatsiyon/GebreGuracha
2008-09-01,10.0,38.25,19.12,25.26,12.17,4.82,72.48,Gohatsiyon/GebreGuracha
2008-10-01,10.0,38.25,18.4,25.35,10.19,0.74,65.11,Gohatsiyon/GebreGuracha
2008-11-01,10.0,38.25,17.28,26.3,6.71,1.65,60.24,Gohatsiyon/GebreGuracha
2008-12-01,10.0,38.25,18.73,28.31,8.36,0.08,49.67,Gohatsiyon/GebreGuracha
2009-01-01,10.0,38.25,20.24,29.48,9.31,0.93,45.01,Gohatsiyon/GebreGuracha
2009-02-01,10.0,38.25,22.34,32.67,11.51,0.16,39.41,Gohatsiyon/GebreGuracha
2009-03-01,10.0,38.25,24.57,34.44,14.47,0.72,36.99,Gohatsiyon/GebreGuracha
2009-04-01,10.0,38.25,24.41,34.19,15.04,0.88,40.42,Gohatsiyon/GebreGuracha
2009-05-01,10.0,38.25,24.89,34.55,15.97,0.66,34.78,Gohatsiyon/GebreGuracha
2009-06-01,10.0,38.25,22.82,33.72,14.65,2.88,56.65,Gohatsiyon/GebreGuracha
2009-07-01,10.0,38.25,18.13,25.28,13.1,9.27,80.04,Gohatsiyon/GebreGuracha
2009-08-01,10.0,38.25,18.63,25.64,12.48,9.82,79.52,Gohatsiyon/GebreGuracha
2009-09-01,10.0,38.25,19.57,25.82,12.29,3.7,68.34,Gohatsiyon/GebreGuracha
2009-10-01,10.0,38.25,18.3,25.72,8.97,2.45,64.55,Gohatsiyon/GebreGuracha
2009-11-01,10.0,38.25,18.32,27.74,8.0,0.06,50.99,Gohatsiyon/GebreGuracha
2009-12-01,10.0,38.25,19.87,28.36,12.13,0.95,58.98,Gohatsiyon/GebreGuracha
2010-01-01,10.0,38.25,21.39,31.41,10.93,0.11,42.21,Gohatsiyon/GebreGuracha
2010-02-01,10.0,38.25,22.59,33.01,14.63,1.4,49.28,Gohatsiyon/GebreGuracha
2010-03-01,10.0,38.25,22.68,33.76,11.09,1.52,46.26,Gohatsiyon/GebreGuracha
2010-04-01,10.0,38.25,23.49,33.04,15.78,2.58,55.37,Gohatsiyon/GebreGuracha
2010-05-01,10.0,38.25,22.91,31.95,16.3,3.69,61.33,Gohatsiyon/GebreGuracha
2010-06-01,10.0,38.25,21.27,30.6,14.38,5.09,68.07,Gohatsiyon/GebreGuracha
2010-07-01,10.0,38.25,18.41,26.26,13.52,11.36,81.08,Gohatsiyon/GebreGuracha
2010-08-01,10.0,38.25,17.7,24.5,13.23,13.08,85.77,Gohatsiyon/GebreGuracha
2010-09-01,10.0,38.25,19.06,24.97,12.96,6.48,75.75,Gohatsiyon/GebreGuracha
2010-10-01,10.0,38.25,18.34,25.19,10.21,0.3,64.29,Gohatsiyon/GebreGuracha
2010-11-01,10.0,38.25,17.86,26.23,8.25,0.73,55.44,Gohatsiyon/GebreGuracha
2010-12-01,10.0,38.25,18.52,27.27,8.33,0.36,55.39,Gohatsiyon/GebreGuracha
2011-01-01,10.0,38.25,20.57,30.92,11.35,0.23,49.14,Gohatsiyon/GebreGuracha
2011-02-01,10.0,38.25,21.85,33.16,9.9,0.25,30.29,Gohatsiyon/GebreGuracha
2011-03-01,10.0,38.25,21.63,32.74,12.18,1.87,46.21,Gohatsiyon/GebreGuracha
2011-04-01,10.0,38.25,23.59,33.57,13.8,1.0,43.57,Gohatsiyon/GebreGuracha
2011-05-01,10.0,38.25,23.2,34.18,14.13,2.99,54.07,Gohatsiyon/GebreGuracha
2011-06-01,10.0,38.25,20.99,29.96,13.85,3.74,68.69,Gohatsiyon/GebreGuracha
2011-07-01,10.0,38.25,18.7,27.81,12.81,5.46,77.1,Gohatsiyon/GebreGuracha
2011-08-01,10.0,38.25,18.17,25.54,11.45,6.28,80.7,Gohatsiyon/GebreGuracha
2011-09-01,10.0,38.25,18.94,26.16,13.03,2.07,73.88,Gohatsiyon/GebreGuracha
2011-10-01,10.0,38.25,20.1,29.02,10.13,0.05,49.11,Gohatsiyon/GebreGuracha
2011-11-01,10.0,38.25,20.52,29.7,11.2,0.76,55.52,Gohatsiyon/GebreGuracha
2011-12-01,10.0,38.25,20.01,29.93,7.45,0.01,35.25,Gohatsiyon/GebreGuracha
2012-01-01,10.0,38.25,21.2,31.08,8.31,0.01,32.7,Gohatsiyon/GebreGuracha
2012-02-01,10.0,38.25,21.41,33.0,9.04,0.0,25.82,Gohatsiyon/GebreGuracha
2012-03-01,10.0,38.25,23.42,33.94,11.79,0.55,30.87,Gohatsiyon/GebreGuracha
2012-04-01,10.0,38.25,23.48,33.63,13.82,2.03,47.87,Gohatsiyon/GebreGuracha
2012-05-01,10.0,38.25,24.46,34.41,16.0,0.73,41.23,Gohatsiyon/GebreGuracha
2012-06-01,10.0,38.25,22.36,33.73,13.41,2.57,56.29,Gohatsiyon/GebreGuracha
2012-07-01,10.0,38.25,18.33,25.09,12.82,12.27,80.58,Gohatsiyon/GebreGuracha
2012-08-01,10.0,38.25,18.09,24.24,13.02,12.44,82.64,Gohatsiyon/GebreGuracha
2012-09-01,10.0,38.25,18.95,24.98,12.82,5.04,75.78,Gohatsiyon/GebreGuracha
2012-10-01,10.0,38.25,18.02,25.2,8.51,0.13,60.02,Gohatsiyon/GebreGuracha
2012-11-01,10.0,38.25,19.22,28.37,9.96,0.14,53.26,Gohatsiyon/GebreGuracha
2012-12-01,10.0,38.25,19.59,28.86,9.38,0.32,47.41,Gohatsiyon/GebreGuracha
2013-01-01,10.0,38.25,21.05,32.14,10.1,1.05,45.28,Gohatsiyon/GebreGuracha
2013-02-01,10.0,38.25,22.98,33.41,12.19,0.13,31.51,Gohatsiyon/GebreGuracha
2013-03-01,10.0,38.25,24.11,33.87,14.23,1.19,41.58,Gohatsiyon/GebreGuracha
2013-04-01,10.0,38.25,24.21,33.95,15.02,2.01,46.38,Gohatsiyon/GebreGuracha
2013-05-01,10.0,38.25,23.05,33.41,15.57,2.42,56.43,Gohatsiyon/GebreGuracha
2013-06-01,10.0,38.25,21.06,31.17,14.22,3.81,66.71,Gohatsiyon/GebreGuracha
2013-07-01,10.0,38.25,17.54,25.79,12.18,13.22,83.55,Gohatsiyon/GebreGuracha
2013-08-01,10.0,38.25,17.64,24.07,13.12,9.57,84.11,Gohatsiyon/GebreGuracha
2013-09-01,10.0,38.25,19.14,25.42,13.35,4.69,74.6,Gohatsiyon/GebreGuracha
2013-10-01,10.0,38.25,18.01,25.02,9.7,3.75,68.35,Gohatsiyon/GebreGuracha
2013-11-01,10.0,38.25,17.94,25.62,8.77,0.61,63.74,Gohatsiyon/GebreGuracha
2013-12-01,10.0,38.25,18.07,27.36,7.26,0.0,50.53,Gohatsiyon/GebreGuracha
2014-01-01,10.0,38.25,20.88,31.24,9.61,0.11,49.38,Gohatsiyon/GebreGuracha
2014-02-01,10.0,38.25,22.3,32.04,12.6,0.7,43.27,Gohatsiyon/GebreGuracha
2014-03-01,10.0,38.25,23.64,33.17,13.47,1.38,45.41,Gohatsiyon/GebreGuracha
2014-04-01,10.0,38.25,22.91,32.74,13.48,2.18,52.51,Gohatsiyon/GebreGuracha
2014-05-01,10.0,38.25,22.97,33.26,14.71,3.05,56.91,Gohatsiyon/GebreGuracha
2014-06-01,10.0,38.25,22.1,32.06,14.68,3.43,61.05,Gohatsiyon/GebreGuracha
2014-07-01,10.0,38.25,18.86,29.4,13.87,9.16,79.62,Gohatsiyon/GebreGuracha
2014-08-01,10.0,38.25,18.27,24.6,13.17,9.29,80.61,Gohatsiyon/GebreGuracha
2014-09-01,10.0,38.25,18.79,24.71,12.74,6.66,75.85,Gohatsiyon/GebreGuracha
2014-10-01,10.0,38.25,18.21,24.84,10.3,2.07,69.52,Gohatsiyon/GebreGuracha
2014-11-01,10.0,38.25,18.17,26.2,9.15,0.47,61.53,Gohatsiyon/GebreGuracha
2014-12-01,10.0,38.25,18.26,26.93,8.36,1.01,54.88,Gohatsiyon/GebreGuracha
2015-01-01,10.0,38.25,19.56,30.73,7.92,0.08,43.98,Gohatsiyon/GebreGuracha
2015-02-01,10.0,38.25,22.22,32.7,9.15,0.57,35.74,Gohatsiyon/GebreGuracha
2015-03-01,10.0,38.25,23.3,33.71,12.12,0.76,36.2,Gohatsiyon/GebreGuracha
2015-04-01,10.0,38.25,24.68,34.5,14.97,0.07,29.48,Gohatsiyon/GebreGuracha
2015-05-01,10.0,38.25,23.2,33.98,15.83,3.05,53.58,Gohatsiyon/GebreGuracha
2015-06-01,10.0,38.25,21.9,32.51,15.05,3.58,61.9,Gohatsiyon/GebreGuracha
2015-07-01,10.0,38.25,20.3,28.53,14.05,4.32,71.55,Gohatsiyon/GebreGuracha
2015-08-01,10.0,38.25,18.93,25.51,13.25,7.45,78.86,Gohatsiyon/GebreGuracha
2015-09-01,10.0,38.25,19.86,26.99,13.47,1.81,69.0,Gohatsiyon/GebreGuracha
2015-10-01,10.0,38.25,21.22,30.2,12.55,0.46,53.2,Gohatsiyon/GebreGuracha
2015-11-01,10.0,38.25,20.98,30.75,10.45,0.73,52.11,Gohatsiyon/GebreGuracha
2015-12-01,10.0,38.25,20.87,30.0,10.72,1.09,52.38,Gohatsiyon/GebreGuracha
2016-01-01,10.0,38.25,22.36,31.27,13.81,0.2,45.53,Gohatsiyon/GebreGuracha
2016-02-01,10.0,38.25,23.58,33.16,13.03,1.43,38.14,Gohatsiyon/GebreGuracha
2016-03-01,10.0,38.25,24.96,35.08,13.46,0.86,44.39,Gohatsiyon/GebreGuracha
2016-04-01,10.0,38.25,24.28,34.92,16.57,1.73,48.49,Gohatsiyon/GebreGuracha
2016-05-01,10.0,38.25,21.66,30.83,14.54,4.41,64.74,Gohatsiyon/GebreGuracha
2016-06-01,10.0,38.25,21.42,31.85,14.26,3.27,64.46,Gohatsiyon/GebreGuracha
2016-07-01,10.0,38.25,18.42,25.54,12.6,8.18,80.84,Gohatsiyon/GebreGuracha
2016-08-01,10.0,38.25,18.19,24.51,12.91,8.79,80.87,Gohatsiyon/GebreGuracha
2016-09-01,10.0,38.25,19.16,25.53,13.16,3.65,74.04,Gohatsiyon/GebreGuracha
2016-10-01,10.0,38.25,18.68,26.2,9.09,0.52,61.86,Gohatsiyon/GebreGuracha
2016-11-01,10.0,38.25,18.59,29.49,6.8,0.08,50.41,Gohatsiyon/GebreGuracha
2016-12-01,10.0,38.25,18.9,30.24,7.6,0.02,40.79,Gohatsiyon/GebreGuracha
2017-01-01,10.0,38.25,19.27,31.83,6.23,0.0,23.32,Gohatsiyon/GebreGuracha
2017-02-01,10.0,38.25,21.67,31.89,12.35,2.08,50.24,Gohatsiyon/GebreGuracha
2017-03-01,10.0,38.25,23.22,33.04,13.99,1.69,46.08,Gohatsiyon/GebreGuracha
2017-04-01,10.0,38.25,23.67,34.37,13.69,1.19,40.82,Gohatsiyon/GebreGuracha
2017-05-01,10.0,38.25,22.19,32.14,14.63,4.48,61.21,Gohatsiyon/GebreGuracha
2017-06-01,10.0,38.25,22.83,32.94,14.44,1.71,59.06,Gohatsiyon/GebreGuracha
2017-07-01,10.0,38.25,19.23,26.01,14.13,9.42,79.31,Gohatsiyon/GebreGuracha
2017-08-01,10.0,38.25,18.51,25.54,13.22,8.0,80.85,Gohatsiyon/GebreGuracha
2017-09-01,10.0,38.25,19.49,25.33,12.81,4.66,74.2,Gohatsiyon/GebreGuracha
2017-10-01,10.0,38.25,19.17,26.35,11.05,0.95,66.85,Gohatsiyon/GebreGuracha
2017-11-01,10.0,38.25,19.14,28.25,9.35,0.12,53.22,Gohatsiyon/GebreGuracha
2017-12-01,10.0,38.25,18.59,29.0,6.56,0.0,36.75,Gohatsiyon/GebreGuracha
2018-01-01,10.0,38.25,21.05,31.27,9.2,0.04,37.71,Gohatsiyon/GebreGuracha
2018-02-01,10.0,38.25,22.32,32.78,10.13,1.4,41.77,Gohatsiyon/GebreGuracha
2018-03-01,10.0,38.25,23.4,32.94,13.25,0.14,35.64,Gohatsiyon/GebreGuracha
2018-04-01,10.0,38.25,23.31,33.98,15.25,1.9,51.93,Gohatsiyon/GebreGuracha
2018-05-01,10.0,38.25,23.51,34.01,15.91,1.34,50.39,Gohatsiyon/GebreGuracha
2018-06-01,10.0,38.25,20.73,29.48,13.49,3.15,68.43,Gohatsiyon/GebreGuracha
2018-07-01,10.0,38.25,18.46,26.27,13.33,5.75,78.35,Gohatsiyon/GebreGuracha
2018-08-01,10.0,38.25,18.05,25.01,11.97,7.59,80.82,Gohatsiyon/GebreGuracha
2018-09-01,10.0,38.25,19.28,26.13,12.0,2.39,69.22,Gohatsiyon/GebreGuracha
2018-10-01,10.0,38.25,19.61,28.14,10.74,0.78,60.88,Gohatsiyon/GebreGuracha
2018-11-01,10.0,38.25,20.01,29.52,9.0,0.71,52.82,Gohatsiyon/GebreGuracha
2018-12-01,10.0,38.25,20.72,30.66,10.19,0.01,41.4,Gohatsiyon/GebreGuracha
2019-01-01,10.0,38.25,20.53,32.19,7.87,0.0,26.92,Gohatsiyon/GebreGuracha
2019-02-01,10.0,38.25,22.95,33.1,11.49,1.06,40.54,Gohatsiyon/GebreGuracha
2019-03-01,10.0,38.25,24.22,34.84,14.97,1.23,47.35,Gohatsiyon/GebreGuracha
2019-04-01,10.0,38.25,23.04,32.42,14.92,3.5,58.97,Gohatsiyon/GebreGuracha
2019-05-01,10.0,38.25,24.21,35.07,15.74,0.5,44.21,Gohatsiyon/GebreGuracha
2019-06-01,10.0,38.25,22.2,33.03,14.91,3.91,63.09,Gohatsiyon/GebreGuracha
2019-07-01,10.0,38.25,19.39,28.01,13.23,6.13,77.1,Gohatsiyon/GebreGuracha
2019-08-01,10.0,38.25,18.42,25.52,12.94,7.2,80.94,Gohatsiyon/GebreGuracha
2019-09-01,10.0,38.25,18.94,25.17,13.26,11.35,79.44,Gohatsiyon/GebreGuracha
2019-10-01,10.0,38.25,17.85,25.28,9.15,0.77,68.93,Gohatsiyon/GebreGuracha
2019-11-01,10.0,38.25,19.08,26.79,10.4,0.99,65.65,Gohatsiyon/GebreGuracha
2019-12-01,10.0,38.25,19.56,29.19,9.59,0.31,58.65,Gohatsiyon/GebreGuracha
2020-01-01,10.0,38.25,21.45,31.82,10.89,0.06,45.61,Gohatsiyon/GebreGuracha
2020-02-01,10.0,38.25,23.05,34.02,13.0,0.61,44.68,Gohatsiyon/GebreGuracha
2020-03-01,10.0,38.25,24.02,34.39,14.31,1.46,46.35,Gohatsiyon/GebreGuracha
2020-04-01,10.0,38.25,23.65,34.46,15.33,3.82,51.6,Gohatsiyon/GebreGuracha
2020-05-01,10.0,38.25,23.04,32.48,15.0,2.34,56.09,Gohatsiyon/GebreGuracha
2020-06-01,10.0,38.25,21.6,31.02,14.42,3.84,66.23,Gohatsiyon/GebreGuracha
2020-07-01,10.0,38.25,18.53,27.29,13.03,9.2,80.38,Gohatsiyon/GebreGuracha
2020-08-01,10.0,38.25,18.06,24.6,12.65,12.5,83.85,Gohatsiyon/GebreGuracha
2020-09-01,10.0,38.25,19.2,25.35,13.3,6.88,75.18,Gohatsiyon/GebreGuracha
