period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.6,37.47,19.81,28.54,10.76,0.11,46.56,Gonder
2008-02-01,12.6,37.47,20.83,29.72,11.44,0.0,36.4,Gonder
2008-03-01,12.6,37.47,22.94,32.2,12.02,0.05,26.3,Gonder
2008-04-01,12.6,37.47,21.87,31.67,13.59,2.16,48.8,Gonder
2008-05-01,12.6,37.47,21.8,31.92,14.86,3.12,56.7,Gonder
2008-06-01,12.6,37.47,19.67,29.17,14.14,4.84,70.49,Gonder
2008-07-01,12.6,37.47,17.74,24.94,13.48,11.03,83.01,Gonder
2008-08-01,12.6,37.47,18.22,23.64,14.28,12.8,83.54,Gonder
2008-09-01,12.6,37.47,18.72,24.29,13.01,5.95,77.3,Gonder
2008-10-01,12.6,37.47,18.22,25.45,10.79,1.32,68.7,Gonder
2008-11-01,12.6,37.47,18.13,26.91,9.35,0.68,54.72,Gonder
2008-12-01,12.6,37.47,18.89,27.48,10.23,0.05,45.75,Gonder
2009-01-01,12.6,37.47,19.5,28.68,10.33,0.14,37.49,Gonder
2009-02-01,12.6,37.47,22.09,30.76,12.76,0.31,38.94,Gonder
2009-03-01,12.6,37.47,22.95,32.75,14.45,0.37,38.69,Gonder
2009-04-01,12.6,37.47,23.43,32.91,14.42,0.81,39.36,Gonder
2009-05-01,12.6,37.47,23.95,32.67,15.83,0.65,37.91,Gonder
2009-06-01,12.6,37.47,21.24,31.91,14.64,4.86,65.1,Gonder
2009-07-01,12.6,37.47,17.56,24.53,13.34,12.59,85.11,Gonder
2009-08-01,12.6,37.47,18.61,24.2,14.06,9.33,83.31,Gonder
2009-09-01,12.6,37.47,19.36,24.98,13.38,5.57,71.2,Gonder
2009-10-01,12.6,37.47,18.54,25.75,11.02,2.32,65.35,Gonder
2009-11-01,12.6,37.47,18.74,26.46,9.93,0.15,52.14,Gonder
2009-12-01,12.6,37.47,19.09,27.88,10.87,0.12,47.54,Gonder
2010-01-01,12.6,37.47,19.91,29.03,10.33,0.03,41.35,Gonder
2010-02-01,12.6,37.47,21.65,31.46,12.07,0.0,33.37,Gonder
2010-03-01,12.6,37.47,22.13,32.41,12.46,0.6,38.47,Gonder
2010-04-01,12.6,37.47,23.62,31.79,16.47,1.33,45.39,Gonder
2010-05-01,12.6,37.47,22.31,32.03,15.95,3.16,56.8,Gonder
2010-06-01,12.6,37.47,20.39,28.96,14.66,4.63,70.09,Gonder
2010-07-01,12.6,37.47,17.63,25.24,13.33,10.0,84.49,Gonder
2010-08-01,12.6,37.47,17.53,23.49,13.52,13.27,88.34,Gonder
2010-09-01,12.6,37.47,18.62,23.83,13.07,6.86,78.18,Gonder
2010-10-01,12.6,37.47,18.27,25.46,11.49,0.68,68.28,Gonder
2010-11-01,12.6,37.47,18.87,26.35,11.03,0.28,56.29,Gonder
2010-12-01,12.6,37.47,18.47,27.38,9.68,0.02,46.01,Gonder
2011-01-01,12.6,37.47,19.03,28.92,10.37,0.09,45.2,Gonder
2011-02-01,12.6,37.47,21.07,31.11,11.28,0.0,33.39,Gonder
2011-03-01,12.6,37.47,21.52,30.84,12.72,0.5,40.25,Gonder
2011-04-01,12.6,37.47,23.82,32.68,15.97,0.55,37.54,Gonder
2011-05-01,12.6,37.47,22.19,31.8,15.8,4.16,54.91,Gonder
2011-06-01,12.6,37.47,20.12,28.04,14.31,2.84,68.96,Gonder
2011-07-01,12.6,37.47,18.08,26.96,13.76,6.16,79.64,Gonder
2011-08-01,12.6,37.47,17.97,24.04,13.99,5.24,83.75,Gonder
2011-09-01,12.6,37.47,18.55,25.35,12.9,4.34,77.41,Gonder
2011-10-01,12.6,37.47,19.47,27.24,11.71,0.54,60.43,Gonder
2011-11-01,12.6,37.47,18.86,27.58,9.4,0.65,56.04,Gonder
2011-12-01,12.6,37.47,19.22,28.41,9.6,0.0,42.45,Gonder
