period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.11,40.76,24.36,34.69,14.43,0.2,34.24,Gordamole
2008-02-01,6.11,40.76,24.68,35.13,13.91,0.0,27.64,Gordamole
2008-03-01,6.11,40.76,26.26,36.46,15.39,0.08,28.62,Gordamole
2008-04-01,6.11,40.76,24.55,34.93,17.28,5.37,64.12,Gordamole
2008-05-01,6.11,40.76,24.97,33.21,17.11,0.72,61.71,Gordamole
2008-06-01,6.11,40.76,25.07,34.58,18.16,0.36,52.22,Gordamole
2008-07-01,6.11,40.76,24.84,34.62,18.13,0.87,50.89,Gordamole
2008-08-01,6.11,40.76,25.36,33.52,18.44,1.54,50.13,Gordamole
2008-09-01,6.11,40.76,26.59,35.62,19.41,1.49,47.63,Gordamole
2008-10-01,6.11,40.76,24.68,32.98,17.77,4.49,62.59,Gordamole
2008-11-01,6.11,40.76,21.52,31.26,12.18,3.2,66.45,Gordamole
2008-12-01,6.11,40.76,22.67,33.1,12.63,0.01,43.44,Gordamole
2009-01-01,6.11,40.76,23.84,33.3,14.23,0.7,42.65,Gordamole
2009-02-01,6.11,40.76,25.5,35.33,14.32,0.2,37.8,Gordamole
2009-03-01,6.11,40.76,27.01,36.85,16.47,0.32,37.61,Gordamole
2009-04-01,6.11,40.76,25.53,34.83,19.1,2.77,62.73,Gordamole
2009-05-01,6.11,40.76,25.88,34.68,18.59,1.62,58.13,Gordamole
2009-06-01,6.11,40.76,26.43,35.27,18.76,0.73,50.5,Gordamole
2009-07-01,6.11,40.76,25.43,34.55,17.0,0.3,46.56,Gordamole
2009-08-01,6.11,40.76,25.97,34.77,18.95,0.4,45.54,Gordamole
2009-09-01,6.11,40.76,26.96,35.86,19.93,1.75,45.63,Gordamole
2009-10-01,6.11,40.76,23.97,33.64,16.57,3.9,66.63,Gordamole
2009-11-01,6.11,40.76,23.59,32.56,14.79,1.11,54.31,Gordamole
2009-12-01,6.11,40.76,24.45,33.08,17.17,1.03,51.25,Gordamole
2010-01-01,6.11,40.76,24.42,34.15,12.63,0.02,36.85,Gordamole
2010-02-01,6.11,40.76,26.42,35.29,18.01,1.94,41.91,Gordamole
2010-03-01,6.11,40.76,24.72,34.39,15.79,3.08,61.39,Gordamole
2010-04-01,6.11,40.76,23.73,32.91,18.11,8.26,77.79,Gordamole
2010-05-01,6.11,40.76,23.97,31.29,17.43,2.43,75.31,Gordamole
2010-06-01,6.11,40.76,24.86,33.15,17.53,1.14,60.16,Gordamole
2010-07-01,6.11,40.76,24.29,32.54,17.6,0.59,54.05,Gordamole
2010-08-01,6.11,40.76,24.74,34.3,17.92,1.84,52.33,Gordamole
2010-09-01,6.11,40.76,25.95,34.89,18.07,1.02,47.81,Gordamole
2010-10-01,6.11,40.76,25.26,35.16,18.15,1.86,57.49,Gordamole
2010-11-01,6.11,40.76,24.3,32.89,14.61,0.46,45.33,Gordamole
2010-12-01,6.11,40.76,24.01,33.96,13.43,0.01,32.63,Gordamole
2011-01-01,6.11,40.76,24.34,35.13,13.69,0.0,31.46,Gordamole
2011-02-01,6.11,40.76,25.49,35.48,14.17,0.02,29.49,Gordamole
2011-03-01,6.11,40.76,26.37,35.97,17.81,0.23,32.05,Gordamole
2011-04-01,6.11,40.76,26.58,35.67,17.88,3.48,51.1,Gordamole
2011-05-01,6.11,40.76,24.57,32.47,17.67,3.81,67.47,Gordamole
2011-06-01,6.11,40.76,25.42,33.22,18.88,0.34,56.3,Gordamole
2011-07-01,6.11,40.76,25.82,34.33,18.4,0.29,49.13,Gordamole
2011-08-01,6.11,40.76,26.28,35.26,18.9,0.17,44.52,Gordamole
2011-09-01,6.11,40.76,27.09,36.06,19.88,0.46,44.09,Gordamole
2011-10-01,6.11,40.76,24.51,34.33,16.64,3.05,63.06,Gordamole
2011-11-01,6.11,40.76,22.93,32.64,15.08,3.63,72.93,Gordamole
2011-12-01,6.11,40.76,22.61,33.2,12.51,0.26,49.68,Gordamole
2012-01-01,6.11,40.76,23.89,34.81,13.98,0.01,34.95,Gordamole
2012-02-01,6.11,40.76,25.2,36.37,13.97,0.0,30.91,Gordamole
2012-03-01,6.11,40.76,26.52,35.78,16.0,0.09,31.2,Gordamole
2012-04-01,6.11,40.76,23.76,32.49,16.6,7.27,71.43,Gordamole
2012-05-01,6.11,40.76,24.13,32.77,18.08,2.18,70.3,Gordamole
