period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.37,39.88,22.97,32.16,13.86,0.33,46.02,Gubiya/yalo
2008-02-01,12.37,39.88,22.63,33.55,13.64,0.03,41.08,Gubiya/yalo
2008-03-01,12.37,39.88,25.38,37.01,14.04,0.0,20.16,Gubiya/yalo
2008-04-01,12.37,39.88,27.17,38.68,17.38,1.04,37.21,Gubiya/yalo
2008-05-01,12.37,39.88,29.21,38.52,21.08,1.1,37.69,Gubiya/yalo
2008-06-01,12.37,39.88,30.41,39.38,21.96,0.81,32.93,Gubiya/yalo
2008-07-01,12.37,39.88,28.74,39.55,20.65,7.78,49.59,Gubiya/yalo
2008-08-01,12.37,39.88,26.83,34.36,20.73,8.4,59.64,Gubiya/yalo
2008-09-01,12.37,39.88,26.34,34.15,19.92,2.02,57.83,Gubiya/yalo
2008-10-01,12.37,39.88,25.6,33.59,17.45,0.31,47.23,Gubiya/yalo
2008-11-01,12.37,39.88,22.54,31.09,13.34,1.43,50.44,Gubiya/yalo
2008-12-01,12.37,39.88,21.54,30.6,11.46,0.02,43.79,Gubiya/yalo
2009-01-01,12.37,39.88,22.54,31.74,15.02,0.22,45.38,Gubiya/yalo
2009-02-01,12.37,39.88,24.74,35.52,15.25,0.07,38.41,Gubiya/yalo
2009-03-01,12.37,39.88,26.25,38.51,16.96,0.57,42.58,Gubiya/yalo
2009-04-01,12.37,39.88,27.76,38.03,19.18,0.73,41.07,Gubiya/yalo
2009-05-01,12.37,39.88,29.93,40.14,20.58,0.07,28.68,Gubiya/yalo
2009-06-01,12.37,39.88,31.08,40.33,22.66,1.64,31.42,Gubiya/yalo
2009-07-01,12.37,39.88,27.63,37.24,21.09,10.23,56.73,Gubiya/yalo
2009-08-01,12.37,39.88,26.42,33.67,20.53,8.91,65.3,Gubiya/yalo
2009-09-01,12.37,39.88,26.33,33.6,19.58,1.28,56.79,Gubiya/yalo
2009-10-01,12.37,39.88,24.42,34.22,15.7,2.34,52.54,Gubiya/yalo
2009-11-01,12.37,39.88,23.74,32.44,15.12,0.07,39.63,Gubiya/yalo
2009-12-01,12.37,39.88,23.32,32.87,15.81,0.42,52.92,Gubiya/yalo
2010-01-01,12.37,39.88,22.4,32.28,11.81,0.0,45.39,Gubiya/yalo
2010-02-01,12.37,39.88,23.88,35.68,15.28,0.65,50.7,Gubiya/yalo
2010-03-01,12.37,39.88,25.16,34.94,14.55,1.17,48.1,Gubiya/yalo
2010-04-01,12.37,39.88,28.36,37.27,20.1,1.94,46.76,Gubiya/yalo
2010-05-01,12.37,39.88,29.27,39.34,22.42,1.71,43.73,Gubiya/yalo
2010-06-01,12.37,39.88,30.66,39.89,22.35,2.4,35.48,Gubiya/yalo
2010-07-01,12.37,39.88,26.77,38.27,19.4,11.96,60.69,Gubiya/yalo
2010-08-01,12.37,39.88,25.74,32.12,19.82,15.73,70.41,Gubiya/yalo
2010-09-01,12.37,39.88,25.59,32.13,18.66,2.55,63.15,Gubiya/yalo
2010-10-01,12.37,39.88,25.44,32.44,17.12,0.31,51.49,Gubiya/yalo
2010-11-01,12.37,39.88,23.08,32.21,14.71,0.2,43.77,Gubiya/yalo
2010-12-01,12.37,39.88,21.67,30.77,13.27,0.04,41.15,Gubiya/yalo
2011-01-01,12.37,39.88,22.55,32.96,13.16,0.16,51.78,Gubiya/yalo
2011-02-01,12.37,39.88,24.04,34.73,14.19,0.14,41.53,Gubiya/yalo
2011-03-01,12.37,39.88,23.96,35.27,16.24,1.75,46.08,Gubiya/yalo
2011-04-01,12.37,39.88,28.07,37.77,17.01,0.44,40.11,Gubiya/yalo
2011-05-01,12.37,39.88,28.31,37.81,21.32,2.56,45.77,Gubiya/yalo
2011-06-01,12.37,39.88,30.2,40.1,22.03,0.54,33.09,Gubiya/yalo
2011-07-01,12.37,39.88,29.2,39.07,22.38,3.74,45.3,Gubiya/yalo
2011-08-01,12.37,39.88,27.88,38.01,21.55,4.34,53.17,Gubiya/yalo
2011-09-01,12.37,39.88,27.9,36.27,19.52,1.91,45.96,Gubiya/yalo
2011-10-01,12.37,39.88,26.14,35.71,16.32,0.33,38.87,Gubiya/yalo
2011-11-01,12.37,39.88,24.04,32.82,15.69,0.58,50.69,Gubiya/yalo
2011-12-01,12.37,39.88,22.27,31.29,13.81,0.01,41.42,Gubiya/yalo
2012-01-01,12.37,39.88,23.04,32.77,15.05,0.01,45.42,Gubiya/yalo
2012-02-01,12.37,39.88,23.62,35.06,13.41,0.0,37.18,Gubiya/yalo
2012-03-01,12.37,39.88,25.52,36.72,15.86,0.23,34.86,Gubiya/yalo
2012-04-01,12.37,39.88,27.64,37.4,18.55,1.05,47.62,Gubiya/yalo
2012-05-01,12.37,39.88,30.06,39.03,21.37,0.41,34.72,Gubiya/yalo
2012-06-01,12.37,39.88,30.72,40.7,22.89,0.88,29.23,Gubiya/yalo
2012-07-01,12.37,39.88,28.1,38.37,22.06,8.31,53.64,Gubiya/yalo
2012-08-01,12.37,39.88,26.68,34.13,20.92,6.57,61.83,Gubiya/yalo
2012-09-01,12.37,39.88,27.35,34.44,20.15,1.49,51.14,Gubiya/yalo
2012-10-01,12.37,39.88,25.71,34.61,16.54,0.11,39.17,Gubiya/yalo
2012-11-01,12.37,39.88,24.94,33.87,16.56,0.04,36.16,Gubiya/yalo
2012-12-01,12.37,39.88,23.56,32.0,14.26,0.1,40.77,Gubiya/yalo
2013-01-01,12.37,39.88,22.76,34.72,13.35,0.73,48.44,Gubiya/yalo
2013-02-01,12.37,39.88,24.0,34.89,13.56,0.03,38.08,Gubiya/yalo
2013-03-01,12.37,39.88,26.38,35.87,17.81,0.96,46.81,Gubiya/yalo
2013-04-01,12.37,39.88,27.79,38.04,19.14,1.15,49.83,Gubiya/yalo
2013-05-01,12.37,39.88,30.12,38.76,21.47,1.12,34.61,Gubiya/yalo
2013-06-01,12.37,39.88,30.04,39.0,22.25,3.17,34.64,Gubiya/yalo
2013-07-01,12.37,39.88,27.67,38.38,21.34,12.33,55.61,Gubiya/yalo
2013-08-01,12.37,39.88,24.79,31.83,19.51,10.39,71.51,Gubiya/yalo
2013-09-01,12.37,39.88,25.53,33.26,19.26,2.03,62.85,Gubiya/yalo
2013-10-01,12.37,39.88,23.9,30.9,16.5,3.97,61.02,Gubiya/yalo
2013-11-01,12.37,39.88,23.51,31.26,14.84,0.24,54.24,Gubiya/yalo
2013-12-01,12.37,39.88,21.43,30.62,14.01,0.02,45.38,Gubiya/yalo
2014-01-01,12.37,39.88,22.55,33.19,13.13,0.07,48.3,Gubiya/yalo
2014-02-01,12.37,39.88,23.77,34.36,16.7,0.58,54.0,Gubiya/yalo
2014-03-01,12.37,39.88,25.82,36.24,16.6,0.78,46.51,Gubiya/yalo
2014-04-01,12.37,39.88,27.21,38.06,18.29,1.81,45.47,Gubiya/yalo
2014-05-01,12.37,39.88,28.32,37.57,20.98,3.33,46.56,Gubiya/yalo
2014-06-01,12.37,39.88,30.03,39.77,22.18,2.27,37.21,Gubiya/yalo
2014-07-01,12.37,39.88,27.8,39.03,20.97,10.75,57.49,Gubiya/yalo
2014-08-01,12.37,39.88,25.99,33.11,19.89,7.14,65.38,Gubiya/yalo
2014-09-01,12.37,39.88,25.18,32.16,19.87,4.21,64.5,Gubiya/yalo
2014-10-01,12.37,39.88,24.17,31.65,17.31,1.81,57.46,Gubiya/yalo
2014-11-01,12.37,39.88,23.78,32.61,16.13,0.39,50.36,Gubiya/yalo
2014-12-01,12.37,39.88,21.9,30.45,14.52,0.14,44.8,Gubiya/yalo
2015-01-01,12.37,39.88,21.38,32.76,12.63,0.45,50.07,Gubiya/yalo
2015-02-01,12.37,39.88,24.58,34.42,14.69,0.06,37.06,Gubiya/yalo
2015-03-01,12.37,39.88,26.55,36.44,16.51,0.47,36.32,Gubiya/yalo
2015-04-01,12.37,39.88,28.02,37.71,18.97,0.0,31.69,Gubiya/yalo
2015-05-01,12.37,39.88,29.58,39.91,20.33,1.07,37.87,Gubiya/yalo
2015-06-01,12.37,39.88,29.81,39.45,22.43,1.99,36.89,Gubiya/yalo
2015-07-01,12.37,39.88,30.44,39.33,23.11,1.92,37.83,Gubiya/yalo
2015-08-01,12.37,39.88,27.42,37.4,21.2,9.23,60.36,Gubiya/yalo
2015-09-01,12.37,39.88,27.09,36.79,20.47,1.72,54.29,Gubiya/yalo
2015-10-01,12.37,39.88,26.83,35.46,19.58,0.42,42.94,Gubiya/yalo
2015-11-01,12.37,39.88,24.76,34.23,16.21,0.8,50.34,Gubiya/yalo
2015-12-01,12.37,39.88,22.66,31.26,14.92,1.3,56.53,Gubiya/yalo
2016-01-01,12.37,39.88,22.8,31.94,14.56,0.19,54.15,Gubiya/yalo
2016-02-01,12.37,39.88,23.99,35.11,13.32,0.31,44.51,Gubiya/yalo
2016-03-01,12.37,39.88,28.13,38.44,19.47,0.59,43.18,Gubiya/yalo
2016-04-01,12.37,39.88,26.65,36.35,19.02,4.72,61.05,Gubiya/yalo
2016-05-01,12.37,39.88,27.72,36.88,20.13,4.0,50.05,Gubiya/yalo
2016-06-01,12.37,39.88,30.32,39.04,21.89,0.67,34.97,Gubiya/yalo
