period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.42,42.03,19.67,29.85,10.49,0.16,42.78,Haromaya
2008-02-01,9.42,42.03,18.96,30.96,8.17,0.07,37.65,Haromaya
2008-03-01,9.42,42.03,21.76,33.49,9.14,0.06,21.46,Haromaya
2008-04-01,9.42,42.03,22.23,32.96,13.35,3.75,54.61,Haromaya
2008-05-01,9.42,42.03,22.63,32.07,14.78,1.93,59.14,Haromaya
2008-06-01,9.42,42.03,22.18,32.71,15.26,1.08,56.5,Haromaya
2008-07-01,9.42,42.03,20.77,32.25,14.74,6.2,64.31,Haromaya
2008-08-01,9.42,42.03,19.89,27.0,13.98,6.87,72.18,Haromaya
2008-09-01,9.42,42.03,21.04,29.41,14.94,1.95,64.72,Haromaya
2008-10-01,9.42,42.03,20.36,28.81,12.41,1.41,54.69,Haromaya
2008-11-01,9.42,42.03,17.99,27.38,8.95,2.27,56.27,Haromaya
2008-12-01,9.42,42.03,17.66,27.52,8.82,0.01,44.7,Haromaya
2009-01-01,9.42,42.03,19.19,29.21,10.79,0.57,48.96,Haromaya
2009-02-01,9.42,42.03,21.39,32.08,12.12,0.26,41.58,Haromaya
2009-03-01,9.42,42.03,23.03,34.41,12.8,0.91,42.49,Haromaya
2009-04-01,9.42,42.03,22.66,32.45,14.8,2.59,57.12,Haromaya
2009-05-01,9.42,42.03,24.13,33.72,14.69,0.5,46.22,Haromaya
2009-06-01,9.42,42.03,23.37,34.11,16.06,2.91,54.83,Haromaya
2009-07-01,9.42,42.03,20.86,30.28,14.12,4.1,62.94,Haromaya
2009-08-01,9.42,42.03,21.05,29.43,14.86,3.03,62.75,Haromaya
2009-09-01,9.42,42.03,22.26,31.02,14.05,1.93,56.88,Haromaya
2009-10-01,9.42,42.03,20.33,31.15,11.9,2.67,59.0,Haromaya
2009-11-01,9.42,42.03,19.55,29.06,9.96,0.13,42.83,Haromaya
2009-12-01,9.42,42.03,20.21,29.57,12.23,0.46,52.72,Haromaya
2010-01-01,9.42,42.03,19.24,30.1,9.21,0.0,42.72,Haromaya
2010-02-01,9.42,42.03,20.95,32.32,13.15,2.46,52.6,Haromaya
2010-03-01,9.42,42.03,21.11,30.25,11.49,2.79,59.25,Haromaya
2010-04-01,9.42,42.03,22.38,31.29,14.77,4.44,63.58,Haromaya
2010-05-01,9.42,42.03,22.6,30.91,15.85,3.46,66.42,Haromaya
2010-06-01,9.42,42.03,22.17,31.06,15.87,3.18,63.11,Haromaya
2010-07-01,9.42,42.03,20.1,29.42,14.4,6.17,70.38,Haromaya
2010-08-01,9.42,42.03,19.54,27.07,13.95,7.2,74.45,Haromaya
2010-09-01,9.42,42.03,19.79,27.26,13.82,6.1,73.09,Haromaya
2010-10-01,9.42,42.03,20.11,28.53,12.59,0.21,53.51,Haromaya
2010-11-01,9.42,42.03,18.61,27.65,10.63,0.57,51.1,Haromaya
2010-12-01,9.42,42.03,17.99,28.1,7.72,0.11,43.36,Haromaya
2011-01-01,9.42,42.03,19.21,30.42,9.5,0.02,45.47,Haromaya
2011-02-01,9.42,42.03,20.57,31.92,10.7,0.03,38.89,Haromaya
2011-03-01,9.42,42.03,21.53,32.55,12.89,0.98,37.14,Haromaya
2011-04-01,9.42,42.03,23.47,32.52,13.75,2.95,50.62,Haromaya
2011-05-01,9.42,42.03,22.88,33.05,15.99,3.18,60.15,Haromaya
2011-06-01,9.42,42.03,22.5,31.03,15.61,0.85,60.04,Haromaya
2011-07-01,9.42,42.03,21.66,31.0,15.43,2.59,61.48,Haromaya
2011-08-01,9.42,42.03,21.44,31.12,15.02,1.98,61.25,Haromaya
2011-09-01,9.42,42.03,21.99,30.29,15.1,1.51,59.26,Haromaya
2011-10-01,9.42,42.03,21.27,32.18,11.28,0.29,42.0,Haromaya
2011-11-01,9.42,42.03,20.36,29.62,10.75,0.45,54.15,Haromaya
2011-12-01,9.42,42.03,18.24,29.22,8.12,0.01,43.22,Haromaya
2012-01-01,9.42,42.03,19.42,30.3,10.24,0.01,42.49,Haromaya
2012-02-01,9.42,42.03,20.51,32.29,11.16,0.0,35.28,Haromaya
