period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,14.03,39.45,15.63,26.12,5.12,0.3,58.41,Hawzien
2008-02-01,14.03,39.45,15.98,28.05,5.13,0.01,50.05,Hawzien
2008-03-01,14.03,39.45,17.68,30.41,4.98,0.0,27.86,Hawzien
2008-04-01,14.03,39.45,18.49,30.18,8.37,1.55,48.59,Hawzien
2008-05-01,14.03,39.45,20.5,31.31,12.37,0.57,50.55,Hawzien
2008-06-01,14.03,39.45,20.47,30.09,13.44,0.69,55.55,Hawzien
2008-07-01,14.03,39.45,18.49,28.39,12.34,4.65,72.59,Hawzien
2008-08-01,14.03,39.45,18.09,27.58,13.01,5.29,75.22,Hawzien
2008-09-01,14.03,39.45,18.34,27.49,10.87,1.12,64.57,Hawzien
2008-10-01,14.03,39.45,16.93,26.59,8.09,0.16,60.78,Hawzien
2008-11-01,14.03,39.45,15.0,25.42,4.22,0.45,59.94,Hawzien
2008-12-01,14.03,39.45,14.29,25.72,3.65,0.0,54.93,Hawzien
2009-01-01,14.03,39.45,15.81,26.68,5.09,0.06,51.34,Hawzien
2009-02-01,14.03,39.45,17.26,29.42,6.86,0.09,50.16,Hawzien
2009-03-01,14.03,39.45,19.23,31.38,9.36,0.18,52.05,Hawzien
2009-04-01,14.03,39.45,20.04,31.13,9.76,0.33,45.29,Hawzien
2009-05-01,14.03,39.45,21.2,31.31,11.35,0.01,39.39,Hawzien
2009-06-01,14.03,39.45,21.78,31.68,13.3,1.33,50.14,Hawzien
2009-07-01,14.03,39.45,17.8,28.24,12.84,9.11,77.97,Hawzien
2009-08-01,14.03,39.45,18.28,27.48,12.86,6.14,76.98,Hawzien
2009-09-01,14.03,39.45,18.31,27.03,11.15,0.51,61.69,Hawzien
2009-10-01,14.03,39.45,16.22,26.1,6.29,1.06,60.89,Hawzien
2009-11-01,14.03,39.45,15.15,25.13,5.22,0.03,55.03,Hawzien
2009-12-01,14.03,39.45,15.9,25.7,6.88,0.16,64.22,Hawzien
2010-01-01,14.03,39.45,15.62,26.54,4.71,0.0,57.68,Hawzien
2010-02-01,14.03,39.45,17.98,28.82,8.6,0.27,50.83,Hawzien
2010-03-01,14.03,39.45,18.03,29.52,5.39,0.43,51.18,Hawzien
2010-04-01,14.03,39.45,20.25,30.08,10.96,1.73,56.95,Hawzien
2010-05-01,14.03,39.45,21.18,31.17,12.08,0.88,50.21,Hawzien
2010-06-01,14.03,39.45,20.68,31.34,12.77,1.07,56.98,Hawzien
2010-07-01,14.03,39.45,17.76,28.32,13.07,7.99,78.64,Hawzien
2010-08-01,14.03,39.45,17.25,24.23,13.12,13.1,84.17,Hawzien
2010-09-01,14.03,39.45,17.25,24.87,7.97,1.67,72.81,Hawzien
2010-10-01,14.03,39.45,15.69,24.5,7.87,0.11,66.85,Hawzien
2010-11-01,14.03,39.45,14.13,23.42,5.32,0.08,63.3,Hawzien
2010-12-01,14.03,39.45,13.65,23.46,3.41,0.0,60.11,Hawzien
2011-01-01,14.03,39.45,15.24,25.41,6.16,0.06,65.25,Hawzien
2011-02-01,14.03,39.45,16.18,27.42,5.25,0.13,51.75,Hawzien
2011-03-01,14.03,39.45,16.58,27.88,6.7,1.0,56.09,Hawzien
2011-04-01,14.03,39.45,19.64,30.66,10.01,0.14,50.43,Hawzien
2011-05-01,14.03,39.45,19.9,29.58,11.45,2.08,56.58,Hawzien
2011-06-01,14.03,39.45,20.93,30.58,12.84,0.19,48.9,Hawzien
2011-07-01,14.03,39.45,18.63,28.57,12.6,2.83,70.45,Hawzien
2011-08-01,14.03,39.45,18.9,28.87,12.87,2.19,71.11,Hawzien
2011-09-01,14.03,39.45,18.58,28.84,11.19,0.75,63.4,Hawzien
2011-10-01,14.03,39.45,16.93,27.22,7.07,0.23,54.35,Hawzien
2011-11-01,14.03,39.45,16.35,25.95,6.21,0.42,62.32,Hawzien
2011-12-01,14.03,39.45,14.7,26.57,4.66,0.0,54.97,Hawzien
2012-01-01,14.03,39.45,16.03,27.98,5.92,0.0,56.04,Hawzien
2012-02-01,14.03,39.45,16.33,29.54,5.29,0.0,43.37,Hawzien
2012-03-01,14.03,39.45,18.26,29.8,7.23,0.02,43.8,Hawzien
2012-04-01,14.03,39.45,20.53,30.41,11.06,0.41,52.28,Hawzien
2012-05-01,14.03,39.45,21.12,31.55,12.9,0.1,46.64,Hawzien
2012-06-01,14.03,39.45,20.84,31.51,13.18,0.58,49.97,Hawzien
2012-07-01,14.03,39.45,18.39,27.87,13.37,4.79,75.36,Hawzien
2012-08-01,14.03,39.45,18.18,28.17,12.26,3.51,75.72,Hawzien
2012-09-01,14.03,39.45,18.83,27.57,10.82,1.01,62.1,Hawzien
2012-10-01,14.03,39.45,17.14,28.08,7.13,0.04,52.05,Hawzien
2012-11-01,14.03,39.45,16.92,28.08,8.23,0.22,51.71,Hawzien
2012-12-01,14.03,39.45,15.6,26.43,5.75,0.06,54.46,Hawzien
2013-01-01,14.03,39.45,16.58,28.23,7.03,0.1,53.46,Hawzien
2013-02-01,14.03,39.45,17.22,29.86,7.67,0.02,45.74,Hawzien
2013-03-01,14.03,39.45,19.72,30.55,10.43,0.58,50.54,Hawzien
2013-04-01,14.03,39.45,20.82,31.42,11.59,0.52,53.68,Hawzien
2013-05-01,14.03,39.45,21.71,31.35,13.01,0.76,40.76,Hawzien
2013-06-01,14.03,39.45,20.13,31.0,13.08,1.61,51.93,Hawzien
2013-07-01,14.03,39.45,17.63,26.64,12.12,7.66,76.93,Hawzien
2013-08-01,14.03,39.45,16.88,24.89,10.68,11.72,81.8,Hawzien
2013-09-01,14.03,39.45,17.78,25.41,11.82,1.19,67.12,Hawzien
2013-10-01,14.03,39.45,15.59,24.15,6.93,2.42,70.24,Hawzien
2013-11-01,14.03,39.45,15.13,23.66,5.88,0.25,71.4,Hawzien
2013-12-01,14.03,39.45,13.26,23.57,3.55,0.16,60.43,Hawzien
2014-01-01,14.03,39.45,15.17,25.8,5.41,0.07,63.28,Hawzien
2014-02-01,14.03,39.45,16.79,26.95,8.07,0.49,61.82,Hawzien
2014-03-01,14.03,39.45,18.33,29.39,8.97,0.73,56.01,Hawzien
2014-04-01,14.03,39.45,18.87,29.99,9.5,2.38,55.16,Hawzien
2014-05-01,14.03,39.45,19.78,29.26,11.75,2.22,58.35,Hawzien
2014-06-01,14.03,39.45,20.44,30.38,12.57,1.39,55.09,Hawzien
2014-07-01,14.03,39.45,18.47,30.32,12.78,9.17,76.15,Hawzien
2014-08-01,14.03,39.45,17.73,26.98,12.37,7.0,78.18,Hawzien
2014-09-01,14.03,39.45,16.99,25.45,10.14,2.81,71.32,Hawzien
2014-10-01,14.03,39.45,15.22,24.19,6.98,0.78,73.16,Hawzien
2014-11-01,14.03,39.45,15.01,24.18,6.76,0.22,69.89,Hawzien
2014-12-01,14.03,39.45,13.6,24.13,3.21,0.02,62.7,Hawzien
2015-01-01,14.03,39.45,14.18,25.37,3.34,0.26,61.69,Hawzien
2015-02-01,14.03,39.45,16.62,28.07,4.39,0.0,49.89,Hawzien
2015-03-01,14.03,39.45,18.38,29.15,8.33,0.17,47.38,Hawzien
2015-04-01,14.03,39.45,19.47,30.12,9.73,0.0,46.34,Hawzien
2015-05-01,14.03,39.45,21.14,31.63,11.01,0.16,48.4,Hawzien
2015-06-01,14.03,39.45,20.31,30.85,12.18,2.66,53.53,Hawzien
2015-07-01,14.03,39.45,19.44,28.98,12.34,3.22,66.22,Hawzien
2015-08-01,14.03,39.45,18.66,27.69,13.17,5.34,74.72,Hawzien
2015-09-01,14.03,39.45,19.21,29.78,11.13,0.11,57.76,Hawzien
2015-10-01,14.03,39.45,17.77,27.78,9.96,0.33,60.65,Hawzien
2015-11-01,14.03,39.45,16.72,27.04,6.45,0.35,66.16,Hawzien
2015-12-01,14.03,39.45,15.57,25.43,6.81,2.06,69.91,Hawzien
2016-01-01,14.03,39.45,16.24,27.03,7.32,0.1,63.58,Hawzien
2016-02-01,14.03,39.45,17.59,29.23,8.23,0.13,53.81,Hawzien
2016-03-01,14.03,39.45,20.26,31.15,9.33,2.0,53.46,Hawzien
2016-04-01,14.03,39.45,20.18,30.51,12.11,3.49,60.05,Hawzien
2016-05-01,14.03,39.45,19.56,29.53,11.54,2.92,58.67,Hawzien
