period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.33,42.82,18.5,27.94,9.39,0.09,54.08,Jijiga
2008-02-01,9.33,42.82,16.56,28.78,5.12,0.19,52.44,Jijiga
2008-03-01,9.33,42.82,19.6,31.07,7.68,0.02,32.36,Jijiga
2008-04-01,9.33,42.82,21.51,31.1,13.78,1.9,57.57,Jijiga
2008-05-01,9.33,42.82,22.01,30.85,15.48,0.89,61.96,Jijiga
2008-06-01,9.33,42.82,20.79,31.21,14.36,0.41,63.49,Jijiga
2008-07-01,9.33,42.82,19.63,28.91,14.01,2.52,68.01,Jijiga
2008-08-01,9.33,42.82,19.53,26.49,14.2,2.72,70.3,Jijiga
2008-09-01,9.33,42.82,21.22,29.84,14.42,0.91,61.88,Jijiga
2008-10-01,9.33,42.82,20.28,28.96,12.16,0.93,52.86,Jijiga
2008-11-01,9.33,42.82,17.14,28.01,7.24,1.29,61.82,Jijiga
2008-12-01,9.33,42.82,16.52,27.02,4.48,0.0,53.89,Jijiga
2009-01-01,9.33,42.82,18.12,27.88,9.66,0.32,56.16,Jijiga
2009-02-01,9.33,42.82,20.0,30.19,11.44,0.09,51.82,Jijiga
2009-03-01,9.33,42.82,21.69,32.82,10.81,0.36,51.78,Jijiga
2009-04-01,9.33,42.82,21.64,31.02,13.99,2.01,60.97,Jijiga
2009-05-01,9.33,42.82,23.14,32.13,14.01,0.22,51.61,Jijiga
2009-06-01,9.33,42.82,22.34,32.71,14.96,1.43,59.47,Jijiga
2009-07-01,9.33,42.82,19.64,27.61,13.69,1.65,66.72,Jijiga
2009-08-01,9.33,42.82,20.43,28.33,14.55,1.28,62.98,Jijiga
2009-09-01,9.33,42.82,22.07,30.94,15.5,0.9,54.94,Jijiga
2009-10-01,9.33,42.82,20.05,30.82,11.02,1.93,60.85,Jijiga
2009-11-01,9.33,42.82,18.16,27.65,9.15,0.08,52.02,Jijiga
2009-12-01,9.33,42.82,18.91,28.65,8.71,0.13,60.64,Jijiga
2010-01-01,9.33,42.82,17.02,28.08,5.14,0.0,57.22,Jijiga
2010-02-01,9.33,42.82,19.63,29.82,10.67,2.61,55.75,Jijiga
2010-03-01,9.33,42.82,19.86,28.56,9.61,2.02,63.48,Jijiga
2010-04-01,9.33,42.82,21.37,29.74,13.25,4.42,67.85,Jijiga
2010-05-01,9.33,42.82,21.72,30.03,15.56,2.42,71.43,Jijiga
2010-06-01,9.33,42.82,20.37,29.78,14.56,3.88,73.67,Jijiga
2010-07-01,9.33,42.82,18.35,25.73,13.73,3.17,78.15,Jijiga
2010-08-01,9.33,42.82,18.5,25.83,13.2,3.11,76.91,Jijiga
2010-09-01,9.33,42.82,19.49,26.63,13.28,3.99,71.95,Jijiga
2010-10-01,9.33,42.82,19.96,28.9,10.33,0.07,52.52,Jijiga
2010-11-01,9.33,42.82,17.71,27.26,7.83,0.44,55.53,Jijiga
2010-12-01,9.33,42.82,16.79,27.44,5.17,0.05,51.58,Jijiga
2011-01-01,9.33,42.82,17.78,29.6,6.99,0.0,54.82,Jijiga
2011-02-01,9.33,42.82,19.08,29.68,9.04,0.02,50.35,Jijiga
2011-03-01,9.33,42.82,20.1,30.18,11.11,0.53,44.21,Jijiga
2011-04-01,9.33,42.82,22.58,31.47,12.16,2.74,53.73,Jijiga
2011-05-01,9.33,42.82,21.62,30.44,14.24,2.09,66.44,Jijiga
2011-06-01,9.33,42.82,20.84,28.97,15.1,0.84,68.81,Jijiga
2011-07-01,9.33,42.82,20.44,30.5,14.37,1.04,66.92,Jijiga
2011-08-01,9.33,42.82,20.67,29.37,14.29,0.42,61.88,Jijiga
2011-09-01,9.33,42.82,21.75,30.56,15.27,0.68,58.89,Jijiga
2011-10-01,9.33,42.82,19.99,30.39,11.32,0.64,50.0,Jijiga
2011-11-01,9.33,42.82,19.22,28.42,10.51,0.34,61.82,Jijiga
2011-12-01,9.33,42.82,16.29,27.26,7.01,0.03,58.15,Jijiga
2012-01-01,9.33,42.82,17.76,28.22,8.51,0.02,53.22,Jijiga
2012-02-01,9.33,42.82,18.38,30.03,7.88,0.0,49.64,Jijiga
2012-03-01,9.33,42.82,20.51,30.68,9.26,0.03,42.7,Jijiga
2012-04-01,9.33,42.82,20.68,29.38,12.65,3.98,67.67,Jijiga
2012-05-01,9.33,42.82,21.59,30.89,13.61,1.39,65.22,Jijiga
2012-06-01,9.33,42.82,20.99,31.4,14.01,1.04,65.57,Jijiga
2012-07-01,9.33,42.82,19.75,28.9,13.85,1.02,68.38,Jijiga
2012-08-01,9.33,42.82,19.95,27.37,14.22,4.37,69.1,Jijiga
2012-09-01,9.33,42.82,20.07,28.21,14.67,2.52,70.26,Jijiga
2012-10-01,9.33,42.82,19.41,28.61,9.75,0.26,55.05,Jijiga
2012-11-01,9.33,42.82,19.32,28.84,9.89,0.18,56.12,Jijiga
2012-12-01,9.33,42.82,18.48,28.18,10.08,0.08,59.02,Jijiga
2013-01-01,9.33,42.82,18.27,29.78,7.5,0.09,55.92,Jijiga
2013-02-01,9.33,42.82,19.39,30.48,8.57,0.0,47.6,Jijiga
2013-03-01,9.33,42.82,20.87,30.87,12.62,2.4,61.37,Jijiga
2013-04-01,9.33,42.82,21.12,29.2,15.09,3.89,73.33,Jijiga
2013-05-01,9.33,42.82,21.24,30.32,14.69,1.34,70.67,Jijiga
2013-06-01,9.33,42.82,19.92,28.44,13.99,0.53,71.7,Jijiga
2013-07-01,9.33,42.82,18.47,27.91,13.21,3.32,75.8,Jijiga
2013-08-01,9.33,42.82,18.71,25.36,12.74,2.42,74.01,Jijiga
2013-09-01,9.33,42.82,20.89,30.48,14.29,1.56,63.06,Jijiga
2013-10-01,9.33,42.82,19.45,28.56,11.71,1.72,61.07,Jijiga
2013-11-01,9.33,42.82,17.95,26.96,8.9,2.35,68.56,Jijiga
2013-12-01,9.33,42.82,16.22,26.39,7.55,0.03,58.34,Jijiga
2014-01-01,9.33,42.82,17.51,28.38,7.14,0.01,56.8,Jijiga
2014-02-01,9.33,42.82,19.66,29.43,11.78,0.07,58.11,Jijiga
2014-03-01,9.33,42.82,21.14,30.33,12.63,1.24,56.59,Jijiga
2014-04-01,9.33,42.82,21.92,30.22,13.57,1.82,60.81,Jijiga
2014-05-01,9.33,42.82,22.24,30.68,15.66,1.89,65.25,Jijiga
2014-06-01,9.33,42.82,21.81,31.86,14.61,0.61,58.61,Jijiga
2014-07-01,9.33,42.82,20.2,29.64,14.17,2.81,66.91,Jijiga
2014-08-01,9.33,42.82,20.19,28.18,14.58,1.48,67.71,Jijiga
2014-09-01,9.33,42.82,20.18,28.19,14.08,3.43,69.15,Jijiga
2014-10-01,9.33,42.82,19.06,28.04,10.75,2.43,63.9,Jijiga
2014-11-01,9.33,42.82,18.45,27.58,9.46,0.16,62.92,Jijiga
2014-12-01,9.33,42.82,16.3,26.73,5.96,0.3,57.1,Jijiga
2015-01-01,9.33,42.82,15.89,26.98,6.04,0.04,54.92,Jijiga
2015-02-01,9.33,42.82,19.79,29.95,10.65,0.0,45.32,Jijiga
2015-03-01,9.33,42.82,20.8,30.36,11.27,1.57,51.05,Jijiga
2015-04-01,9.33,42.82,21.97,31.07,13.77,0.49,52.12,Jijiga
2015-05-01,9.33,42.82,21.86,31.96,14.61,3.56,66.78,Jijiga
2015-06-01,9.33,42.82,21.19,30.36,14.55,1.87,66.51,Jijiga
2015-07-01,9.33,42.82,20.81,30.48,14.6,0.8,65.93,Jijiga
2015-08-01,9.33,42.82,20.08,28.14,14.0,2.54,68.81,Jijiga
2015-09-01,9.33,42.82,21.98,30.7,15.22,1.05,58.53,Jijiga
2015-10-01,9.33,42.82,21.1,30.91,12.83,0.78,59.39,Jijiga
2015-11-01,9.33,42.82,18.19,29.37,8.73,3.24,66.93,Jijiga
2015-12-01,9.33,42.82,16.93,27.49,7.63,0.63,66.48,Jijiga
2016-01-01,9.33,42.82,18.19,28.15,6.86,0.47,64.0,Jijiga
2016-02-01,9.33,42.82,18.01,30.0,6.72,0.17,54.68,Jijiga
2016-03-01,9.33,42.82,23.27,32.81,15.18,0.66,50.78,Jijiga
2016-04-01,9.33,42.82,21.14,29.53,15.22,7.84,72.07,Jijiga
2016-05-01,9.33,42.82,20.54,27.67,14.44,3.74,76.2,Jijiga
2016-06-01,9.33,42.82,20.03,28.82,14.3,0.29,72.11,Jijiga
2016-07-01,9.33,42.82,19.41,27.78,13.38,2.1,70.74,Jijiga
2016-08-01,9.33,42.82,19.29,27.66,13.11,2.19,68.5,Jijiga
2016-09-01,9.33,42.82,20.61,29.95,13.05,2.03,62.5,Jijiga
2016-10-01,9.33,42.82,20.06,28.95,9.83,0.56,52.96,Jijiga
2016-11-01,9.33,42.82,18.61,29.0,7.79,0.1,55.4,Jijiga
2016-12-01,9.33,42.82,17.15,27.39,7.99,0.18,55.03,Jijiga
2017-01-01,9.33,42.82,16.52,28.76,6.29,0.01,44.03,Jijiga
2017-02-01,9.33,42.82,19.44,28.97,9.08,0.14,58.69,Jijiga
2017-03-01,9.33,42.82,21.81,31.77,12.69,1.54,49.88,Jijiga
2017-04-01,9.33,42.82,22.11,31.12,13.6,0.29,56.58,Jijiga
2017-05-01,9.33,42.82,22.05,30.46,15.8,4.84,65.89,Jijiga
2017-06-01,9.33,42.82,21.73,30.49,14.95,0.24,63.45,Jijiga
2017-07-01,9.33,42.82,20.54,30.04,14.64,1.35,65.18,Jijiga
2017-08-01,9.33,42.82,20.7,28.76,14.55,1.06,64.54,Jijiga
2017-09-01,9.33,42.82,21.65,31.16,14.43,1.5,61.37,Jijiga
