period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.79,36.57,24.73,34.06,14.12,0.92,38.37,Jinka
2008-02-01,5.79,36.57,25.69,35.2,15.09,0.33,33.46,Jinka
2008-03-01,5.79,36.57,25.59,35.99,16.91,2.14,42.0,Jinka
2008-04-01,5.79,36.57,22.87,33.21,16.08,4.56,66.67,Jinka
2008-05-01,5.79,36.57,21.83,29.06,15.99,1.7,70.57,Jinka
2008-06-01,5.79,36.57,20.78,28.46,14.7,2.63,69.64,Jinka
2008-07-01,5.79,36.57,20.05,29.35,14.69,3.26,72.21,Jinka
2008-08-01,5.79,36.57,20.71,28.02,15.15,3.02,70.28,Jinka
2008-09-01,5.79,36.57,21.41,29.22,15.68,3.51,69.51,Jinka
2008-10-01,5.79,36.57,20.93,28.67,14.57,5.28,74.35,Jinka
2008-11-01,5.79,36.57,20.22,28.56,11.96,3.54,69.74,Jinka
2008-12-01,5.79,36.57,22.77,31.47,13.26,0.15,49.24,Jinka
2009-01-01,5.79,36.57,23.87,33.55,14.69,1.93,45.57,Jinka
2009-02-01,5.79,36.57,25.6,35.34,16.76,0.37,42.11,Jinka
2009-03-01,5.79,36.57,25.93,35.16,17.22,1.73,46.2,Jinka
2009-04-01,5.79,36.57,22.18,31.03,16.54,6.36,75.49,Jinka
2009-05-01,5.79,36.57,22.09,31.28,16.04,3.58,71.51,Jinka
2009-06-01,5.79,36.57,22.14,29.83,16.06,1.31,66.02,Jinka
2009-07-01,5.79,36.57,21.35,29.04,13.86,2.21,62.24,Jinka
2009-08-01,5.79,36.57,21.79,30.51,14.39,1.98,62.47,Jinka
2009-09-01,5.79,36.57,22.27,29.71,15.37,4.75,64.85,Jinka
2009-10-01,5.79,36.57,21.25,28.63,15.94,4.26,73.76,Jinka
2009-11-01,5.79,36.57,23.15,31.05,13.27,0.91,53.8,Jinka
2009-12-01,5.79,36.57,22.26,31.28,15.38,3.35,65.28,Jinka
2010-01-01,5.79,36.57,22.88,33.33,14.77,1.14,56.45,Jinka
2010-02-01,5.79,36.57,24.24,33.31,17.29,2.64,56.77,Jinka
2010-03-01,5.79,36.57,23.27,33.59,16.15,4.22,64.2,Jinka
2010-04-01,5.79,36.57,22.58,30.74,15.68,4.27,73.0,Jinka
2010-05-01,5.79,36.57,21.2,28.7,16.46,6.22,81.01,Jinka
2010-06-01,5.79,36.57,20.58,26.5,14.69,3.87,77.63,Jinka
2010-07-01,5.79,36.57,19.89,27.91,14.42,3.27,74.24,Jinka
2010-08-01,5.79,36.57,20.48,27.72,14.12,2.96,71.46,Jinka
2010-09-01,5.79,36.57,21.12,27.86,14.5,3.15,68.49,Jinka
2010-10-01,5.79,36.57,21.87,30.12,15.86,2.78,68.79,Jinka
2010-11-01,5.79,36.57,23.36,31.42,15.27,1.23,53.4,Jinka
2010-12-01,5.79,36.57,23.6,32.08,13.37,0.66,44.98,Jinka
2011-01-01,5.79,36.57,24.68,34.98,15.93,0.29,37.45,Jinka
2011-02-01,5.79,36.57,26.09,36.0,15.44,0.23,30.31,Jinka
2011-03-01,5.79,36.57,25.67,36.21,16.95,1.84,44.96,Jinka
2011-04-01,5.79,36.57,24.32,34.69,16.67,3.17,60.12,Jinka
2011-05-01,5.79,36.57,21.68,29.69,16.12,5.29,75.21,Jinka
2011-06-01,5.79,36.57,20.23,26.64,15.44,3.4,79.7,Jinka
2011-07-01,5.79,36.57,20.63,28.07,14.44,2.18,70.96,Jinka
2011-08-01,5.79,36.57,20.71,28.87,15.22,1.83,69.28,Jinka
2011-09-01,5.79,36.57,21.13,29.44,15.54,2.57,70.17,Jinka
2011-10-01,5.79,36.57,22.21,30.65,15.79,2.42,66.57,Jinka
2011-11-01,5.79,36.57,20.31,27.24,15.08,6.87,78.34,Jinka
2011-12-01,5.79,36.57,21.74,31.01,11.37,0.92,58.05,Jinka
2012-01-01,5.79,36.57,24.28,34.06,12.18,0.02,38.4,Jinka
2012-02-01,5.79,36.57,25.86,36.12,13.79,0.2,29.3,Jinka
2012-03-01,5.79,36.57,26.26,36.02,16.1,0.91,36.58,Jinka
2012-04-01,5.79,36.57,21.48,31.32,16.21,8.97,74.93,Jinka
2012-05-01,5.79,36.57,20.49,26.16,15.69,5.39,83.98,Jinka
2012-06-01,5.79,36.57,19.73,25.23,14.31,2.16,80.64,Jinka
2012-07-01,5.79,36.57,19.09,24.85,14.5,4.08,81.36,Jinka
2012-08-01,5.79,36.57,19.69,26.08,14.72,8.38,78.51,Jinka
2012-09-01,5.79,36.57,20.2,25.99,14.38,5.07,77.03,Jinka
2012-10-01,5.79,36.57,20.84,27.85,15.12,3.52,76.61,Jinka
2012-11-01,5.79,36.57,21.25,28.6,13.91,2.54,70.32,Jinka
2012-12-01,5.79,36.57,22.74,30.53,14.7,2.3,58.92,Jinka
2013-01-01,5.79,36.57,23.8,32.75,13.84,0.87,50.24,Jinka
2013-02-01,5.79,36.57,26.11,36.44,16.51,0.15,37.03,Jinka
2013-03-01,5.79,36.57,24.24,34.97,16.83,3.52,59.06,Jinka
2013-04-01,5.79,36.57,21.23,30.38,16.47,8.6,80.35,Jinka
2013-05-01,5.79,36.57,20.45,26.56,15.28,5.7,82.52,Jinka
2013-06-01,5.79,36.57,19.4,24.85,14.08,4.16,81.58,Jinka
2013-07-01,5.79,36.57,18.86,24.63,14.1,4.76,81.84,Jinka
2013-08-01,5.79,36.57,19.13,25.47,13.26,3.77,78.36,Jinka
2013-09-01,5.79,36.57,20.85,28.43,14.59,3.28,72.7,Jinka
2013-10-01,5.79,36.57,20.67,26.36,14.77,5.16,75.12,Jinka
2013-11-01,5.79,36.57,20.87,27.39,13.4,4.55,74.66,Jinka
2013-12-01,5.79,36.57,21.71,30.56,12.9,0.32,56.15,Jinka
2014-01-01,5.79,36.57,24.7,34.84,14.84,0.04,41.99,Jinka
2014-02-01,5.79,36.57,24.52,34.22,15.59,1.27,49.15,Jinka
2014-03-01,5.79,36.57,25.08,35.74,16.21,3.33,52.02,Jinka
2014-04-01,5.79,36.57,22.28,29.55,15.69,5.36,73.64,Jinka
2014-05-01,5.79,36.57,21.45,28.3,15.71,6.41,78.18,Jinka
2014-06-01,5.79,36.57,20.72,26.96,14.29,3.53,76.72,Jinka
2014-07-01,5.79,36.57,20.2,26.71,13.51,3.88,75.18,Jinka
2014-08-01,5.79,36.57,20.19,26.85,14.41,3.16,73.73,Jinka
2014-09-01,5.79,36.57,20.87,28.2,14.08,4.1,71.32,Jinka
