period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.74,44.28,26.62,37.37,17.02,0.01,40.04,Kebri Dehar
2008-02-01,6.74,44.28,26.56,37.66,16.31,0.0,32.14,Kebri Dehar
2008-03-01,6.74,44.28,27.98,38.67,16.64,0.02,30.17,Kebri Dehar
2008-04-01,6.74,44.28,28.06,38.38,19.19,4.38,56.38,Kebri Dehar
2008-05-01,6.74,44.28,27.42,34.95,21.28,0.07,60.41,Kebri Dehar
2008-06-01,6.74,44.28,27.02,34.83,20.61,0.13,54.33,Kebri Dehar
2008-07-01,6.74,44.28,26.71,33.97,20.16,0.07,51.14,Kebri Dehar
2008-08-01,6.74,44.28,28.08,35.8,20.93,0.06,45.63,Kebri Dehar
2008-09-01,6.74,44.28,29.54,38.54,21.57,0.1,43.48,Kebri Dehar
2008-10-01,6.74,44.28,27.6,37.71,19.86,4.24,57.19,Kebri Dehar
2008-11-01,6.74,44.28,24.59,34.52,14.78,2.41,59.81,Kebri Dehar
2008-12-01,6.74,44.28,24.77,35.53,14.18,0.0,42.82,Kebri Dehar
2009-01-01,6.74,44.28,26.49,36.23,15.97,0.02,42.29,Kebri Dehar
2009-02-01,6.74,44.28,27.83,38.14,18.15,0.05,41.15,Kebri Dehar
2009-03-01,6.74,44.28,29.39,38.65,19.33,0.05,38.47,Kebri Dehar
2009-04-01,6.74,44.28,29.54,37.79,21.1,1.53,52.02,Kebri Dehar
2009-05-01,6.74,44.28,29.55,37.77,22.62,0.24,49.5,Kebri Dehar
2009-06-01,6.74,44.28,29.38,37.92,22.37,0.11,45.62,Kebri Dehar
2009-07-01,6.74,44.28,27.64,35.14,19.94,0.02,46.37,Kebri Dehar
2009-08-01,6.74,44.28,28.26,35.66,21.07,0.01,43.67,Kebri Dehar
2009-09-01,6.74,44.28,29.3,36.85,22.07,0.31,44.0,Kebri Dehar
2009-10-01,6.74,44.28,26.94,37.22,17.54,4.25,60.94,Kebri Dehar
2009-11-01,6.74,44.28,26.11,35.19,16.79,0.57,51.76,Kebri Dehar
2009-12-01,6.74,44.28,26.78,35.89,17.41,0.02,46.17,Kebri Dehar
2010-01-01,6.74,44.28,26.71,36.82,15.0,0.0,36.68,Kebri Dehar
2010-02-01,6.74,44.28,28.54,37.97,18.26,0.45,41.4,Kebri Dehar
2010-03-01,6.74,44.28,28.62,37.82,18.01,2.18,49.82,Kebri Dehar
2010-04-01,6.74,44.28,27.61,37.12,20.09,6.39,65.67,Kebri Dehar
2010-05-01,6.74,44.28,27.25,34.41,21.48,0.48,66.7,Kebri Dehar
2010-06-01,6.74,44.28,27.38,34.53,21.4,0.85,57.8,Kebri Dehar
2010-07-01,6.74,44.28,26.56,34.15,20.34,0.07,51.93,Kebri Dehar
2010-08-01,6.74,44.28,27.13,34.94,20.11,0.52,49.97,Kebri Dehar
2010-09-01,6.74,44.28,28.58,36.23,21.55,0.35,45.81,Kebri Dehar
2010-10-01,6.74,44.28,28.68,37.22,20.1,0.4,47.99,Kebri Dehar
2010-11-01,6.74,44.28,27.78,36.83,16.92,0.01,36.65,Kebri Dehar
2010-12-01,6.74,44.28,26.08,35.87,15.84,0.0,34.82,Kebri Dehar
2011-01-01,6.74,44.28,25.85,37.42,15.45,0.0,38.08,Kebri Dehar
2011-02-01,6.74,44.28,26.97,37.17,16.27,0.0,35.87,Kebri Dehar
2011-03-01,6.74,44.28,28.43,38.5,18.97,0.0,34.23,Kebri Dehar
2011-04-01,6.74,44.28,29.8,38.92,20.79,8.54,47.64,Kebri Dehar
2011-05-01,6.74,44.28,25.77,32.49,20.68,1.32,76.84,Kebri Dehar
2011-06-01,6.74,44.28,26.72,33.93,20.16,0.06,59.03,Kebri Dehar
2011-07-01,6.74,44.28,27.36,34.46,21.26,0.01,51.39,Kebri Dehar
2011-08-01,6.74,44.28,27.91,35.56,21.07,0.0,45.34,Kebri Dehar
2011-09-01,6.74,44.28,29.48,38.2,22.39,0.01,43.31,Kebri Dehar
2011-10-01,6.74,44.28,26.77,37.15,18.59,5.08,63.14,Kebri Dehar
2011-11-01,6.74,44.28,24.5,31.8,15.18,4.29,75.29,Kebri Dehar
2011-12-01,6.74,44.28,24.34,33.85,14.01,0.01,48.15,Kebri Dehar
2012-01-01,6.74,44.28,25.31,35.96,14.5,0.0,42.3,Kebri Dehar
2012-02-01,6.74,44.28,27.09,37.89,16.4,0.0,36.6,Kebri Dehar
2012-03-01,6.74,44.28,28.66,38.22,17.51,0.0,35.15,Kebri Dehar
2012-04-01,6.74,44.28,26.97,36.43,20.2,6.47,64.13,Kebri Dehar
2012-05-01,6.74,44.28,26.08,32.79,20.77,2.07,71.93,Kebri Dehar
2012-06-01,6.74,44.28,26.23,34.14,19.67,0.22,60.14,Kebri Dehar
2012-07-01,6.74,44.28,25.84,33.11,20.0,0.09,54.67,Kebri Dehar
2012-08-01,6.74,44.28,27.5,35.85,20.57,0.72,49.3,Kebri Dehar
2012-09-01,6.74,44.28,27.87,37.99,20.17,1.16,50.01,Kebri Dehar
2012-10-01,6.74,44.28,27.41,35.64,19.68,2.34,57.96,Kebri Dehar
2012-11-01,6.74,44.28,27.29,35.51,19.07,0.77,52.77,Kebri Dehar
2012-12-01,6.74,44.28,27.76,37.39,19.1,0.05,40.92,Kebri Dehar
2013-01-01,6.74,44.28,27.42,37.65,17.42,0.0,38.57,Kebri Dehar
2013-02-01,6.74,44.28,28.04,38.2,18.14,0.0,37.81,Kebri Dehar
2013-03-01,6.74,44.28,29.03,38.53,19.46,2.06,47.1,Kebri Dehar
2013-04-01,6.74,44.28,26.5,34.5,21.14,8.05,75.18,Kebri Dehar
2013-05-01,6.74,44.28,24.89,32.31,19.24,1.0,78.5,Kebri Dehar
2013-06-01,6.74,44.28,25.6,32.34,18.54,0.0,61.71,Kebri Dehar
2013-07-01,6.74,44.28,25.84,32.65,19.02,0.06,54.13,Kebri Dehar
2013-08-01,6.74,44.28,27.41,35.27,20.07,0.07,46.45,Kebri Dehar
2013-09-01,6.74,44.28,29.0,36.79,21.23,0.12,42.9,Kebri Dehar
2013-10-01,6.74,44.28,28.73,36.13,21.78,0.81,50.95,Kebri Dehar
2013-11-01,6.74,44.28,24.63,35.26,14.97,6.69,71.18,Kebri Dehar
2013-12-01,6.74,44.28,24.24,33.96,14.3,0.0,48.59,Kebri Dehar
2014-01-01,6.74,44.28,25.33,35.59,15.58,0.0,44.54,Kebri Dehar
2014-02-01,6.74,44.28,27.73,37.75,17.93,0.0,40.38,Kebri Dehar
2014-03-01,6.74,44.28,29.77,38.72,19.46,0.26,40.97,Kebri Dehar
2014-04-01,6.74,44.28,29.77,38.74,21.79,1.91,48.16,Kebri Dehar
2014-05-01,6.74,44.28,27.71,34.79,21.73,1.61,61.97,Kebri Dehar
2014-06-01,6.74,44.28,27.8,35.39,21.04,0.02,52.43,Kebri Dehar
2014-07-01,6.74,44.28,27.65,35.01,20.5,0.04,47.58,Kebri Dehar
2014-08-01,6.74,44.28,28.38,37.06,20.89,0.05,44.96,Kebri Dehar
2014-09-01,6.74,44.28,28.91,37.05,21.87,1.12,45.17,Kebri Dehar
2014-10-01,6.74,44.28,25.5,33.46,17.86,6.32,72.11,Kebri Dehar
2014-11-01,6.74,44.28,25.83,35.09,16.84,1.27,60.65,Kebri Dehar
2014-12-01,6.74,44.28,24.87,34.93,15.06,0.15,44.82,Kebri Dehar
2015-01-01,6.74,44.28,25.22,36.58,14.36,0.0,35.9,Kebri Dehar
2015-02-01,6.74,44.28,27.55,37.56,18.11,0.0,38.03,Kebri Dehar
2015-03-01,6.74,44.28,28.81,38.28,18.24,0.32,40.54,Kebri Dehar
2015-04-01,6.74,44.28,29.05,38.54,20.88,4.69,55.77,Kebri Dehar
2015-05-01,6.74,44.28,26.73,34.27,20.79,2.36,70.51,Kebri Dehar
2015-06-01,6.74,44.28,27.21,34.87,20.42,0.38,56.86,Kebri Dehar
2015-07-01,6.74,44.28,27.42,34.91,20.8,0.23,50.65,Kebri Dehar
2015-08-01,6.74,44.28,27.92,35.7,20.58,0.29,48.4,Kebri Dehar
2015-09-01,6.74,44.28,29.64,37.8,22.07,0.14,43.53,Kebri Dehar
2015-10-01,6.74,44.28,28.66,37.41,22.05,2.58,57.22,Kebri Dehar
2015-11-01,6.74,44.28,24.8,33.57,15.38,5.44,73.29,Kebri Dehar
2015-12-01,6.74,44.28,25.67,36.14,17.0,0.16,51.61,Kebri Dehar
2016-01-01,6.74,44.28,26.82,37.38,16.3,0.02,45.24,Kebri Dehar
2016-02-01,6.74,44.28,27.71,38.93,16.56,0.01,34.54,Kebri Dehar
2016-03-01,6.74,44.28,30.82,40.77,21.13,0.22,39.8,Kebri Dehar
2016-04-01,6.74,44.28,30.02,39.49,22.91,2.85,51.97,Kebri Dehar
2016-05-01,6.74,44.28,27.31,35.55,20.83,1.13,62.76,Kebri Dehar
2016-06-01,6.74,44.28,27.24,35.18,20.25,0.02,53.39,Kebri Dehar
2016-07-01,6.74,44.28,26.72,34.67,20.11,0.02,48.82,Kebri Dehar
2016-08-01,6.74,44.28,27.65,35.16,20.5,0.03,44.76,Kebri Dehar
2016-09-01,6.74,44.28,28.31,36.45,20.48,0.04,42.8,Kebri Dehar
2016-10-01,6.74,44.28,28.95,37.26,19.77,0.14,45.99,Kebri Dehar
2016-11-01,6.74,44.28,28.69,36.95,18.35,0.02,41.28,Kebri Dehar
2016-12-01,6.74,44.28,27.24,36.87,17.28,0.02,35.55,Kebri Dehar
2017-01-01,6.74,44.28,25.88,37.01,15.2,0.0,30.98,Kebri Dehar
2017-02-01,6.74,44.28,28.56,37.76,18.33,0.0,40.33,Kebri Dehar
2017-03-01,6.74,44.28,29.6,39.13,19.41,0.01,36.88,Kebri Dehar
2017-04-01,6.74,44.28,31.0,39.83,22.36,1.12,41.67,Kebri Dehar
2017-05-01,6.74,44.28,29.33,36.86,21.97,0.79,52.96,Kebri Dehar
2017-06-01,6.74,44.28,29.02,36.08,22.46,0.02,48.2,Kebri Dehar
2017-07-01,6.74,44.28,27.75,35.71,21.53,0.01,46.89,Kebri Dehar
2017-08-01,6.74,44.28,28.67,36.92,21.78,0.02,44.61,Kebri Dehar
2017-09-01,6.74,44.28,29.5,37.37,22.34,0.04,42.73,Kebri Dehar
2017-10-01,6.74,44.28,28.92,38.41,21.98,1.49,51.4,Kebri Dehar
2017-11-01,6.74,44.28,25.78,35.29,17.06,2.13,56.44,Kebri Dehar
2017-12-01,6.74,44.28,24.65,35.91,13.63,0.0,37.75,Kebri Dehar
2018-01-01,6.74,44.28,25.41,36.54,14.46,0.0,31.46,Kebri Dehar
2018-02-01,6.74,44.28,28.35,38.47,15.25,0.0,37.72,Kebri Dehar
2018-03-01,6.74,44.28,29.58,38.66,18.43,0.8,38.91,Kebri Dehar
2018-04-01,6.74,44.28,27.35,36.48,20.84,4.77,65.98,Kebri Dehar
2018-05-01,6.74,44.28,27.07,35.51,21.12,0.89,66.23,Kebri Dehar
2018-06-01,6.74,44.28,26.88,34.24,21.01,0.44,56.1,Kebri Dehar
2018-07-01,6.74,44.28,26.74,35.52,20.16,0.04,49.99,Kebri Dehar
2018-08-01,6.74,44.28,27.87,35.82,20.89,0.11,45.93,Kebri Dehar
2018-09-01,6.74,44.28,29.31,37.27,21.44,1.83,44.38,Kebri Dehar
2018-10-01,6.74,44.28,28.07,36.18,21.08,0.64,54.15,Kebri Dehar
2018-11-01,6.74,44.28,28.08,36.29,17.89,0.54,46.71,Kebri Dehar
2018-12-01,6.74,44.28,28.08,37.1,18.04,0.0,38.06,Kebri Dehar
2019-01-01,6.74,44.28,26.53,36.99,17.17,0.0,35.73,Kebri Dehar
2019-02-01,6.74,44.28,28.7,39.3,18.27,0.01,39.28,Kebri Dehar
2019-03-01,6.74,44.28,30.2,39.49,20.65,0.0,37.99,Kebri Dehar
2019-04-01,6.74,44.28,30.64,39.43,20.96,1.22,45.98,Kebri Dehar
2019-05-01,6.74,44.28,29.14,38.53,22.15,1.55,56.09,Kebri Dehar
2019-06-01,6.74,44.28,27.88,34.88,21.31,1.01,54.66,Kebri Dehar
2019-07-01,6.74,44.28,27.92,36.1,21.22,0.01,49.2,Kebri Dehar
2019-08-01,6.74,44.28,28.72,36.27,21.75,0.03,43.19,Kebri Dehar
2019-09-01,6.74,44.28,29.74,37.08,21.49,0.41,43.68,Kebri Dehar
