period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.48,35.91,21.36,29.76,11.73,1.14,55.24,Kemashi
2008-02-01,9.48,35.91,22.91,32.51,11.92,0.13,41.64,Kemashi
2008-03-01,9.48,35.91,25.36,36.03,15.05,0.38,35.07,Kemashi
2008-04-01,9.48,35.91,22.57,33.96,14.98,4.18,66.38,Kemashi
2008-05-01,9.48,35.91,21.77,30.71,14.5,5.86,73.22,Kemashi
2008-06-01,9.48,35.91,20.04,27.98,14.81,5.85,80.59,Kemashi
2008-07-01,9.48,35.91,19.16,26.29,13.99,7.64,84.03,Kemashi
2008-08-01,9.48,35.91,19.29,25.55,14.52,6.24,85.01,Kemashi
2008-09-01,9.48,35.91,20.03,26.7,14.69,4.8,81.69,Kemashi
2008-10-01,9.48,35.91,20.35,27.23,12.54,3.18,73.58,Kemashi
2008-11-01,9.48,35.91,19.58,28.04,9.37,2.23,65.96,Kemashi
2008-12-01,9.48,35.91,20.5,28.5,11.59,0.56,60.74,Kemashi
2009-01-01,9.48,35.91,21.75,31.08,11.5,0.35,52.44,Kemashi
2009-02-01,9.48,35.91,23.27,32.59,13.36,1.73,52.29,Kemashi
2009-03-01,9.48,35.91,25.0,34.94,15.25,1.2,46.14,Kemashi
2009-04-01,9.48,35.91,23.96,34.44,14.96,4.07,60.52,Kemashi
2009-05-01,9.48,35.91,24.06,34.92,14.69,1.76,54.18,Kemashi
2009-06-01,9.48,35.91,21.6,29.53,14.73,5.37,74.58,Kemashi
2009-07-01,9.48,35.91,19.6,26.26,14.61,5.38,81.91,Kemashi
2009-08-01,9.48,35.91,19.89,26.55,14.83,5.89,83.06,Kemashi
2009-09-01,9.48,35.91,20.68,27.49,14.11,7.05,78.46,Kemashi
2009-10-01,9.48,35.91,20.23,27.16,11.6,5.03,72.99,Kemashi
2009-11-01,9.48,35.91,20.56,29.5,10.28,0.39,60.37,Kemashi
2009-12-01,9.48,35.91,21.31,29.52,13.58,0.47,59.51,Kemashi
2010-01-01,9.48,35.91,22.49,32.15,12.76,0.19,48.08,Kemashi
2010-02-01,9.48,35.91,24.63,34.58,13.37,0.41,38.87,Kemashi
2010-03-01,9.48,35.91,25.15,36.33,15.02,0.41,35.36,Kemashi
2010-04-01,9.48,35.91,25.89,35.41,16.99,1.62,49.14,Kemashi
2010-05-01,9.48,35.91,22.13,30.3,16.94,7.3,76.22,Kemashi
2010-06-01,9.48,35.91,20.67,26.92,15.56,8.71,81.17,Kemashi
2010-07-01,9.48,35.91,19.25,25.75,14.34,7.51,85.81,Kemashi
2010-08-01,9.48,35.91,19.37,25.64,14.56,6.81,86.25,Kemashi
2010-09-01,9.48,35.91,19.32,25.79,14.36,8.08,85.64,Kemashi
2010-10-01,9.48,35.91,20.36,26.92,12.37,3.18,74.06,Kemashi
2010-11-01,9.48,35.91,19.82,26.98,11.06,2.24,67.58,Kemashi
2010-12-01,9.48,35.91,20.04,27.41,10.71,0.25,62.59,Kemashi
2011-01-01,9.48,35.91,20.66,29.59,10.85,0.88,58.04,Kemashi
2011-02-01,9.48,35.91,22.72,32.94,11.82,0.08,42.15,Kemashi
2011-03-01,9.48,35.91,24.06,34.5,14.37,0.67,45.32,Kemashi
2011-04-01,9.48,35.91,25.16,34.83,16.99,1.98,50.69,Kemashi
2011-05-01,9.48,35.91,22.2,35.39,15.45,4.82,67.74,Kemashi
2011-06-01,9.48,35.91,20.41,27.38,14.59,7.32,81.77,Kemashi
2011-07-01,9.48,35.91,19.74,26.53,14.63,3.52,81.71,Kemashi
2011-08-01,9.48,35.91,19.54,26.69,14.1,3.9,83.47,Kemashi
2011-09-01,9.48,35.91,19.69,27.31,14.12,4.38,82.08,Kemashi
2011-10-01,9.48,35.91,21.13,28.87,11.94,1.26,67.09,Kemashi
2011-11-01,9.48,35.91,20.97,29.36,11.23,1.08,62.05,Kemashi
2011-12-01,9.48,35.91,21.44,30.95,10.33,0.31,48.65,Kemashi
2012-01-01,9.48,35.91,22.68,32.84,11.42,0.05,38.83,Kemashi
2012-02-01,9.48,35.91,24.65,34.69,13.03,0.0,26.84,Kemashi
2012-03-01,9.48,35.91,25.99,36.84,14.87,0.67,33.05,Kemashi
2012-04-01,9.48,35.91,25.41,36.01,15.44,1.16,40.36,Kemashi
2012-05-01,9.48,35.91,23.0,35.73,15.77,3.81,67.49,Kemashi
2012-06-01,9.48,35.91,21.04,28.96,15.74,3.71,75.1,Kemashi
2012-07-01,9.48,35.91,19.28,26.09,14.35,5.44,84.25,Kemashi
2012-08-01,9.48,35.91,19.34,26.01,14.58,7.98,85.38,Kemashi
2012-09-01,9.48,35.91,19.52,25.97,13.57,7.39,84.58,Kemashi
2012-10-01,9.48,35.91,20.53,27.95,10.4,2.03,70.6,Kemashi
2012-11-01,9.48,35.91,21.04,28.37,13.16,1.41,67.28,Kemashi
2012-12-01,9.48,35.91,21.32,29.41,11.71,0.62,58.77,Kemashi
2013-01-01,9.48,35.91,22.86,33.01,13.11,0.11,47.32,Kemashi
2013-02-01,9.48,35.91,24.45,34.99,13.3,0.36,37.07,Kemashi
2013-03-01,9.48,35.91,25.55,35.67,14.71,1.06,36.36,Kemashi
2013-04-01,9.48,35.91,25.8,36.54,14.42,0.52,34.72,Kemashi
2013-05-01,9.48,35.91,21.69,33.04,14.6,7.24,74.9,Kemashi
2013-06-01,9.48,35.91,19.93,26.93,14.79,8.81,82.83,Kemashi
2013-07-01,9.48,35.91,18.75,25.54,13.5,8.09,85.8,Kemashi
2013-08-01,9.48,35.91,18.93,25.34,14.01,6.08,86.66,Kemashi
2013-09-01,9.48,35.91,19.64,26.08,14.89,5.11,84.28,Kemashi
2013-10-01,9.48,35.91,20.05,26.37,12.83,3.32,77.3,Kemashi
2013-11-01,9.48,35.91,20.46,27.07,12.06,2.11,70.18,Kemashi
2013-12-01,9.48,35.91,19.61,28.26,9.81,0.07,58.83,Kemashi
2014-01-01,9.48,35.91,21.58,31.27,12.26,0.16,54.02,Kemashi
2014-02-01,9.48,35.91,22.72,33.06,12.93,0.47,44.27,Kemashi
2014-03-01,9.48,35.91,23.34,34.57,14.95,2.21,56.73,Kemashi
2014-04-01,9.48,35.91,22.63,33.49,16.35,4.54,69.85,Kemashi
2014-05-01,9.48,35.91,21.23,28.6,15.31,8.44,79.84,Kemashi
2014-06-01,9.48,35.91,20.67,28.17,15.8,7.39,81.76,Kemashi
2014-07-01,9.48,35.91,19.43,26.31,14.25,6.81,85.73,Kemashi
2014-08-01,9.48,35.91,19.05,26.05,14.53,6.03,85.76,Kemashi
2014-09-01,9.48,35.91,19.32,25.8,13.95,8.83,85.49,Kemashi
2014-10-01,9.48,35.91,19.64,26.0,13.71,7.32,83.16,Kemashi
2014-11-01,9.48,35.91,19.54,26.41,11.16,0.53,72.22,Kemashi
2014-12-01,9.48,35.91,19.59,26.87,10.99,0.61,64.29,Kemashi
2015-01-01,9.48,35.91,20.08,29.57,9.77,0.19,57.02,Kemashi
2015-02-01,9.48,35.91,22.99,32.18,10.69,0.1,44.28,Kemashi
2015-03-01,9.48,35.91,24.93,34.37,15.27,0.77,48.4,Kemashi
2015-04-01,9.48,35.91,25.38,34.98,15.18,0.52,45.0,Kemashi
2015-05-01,9.48,35.91,21.62,34.36,14.57,8.13,76.2,Kemashi
2015-06-01,9.48,35.91,20.43,28.5,15.62,10.26,83.04,Kemashi
2015-07-01,9.48,35.91,19.82,26.09,14.24,8.98,84.8,Kemashi
2015-08-01,9.48,35.91,19.84,26.05,14.53,8.15,85.01,Kemashi
2015-09-01,9.48,35.91,20.36,26.59,15.07,9.68,83.53,Kemashi
2015-10-01,9.48,35.91,20.39,26.93,14.67,5.62,82.42,Kemashi
2015-11-01,9.48,35.91,19.75,26.3,12.65,2.59,80.21,Kemashi
2015-12-01,9.48,35.91,19.09,26.36,11.2,3.08,80.23,Kemashi
2016-01-01,9.48,35.91,19.58,27.53,9.02,0.07,67.89,Kemashi
2016-02-01,9.48,35.91,22.01,31.6,13.17,0.07,57.74,Kemashi
2016-03-01,9.48,35.91,24.31,33.34,14.44,2.51,56.98,Kemashi
2016-04-01,9.48,35.91,24.01,33.35,15.73,1.42,56.68,Kemashi
2016-05-01,9.48,35.91,21.01,28.05,16.06,11.7,82.27,Kemashi
2016-06-01,9.48,35.91,20.17,28.01,14.88,8.17,84.05,Kemashi
2016-07-01,9.48,35.91,19.16,25.19,13.42,10.24,86.69,Kemashi
2016-08-01,9.48,35.91,19.13,25.43,14.1,11.86,86.37,Kemashi
2016-09-01,9.48,35.91,19.81,26.09,14.54,13.2,85.63,Kemashi
2016-10-01,9.48,35.91,20.02,26.58,14.23,3.98,81.25,Kemashi
2016-11-01,9.48,35.91,19.34,26.37,8.09,0.65,67.4,Kemashi
2016-12-01,9.48,35.91,19.03,26.94,7.71,0.04,62.1,Kemashi
2017-01-01,9.48,35.91,19.21,29.06,6.12,0.0,47.7,Kemashi
