period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.67,36.84,18.43,27.93,8.82,0.99,55.23,Kersa
2008-02-01,7.67,36.84,19.81,29.78,8.45,0.54,50.9,Kersa
2008-03-01,7.67,36.84,21.7,31.62,12.3,1.76,44.54,Kersa
2008-04-01,7.67,36.84,18.08,26.06,11.53,10.57,78.48,Kersa
2008-05-01,7.67,36.84,17.52,23.33,12.48,6.58,86.0,Kersa
2008-06-01,7.67,36.84,16.37,22.21,11.38,5.74,88.38,Kersa
2008-07-01,7.67,36.84,16.07,21.93,11.14,7.07,89.18,Kersa
2008-08-01,7.67,36.84,16.3,22.33,11.9,7.1,89.14,Kersa
2008-09-01,7.67,36.84,16.68,22.48,12.01,7.05,87.21,Kersa
2008-10-01,7.67,36.84,16.82,22.68,8.99,7.24,80.3,Kersa
2008-11-01,7.67,36.84,16.22,22.72,6.14,4.74,73.05,Kersa
2008-12-01,7.67,36.84,16.37,22.84,7.48,0.49,65.68,Kersa
2009-01-01,7.67,36.84,17.02,24.64,7.99,1.59,66.37,Kersa
2009-02-01,7.67,36.84,19.6,29.95,9.94,1.02,57.98,Kersa
2009-03-01,7.67,36.84,20.61,29.77,12.84,3.38,63.63,Kersa
2009-04-01,7.67,36.84,18.76,25.59,12.41,8.58,81.38,Kersa
2009-05-01,7.67,36.84,18.51,25.98,13.18,4.8,79.55,Kersa
2009-06-01,7.67,36.84,17.51,23.17,11.78,4.6,84.89,Kersa
2009-07-01,7.67,36.84,16.34,22.46,10.5,5.72,86.84,Kersa
2009-08-01,7.67,36.84,16.6,22.61,12.07,7.12,86.78,Kersa
2009-09-01,7.67,36.84,17.28,22.99,12.37,8.12,84.66,Kersa
2009-10-01,7.67,36.84,17.03,22.94,10.5,9.21,80.25,Kersa
2009-11-01,7.67,36.84,16.48,22.95,7.42,1.0,69.34,Kersa
2009-12-01,7.67,36.84,16.88,23.24,11.0,3.36,79.7,Kersa
