period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.52,36.73,28.54,38.32,18.02,0.66,29.99,Key Afer
2008-02-01,5.52,36.73,29.47,39.28,18.47,0.13,25.99,Key Afer
2008-03-01,5.52,36.73,29.06,39.98,18.61,1.56,36.27,Key Afer
2008-04-01,5.52,36.73,27.05,37.68,19.69,2.55,56.15,Key Afer
2008-05-01,5.52,36.73,26.34,35.54,19.89,0.87,56.53,Key Afer
2008-06-01,5.52,36.73,25.21,33.66,18.0,1.91,55.77,Key Afer
2008-07-01,5.52,36.73,24.48,34.07,17.96,2.4,58.7,Key Afer
2008-08-01,5.52,36.73,25.41,33.6,18.6,2.03,55.45,Key Afer
2008-09-01,5.52,36.73,26.29,35.09,19.21,2.59,54.99,Key Afer
2008-10-01,5.52,36.73,25.53,34.76,18.87,3.54,63.14,Key Afer
2008-11-01,5.52,36.73,25.09,35.23,16.66,2.59,58.34,Key Afer
2008-12-01,5.52,36.73,27.67,36.78,16.68,0.09,37.64,Key Afer
2009-01-01,5.52,36.73,28.12,37.79,18.53,1.65,37.16,Key Afer
2009-02-01,5.52,36.73,29.6,39.73,19.72,0.21,32.77,Key Afer
2009-03-01,5.52,36.73,29.96,39.46,20.51,1.05,37.25,Key Afer
2009-04-01,5.52,36.73,26.53,36.13,20.32,3.73,63.18,Key Afer
2009-05-01,5.52,36.73,26.23,37.14,18.98,2.48,60.16,Key Afer
2009-06-01,5.52,36.73,26.38,34.26,18.88,0.86,53.92,Key Afer
2009-07-01,5.52,36.73,25.61,35.22,16.45,1.05,48.79,Key Afer
2009-08-01,5.52,36.73,26.48,36.07,18.86,1.1,46.71,Key Afer
2009-09-01,5.52,36.73,26.73,35.27,19.23,3.36,51.51,Key Afer
2009-10-01,5.52,36.73,25.94,35.33,19.38,3.04,60.88,Key Afer
2009-11-01,5.52,36.73,27.97,36.1,18.41,0.59,44.92,Key Afer
2009-12-01,5.52,36.73,26.61,36.68,18.6,2.72,54.52,Key Afer
2010-01-01,5.52,36.73,26.96,37.79,17.02,1.25,46.85,Key Afer
2010-02-01,5.52,36.73,28.69,38.03,20.49,2.17,46.19,Key Afer
2010-03-01,5.52,36.73,27.06,38.44,20.24,3.27,56.52,Key Afer
2010-04-01,5.52,36.73,26.44,36.24,18.77,3.2,64.39,Key Afer
2010-05-01,5.52,36.73,25.72,33.92,19.47,3.56,66.6,Key Afer
2010-06-01,5.52,36.73,25.34,33.29,18.39,2.31,61.33,Key Afer
2010-07-01,5.52,36.73,24.46,33.79,18.09,1.91,58.54,Key Afer
2010-08-01,5.52,36.73,25.07,33.77,17.79,2.0,55.85,Key Afer
2010-09-01,5.52,36.73,25.92,34.14,18.66,1.95,52.79,Key Afer
2010-10-01,5.52,36.73,26.15,36.08,20.17,2.02,58.46,Key Afer
2010-11-01,5.52,36.73,28.0,36.8,17.79,1.04,42.62,Key Afer
2010-12-01,5.52,36.73,28.08,36.9,17.38,0.51,33.97,Key Afer
2011-01-01,5.52,36.73,28.55,38.68,18.41,0.26,29.37,Key Afer
