period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.51,39.52,16.0,25.86,7.28,0.35,56.06,Korem
2008-02-01,12.51,39.52,16.04,26.81,5.69,0.04,49.92,Korem
2008-03-01,12.51,39.52,17.82,29.09,5.85,0.0,30.32,Korem
2008-04-01,12.51,39.52,18.51,29.19,9.57,0.95,50.41,Korem
2008-05-01,12.51,39.52,20.65,29.82,13.69,0.98,51.19,Korem
2008-06-01,12.51,39.52,21.08,29.96,14.76,0.67,50.58,Korem
2008-07-01,12.51,39.52,19.38,27.75,13.85,5.62,66.44,Korem
2008-08-01,12.51,39.52,18.67,24.94,14.02,6.16,69.43,Korem
2008-09-01,12.51,39.52,18.59,25.13,13.4,1.83,64.23,Korem
2008-10-01,12.51,39.52,17.23,25.27,9.8,0.3,61.91,Korem
2008-11-01,12.51,39.52,15.08,23.98,5.8,1.4,62.33,Korem
2008-12-01,12.51,39.52,14.65,24.61,5.68,0.03,56.01,Korem
2009-01-01,12.51,39.52,16.19,26.17,6.87,0.24,52.96,Korem
2009-02-01,12.51,39.52,17.57,27.93,8.97,0.07,50.41,Korem
2009-03-01,12.51,39.52,19.31,29.52,11.01,0.58,52.32,Korem
2009-04-01,12.51,39.52,19.78,29.67,11.52,0.82,51.7,Korem
2009-05-01,12.51,39.52,21.27,30.4,13.04,0.07,40.6,Korem
2009-06-01,12.51,39.52,22.31,30.77,15.1,1.33,44.25,Korem
2009-07-01,12.51,39.52,18.79,27.39,13.31,8.5,71.08,Korem
2009-08-01,12.51,39.52,18.85,24.98,14.36,6.87,71.36,Korem
2009-09-01,12.51,39.52,18.98,24.25,14.06,1.05,60.56,Korem
2009-10-01,12.51,39.52,16.61,24.61,8.11,2.08,62.58,Korem
2009-11-01,12.51,39.52,15.7,24.5,6.76,0.07,53.6,Korem
2009-12-01,12.51,39.52,16.47,25.46,9.43,0.46,64.2,Korem
2010-01-01,12.51,39.52,16.18,25.86,7.5,0.0,56.08,Korem
2010-02-01,12.51,39.52,18.18,28.07,10.33,0.91,58.09,Korem
2010-03-01,12.51,39.52,17.82,27.35,7.0,1.28,59.3,Korem
2010-04-01,12.51,39.52,20.12,28.65,12.78,1.87,60.06,Korem
2010-05-01,12.51,39.52,21.17,29.66,15.24,1.67,55.37,Korem
2010-06-01,12.51,39.52,21.63,30.45,14.25,1.96,51.38,Korem
2010-07-01,12.51,39.52,18.27,27.36,12.44,8.69,73.87,Korem
2010-08-01,12.51,39.52,17.88,22.83,13.98,11.24,78.95,Korem
2010-09-01,12.51,39.52,17.89,23.35,12.55,1.88,70.11,Korem
2010-10-01,12.51,39.52,16.87,23.1,10.68,0.27,63.64,Korem
2010-11-01,12.51,39.52,15.27,24.22,7.86,0.22,58.18,Korem
2010-12-01,12.51,39.52,15.01,24.11,5.86,0.04,53.6,Korem
2011-01-01,12.51,39.52,16.29,25.93,8.78,0.17,61.08,Korem
2011-02-01,12.51,39.52,17.18,27.15,6.79,0.15,49.11,Korem
2011-03-01,12.51,39.52,16.76,27.26,8.82,1.91,56.45,Korem
2011-04-01,12.51,39.52,19.57,29.24,10.6,0.48,53.74,Korem
2011-05-01,12.51,39.52,20.06,29.32,12.91,2.37,56.8,Korem
2011-06-01,12.51,39.52,21.3,29.48,14.44,0.46,49.01,Korem
2011-07-01,12.51,39.52,19.22,27.52,13.49,3.26,66.9,Korem
2011-08-01,12.51,39.52,19.1,26.87,14.06,3.33,68.21,Korem
2011-09-01,12.51,39.52,19.21,26.53,12.49,1.38,60.18,Korem
2011-10-01,12.51,39.52,17.19,26.04,8.2,0.24,54.16,Korem
2011-11-01,12.51,39.52,16.59,24.73,8.51,0.57,62.24,Korem
2011-12-01,12.51,39.52,14.94,25.42,5.79,0.01,53.9,Korem
2012-01-01,12.51,39.52,16.13,26.13,7.16,0.01,55.75,Korem
2012-02-01,12.51,39.52,16.24,28.2,5.97,0.0,46.27,Korem
2012-03-01,12.51,39.52,18.12,27.79,8.7,0.25,44.92,Korem
2012-04-01,12.51,39.52,20.1,28.49,13.11,1.11,56.96,Korem
2012-05-01,12.51,39.52,21.15,29.97,14.32,0.39,48.84,Korem
2012-06-01,12.51,39.52,21.53,30.23,14.23,0.67,45.55,Korem
2012-07-01,12.51,39.52,19.03,27.29,14.34,6.0,70.29,Korem
2012-08-01,12.51,39.52,18.5,25.36,14.27,4.72,72.54,Korem
2012-09-01,12.51,39.52,19.27,25.36,13.39,1.14,60.9,Korem
2012-10-01,12.51,39.52,17.2,25.98,8.32,0.13,53.37,Korem
2012-11-01,12.51,39.52,17.18,26.09,9.43,0.06,49.55,Korem
2012-12-01,12.51,39.52,15.95,25.73,7.56,0.11,53.3,Korem
2013-01-01,12.51,39.52,16.43,27.69,8.26,0.73,57.55,Korem
2013-02-01,12.51,39.52,17.22,28.02,8.25,0.03,48.74,Korem
2013-03-01,12.51,39.52,19.65,29.41,10.87,0.95,54.07,Korem
2013-04-01,12.51,39.52,20.56,29.68,13.09,0.99,57.69,Korem
2013-05-01,12.51,39.52,21.71,29.76,14.27,1.18,45.22,Korem
2013-06-01,12.51,39.52,21.14,30.5,14.52,2.57,49.49,Korem
2013-07-01,12.51,39.52,18.32,26.14,13.69,10.1,72.78,Korem
2013-08-01,12.51,39.52,17.43,23.12,13.24,8.09,76.71,Korem
2013-09-01,12.51,39.52,18.17,23.6,13.21,1.87,66.29,Korem
2013-10-01,12.51,39.52,16.15,22.37,10.52,3.94,69.38,Korem
2013-11-01,12.51,39.52,15.55,22.91,7.48,0.22,68.91,Korem
2013-12-01,12.51,39.52,14.37,24.11,5.75,0.05,56.98,Korem
2014-01-01,12.51,39.52,16.35,25.99,7.23,0.08,57.18,Korem
2014-02-01,12.51,39.52,17.83,27.11,9.52,0.58,60.78,Korem
2014-03-01,12.51,39.52,18.88,28.77,10.48,0.87,56.62,Korem
2014-04-01,12.51,39.52,18.96,28.13,10.82,1.9,58.06,Korem
2014-05-01,12.51,39.52,19.7,28.57,14.06,2.85,61.62,Korem
2014-06-01,12.51,39.52,21.18,29.45,14.35,2.15,52.22,Korem
2014-07-01,12.51,39.52,19.22,28.19,14.31,10.57,69.83,Korem
2014-08-01,12.51,39.52,18.36,24.73,13.83,5.35,71.31,Korem
2014-09-01,12.51,39.52,17.58,23.44,13.19,3.5,70.44,Korem
2014-10-01,12.51,39.52,15.67,22.37,9.73,1.87,71.88,Korem
2014-11-01,12.51,39.52,15.48,24.49,8.5,0.38,66.36,Korem
2014-12-01,12.51,39.52,14.46,24.21,6.85,0.13,59.14,Korem
2015-01-01,12.51,39.52,14.95,24.51,6.85,0.51,58.59,Korem
2015-02-01,12.51,39.52,17.51,27.74,7.27,0.11,46.84,Korem
2015-03-01,12.51,39.52,18.55,27.91,9.21,0.53,48.53,Korem
2015-04-01,12.51,39.52,19.61,28.73,10.55,0.0,43.68,Korem
2015-05-01,12.51,39.52,20.96,30.46,12.09,0.98,51.65,Korem
2015-06-01,12.51,39.52,20.95,29.65,14.34,2.13,51.94,Korem
2015-07-01,12.51,39.52,20.66,27.87,14.64,2.26,57.76,Korem
2015-08-01,12.51,39.52,19.37,25.59,14.4,10.57,68.63,Korem
2015-09-01,12.51,39.52,19.03,26.48,13.36,2.03,62.59,Korem
2015-10-01,12.51,39.52,17.66,25.58,11.21,0.56,61.47,Korem
2015-11-01,12.51,39.52,16.56,25.74,8.54,0.89,66.8,Korem
2015-12-01,12.51,39.52,15.63,24.47,8.84,1.67,69.8,Korem
2016-01-01,12.51,39.52,16.75,25.93,10.36,0.25,65.12,Korem
2016-02-01,12.51,39.52,17.69,28.77,8.9,0.37,54.59,Korem
2016-03-01,12.51,39.52,20.65,30.84,11.08,0.83,54.15,Korem
2016-04-01,12.51,39.52,19.8,28.64,14.33,5.17,67.36,Korem
2016-05-01,12.51,39.52,19.59,26.77,13.55,4.18,60.04,Korem
2016-06-01,12.51,39.52,21.13,29.48,13.92,0.77,51.37,Korem
2016-07-01,12.51,39.52,18.44,26.11,14.16,9.41,74.0,Korem
2016-08-01,12.51,39.52,18.13,24.09,13.56,6.39,74.96,Korem
2016-09-01,12.51,39.52,18.6,24.55,13.07,3.23,65.09,Korem
2016-10-01,12.51,39.52,16.86,24.09,10.19,0.58,60.66,Korem
2016-11-01,12.51,39.52,15.37,24.79,5.51,0.11,53.95,Korem
2016-12-01,12.51,39.52,14.56,24.97,5.6,0.03,52.96,Korem
2017-01-01,12.51,39.52,14.41,26.5,4.29,0.0,37.82,Korem
2017-02-01,12.51,39.52,17.03,26.82,8.41,3.02,66.2,Korem
2017-03-01,12.51,39.52,18.83,28.51,10.91,0.72,57.79,Korem
2017-04-01,12.51,39.52,19.19,29.34,10.34,1.72,52.18,Korem
2017-05-01,12.51,39.52,19.53,26.91,13.58,3.43,65.4,Korem
2017-06-01,12.51,39.52,21.94,29.68,15.65,0.79,46.27,Korem
2017-07-01,12.51,39.52,20.1,27.67,13.6,3.85,65.84,Korem
2017-08-01,12.51,39.52,19.14,25.74,14.47,5.76,71.93,Korem
2017-09-01,12.51,39.52,18.47,24.77,13.43,2.51,68.17,Korem
2017-10-01,12.51,39.52,17.19,24.2,9.93,1.66,68.32,Korem
2017-11-01,12.51,39.52,15.65,24.41,7.72,0.31,59.45,Korem
2017-12-01,12.51,39.52,13.87,24.69,4.12,0.0,48.4,Korem
2018-01-01,12.51,39.52,15.67,25.65,5.83,0.11,55.97,Korem
2018-02-01,12.51,39.52,17.2,27.32,6.36,0.95,53.31,Korem
2018-03-01,12.51,39.52,18.03,28.04,9.25,0.48,50.5,Korem
2018-04-01,12.51,39.52,18.89,27.22,12.18,3.97,65.92,Korem
2018-05-01,12.51,39.52,20.75,29.15,12.25,0.15,52.81,Korem
2018-06-01,12.51,39.52,21.13,29.31,14.79,0.98,52.2,Korem
2018-07-01,12.51,39.52,19.64,28.33,13.66,4.38,64.38,Korem
2018-08-01,12.51,39.52,18.86,25.86,13.19,5.96,70.53,Korem
2018-09-01,12.51,39.52,18.04,24.64,12.76,6.47,68.3,Korem
2018-10-01,12.51,39.52,16.49,23.93,9.1,2.03,68.37,Korem
2018-11-01,12.51,39.52,15.68,24.69,7.42,1.15,62.53,Korem
2018-12-01,12.51,39.52,15.35,24.59,6.85,0.08,61.13,Korem
2019-01-01,12.51,39.52,15.63,27.28,5.29,0.0,45.91,Korem
2019-02-01,12.51,39.52,17.53,27.4,9.04,3.21,59.93,Korem
2019-03-01,12.51,39.52,19.06,27.26,12.52,1.19,66.6,Korem
2019-04-01,12.51,39.52,19.58,26.79,12.72,3.67,66.14,Korem
2019-05-01,12.51,39.52,20.36,28.87,13.35,0.15,51.02,Korem
2019-06-01,12.51,39.52,21.38,29.92,12.91,1.34,52.33,Korem
2019-07-01,12.51,39.52,21.08,29.14,15.22,1.05,56.63,Korem
2019-08-01,12.51,39.52,19.46,28.12,13.63,3.0,64.14,Korem
2019-09-01,12.51,39.52,19.71,27.58,13.89,5.04,62.97,Korem
2019-10-01,12.51,39.52,15.87,23.44,8.44,2.24,69.49,Korem
2019-11-01,12.51,39.52,16.14,23.98,9.54,2.05,70.53,Korem
2019-12-01,12.51,39.52,15.31,24.14,7.24,1.16,68.57,Korem
2020-01-01,12.51,39.52,16.1,25.52,8.43,0.38,66.01,Korem
2020-02-01,12.51,39.52,17.57,28.38,10.07,0.4,60.74,Korem
2020-03-01,12.51,39.52,19.42,29.58,12.17,1.47,58.87,Korem
2020-04-01,12.51,39.52,19.4,29.43,11.86,4.38,62.85,Korem
2020-05-01,12.51,39.52,20.11,28.61,13.1,2.4,57.05,Korem
2020-06-01,12.51,39.52,20.94,27.77,14.82,1.71,54.25,Korem
2020-07-01,12.51,39.52,18.66,26.85,13.96,6.7,70.98,Korem
2020-08-01,12.51,39.52,17.96,24.66,12.78,4.88,74.99,Korem
2020-09-01,12.51,39.52,18.69,24.66,14.03,2.7,63.95,Korem
2020-10-01,12.51,39.52,16.87,24.5,10.03,0.92,60.75,Korem
2020-11-01,12.51,39.52,15.56,24.28,7.52,0.51,58.41,Korem
2020-12-01,12.51,39.52,15.39,24.86,6.71,0.0,58.3,Korem
2021-01-01,12.51,39.52,15.52,25.55,6.53,0.06,50.08,Korem
2021-02-01,12.51,39.52,16.29,26.19,8.24,1.83,59.88,Korem
2021-03-01,12.51,39.52,17.44,28.02,7.71,0.01,44.67,Korem
2021-04-01,12.51,39.52,19.26,29.39,10.33,2.16,48.77,Korem
2021-05-01,12.51,39.52,19.49,27.37,13.56,4.21,57.8,Korem
2021-06-01,12.51,39.52,21.36,29.01,14.62,0.53,48.92,Korem
2021-07-01,12.51,39.52,18.0,26.77,13.46,11.73,76.52,Korem
2021-08-01,12.51,39.52,18.32,24.44,14.06,7.37,75.26,Korem
2021-09-01,12.51,39.52,18.21,24.03,13.73,3.29,66.43,Korem
2021-10-01,12.51,39.52,16.59,22.93,8.6,1.19,69.38,Korem
2021-11-01,12.51,39.52,15.8,24.64,8.54,0.93,60.9,Korem
2021-12-01,12.51,39.52,14.87,24.68,5.73,3.69,63.53,Korem
2022-01-01,12.51,39.52,14.9,22.91,7.25,3.51,74.17,Korem
2022-02-01,12.51,39.52,16.38,25.15,9.45,0.42,66.75,Korem
2022-03-01,12.51,39.52,17.4,27.49,9.11,1.5,56.64,Korem
2022-04-01,12.51,39.52,19.65,28.35,10.46,0.95,51.64,Korem
2022-05-01,12.51,39.52,21.35,30.73,13.28,0.62,44.08,Korem
2022-06-01,12.51,39.52,21.5,31.2,15.55,3.57,48.89,Korem
2022-07-01,12.51,39.52,17.66,25.03,13.44,10.12,77.36,Korem
2022-08-01,12.51,39.52,17.26,23.18,13.4,8.22,78.97,Korem
2022-09-01,12.51,39.52,17.9,23.61,13.32,2.03,71.93,Korem
2022-10-01,12.51,39.52,16.11,21.99,9.99,3.59,72.03,Korem
2022-11-01,12.51,39.52,15.28,23.13,8.41,0.04,62.11,Korem
2022-12-01,12.51,39.52,15.21,24.26,7.41,0.78,64.98,Korem
2023-01-01,12.51,39.52,15.36,26.13,7.04,0.13,58.57,Korem
2023-02-01,12.51,39.52,16.63,27.46,5.19,1.07,48.03,Korem
2023-03-01,12.51,39.52,18.2,27.14,10.62,3.81,66.09,Korem
2023-04-01,12.51,39.52,18.45,26.36,12.91,7.38,72.62,Korem
2023-05-01,12.51,39.52,19.55,26.8,14.79,2.74,68.78,Korem
