period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.33,33.95,30.11,40.7,21.12,0.47,37.43,Kowerneng/Korgang
2008-02-01,8.33,33.95,31.91,42.81,21.47,0.04,24.87,Kowerneng/Korgang
2008-03-01,8.33,33.95,33.63,44.24,22.94,0.62,29.85,Kowerneng/Korgang
2008-04-01,8.33,33.95,30.01,41.48,22.97,2.26,55.78,Kowerneng/Korgang
2008-05-01,8.33,33.95,27.75,38.65,20.49,4.53,67.85,Kowerneng/Korgang
2008-06-01,8.33,33.95,26.31,36.37,20.14,4.56,72.13,Kowerneng/Korgang
2008-07-01,8.33,33.95,25.16,33.19,20.0,4.29,77.76,Kowerneng/Korgang
2008-08-01,8.33,33.95,25.83,32.9,19.76,3.94,75.95,Kowerneng/Korgang
2008-09-01,8.33,33.95,26.48,33.44,21.06,4.57,75.08,Kowerneng/Korgang
2008-10-01,8.33,33.95,26.99,36.5,20.65,3.46,71.87,Kowerneng/Korgang
2008-11-01,8.33,33.95,28.78,39.31,19.88,0.98,56.37,Kowerneng/Korgang
2008-12-01,8.33,33.95,31.05,40.0,22.66,0.15,39.28,Kowerneng/Korgang
2009-01-01,8.33,33.95,31.35,41.13,22.54,0.36,33.83,Kowerneng/Korgang
2009-02-01,8.33,33.95,32.66,42.25,22.27,0.39,31.63,Kowerneng/Korgang
2009-03-01,8.33,33.95,32.89,43.14,22.48,0.67,32.46,Kowerneng/Korgang
2009-04-01,8.33,33.95,29.73,41.92,22.7,3.59,61.15,Kowerneng/Korgang
2009-05-01,8.33,33.95,29.39,40.9,22.14,1.4,60.75,Kowerneng/Korgang
2009-06-01,8.33,33.95,27.91,39.06,20.65,2.58,65.86,Kowerneng/Korgang
2009-07-01,8.33,33.95,27.11,36.31,20.72,3.29,67.1,Kowerneng/Korgang
2009-08-01,8.33,33.95,27.09,35.62,21.15,3.97,69.81,Kowerneng/Korgang
2009-09-01,8.33,33.95,27.41,35.21,21.23,4.86,70.98,Kowerneng/Korgang
2009-10-01,8.33,33.95,27.8,36.66,21.78,3.44,68.27,Kowerneng/Korgang
2009-11-01,8.33,33.95,29.83,39.28,19.06,0.66,48.69,Kowerneng/Korgang
2009-12-01,8.33,33.95,30.11,40.14,20.46,0.28,37.58,Kowerneng/Korgang
2010-01-01,8.33,33.95,31.45,41.88,20.37,0.15,26.18,Kowerneng/Korgang
2010-02-01,8.33,33.95,33.2,44.14,22.01,0.12,25.11,Kowerneng/Korgang
2010-03-01,8.33,33.95,33.5,44.17,22.93,0.21,24.14,Kowerneng/Korgang
2010-04-01,8.33,33.95,33.85,43.31,23.7,1.09,39.57,Kowerneng/Korgang
2010-05-01,8.33,33.95,28.33,37.05,22.33,4.78,70.28,Kowerneng/Korgang
2010-06-01,8.33,33.95,26.52,35.62,21.02,4.55,74.16,Kowerneng/Korgang
2010-07-01,8.33,33.95,25.47,32.8,20.16,4.67,78.07,Kowerneng/Korgang
2010-08-01,8.33,33.95,26.03,33.29,21.14,4.23,77.49,Kowerneng/Korgang
2010-09-01,8.33,33.95,25.97,32.46,20.78,5.04,77.73,Kowerneng/Korgang
2010-10-01,8.33,33.95,27.58,36.07,21.25,3.42,71.11,Kowerneng/Korgang
2010-11-01,8.33,33.95,28.59,38.03,21.06,1.39,58.68,Kowerneng/Korgang
2010-12-01,8.33,33.95,29.72,39.47,19.63,0.35,42.84,Kowerneng/Korgang
2011-01-01,8.33,33.95,30.35,41.07,19.71,0.25,31.14,Kowerneng/Korgang
2011-02-01,8.33,33.95,32.59,43.05,20.08,0.05,22.38,Kowerneng/Korgang
2011-03-01,8.33,33.95,33.37,43.07,24.11,0.67,28.12,Kowerneng/Korgang
2011-04-01,8.33,33.95,32.01,42.82,23.58,1.58,46.26,Kowerneng/Korgang
2011-05-01,8.33,33.95,29.47,42.43,21.89,3.69,60.2,Kowerneng/Korgang
2011-06-01,8.33,33.95,26.69,36.44,21.25,3.45,73.53,Kowerneng/Korgang
2011-07-01,8.33,33.95,26.63,35.27,20.29,2.28,70.21,Kowerneng/Korgang
2011-08-01,8.33,33.95,26.38,36.14,20.67,2.79,72.72,Kowerneng/Korgang
2011-09-01,8.33,33.95,27.03,37.03,21.14,2.33,69.97,Kowerneng/Korgang
2011-10-01,8.33,33.95,27.77,36.84,21.78,3.73,69.62,Kowerneng/Korgang
2011-11-01,8.33,33.95,27.85,37.67,17.16,1.57,58.04,Kowerneng/Korgang
2011-12-01,8.33,33.95,30.37,40.67,17.91,0.16,35.54,Kowerneng/Korgang
2012-01-01,8.33,33.95,30.29,40.95,20.22,0.02,24.73,Kowerneng/Korgang
2012-02-01,8.33,33.95,32.48,43.21,22.01,0.0,20.88,Kowerneng/Korgang
2012-03-01,8.33,33.95,33.67,43.53,23.11,0.28,22.09,Kowerneng/Korgang
2012-04-01,8.33,33.95,32.01,44.0,23.02,1.28,44.02,Kowerneng/Korgang
2012-05-01,8.33,33.95,27.09,40.53,20.71,4.51,72.68,Kowerneng/Korgang
2012-06-01,8.33,33.95,26.69,35.48,21.07,2.0,71.28,Kowerneng/Korgang
2012-07-01,8.33,33.95,25.33,33.28,20.36,4.27,78.94,Kowerneng/Korgang
2012-08-01,8.33,33.95,25.26,31.5,19.08,5.31,79.83,Kowerneng/Korgang
2012-09-01,8.33,33.95,25.51,32.77,20.69,4.83,79.03,Kowerneng/Korgang
2012-10-01,8.33,33.95,27.2,35.07,20.27,3.02,71.74,Kowerneng/Korgang
2012-11-01,8.33,33.95,28.02,38.2,20.87,1.12,65.62,Kowerneng/Korgang
2012-12-01,8.33,33.95,29.61,39.72,19.85,0.36,46.74,Kowerneng/Korgang
2013-01-01,8.33,33.95,31.12,41.77,20.36,0.17,32.35,Kowerneng/Korgang
2013-02-01,8.33,33.95,32.79,43.17,21.02,0.18,26.94,Kowerneng/Korgang
2013-03-01,8.33,33.95,33.69,43.32,23.07,0.53,29.23,Kowerneng/Korgang
2013-04-01,8.33,33.95,32.11,43.03,23.21,1.16,42.58,Kowerneng/Korgang
2013-05-01,8.33,33.95,26.61,35.37,19.93,6.12,73.85,Kowerneng/Korgang
2013-06-01,8.33,33.95,25.88,33.96,20.88,4.24,76.07,Kowerneng/Korgang
2013-07-01,8.33,33.95,24.82,30.57,19.78,4.5,81.06,Kowerneng/Korgang
2013-08-01,8.33,33.95,25.18,32.73,20.23,3.99,78.55,Kowerneng/Korgang
2013-09-01,8.33,33.95,25.84,32.11,20.52,4.41,78.41,Kowerneng/Korgang
2013-10-01,8.33,33.95,26.5,34.79,20.25,3.48,74.27,Kowerneng/Korgang
2013-11-01,8.33,33.95,27.26,36.59,18.82,2.09,67.43,Kowerneng/Korgang
2013-12-01,8.33,33.95,28.89,40.33,16.9,0.22,41.4,Kowerneng/Korgang
2014-01-01,8.33,33.95,30.93,41.09,20.4,0.06,30.13,Kowerneng/Korgang
2014-02-01,8.33,33.95,31.75,43.09,20.2,0.18,23.15,Kowerneng/Korgang
2014-03-01,8.33,33.95,31.55,44.36,19.29,0.75,41.29,Kowerneng/Korgang
2014-04-01,8.33,33.95,28.12,40.49,22.25,4.23,67.56,Kowerneng/Korgang
2014-05-01,8.33,33.95,26.47,36.11,21.24,5.21,76.01,Kowerneng/Korgang
2014-06-01,8.33,33.95,26.04,32.15,21.0,4.05,78.28,Kowerneng/Korgang
2014-07-01,8.33,33.95,25.44,32.16,20.96,5.42,80.14,Kowerneng/Korgang
2014-08-01,8.33,33.95,24.69,30.21,19.39,6.07,82.87,Kowerneng/Korgang
2014-09-01,8.33,33.95,25.14,31.61,20.54,6.52,80.86,Kowerneng/Korgang
2014-10-01,8.33,33.95,25.74,31.9,20.89,6.43,82.05,Kowerneng/Korgang
2014-11-01,8.33,33.95,25.98,33.2,18.07,1.44,74.45,Kowerneng/Korgang
2014-12-01,8.33,33.95,27.52,37.49,18.13,0.31,57.41,Kowerneng/Korgang
2015-01-01,8.33,33.95,28.44,40.82,16.04,0.01,39.68,Kowerneng/Korgang
2015-02-01,8.33,33.95,32.12,42.7,22.26,0.0,27.16,Kowerneng/Korgang
2015-03-01,8.33,33.95,33.02,43.25,22.89,1.58,37.59,Kowerneng/Korgang
2015-04-01,8.33,33.95,30.32,41.88,19.25,0.98,51.39,Kowerneng/Korgang
2015-05-01,8.33,33.95,26.87,36.59,21.32,5.87,73.34,Kowerneng/Korgang
2015-06-01,8.33,33.95,25.91,35.23,20.78,7.03,79.59,Kowerneng/Korgang
2015-07-01,8.33,33.95,25.89,33.03,20.36,5.15,78.67,Kowerneng/Korgang
2015-08-01,8.33,33.95,25.83,33.5,20.52,2.76,77.36,Kowerneng/Korgang
2015-09-01,8.33,33.95,26.95,34.25,21.66,3.6,73.78,Kowerneng/Korgang
2015-10-01,8.33,33.95,26.76,35.84,20.95,6.95,77.17,Kowerneng/Korgang
2015-11-01,8.33,33.95,26.32,34.81,19.61,1.92,74.75,Kowerneng/Korgang
2015-12-01,8.33,33.95,26.71,36.24,15.79,1.48,63.5,Kowerneng/Korgang
2016-01-01,8.33,33.95,28.85,39.78,16.95,0.02,39.74,Kowerneng/Korgang
2016-02-01,8.33,33.95,32.48,43.67,21.4,0.0,26.07,Kowerneng/Korgang
2016-03-01,8.33,33.95,33.8,45.57,22.86,1.23,39.5,Kowerneng/Korgang
2016-04-01,8.33,33.95,32.08,43.18,23.73,2.41,50.71,Kowerneng/Korgang
2016-05-01,8.33,33.95,27.02,36.15,21.86,7.97,76.77,Kowerneng/Korgang
2016-06-01,8.33,33.95,25.55,34.02,20.61,6.32,79.75,Kowerneng/Korgang
2016-07-01,8.33,33.95,24.59,30.6,20.31,6.01,84.35,Kowerneng/Korgang
2016-08-01,8.33,33.95,25.24,30.92,20.41,5.41,80.01,Kowerneng/Korgang
2016-09-01,8.33,33.95,25.78,31.56,20.61,4.15,77.83,Kowerneng/Korgang
2016-10-01,8.33,33.95,26.67,34.3,20.52,4.09,75.94,Kowerneng/Korgang
2016-11-01,8.33,33.95,28.43,37.85,19.88,0.04,57.14,Kowerneng/Korgang
2016-12-01,8.33,33.95,30.23,40.82,18.63,0.09,40.83,Kowerneng/Korgang
2017-01-01,8.33,33.95,30.61,41.54,18.49,0.0,24.81,Kowerneng/Korgang
2017-02-01,8.33,33.95,30.85,40.84,20.72,0.65,35.35,Kowerneng/Korgang
2017-03-01,8.33,33.95,33.22,43.21,23.52,0.27,29.32,Kowerneng/Korgang
2017-04-01,8.33,33.95,30.73,43.45,22.25,2.16,53.5,Kowerneng/Korgang
2017-05-01,8.33,33.95,27.52,38.22,22.05,4.81,72.55,Kowerneng/Korgang
2017-06-01,8.33,33.95,26.44,35.4,21.18,5.78,76.28,Kowerneng/Korgang
2017-07-01,8.33,33.95,25.18,31.4,21.04,7.44,82.72,Kowerneng/Korgang
2017-08-01,8.33,33.95,25.28,30.96,20.5,6.2,82.69,Kowerneng/Korgang
2017-09-01,8.33,33.95,25.29,31.39,19.77,5.61,82.12,Kowerneng/Korgang
2017-10-01,8.33,33.95,26.03,33.29,20.98,6.15,82.12,Kowerneng/Korgang
2017-11-01,8.33,33.95,26.35,34.74,19.12,1.8,71.2,Kowerneng/Korgang
2017-12-01,8.33,33.95,28.1,37.64,19.92,0.11,55.13,Kowerneng/Korgang
2018-01-01,8.33,33.95,28.62,39.73,18.1,0.0,36.74,Kowerneng/Korgang
2018-02-01,8.33,33.95,32.29,42.32,21.13,0.32,33.37,Kowerneng/Korgang
2018-03-01,8.33,33.95,32.26,43.02,21.03,1.06,31.59,Kowerneng/Korgang
2018-04-01,8.33,33.95,30.34,41.56,22.15,2.13,54.68,Kowerneng/Korgang
2018-05-01,8.33,33.95,26.89,38.63,21.37,7.5,75.61,Kowerneng/Korgang
2018-06-01,8.33,33.95,25.28,31.87,20.59,4.67,81.58,Kowerneng/Korgang
2018-07-01,8.33,33.95,25.58,32.0,20.41,2.42,76.68,Kowerneng/Korgang
2018-08-01,8.33,33.95,26.3,34.79,20.93,3.25,73.65,Kowerneng/Korgang
2018-09-01,8.33,33.95,27.26,36.77,21.15,3.15,69.92,Kowerneng/Korgang
2018-10-01,8.33,33.95,27.14,36.45,20.42,3.65,71.46,Kowerneng/Korgang
2018-11-01,8.33,33.95,28.73,39.09,21.03,0.87,60.3,Kowerneng/Korgang
2018-12-01,8.33,33.95,30.21,40.47,21.88,0.49,46.54,Kowerneng/Korgang
2019-01-01,8.33,33.95,31.53,41.93,20.44,0.0,28.44,Kowerneng/Korgang
2019-02-01,8.33,33.95,33.12,42.5,23.69,0.01,27.17,Kowerneng/Korgang
2019-03-01,8.33,33.95,33.92,44.29,23.43,0.21,25.91,Kowerneng/Korgang
2019-04-01,8.33,33.95,31.44,44.37,22.99,2.76,49.31,Kowerneng/Korgang
2019-05-01,8.33,33.95,28.56,40.39,20.97,3.19,67.88,Kowerneng/Korgang
2019-06-01,8.33,33.95,26.15,35.04,21.56,4.57,78.37,Kowerneng/Korgang
2019-07-01,8.33,33.95,25.61,33.43,20.82,6.36,78.26,Kowerneng/Korgang
2019-08-01,8.33,33.95,25.35,30.8,20.67,6.65,81.25,Kowerneng/Korgang
2019-09-01,8.33,33.95,25.75,32.74,20.62,5.84,80.7,Kowerneng/Korgang
2019-10-01,8.33,33.95,25.41,32.0,20.32,6.15,84.07,Kowerneng/Korgang
2019-11-01,8.33,33.95,25.87,32.93,19.3,2.26,79.76,Kowerneng/Korgang
2019-12-01,8.33,33.95,26.7,35.91,18.55,0.63,67.54,Kowerneng/Korgang
2020-01-01,8.33,33.95,27.52,38.98,16.04,0.08,46.06,Kowerneng/Korgang
2020-02-01,8.33,33.95,31.62,42.47,20.49,0.06,32.41,Kowerneng/Korgang
2020-03-01,8.33,33.95,32.27,43.67,22.54,0.66,36.67,Kowerneng/Korgang
2020-04-01,8.33,33.95,31.06,43.16,22.26,2.66,53.51,Kowerneng/Korgang
2020-05-01,8.33,33.95,26.93,35.32,21.54,6.8,76.81,Kowerneng/Korgang
2020-06-01,8.33,33.95,25.46,31.74,20.59,5.07,81.17,Kowerneng/Korgang
2020-07-01,8.33,33.95,24.49,30.45,19.44,7.3,84.23,Kowerneng/Korgang
2020-08-01,8.33,33.95,24.76,30.03,20.39,6.14,84.05,Kowerneng/Korgang
2020-09-01,8.33,33.95,25.45,31.66,20.32,5.08,81.43,Kowerneng/Korgang
2020-10-01,8.33,33.95,26.16,32.14,19.48,6.95,80.08,Kowerneng/Korgang
2020-11-01,8.33,33.95,26.87,34.45,19.54,2.79,71.43,Kowerneng/Korgang
2020-12-01,8.33,33.95,27.73,37.36,19.41,2.54,61.64,Kowerneng/Korgang
2021-01-01,8.33,33.95,27.94,39.37,19.59,1.08,57.0,Kowerneng/Korgang
2021-02-01,8.33,33.95,29.94,40.9,18.54,0.01,34.89,Kowerneng/Korgang
2021-03-01,8.33,33.95,32.52,42.59,21.81,0.56,39.61,Kowerneng/Korgang
2021-04-01,8.33,33.95,31.91,43.78,21.99,1.81,43.45,Kowerneng/Korgang
2021-05-01,8.33,33.95,27.74,38.54,21.87,4.64,70.95,Kowerneng/Korgang
2021-06-01,8.33,33.95,26.25,35.59,20.31,4.96,74.29,Kowerneng/Korgang
2021-07-01,8.33,33.95,24.88,31.83,20.1,8.21,82.71,Kowerneng/Korgang
2021-08-01,8.33,33.95,25.45,31.19,20.77,4.57,79.56,Kowerneng/Korgang
2021-09-01,8.33,33.95,25.3,32.83,20.06,4.56,81.27,Kowerneng/Korgang
2021-10-01,8.33,33.95,26.75,34.63,19.66,3.3,74.8,Kowerneng/Korgang
2021-11-01,8.33,33.95,27.78,37.26,20.56,3.69,66.62,Kowerneng/Korgang
2021-12-01,8.33,33.95,27.89,36.99,18.61,0.66,58.27,Kowerneng/Korgang
2022-01-01,8.33,33.95,29.13,40.08,19.76,0.44,44.22,Kowerneng/Korgang
2022-02-01,8.33,33.95,31.15,41.43,19.88,0.02,26.84,Kowerneng/Korgang
2022-03-01,8.33,33.95,33.56,44.17,24.1,0.31,29.82,Kowerneng/Korgang
2022-04-01,8.33,33.95,30.84,43.37,21.86,3.79,55.61,Kowerneng/Korgang
2022-05-01,8.33,33.95,26.7,35.68,21.88,5.84,76.54,Kowerneng/Korgang
2022-06-01,8.33,33.95,25.16,33.0,20.79,6.05,79.3,Kowerneng/Korgang
2022-07-01,8.33,33.95,24.97,31.35,20.28,5.7,81.24,Kowerneng/Korgang
2022-08-01,8.33,33.95,24.77,30.45,20.39,5.86,84.11,Kowerneng/Korgang
2022-09-01,8.33,33.95,25.52,31.47,21.13,4.77,81.43,Kowerneng/Korgang
2022-10-01,8.33,33.95,26.04,33.12,20.39,4.08,78.54,Kowerneng/Korgang
2022-11-01,8.33,33.95,27.64,36.34,20.63,0.52,67.5,Kowerneng/Korgang
2022-12-01,8.33,33.95,28.49,37.87,19.07,0.34,53.24,Kowerneng/Korgang
2023-01-01,8.33,33.95,30.04,41.1,20.73,0.21,38.91,Kowerneng/Korgang
2023-02-01,8.33,33.95,32.15,42.5,21.21,0.02,25.27,Kowerneng/Korgang
2023-03-01,8.33,33.95,32.94,43.04,22.6,0.07,26.41,Kowerneng/Korgang
2023-04-01,8.33,33.95,30.72,43.23,23.06,2.82,53.16,Kowerneng/Korgang
2023-05-01,8.33,33.95,28.19,38.36,20.56,5.01,69.38,Kowerneng/Korgang
2023-06-01,8.33,33.95,26.37,33.38,21.38,7.18,77.93,Kowerneng/Korgang
2023-07-01,8.33,33.95,25.73,31.54,21.42,9.51,80.03,Kowerneng/Korgang
2023-08-01,8.33,33.95,26.02,33.47,20.8,3.78,78.58,Kowerneng/Korgang
2023-09-01,8.33,33.95,26.61,33.51,21.36,4.73,77.47,Kowerneng/Korgang
2023-10-01,8.33,33.95,26.26,32.61,21.31,6.72,81.42,Kowerneng/Korgang
2023-11-01,8.33,33.95,25.92,33.08,20.9,5.67,81.57,Kowerneng/Korgang
2023-12-01,8.33,33.95,27.63,36.39,17.17,0.0,63.29,Kowerneng/Korgang
2024-01-01,8.33,33.95,29.04,40.01,19.79,0.07,46.75,Kowerneng/Korgang
2024-02-01,8.33,33.95,30.99,42.26,18.35,0.46,40.79,Kowerneng/Korgang
2024-03-01,8.33,33.95,33.6,44.17,22.88,0.41,32.91,Kowerneng/Korgang
2024-04-01,8.33,33.95,31.26,42.58,22.43,2.14,53.99,Kowerneng/Korgang
2024-05-01,8.33,33.95,30.32,42.25,23.26,2.8,60.98,Kowerneng/Korgang
2024-06-01,8.33,33.95,26.68,36.38,21.31,8.07,76.24,Kowerneng/Korgang
2024-07-01,8.33,33.95,26.03,33.57,20.41,5.62,79.77,Kowerneng/Korgang
2024-08-01,8.33,33.95,25.74,32.13,20.6,5.47,81.63,Kowerneng/Korgang
2024-09-01,8.33,33.95,26.79,33.2,21.3,4.55,77.12,Kowerneng/Korgang
2024-10-01,8.33,33.95,26.3,32.79,21.33,6.57,79.96,Kowerneng/Korgang
2024-11-01,8.33,33.95,27.35,35.14,19.8,1.69,71.23,Kowerneng/Korgang
2024-12-01,8.33,33.95,29.13,39.29,18.07,0.24,51.39,Kowerneng/Korgang
2025-01-01,8.33,33.95,30.66,40.86,19.2,0.0,34.88,Kowerneng/Korgang
2025-02-01,8.33,33.95,32.72,43.44,23.14,0.11,30.75,Kowerneng/Korgang
2025-03-01,8.33,33.95,33.42,43.32,22.67,0.42,30.14,Kowerneng/Korgang
2025-04-01,8.33,33.95,30.34,40.9,22.73,2.92,59.34,Kowerneng/Korgang
2025-05-01,8.33,33.95,28.39,39.12,22.39,5.22,69.4,Kowerneng/Korgang
2025-06-01,8.33,33.95,26.89,35.26,20.75,5.32,73.24,Kowerneng/Korgang
2025-07-01,8.33,33.95,25.72,32.72,20.75,4.93,78.75,Kowerneng/Korgang
2025-08-01,8.33,33.95,25.08,31.52,20.34,6.77,82.66,Kowerneng/Korgang
2025-09-01,8.33,33.95,26.45,32.7,20.82,4.47,76.25,Kowerneng/Korgang
2025-10-01,8.33,33.95,26.31,34.45,20.7,5.01,76.69,Kowerneng/Korgang
2025-11-01,8.33,33.95,28.02,37.69,20.23,1.81,63.65,Kowerneng/Korgang
2025-12-01,8.33,33.95,28.93,38.99,20.63,0.58,51.9,Kowerneng/Korgang
