period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.7232419,40.9763542,25.38,35.93,15.92,0.24,55.69,Logia
2008-02-01,11.7232419,40.9763542,24.76,36.65,14.11,0.1,51.0,Logia
2008-03-01,11.7232419,40.9763542,26.87,40.28,13.95,0.0,35.17,Logia
2008-04-01,11.7232419,40.9763542,29.27,41.8,17.74,1.66,47.09,Logia
2008-05-01,11.7232419,40.9763542,33.39,42.78,22.79,0.49,34.0,Logia
2008-06-01,11.7232419,40.9763542,34.77,43.59,25.47,0.2,25.71,Logia
2008-07-01,11.7232419,40.9763542,32.8,42.74,24.06,3.15,40.05,Logia
2008-08-01,11.7232419,40.9763542,31.33,39.63,23.77,3.57,48.71,Logia
2008-09-01,11.7232419,40.9763542,31.37,39.86,24.08,1.59,46.67,Logia
2008-10-01,11.7232419,40.9763542,29.87,38.68,19.87,0.18,39.58,Logia
2008-11-01,11.7232419,40.9763542,26.01,35.65,15.85,0.68,55.03,Logia
2008-12-01,11.7232419,40.9763542,24.3,34.9,14.32,0.01,53.98,Logia
2009-01-01,11.7232419,40.9763542,24.58,34.54,13.41,0.51,57.34,Logia
2009-02-01,11.7232419,40.9763542,26.53,40.0,15.56,0.07,53.61,Logia
2009-03-01,11.7232419,40.9763542,28.59,41.24,18.75,0.61,50.75,Logia
2009-04-01,11.7232419,40.9763542,30.14,41.8,21.45,1.13,49.73,Logia
2009-05-01,11.7232419,40.9763542,33.02,43.38,21.78,0.13,32.88,Logia
2009-06-01,11.7232419,40.9763542,35.57,44.27,25.99,0.6,26.7,Logia
2009-07-01,11.7232419,40.9763542,32.51,40.91,24.34,2.88,42.6,Logia
2009-08-01,11.7232419,40.9763542,31.92,40.32,24.67,3.23,47.85,Logia
2009-09-01,11.7232419,40.9763542,32.46,41.23,23.55,0.59,40.15,Logia
2009-10-01,11.7232419,40.9763542,29.22,41.12,18.26,1.1,47.74,Logia
2009-11-01,11.7232419,40.9763542,27.14,37.47,17.07,0.04,46.94,Logia
2009-12-01,11.7232419,40.9763542,26.65,36.65,17.5,0.21,56.03,Logia
2010-01-01,11.7232419,40.9763542,25.01,35.69,13.79,0.01,53.81,Logia
2010-02-01,11.7232419,40.9763542,26.32,38.95,16.23,1.71,56.2,Logia
2010-03-01,11.7232419,40.9763542,27.74,39.5,14.94,1.56,53.38,Logia
2010-04-01,11.7232419,40.9763542,31.05,41.26,21.61,1.37,50.74,Logia
2010-05-01,11.7232419,40.9763542,33.52,42.81,25.43,1.11,40.94,Logia
2010-06-01,11.7232419,40.9763542,35.15,43.62,26.47,0.93,27.64,Logia
2010-07-01,11.7232419,40.9763542,31.32,41.96,23.93,3.76,47.99,Logia
2010-08-01,11.7232419,40.9763542,29.53,38.72,22.59,5.45,61.39,Logia
2010-09-01,11.7232419,40.9763542,30.38,38.01,22.75,1.99,53.71,Logia
2010-10-01,11.7232419,40.9763542,30.18,39.3,19.35,0.09,41.8,Logia
2010-11-01,11.7232419,40.9763542,26.73,36.99,15.92,0.18,49.36,Logia
2010-12-01,11.7232419,40.9763542,24.41,35.1,14.15,0.05,52.82,Logia
2011-01-01,11.7232419,40.9763542,25.15,36.52,15.08,0.04,55.99,Logia
2011-02-01,11.7232419,40.9763542,26.6,37.48,15.19,0.04,50.68,Logia
2011-03-01,11.7232419,40.9763542,27.26,38.57,17.49,0.77,45.51,Logia
2011-04-01,11.7232419,40.9763542,31.17,41.61,17.3,0.67,46.28,Logia
2011-05-01,11.7232419,40.9763542,32.05,42.42,23.67,1.39,43.76,Logia
2011-06-01,11.7232419,40.9763542,34.6,43.27,23.9,0.01,26.98,Logia
2011-07-01,11.7232419,40.9763542,34.13,43.02,24.44,0.68,33.04,Logia
2011-08-01,11.7232419,40.9763542,32.89,42.78,25.57,1.63,40.95,Logia
2011-09-01,11.7232419,40.9763542,33.85,42.07,24.61,0.54,31.65,Logia
2011-10-01,11.7232419,40.9763542,29.76,41.13,18.75,0.08,38.57,Logia
2011-11-01,11.7232419,40.9763542,28.24,38.55,15.03,0.14,49.52,Logia
2011-12-01,11.7232419,40.9763542,24.87,34.4,14.21,0.01,54.18,Logia
2012-01-01,11.7232419,40.9763542,25.67,35.98,14.3,0.01,53.0,Logia
2012-02-01,11.7232419,40.9763542,25.63,38.1,14.35,0.0,51.97,Logia
2012-03-01,11.7232419,40.9763542,27.78,41.03,14.6,0.13,45.54,Logia
2012-04-01,11.7232419,40.9763542,30.34,40.29,21.62,1.28,50.81,Logia
2012-05-01,11.7232419,40.9763542,32.71,42.75,22.19,0.25,39.91,Logia
2012-06-01,11.7232419,40.9763542,35.25,44.0,26.67,0.06,22.72,Logia
2012-07-01,11.7232419,40.9763542,33.05,42.78,24.71,2.43,40.49,Logia
2012-08-01,11.7232419,40.9763542,31.54,40.14,23.86,2.69,48.38,Logia
2012-09-01,11.7232419,40.9763542,32.59,40.71,23.86,0.9,40.23,Logia
2012-10-01,11.7232419,40.9763542,29.19,40.45,19.14,0.03,41.89,Logia
2012-11-01,11.7232419,40.9763542,27.42,37.42,18.05,0.02,50.12,Logia
2012-12-01,11.7232419,40.9763542,26.05,35.69,16.1,0.06,53.73,Logia
2013-01-01,11.7232419,40.9763542,25.52,37.22,15.44,0.34,55.81,Logia
2013-02-01,11.7232419,40.9763542,26.12,38.9,16.11,0.0,51.15,Logia
2013-03-01,11.7232419,40.9763542,28.52,39.96,18.17,1.35,55.03,Logia
2013-04-01,11.7232419,40.9763542,30.2,40.5,22.28,1.63,55.17,Logia
2013-05-01,11.7232419,40.9763542,34.01,43.43,24.75,0.42,35.35,Logia
2013-06-01,11.7232419,40.9763542,35.52,42.86,26.94,0.17,24.74,Logia
2013-07-01,11.7232419,40.9763542,32.3,42.71,24.26,3.82,45.61,Logia
2013-08-01,11.7232419,40.9763542,29.09,38.44,22.07,4.28,61.12,Logia
2013-09-01,11.7232419,40.9763542,30.94,39.54,23.54,1.25,49.35,Logia
2013-10-01,11.7232419,40.9763542,28.77,38.18,20.11,1.68,50.9,Logia
2013-11-01,11.7232419,40.9763542,27.28,36.62,16.19,0.16,55.54,Logia
2013-12-01,11.7232419,40.9763542,24.71,34.66,13.82,0.03,52.61,Logia
2014-01-01,11.7232419,40.9763542,25.09,36.61,16.2,0.01,56.33,Logia
2014-02-01,11.7232419,40.9763542,26.6,37.86,17.89,0.16,53.61,Logia
2014-03-01,11.7232419,40.9763542,28.36,39.96,18.03,1.14,52.62,Logia
2014-04-01,11.7232419,40.9763542,30.33,41.75,20.6,1.12,49.97,Logia
2014-05-01,11.7232419,40.9763542,32.89,42.03,23.26,0.57,41.31,Logia
2014-06-01,11.7232419,40.9763542,34.77,43.39,25.39,0.51,25.6,Logia
2014-07-01,11.7232419,40.9763542,33.27,43.46,24.18,3.74,40.55,Logia
2014-08-01,11.7232419,40.9763542,31.24,39.65,23.38,2.42,50.59,Logia
2014-09-01,11.7232419,40.9763542,30.88,38.83,24.12,2.5,50.16,Logia
2014-10-01,11.7232419,40.9763542,28.81,38.01,19.28,0.78,48.53,Logia
2014-11-01,11.7232419,40.9763542,27.64,37.43,19.23,0.06,52.13,Logia
2014-12-01,11.7232419,40.9763542,24.93,34.42,15.76,0.16,54.29,Logia
2015-01-01,11.7232419,40.9763542,24.46,34.95,14.86,0.25,54.55,Logia
2015-02-01,11.7232419,40.9763542,26.5,37.98,14.44,0.0,51.56,Logia
2015-03-01,11.7232419,40.9763542,28.65,40.39,17.53,0.22,49.86,Logia
2015-04-01,11.7232419,40.9763542,30.81,42.1,19.94,0.0,36.86,Logia
2015-05-01,11.7232419,40.9763542,33.05,43.68,22.68,0.55,39.64,Logia
2015-06-01,11.7232419,40.9763542,34.72,43.32,25.75,0.25,28.56,Logia
2015-07-01,11.7232419,40.9763542,35.85,43.36,26.68,0.08,25.57,Logia
2015-08-01,11.7232419,40.9763542,31.83,41.9,24.43,6.15,49.44,Logia
2015-09-01,11.7232419,40.9763542,32.04,40.88,24.28,1.86,45.89,Logia
