period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.78,39.54,16.15,26.68,5.5,0.29,55.39,Maichow
2008-02-01,12.78,39.54,16.33,27.88,5.61,0.03,48.94,Maichow
2008-03-01,12.78,39.54,17.94,30.03,5.37,0.0,29.4,Maichow
2008-04-01,12.78,39.54,18.94,30.13,8.62,0.95,48.2,Maichow
2008-05-01,12.78,39.54,20.82,30.98,13.62,0.71,50.44,Maichow
2008-06-01,12.78,39.54,20.86,30.65,13.73,0.62,53.33,Maichow
2008-07-01,12.78,39.54,18.93,28.78,13.08,4.65,70.3,Maichow
2008-08-01,12.78,39.54,18.26,25.8,13.13,5.5,73.96,Maichow
2008-09-01,12.78,39.54,18.39,26.34,12.38,1.33,65.92,Maichow
2008-10-01,12.78,39.54,17.35,26.51,8.97,0.12,61.34,Maichow
2008-11-01,12.78,39.54,15.28,25.31,4.61,0.87,61.2,Maichow
2008-12-01,12.78,39.54,14.77,25.75,4.16,0.01,54.9,Maichow
2009-01-01,12.78,39.54,16.35,26.95,5.45,0.11,51.88,Maichow
2009-02-01,12.78,39.54,17.79,28.96,7.93,0.04,49.1,Maichow
2009-03-01,12.78,39.54,19.71,30.71,10.54,0.32,50.74,Maichow
2009-04-01,12.78,39.54,20.3,30.83,10.75,0.48,48.22,Maichow
2009-05-01,12.78,39.54,21.55,31.04,12.15,0.03,39.63,Maichow
2009-06-01,12.78,39.54,22.16,31.83,14.05,1.36,46.85,Maichow
2009-07-01,12.78,39.54,18.31,28.12,12.82,8.09,75.53,Maichow
2009-08-01,12.78,39.54,18.41,26.05,13.33,6.06,76.06,Maichow
2009-09-01,12.78,39.54,18.54,25.54,12.7,0.79,63.98,Maichow
2009-10-01,12.78,39.54,16.46,25.19,7.08,1.85,63.16,Maichow
2009-11-01,12.78,39.54,15.56,25.1,6.08,0.03,54.66,Maichow
2009-12-01,12.78,39.54,16.71,26.01,8.66,0.26,62.94,Maichow
2010-01-01,12.78,39.54,16.43,26.8,6.55,0.0,54.73,Maichow
2010-02-01,12.78,39.54,18.57,28.82,10.32,0.72,54.95,Maichow
2010-03-01,12.78,39.54,18.42,28.68,5.29,0.66,55.41,Maichow
2010-04-01,12.78,39.54,20.68,29.9,12.09,1.69,56.89,Maichow
2010-05-01,12.78,39.54,21.37,30.59,14.24,1.42,53.43,Maichow
2010-06-01,12.78,39.54,21.18,31.38,13.31,1.61,55.14,Maichow
2010-07-01,12.78,39.54,17.94,28.37,12.1,7.92,77.61,Maichow
2010-08-01,12.78,39.54,17.48,23.58,13.67,11.93,83.58,Maichow
2010-09-01,12.78,39.54,17.46,23.88,10.72,1.74,72.94,Maichow
2010-10-01,12.78,39.54,16.41,23.82,9.49,0.17,66.42,Maichow
2010-11-01,12.78,39.54,15.01,24.37,6.42,0.17,60.06,Maichow
2010-12-01,12.78,39.54,14.63,24.27,4.46,0.01,56.26,Maichow
2011-01-01,12.78,39.54,16.4,26.66,7.49,0.08,60.84,Maichow
2011-02-01,12.78,39.54,17.33,28.2,5.7,0.18,48.59,Maichow
2011-03-01,12.78,39.54,17.03,28.08,7.56,1.6,55.37,Maichow
2011-04-01,12.78,39.54,20.04,30.49,9.83,0.23,50.72,Maichow
2011-05-01,12.78,39.54,20.12,29.84,12.82,2.67,57.5,Maichow
2011-06-01,12.78,39.54,21.09,30.1,14.12,0.27,50.58,Maichow
2011-07-01,12.78,39.54,18.91,27.92,12.5,3.19,69.31,Maichow
2011-08-01,12.78,39.54,18.87,27.71,13.06,2.36,70.82,Maichow
