period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.56,38.13,20.03,30.14,10.07,0.14,42.22,May Tsemre
2008-02-01,13.56,38.13,20.72,31.65,9.75,0.0,32.35,May Tsemre
2008-03-01,13.56,38.13,23.01,33.74,10.63,0.08,19.82,May Tsemre
2008-04-01,13.56,38.13,22.51,33.45,13.14,2.05,41.37,May Tsemre
2008-05-01,13.56,38.13,23.09,33.71,14.92,1.06,48.09,May Tsemre
2008-06-01,13.56,38.13,21.09,31.88,14.86,2.09,60.29,May Tsemre
2008-07-01,13.56,38.13,18.71,27.35,13.58,6.35,77.12,May Tsemre
2008-08-01,13.56,38.13,18.18,25.12,13.79,8.48,83.65,May Tsemre
2008-09-01,13.56,38.13,19.08,26.08,12.85,2.72,74.59,May Tsemre
2008-10-01,13.56,38.13,19.09,27.54,9.59,0.15,58.78,May Tsemre
2008-11-01,13.56,38.13,18.77,29.36,8.48,0.34,45.51,May Tsemre
2008-12-01,13.56,38.13,19.16,29.83,9.32,0.0,36.39,May Tsemre
2009-01-01,13.56,38.13,19.75,29.97,8.87,0.01,30.99,May Tsemre
2009-02-01,13.56,38.13,22.09,32.59,12.25,0.23,35.2,May Tsemre
2009-03-01,13.56,38.13,23.42,34.32,13.75,0.06,35.15,May Tsemre
2009-04-01,13.56,38.13,24.18,34.72,13.86,0.17,31.3,May Tsemre
2009-05-01,13.56,38.13,25.03,34.06,15.56,0.1,31.14,May Tsemre
2009-06-01,13.56,38.13,21.99,33.23,14.82,4.18,60.02,May Tsemre
2009-07-01,13.56,38.13,18.19,25.71,13.67,11.31,82.66,May Tsemre
2009-08-01,13.56,38.13,18.56,24.83,13.08,7.72,84.33,May Tsemre
2009-09-01,13.56,38.13,19.58,25.79,13.59,2.24,69.62,May Tsemre
2009-10-01,13.56,38.13,18.81,27.2,9.73,1.23,59.07,May Tsemre
2009-11-01,13.56,38.13,19.18,28.72,8.68,0.04,45.68,May Tsemre
2009-12-01,13.56,38.13,19.52,29.87,10.02,0.06,42.13,May Tsemre
2010-01-01,13.56,38.13,20.26,31.33,9.92,0.0,38.26,May Tsemre
2010-02-01,13.56,38.13,21.64,32.38,10.42,0.01,31.75,May Tsemre
2010-03-01,13.56,38.13,22.31,34.02,11.58,0.56,35.18,May Tsemre
2010-04-01,13.56,38.13,23.96,33.02,16.03,1.28,43.25,May Tsemre
2010-05-01,13.56,38.13,23.75,34.08,16.37,1.3,45.01,May Tsemre
2010-06-01,13.56,38.13,21.29,30.88,14.92,2.33,63.86,May Tsemre
2010-07-01,13.56,38.13,18.11,27.99,13.39,8.87,82.35,May Tsemre
2010-08-01,13.56,38.13,17.6,22.3,13.99,15.0,88.96,May Tsemre
2010-09-01,13.56,38.13,18.67,25.05,12.41,4.08,78.04,May Tsemre
2010-10-01,13.56,38.13,18.52,25.73,10.71,0.14,63.4,May Tsemre
2010-11-01,13.56,38.13,18.49,27.43,8.65,0.14,51.91,May Tsemre
2010-12-01,13.56,38.13,18.47,28.5,8.58,0.0,41.47,May Tsemre
2011-01-01,13.56,38.13,19.21,30.27,8.66,0.04,43.27,May Tsemre
2011-02-01,13.56,38.13,20.92,32.45,9.54,0.01,30.11,May Tsemre
2011-03-01,13.56,38.13,21.51,32.96,12.09,0.73,39.23,May Tsemre
2011-04-01,13.56,38.13,24.38,34.15,14.84,0.08,32.08,May Tsemre
