period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.6,40.32,21.08,31.65,10.85,0.25,36.13,Mechara
2008-02-01,8.6,40.32,21.22,32.41,8.16,0.01,32.44,Mechara
2008-03-01,8.6,40.32,23.12,34.93,10.05,0.07,20.8,Mechara
2008-04-01,8.6,40.32,22.11,32.5,14.02,2.77,60.93,Mechara
2008-05-01,8.6,40.32,22.17,31.1,15.21,2.52,66.58,Mechara
2008-06-01,8.6,40.32,22.48,33.93,14.24,1.25,58.76,Mechara
2008-07-01,8.6,40.32,21.26,32.75,13.66,7.6,67.6,Mechara
2008-08-01,8.6,40.32,19.82,26.12,13.09,7.64,78.33,Mechara
2008-09-01,8.6,40.32,20.35,27.24,14.16,2.49,74.68,Mechara
2008-10-01,8.6,40.32,20.32,29.15,11.23,2.92,65.58,Mechara
2008-11-01,8.6,40.32,17.77,27.22,7.99,2.96,65.63,Mechara
2008-12-01,8.6,40.32,18.71,29.4,8.3,0.03,50.37,Mechara
2009-01-01,8.6,40.32,20.07,30.0,9.79,1.02,48.96,Mechara
2009-02-01,8.6,40.32,21.68,32.14,12.9,0.51,43.56,Mechara
2009-03-01,8.6,40.32,23.68,34.55,13.17,1.04,40.94,Mechara
2009-04-01,8.6,40.32,22.24,32.86,15.35,3.28,67.33,Mechara
2009-05-01,8.6,40.32,23.56,34.17,14.96,0.93,58.14,Mechara
2009-06-01,8.6,40.32,23.34,33.9,14.92,2.87,57.61,Mechara
2009-07-01,8.6,40.32,21.14,29.93,13.94,5.02,68.06,Mechara
2009-08-01,8.6,40.32,21.19,29.6,13.88,3.29,68.45,Mechara
2009-09-01,8.6,40.32,22.18,30.24,14.79,2.49,65.15,Mechara
2009-10-01,8.6,40.32,20.01,30.49,12.09,3.84,69.71,Mechara
2009-11-01,8.6,40.32,20.04,29.24,9.52,0.36,51.54,Mechara
2009-12-01,8.6,40.32,20.5,29.13,11.82,1.47,61.48,Mechara
2010-01-01,8.6,40.32,20.83,31.89,9.02,0.0,41.81,Mechara
2010-02-01,8.6,40.32,21.88,33.03,14.47,2.41,55.06,Mechara
2010-03-01,8.6,40.32,21.02,29.92,10.44,3.98,67.35,Mechara
2010-04-01,8.6,40.32,21.34,29.93,13.8,4.53,74.16,Mechara
2010-05-01,8.6,40.32,21.69,29.28,15.86,4.09,76.5,Mechara
2010-06-01,8.6,40.32,21.76,30.65,14.77,2.61,69.66,Mechara
2010-07-01,8.6,40.32,20.51,29.35,14.33,6.74,74.05,Mechara
2010-08-01,8.6,40.32,19.84,26.94,13.53,8.41,79.38,Mechara
2010-09-01,8.6,40.32,19.71,26.66,13.67,8.08,78.05,Mechara
2010-10-01,8.6,40.32,19.8,27.04,11.47,0.98,66.0,Mechara
2010-11-01,8.6,40.32,18.95,28.32,9.36,0.68,57.52,Mechara
2010-12-01,8.6,40.32,18.95,29.66,7.06,0.1,45.93,Mechara
2011-01-01,8.6,40.32,20.71,31.46,9.48,0.07,38.96,Mechara
2011-02-01,8.6,40.32,22.26,32.91,10.4,0.03,32.84,Mechara
2011-03-01,8.6,40.32,22.4,33.33,13.0,1.08,38.29,Mechara
2011-04-01,8.6,40.32,22.95,32.7,14.44,2.65,56.75,Mechara
2011-05-01,8.6,40.32,22.23,32.36,15.72,3.68,69.31,Mechara
2011-06-01,8.6,40.32,22.18,31.48,15.14,0.87,66.64,Mechara
2011-07-01,8.6,40.32,21.71,30.85,14.05,3.11,66.84,Mechara
2011-08-01,8.6,40.32,22.07,30.99,15.34,2.24,64.98,Mechara
2011-09-01,8.6,40.32,22.44,31.64,15.18,1.41,61.75,Mechara
2011-10-01,8.6,40.32,21.91,33.0,11.73,0.97,49.17,Mechara
2011-11-01,8.6,40.32,20.64,31.76,11.94,1.78,62.07,Mechara
2011-12-01,8.6,40.32,20.13,30.99,8.09,0.01,38.76,Mechara
2012-01-01,8.6,40.32,21.31,31.4,10.45,0.01,35.48,Mechara
2012-02-01,8.6,40.32,22.16,33.17,11.26,0.0,30.02,Mechara
2012-03-01,8.6,40.32,23.65,33.7,12.05,0.09,29.02,Mechara
2012-04-01,8.6,40.32,21.42,31.17,13.85,4.26,69.09,Mechara
2012-05-01,8.6,40.32,22.35,32.24,15.21,2.26,67.83,Mechara
2012-06-01,8.6,40.32,22.85,33.06,15.0,1.01,60.01,Mechara
2012-07-01,8.6,40.32,20.99,29.68,14.09,5.45,72.05,Mechara
2012-08-01,8.6,40.32,20.27,27.87,14.24,8.4,77.67,Mechara
2012-09-01,8.6,40.32,19.83,26.78,14.27,3.85,78.65,Mechara
2012-10-01,8.6,40.32,20.17,29.35,11.21,0.47,65.22,Mechara
2012-11-01,8.6,40.32,20.89,30.03,11.52,0.46,57.83,Mechara
2012-12-01,8.6,40.32,21.23,30.74,10.69,0.15,43.25,Mechara
2013-01-01,8.6,40.32,21.16,32.78,11.94,0.81,47.64,Mechara
2013-02-01,8.6,40.32,22.89,33.6,13.12,0.01,31.08,Mechara
2013-03-01,8.6,40.32,22.32,33.37,15.09,2.42,57.49,Mechara
2013-04-01,8.6,40.32,21.04,29.71,15.21,5.76,78.41,Mechara
2013-05-01,8.6,40.32,21.3,30.09,15.07,1.81,75.1,Mechara
2013-06-01,8.6,40.32,21.73,31.34,14.67,1.13,67.21,Mechara
2013-07-01,8.6,40.32,20.07,29.9,14.13,9.88,77.33,Mechara
2013-08-01,8.6,40.32,19.48,25.96,13.76,7.0,80.76,Mechara
2013-09-01,8.6,40.32,20.12,26.37,13.36,3.72,75.44,Mechara
2013-10-01,8.6,40.32,19.26,26.51,12.35,2.89,71.14,Mechara
2013-11-01,8.6,40.32,18.47,25.13,10.54,4.81,74.0,Mechara
2013-12-01,8.6,40.32,17.87,27.37,8.54,0.07,54.29,Mechara
2014-01-01,8.6,40.32,20.22,31.09,10.59,0.01,47.37,Mechara
