period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.49,39.83,19.41,29.48,9.78,0.39,40.12,Merti
2008-02-01,8.49,39.83,19.32,30.66,9.73,0.03,37.06,Merti
2008-03-01,8.49,39.83,21.73,32.78,10.6,0.04,21.63,Merti
2008-04-01,8.49,39.83,21.16,31.56,12.57,1.99,57.66,Merti
2008-05-01,8.49,39.83,22.22,31.21,14.43,1.56,58.15,Merti
2008-06-01,8.49,39.83,22.49,32.26,14.32,1.33,54.68,Merti
2008-07-01,8.49,39.83,20.93,31.71,13.15,6.19,65.6,Merti
2008-08-01,8.49,39.83,19.3,26.11,13.03,6.22,77.34,Merti
2008-09-01,8.49,39.83,19.52,26.7,13.32,3.0,74.06,Merti
2008-10-01,8.49,39.83,19.71,28.91,12.05,2.2,60.52,Merti
2008-11-01,8.49,39.83,17.03,26.43,8.12,2.62,63.5,Merti
2008-12-01,8.49,39.83,17.57,27.61,8.54,0.07,48.92,Merti
2009-01-01,8.49,39.83,18.81,29.65,10.46,1.49,50.42,Merti
2009-02-01,8.49,39.83,20.28,30.7,11.06,0.27,45.18,Merti
2009-03-01,8.49,39.83,22.35,33.39,12.08,1.11,43.02,Merti
2009-04-01,8.49,39.83,21.55,31.2,14.38,2.36,62.86,Merti
2009-05-01,8.49,39.83,23.09,32.62,14.77,0.57,50.21,Merti
2009-06-01,8.49,39.83,23.54,33.32,14.83,1.57,50.42,Merti
2009-07-01,8.49,39.83,20.63,29.03,14.44,5.21,67.07,Merti
2009-08-01,8.49,39.83,20.52,28.08,13.03,4.02,70.73,Merti
2009-09-01,8.49,39.83,20.51,27.77,13.47,3.31,67.94,Merti
2009-10-01,8.49,39.83,18.61,28.33,11.03,3.68,68.96,Merti
2009-11-01,8.49,39.83,18.66,27.79,9.72,0.29,49.96,Merti
2009-12-01,8.49,39.83,18.92,27.89,11.53,2.04,64.44,Merti
2010-01-01,8.49,39.83,18.9,30.14,9.56,0.02,48.42,Merti
2010-02-01,8.49,39.83,20.19,31.88,13.28,3.27,60.65,Merti
2010-03-01,8.49,39.83,19.57,27.69,11.59,3.73,69.18,Merti
2010-04-01,8.49,39.83,20.63,28.77,13.17,3.96,71.22,Merti
2010-05-01,8.49,39.83,21.43,29.63,15.17,2.74,69.6,Merti
2010-06-01,8.49,39.83,21.87,30.82,14.86,2.76,62.67,Merti
2010-07-01,8.49,39.83,19.91,29.2,13.78,6.41,73.02,Merti
2010-08-01,8.49,39.83,19.16,26.37,13.92,6.13,79.85,Merti
2010-09-01,8.49,39.83,18.98,26.2,13.45,5.77,78.84,Merti
2010-10-01,8.49,39.83,19.11,26.56,11.87,0.84,61.96,Merti
2010-11-01,8.49,39.83,18.29,28.13,9.82,0.48,53.51,Merti
2010-12-01,8.49,39.83,18.12,28.75,8.58,0.2,43.16,Merti
2011-01-01,8.49,39.83,19.39,30.82,9.8,0.12,42.32,Merti
2011-02-01,8.49,39.83,20.61,31.71,11.11,0.1,36.77,Merti
2011-03-01,8.49,39.83,20.84,31.76,12.55,1.17,41.71,Merti
2011-04-01,8.49,39.83,22.04,32.41,12.96,2.14,54.66,Merti
2011-05-01,8.49,39.83,21.74,30.98,15.13,2.54,64.2,Merti
2011-06-01,8.49,39.83,22.02,30.72,14.47,1.36,61.04,Merti
