period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.23,35.32,19.1,28.07,10.1,2.22,65.93,Meti
2008-02-01,7.23,35.32,20.27,30.01,10.05,0.65,60.23,Meti
2008-03-01,7.23,35.32,21.68,31.61,14.15,2.06,62.4,Meti
2008-04-01,7.23,35.32,18.94,27.08,13.15,8.41,82.65,Meti
2008-05-01,7.23,35.32,18.47,24.26,13.82,3.46,85.23,Meti
2008-06-01,7.23,35.32,17.29,24.1,11.96,4.32,85.7,Meti
2008-07-01,7.23,35.32,17.05,24.08,11.42,4.47,85.79,Meti
2008-08-01,7.23,35.32,17.46,24.33,12.61,4.66,85.5,Meti
2008-09-01,7.23,35.32,17.74,24.39,11.62,4.77,85.14,Meti
2008-10-01,7.23,35.32,17.88,24.02,11.19,6.36,85.0,Meti
2008-11-01,7.23,35.32,17.24,24.09,9.7,4.1,82.14,Meti
2008-12-01,7.23,35.32,18.13,27.23,11.01,0.47,69.44,Meti
2009-01-01,7.23,35.32,19.25,29.07,11.07,2.26,66.0,Meti
2009-02-01,7.23,35.32,20.7,30.59,13.46,1.56,64.33,Meti
2009-03-01,7.23,35.32,20.94,30.03,14.72,2.67,68.12,Meti
2009-04-01,7.23,35.32,19.2,26.68,13.48,9.26,85.96,Meti
2009-05-01,7.23,35.32,19.07,25.41,13.16,4.54,84.11,Meti
2009-06-01,7.23,35.32,18.66,25.05,12.08,2.01,81.07,Meti
2009-07-01,7.23,35.32,17.74,25.03,11.81,3.82,80.12,Meti
2009-08-01,7.23,35.32,17.98,25.08,11.81,4.21,80.74,Meti
2009-09-01,7.23,35.32,18.51,25.12,12.64,5.67,81.11,Meti
2009-10-01,7.23,35.32,17.98,23.9,11.31,7.45,86.28,Meti
2009-11-01,7.23,35.32,17.88,25.45,10.33,1.68,74.17,Meti
2009-12-01,7.23,35.32,18.04,24.75,12.29,4.39,82.23,Meti
2010-01-01,7.23,35.32,18.7,28.24,11.25,1.31,72.18,Meti
2010-02-01,7.23,35.32,19.95,29.24,13.84,2.45,74.31,Meti
2010-03-01,7.23,35.32,20.47,30.41,11.41,3.79,71.54,Meti
2010-04-01,7.23,35.32,19.78,26.91,14.77,5.65,83.5,Meti
2010-05-01,7.23,35.32,18.76,24.71,13.11,9.85,90.3,Meti
2010-06-01,7.23,35.32,17.92,23.76,13.58,7.78,88.1,Meti
2010-07-01,7.23,35.32,17.23,23.18,12.68,5.08,86.79,Meti
2010-08-01,7.23,35.32,17.37,23.41,12.45,4.33,87.25,Meti
2010-09-01,7.23,35.32,17.66,23.84,11.79,5.55,85.62,Meti
2010-10-01,7.23,35.32,18.03,24.29,12.31,4.17,84.36,Meti
2010-11-01,7.23,35.32,17.26,23.93,10.05,2.25,79.65,Meti
2010-12-01,7.23,35.32,17.39,25.21,9.94,1.01,73.89,Meti
2011-01-01,7.23,35.32,18.92,28.79,10.92,0.98,66.42,Meti
2011-02-01,7.23,35.32,21.53,32.25,10.79,0.35,52.12,Meti
2011-03-01,7.23,35.32,20.8,32.52,13.58,1.97,64.89,Meti
2011-04-01,7.23,35.32,20.2,31.09,13.24,5.22,75.46,Meti
2011-05-01,7.23,35.32,18.63,25.9,12.19,6.34,86.27,Meti
2011-06-01,7.23,35.32,17.7,23.69,12.9,4.43,88.42,Meti
2011-07-01,7.23,35.32,17.77,24.35,12.76,2.39,83.54,Meti
2011-08-01,7.23,35.32,17.9,25.78,12.74,2.37,81.26,Meti
2011-09-01,7.23,35.32,18.22,25.71,12.45,2.98,81.46,Meti
2011-10-01,7.23,35.32,18.81,26.68,10.97,3.42,75.39,Meti
2011-11-01,7.23,35.32,18.09,25.21,11.31,6.86,85.43,Meti
2011-12-01,7.23,35.32,18.72,28.05,9.61,0.86,67.07,Meti
2012-01-01,7.23,35.32,20.44,30.53,10.14,0.11,57.53,Meti
2012-02-01,7.23,35.32,22.41,32.65,11.21,0.31,45.49,Meti
2012-03-01,7.23,35.32,22.41,32.71,15.05,0.7,53.45,Meti
2012-04-01,7.23,35.32,19.42,30.4,13.99,8.04,80.52,Meti
2012-05-01,7.23,35.32,18.65,25.03,13.52,6.27,88.43,Meti
2012-06-01,7.23,35.32,17.56,23.62,12.84,3.64,87.98,Meti
2012-07-01,7.23,35.32,16.84,23.32,11.56,4.87,89.61,Meti
2012-08-01,7.23,35.32,17.21,23.24,12.9,10.67,88.04,Meti
2012-09-01,7.23,35.32,17.37,23.26,12.75,7.77,88.24,Meti
2012-10-01,7.23,35.32,17.86,24.4,10.64,4.31,85.84,Meti
2012-11-01,7.23,35.32,17.82,24.33,11.13,2.85,83.8,Meti
2012-12-01,7.23,35.32,17.79,24.11,10.46,3.16,80.26,Meti
2013-01-01,7.23,35.32,18.7,27.49,11.04,1.11,73.3,Meti
2013-02-01,7.23,35.32,20.65,30.71,12.93,0.93,63.66,Meti
2013-03-01,7.23,35.32,20.66,29.91,13.96,4.55,73.16,Meti
2013-04-01,7.23,35.32,19.32,27.27,14.13,10.47,84.91,Meti
2013-05-01,7.23,35.32,18.0,23.76,12.23,10.6,90.02,Meti
2013-06-01,7.23,35.32,17.23,23.16,12.19,6.47,89.75,Meti
2013-07-01,7.23,35.32,16.81,22.65,11.93,5.4,88.44,Meti
2013-08-01,7.23,35.32,16.68,22.91,11.65,5.51,87.88,Meti
2013-09-01,7.23,35.32,17.72,23.8,12.53,4.72,85.69,Meti
2013-10-01,7.23,35.32,17.63,23.29,10.69,6.35,87.04,Meti
2013-11-01,7.23,35.32,17.92,23.49,10.77,5.87,86.41,Meti
2013-12-01,7.23,35.32,17.2,24.18,10.13,0.37,76.7,Meti
2014-01-01,7.23,35.32,18.75,28.31,11.95,0.11,70.92,Meti
2014-02-01,7.23,35.32,20.07,29.05,10.31,1.3,62.77,Meti
2014-03-01,7.23,35.32,20.68,30.16,12.49,4.06,71.11,Meti
2014-04-01,7.23,35.32,18.77,25.19,13.46,8.91,86.67,Meti
2014-05-01,7.23,35.32,18.54,24.17,13.49,10.68,89.08,Meti
2014-06-01,7.23,35.32,17.95,24.44,13.22,6.74,88.88,Meti
2014-07-01,7.23,35.32,17.27,22.93,12.39,5.46,87.81,Meti
2014-08-01,7.23,35.32,17.29,23.24,12.43,5.64,87.52,Meti
2014-09-01,7.23,35.32,17.53,23.33,12.4,7.48,85.35,Meti
2014-10-01,7.23,35.32,17.77,23.81,12.39,8.5,88.65,Meti
2014-11-01,7.23,35.32,17.81,24.03,11.68,3.55,85.59,Meti
2014-12-01,7.23,35.32,17.2,24.09,10.07,1.84,79.98,Meti
2015-01-01,7.23,35.32,18.06,28.18,9.3,0.05,67.87,Meti
