period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,11.08,37.87,17.99,26.15,7.56,0.27,44.22,Mota
2008-02-01,11.08,37.87,18.79,27.63,7.38,0.0,36.95,Mota
2008-03-01,11.08,37.87,20.4,30.13,8.08,0.01,27.0,Mota
2008-04-01,11.08,37.87,19.92,29.26,10.59,1.31,43.2,Mota
2008-05-01,11.08,37.87,20.58,28.89,11.99,1.87,49.96,Mota
2008-06-01,11.08,37.87,19.23,27.46,13.52,1.67,59.91,Mota
2008-07-01,11.08,37.87,16.79,25.81,10.73,7.88,75.11,Mota
2008-08-01,11.08,37.87,16.58,21.33,11.69,9.99,75.35,Mota
2008-09-01,11.08,37.87,17.18,22.21,11.19,3.78,69.53,Mota
2008-10-01,11.08,37.87,16.82,22.39,9.39,0.87,63.41,Mota
2008-11-01,11.08,37.87,15.76,23.32,5.61,1.95,57.84,Mota
2008-12-01,11.08,37.87,16.79,24.3,7.64,0.13,50.52,Mota
2009-01-01,11.08,37.87,17.7,26.38,8.37,0.55,45.01,Mota
2009-02-01,11.08,37.87,19.34,28.13,10.16,0.26,44.74,Mota
2009-03-01,11.08,37.87,21.29,29.89,13.06,0.87,41.47,Mota
2009-04-01,11.08,37.87,21.03,30.04,11.8,0.86,43.15,Mota
2009-05-01,11.08,37.87,22.0,29.81,13.95,0.23,35.07,Mota
2009-06-01,11.08,37.87,20.98,30.16,12.32,1.99,51.22,Mota
2009-07-01,11.08,37.87,16.31,23.19,11.47,11.11,78.19,Mota
2009-08-01,11.08,37.87,17.15,22.39,12.31,8.16,75.4,Mota
2009-09-01,11.08,37.87,17.87,22.54,12.83,2.64,64.55,Mota
2009-10-01,11.08,37.87,16.58,22.73,8.58,3.41,62.32,Mota
2009-11-01,11.08,37.87,16.6,23.68,7.05,0.14,50.73,Mota
2009-12-01,11.08,37.87,17.39,24.2,10.22,0.88,57.75,Mota
2010-01-01,11.08,37.87,18.23,26.96,9.62,0.01,47.45,Mota
2010-02-01,11.08,37.87,19.87,28.64,11.26,0.48,44.69,Mota
2010-03-01,11.08,37.87,19.84,29.99,10.48,1.72,46.77,Mota
2010-04-01,11.08,37.87,20.62,28.61,13.57,2.67,55.64,Mota
2010-05-01,11.08,37.87,20.44,28.08,13.38,2.87,58.32,Mota
2010-06-01,11.08,37.87,19.33,27.55,13.14,2.87,63.47,Mota
2010-07-01,11.08,37.87,16.55,24.72,11.64,10.55,78.28,Mota
2010-08-01,11.08,37.87,15.86,22.08,11.13,13.42,83.02,Mota
2010-09-01,11.08,37.87,17.1,21.84,12.51,4.21,72.72,Mota
2010-10-01,11.08,37.87,16.65,21.98,9.79,0.38,63.65,Mota
2010-11-01,11.08,37.87,16.47,23.2,8.09,0.47,54.86,Mota
2010-12-01,11.08,37.87,16.48,24.32,7.76,0.16,55.49,Mota
2011-01-01,11.08,37.87,17.95,26.16,10.62,0.33,51.68,Mota
2011-02-01,11.08,37.87,18.88,28.49,8.98,0.08,35.05,Mota
2011-03-01,11.08,37.87,18.62,28.15,9.14,1.76,49.0,Mota
2011-04-01,11.08,37.87,20.94,29.53,12.39,0.82,43.58,Mota
2011-05-01,11.08,37.87,20.45,29.66,12.88,3.11,53.61,Mota
2011-06-01,11.08,37.87,19.18,27.05,13.45,1.99,63.14,Mota
2011-07-01,11.08,37.87,16.74,24.39,11.4,4.83,75.59,Mota
2011-08-01,11.08,37.87,16.51,22.31,10.68,5.7,76.7,Mota
2011-09-01,11.08,37.87,17.26,23.5,11.06,1.52,69.71,Mota
2011-10-01,11.08,37.87,17.95,25.34,8.81,0.14,49.91,Mota
2011-11-01,11.08,37.87,17.65,25.9,9.39,1.02,57.27,Mota
2011-12-01,11.08,37.87,17.4,25.96,6.68,0.0,42.55,Mota
2012-01-01,11.08,37.87,18.41,26.92,7.83,0.01,41.31,Mota
2012-02-01,11.08,37.87,18.44,28.78,7.54,0.0,32.26,Mota
2012-03-01,11.08,37.87,20.07,29.87,10.05,0.72,38.44,Mota
2012-04-01,11.08,37.87,20.75,29.24,11.58,1.25,44.79,Mota
2012-05-01,11.08,37.87,21.39,29.63,13.29,0.73,42.88,Mota
2012-06-01,11.08,37.87,19.87,29.14,12.24,1.38,54.64,Mota
2012-07-01,11.08,37.87,16.6,22.99,11.44,9.34,78.32,Mota
2012-08-01,11.08,37.87,16.32,21.47,11.63,8.29,79.41,Mota
2012-09-01,11.08,37.87,17.31,22.35,12.82,3.63,71.1,Mota
2012-10-01,11.08,37.87,16.6,23.27,7.5,0.56,56.75,Mota
2012-11-01,11.08,37.87,17.72,25.26,10.17,0.34,54.14,Mota
2012-12-01,11.08,37.87,17.52,25.03,8.18,0.24,48.46,Mota
