period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,3.53,39.04,26.22,36.97,17.29,1.19,39.77,Moyale
2008-02-01,3.53,39.04,27.35,37.58,18.48,0.04,29.36,Moyale
2008-03-01,3.53,39.04,27.2,37.32,19.35,1.74,45.79,Moyale
2008-04-01,3.53,39.04,24.92,33.7,18.91,4.77,67.57,Moyale
2008-05-01,3.53,39.04,24.73,32.23,18.76,0.27,65.37,Moyale
2008-06-01,3.53,39.04,23.43,31.86,16.59,0.36,60.56,Moyale
2008-07-01,3.53,39.04,23.28,30.92,16.92,0.4,58.06,Moyale
2008-08-01,3.53,39.04,24.43,32.52,17.56,0.52,54.35,Moyale
2008-09-01,3.53,39.04,25.93,34.73,17.23,0.59,48.49,Moyale
2008-10-01,3.53,39.04,25.48,33.67,19.16,2.63,60.15,Moyale
2008-11-01,3.53,39.04,24.42,34.17,16.16,2.79,60.37,Moyale
2008-12-01,3.53,39.04,26.16,36.08,16.61,0.06,38.22,Moyale
2009-01-01,3.53,39.04,26.66,36.58,17.83,0.99,39.71,Moyale
2009-02-01,3.53,39.04,27.91,37.49,19.05,0.2,36.06,Moyale
2009-03-01,3.53,39.04,28.59,37.73,19.02,1.02,40.06,Moyale
2009-04-01,3.53,39.04,25.06,33.98,19.05,4.09,69.56,Moyale
2009-05-01,3.53,39.04,24.72,32.67,18.27,2.09,66.17,Moyale
2009-06-01,3.53,39.04,24.83,32.29,18.03,0.3,60.35,Moyale
2009-07-01,3.53,39.04,23.75,31.81,16.51,0.05,55.32,Moyale
2009-08-01,3.53,39.04,24.48,32.59,16.88,0.05,52.78,Moyale
2009-09-01,3.53,39.04,26.02,34.19,18.1,0.22,47.75,Moyale
2009-10-01,3.53,39.04,24.83,33.66,17.99,3.23,63.98,Moyale
2009-11-01,3.53,39.04,25.44,34.5,17.81,1.12,57.21,Moyale
2009-12-01,3.53,39.04,26.24,35.84,18.79,1.26,52.7,Moyale
2010-01-01,3.53,39.04,26.91,36.57,18.09,0.36,37.61,Moyale
2010-02-01,3.53,39.04,28.07,38.12,20.52,2.12,43.77,Moyale
2010-03-01,3.53,39.04,25.81,36.35,18.85,4.29,63.9,Moyale
2010-04-01,3.53,39.04,24.67,32.01,19.02,3.91,75.76,Moyale
2010-05-01,3.53,39.04,24.61,32.26,19.13,1.69,70.71,Moyale
2010-06-01,3.53,39.04,24.29,32.6,18.01,0.42,63.89,Moyale
2010-07-01,3.53,39.04,23.07,31.21,16.71,0.57,60.53,Moyale
2010-08-01,3.53,39.04,23.86,32.0,17.02,0.25,55.32,Moyale
2010-09-01,3.53,39.04,25.22,33.48,17.23,0.22,49.38,Moyale
2010-10-01,3.53,39.04,25.95,34.94,17.83,1.46,53.51,Moyale
2010-11-01,3.53,39.04,26.25,35.2,18.51,0.61,49.51,Moyale
2010-12-01,3.53,39.04,26.89,36.06,17.95,0.05,33.78,Moyale
2011-01-01,3.53,39.04,27.47,37.49,18.11,0.03,29.94,Moyale
2011-02-01,3.53,39.04,28.03,38.2,18.73,0.29,29.17,Moyale
2011-03-01,3.53,39.04,28.04,37.41,19.16,1.15,39.29,Moyale
2011-04-01,3.53,39.04,26.99,36.42,19.62,1.99,55.14,Moyale
2011-05-01,3.53,39.04,25.48,32.75,18.91,1.41,62.61,Moyale
2011-06-01,3.53,39.04,24.56,31.9,18.29,0.4,58.77,Moyale
2011-07-01,3.53,39.04,24.47,32.05,16.82,0.12,54.98,Moyale
2011-08-01,3.53,39.04,24.55,32.64,17.76,0.01,52.41,Moyale
2011-09-01,3.53,39.04,25.86,34.48,18.77,0.3,50.21,Moyale
2011-10-01,3.53,39.04,24.82,34.1,18.36,4.25,66.17,Moyale
2011-11-01,3.53,39.04,23.09,31.17,17.2,5.5,79.6,Moyale
2011-12-01,3.53,39.04,23.93,34.37,15.68,0.37,60.88,Moyale
2012-01-01,3.53,39.04,25.74,36.07,15.61,0.03,39.6,Moyale
2012-02-01,3.53,39.04,27.66,38.39,17.47,0.11,32.95,Moyale
2012-03-01,3.53,39.04,28.6,38.5,19.1,0.15,33.59,Moyale
2012-04-01,3.53,39.04,24.45,34.02,18.3,6.11,69.7,Moyale
2012-05-01,3.53,39.04,24.25,30.74,17.95,2.03,70.79,Moyale
2012-06-01,3.53,39.04,23.56,31.44,17.64,0.41,62.85,Moyale
2012-07-01,3.53,39.04,23.14,30.57,17.01,0.41,59.26,Moyale
2012-08-01,3.53,39.04,23.59,31.8,16.12,2.69,58.22,Moyale
2012-09-01,3.53,39.04,25.04,33.89,17.63,0.68,51.99,Moyale
2012-10-01,3.53,39.04,25.42,33.72,18.67,1.71,59.29,Moyale
2012-11-01,3.53,39.04,25.57,34.95,18.36,2.57,61.77,Moyale
2012-12-01,3.53,39.04,25.84,35.27,18.01,1.83,55.45,Moyale
2013-01-01,3.53,39.04,27.29,36.88,18.51,0.4,40.25,Moyale
2013-02-01,3.53,39.04,28.98,38.93,19.73,0.0,30.57,Moyale
2013-03-01,3.53,39.04,27.3,37.57,20.27,3.46,53.97,Moyale
2013-04-01,3.53,39.04,23.35,30.4,18.87,6.14,83.33,Moyale
2013-05-01,3.53,39.04,23.14,30.4,16.64,1.48,74.94,Moyale
2013-06-01,3.53,39.04,22.66,29.66,17.09,1.0,67.35,Moyale
2013-07-01,3.53,39.04,22.69,30.33,15.64,0.58,61.93,Moyale
2013-08-01,3.53,39.04,23.68,31.5,16.67,0.38,56.64,Moyale
2013-09-01,3.53,39.04,25.64,34.8,18.06,0.38,49.61,Moyale
2013-10-01,3.53,39.04,25.23,33.26,18.16,2.13,58.36,Moyale
2013-11-01,3.53,39.04,24.7,34.12,17.72,3.11,64.76,Moyale
2013-12-01,3.53,39.04,26.02,36.09,17.08,0.32,41.63,Moyale
2014-01-01,3.53,39.04,27.59,36.99,18.5,0.05,32.19,Moyale
2014-02-01,3.53,39.04,28.74,37.65,20.2,0.47,35.92,Moyale
2014-03-01,3.53,39.04,27.65,37.88,19.23,1.34,49.55,Moyale
2014-04-01,3.53,39.04,25.93,34.78,18.94,3.05,62.47,Moyale
2014-05-01,3.53,39.04,24.82,33.24,17.92,2.03,66.29,Moyale
2014-06-01,3.53,39.04,24.21,32.34,17.33,0.49,61.81,Moyale
2014-07-01,3.53,39.04,23.85,31.81,16.96,0.42,57.92,Moyale
2014-08-01,3.53,39.04,24.64,33.86,17.03,0.5,54.49,Moyale
2014-09-01,3.53,39.04,25.18,33.25,17.86,0.64,52.1,Moyale
2014-10-01,3.53,39.04,25.47,34.33,19.23,2.41,58.9,Moyale
2014-11-01,3.53,39.04,25.29,34.75,17.37,2.28,63.26,Moyale
2014-12-01,3.53,39.04,25.87,35.81,17.05,0.8,42.73,Moyale
2015-01-01,3.53,39.04,26.92,37.25,16.79,0.0,27.14,Moyale
2015-02-01,3.53,39.04,29.15,38.71,19.7,0.01,31.2,Moyale
2015-03-01,3.53,39.04,28.23,38.49,18.98,0.45,38.77,Moyale
2015-04-01,3.53,39.04,25.74,35.99,19.36,3.2,66.23,Moyale
2015-05-01,3.53,39.04,25.04,32.48,18.8,1.64,67.75,Moyale
2015-06-01,3.53,39.04,24.51,32.25,17.12,0.61,59.08,Moyale
2015-07-01,3.53,39.04,23.96,31.51,17.39,0.6,59.06,Moyale
2015-08-01,3.53,39.04,24.39,32.33,16.81,0.51,55.31,Moyale
2015-09-01,3.53,39.04,26.04,34.8,17.4,0.15,47.76,Moyale
2015-10-01,3.53,39.04,26.06,34.22,19.27,2.07,58.97,Moyale
2015-11-01,3.53,39.04,25.47,34.78,17.97,2.99,64.42,Moyale
2015-12-01,3.53,39.04,26.31,36.32,18.25,0.99,51.76,Moyale
2016-01-01,3.53,39.04,28.45,37.42,20.4,0.21,38.09,Moyale
2016-02-01,3.53,39.04,28.81,38.8,19.25,0.3,30.65,Moyale
2016-03-01,3.53,39.04,29.63,38.93,21.08,0.49,44.06,Moyale
2016-04-01,3.53,39.04,26.77,36.88,20.55,3.29,63.05,Moyale
2016-05-01,3.53,39.04,25.06,32.66,18.64,1.06,62.6,Moyale
2016-06-01,3.53,39.04,24.31,32.42,17.62,0.41,58.46,Moyale
2016-07-01,3.53,39.04,23.44,31.44,16.49,0.33,55.39,Moyale
2016-08-01,3.53,39.04,23.94,32.01,16.28,0.45,52.76,Moyale
2016-09-01,3.53,39.04,24.75,33.21,16.72,0.28,49.63,Moyale
2016-10-01,3.53,39.04,26.33,35.76,19.06,0.6,50.29,Moyale
2016-11-01,3.53,39.04,25.26,35.09,18.58,2.12,59.2,Moyale
2016-12-01,3.53,39.04,25.96,36.7,17.21,0.54,44.59,Moyale
2017-01-01,3.53,39.04,27.12,37.64,17.46,0.0,24.81,Moyale
2017-02-01,3.53,39.04,28.6,37.86,19.6,0.38,38.92,Moyale
2017-03-01,3.53,39.04,29.28,39.36,20.48,0.28,35.98,Moyale
2017-04-01,3.53,39.04,27.45,37.31,19.46,2.38,54.04,Moyale
2017-05-01,3.53,39.04,25.14,33.09,18.94,2.23,67.27,Moyale
2017-06-01,3.53,39.04,24.72,32.48,17.78,0.42,61.11,Moyale
2017-07-01,3.53,39.04,23.92,31.52,17.39,0.48,56.7,Moyale
2017-08-01,3.53,39.04,24.74,33.62,17.86,0.63,54.17,Moyale
2017-09-01,3.53,39.04,25.25,34.15,17.92,0.95,52.03,Moyale
2017-10-01,3.53,39.04,25.83,34.13,18.88,2.75,57.67,Moyale
2017-11-01,3.53,39.04,24.69,33.65,17.32,2.61,62.65,Moyale
2017-12-01,3.53,39.04,25.91,35.99,16.02,0.0,35.72,Moyale
2018-01-01,3.53,39.04,27.41,37.07,17.21,0.0,26.69,Moyale
2018-02-01,3.53,39.04,27.95,37.38,18.11,0.56,39.12,Moyale
2018-03-01,3.53,39.04,25.69,36.68,18.07,3.74,60.94,Moyale
2018-04-01,3.53,39.04,23.32,33.15,19.26,6.75,81.97,Moyale
2018-05-01,3.53,39.04,22.9,30.06,17.46,4.05,80.46,Moyale
2018-06-01,3.53,39.04,22.47,30.64,16.52,0.81,71.7,Moyale
2018-07-01,3.53,39.04,22.3,31.48,16.43,0.9,66.0,Moyale
2018-08-01,3.53,39.04,23.49,31.55,16.74,0.2,58.0,Moyale
2018-09-01,3.53,39.04,25.44,33.6,17.8,0.92,52.65,Moyale
2018-10-01,3.53,39.04,25.29,34.02,18.22,3.75,58.32,Moyale
2018-11-01,3.53,39.04,25.51,34.67,18.66,1.27,60.69,Moyale
2018-12-01,3.53,39.04,26.29,35.13,18.42,0.59,50.35,Moyale
2019-01-01,3.53,39.04,27.74,38.1,18.98,0.02,30.89,Moyale
2019-02-01,3.53,39.04,29.08,38.64,20.36,0.18,35.24,Moyale
2019-03-01,3.53,39.04,29.39,39.45,20.4,0.55,38.35,Moyale
2019-04-01,3.53,39.04,27.78,36.56,21.6,0.75,55.13,Moyale
2019-05-01,3.53,39.04,26.03,35.12,19.52,1.93,63.29,Moyale
2019-06-01,3.53,39.04,24.63,32.02,18.4,0.02,59.72,Moyale
2019-07-01,3.53,39.04,24.45,33.37,17.17,0.51,57.13,Moyale
