period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.54103,39.2705,19.58,29.83,10.21,0.26,40.05,"Nazareth, Adama"
2008-02-01,8.54103,39.2705,19.6,31.16,8.8,0.03,36.86,"Nazareth, Adama"
2008-03-01,8.54103,39.2705,21.82,33.13,9.49,0.03,21.38,"Nazareth, Adama"
2008-04-01,8.54103,39.2705,22.1,33.06,12.9,1.43,51.01,"Nazareth, Adama"
2008-05-01,8.54103,39.2705,23.42,32.5,16.14,1.14,51.84,"Nazareth, Adama"
2008-06-01,8.54103,39.2705,22.91,32.76,15.07,1.42,55.03,"Nazareth, Adama"
2008-07-01,8.54103,39.2705,20.99,31.48,13.79,6.1,65.87,"Nazareth, Adama"
2008-08-01,8.54103,39.2705,19.69,26.27,13.64,5.71,75.49,"Nazareth, Adama"
2008-09-01,8.54103,39.2705,20.27,27.72,14.21,2.89,69.46,"Nazareth, Adama"
2008-10-01,8.54103,39.2705,20.01,29.59,11.33,1.55,56.15,"Nazareth, Adama"
2008-11-01,8.54103,39.2705,17.21,26.96,8.12,2.11,61.48,"Nazareth, Adama"
2008-12-01,8.54103,39.2705,17.66,28.51,8.16,0.05,47.64,"Nazareth, Adama"
2009-01-01,8.54103,39.2705,19.12,30.39,9.72,1.18,49.61,"Nazareth, Adama"
2009-02-01,8.54103,39.2705,21.11,31.96,11.7,0.11,41.78,"Nazareth, Adama"
2009-03-01,8.54103,39.2705,23.14,33.74,13.65,0.87,40.68,"Nazareth, Adama"
2009-04-01,8.54103,39.2705,22.47,31.98,15.43,1.65,56.52,"Nazareth, Adama"
2009-05-01,8.54103,39.2705,24.19,33.52,15.59,0.47,41.84,"Nazareth, Adama"
2009-06-01,8.54103,39.2705,24.45,34.48,16.26,1.35,47.68,"Nazareth, Adama"
2009-07-01,8.54103,39.2705,20.78,29.0,14.87,4.86,66.17,"Nazareth, Adama"
2009-08-01,8.54103,39.2705,20.92,27.94,14.13,3.97,69.82,"Nazareth, Adama"
2009-09-01,8.54103,39.2705,21.06,28.82,14.33,2.97,64.14,"Nazareth, Adama"
2009-10-01,8.54103,39.2705,18.92,29.37,9.98,2.95,65.21,"Nazareth, Adama"
2009-11-01,8.54103,39.2705,18.83,29.15,9.71,0.19,47.15,"Nazareth, Adama"
2009-12-01,8.54103,39.2705,19.36,29.2,11.5,1.73,62.15,"Nazareth, Adama"
2010-01-01,8.54103,39.2705,19.35,30.58,9.7,0.03,47.22,"Nazareth, Adama"
2010-02-01,8.54103,39.2705,20.89,32.43,12.85,2.61,59.01,"Nazareth, Adama"
2010-03-01,8.54103,39.2705,20.45,29.91,10.01,2.71,64.07,"Nazareth, Adama"
2010-04-01,8.54103,39.2705,21.95,31.54,13.45,2.9,63.55,"Nazareth, Adama"
2010-05-01,8.54103,39.2705,22.89,30.87,15.76,2.06,61.49,"Nazareth, Adama"
2010-06-01,8.54103,39.2705,22.81,31.58,15.36,2.99,60.13,"Nazareth, Adama"
2010-07-01,8.54103,39.2705,20.31,28.73,14.85,6.15,72.17,"Nazareth, Adama"
2010-08-01,8.54103,39.2705,19.36,26.42,13.47,5.04,78.47,"Nazareth, Adama"
2010-09-01,8.54103,39.2705,19.69,26.49,13.89,4.2,74.88,"Nazareth, Adama"
2010-10-01,8.54103,39.2705,19.75,28.53,11.31,0.59,56.1,"Nazareth, Adama"
2010-11-01,8.54103,39.2705,19.04,28.91,9.51,0.27,47.52,"Nazareth, Adama"
2010-12-01,8.54103,39.2705,18.74,29.57,8.52,0.21,40.34,"Nazareth, Adama"
2011-01-01,8.54103,39.2705,19.89,30.89,9.28,0.09,42.69,"Nazareth, Adama"
2011-02-01,8.54103,39.2705,20.81,31.73,10.18,0.12,36.96,"Nazareth, Adama"
2011-03-01,8.54103,39.2705,21.39,33.05,12.16,0.99,40.32,"Nazareth, Adama"
2011-04-01,8.54103,39.2705,23.06,32.97,12.97,1.47,49.49,"Nazareth, Adama"
2011-05-01,8.54103,39.2705,22.6,32.05,15.59,2.11,58.19,"Nazareth, Adama"
2011-06-01,8.54103,39.2705,22.75,31.32,15.38,1.67,58.65,"Nazareth, Adama"
2011-07-01,8.54103,39.2705,21.35,30.34,14.99,2.94,64.05,"Nazareth, Adama"
2011-08-01,8.54103,39.2705,21.3,29.17,14.4,2.45,65.63,"Nazareth, Adama"
2011-09-01,8.54103,39.2705,21.93,31.04,15.43,1.28,60.92,"Nazareth, Adama"
2011-10-01,8.54103,39.2705,20.84,31.56,11.25,0.41,40.49,"Nazareth, Adama"
2011-11-01,8.54103,39.2705,19.92,29.22,10.56,0.81,53.99,"Nazareth, Adama"
2011-12-01,8.54103,39.2705,18.2,29.18,7.59,0.02,42.06,"Nazareth, Adama"
2012-01-01,8.54103,39.2705,19.26,30.5,10.65,0.01,41.14,"Nazareth, Adama"
2012-02-01,8.54103,39.2705,20.51,32.74,10.08,0.01,33.24,"Nazareth, Adama"
