period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,5.34,39.57,21.63,32.65,11.74,0.48,38.69,Negele
2008-02-01,5.34,39.57,22.46,33.02,12.13,0.01,29.94,Negele
2008-03-01,5.34,39.57,23.93,34.45,12.61,0.47,33.68,Negele
2008-04-01,5.34,39.57,22.01,32.34,15.26,3.94,66.66,Negele
2008-05-01,5.34,39.57,21.96,30.09,14.8,0.79,66.96,Negele
2008-06-01,5.34,39.57,21.22,30.99,14.68,0.65,61.5,Negele
2008-07-01,5.34,39.57,20.73,30.37,14.36,1.23,62.22,Negele
2008-08-01,5.34,39.57,21.29,29.27,15.03,1.39,60.4,Negele
2008-09-01,5.34,39.57,22.35,30.91,14.79,1.96,58.52,Negele
2008-10-01,5.34,39.57,21.96,30.55,15.66,3.41,67.06,Negele
2008-11-01,5.34,39.57,19.51,29.41,10.22,2.88,67.75,Negele
2008-12-01,5.34,39.57,20.55,31.49,10.91,0.03,45.72,Negele
2009-01-01,5.34,39.57,21.46,31.48,11.53,1.12,45.9,Negele
2009-02-01,5.34,39.57,22.81,33.48,13.49,0.16,42.08,Negele
2009-03-01,5.34,39.57,24.58,35.41,14.57,0.36,40.98,Negele
2009-04-01,5.34,39.57,22.66,32.7,15.21,2.73,68.27,Negele
2009-05-01,5.34,39.57,22.23,31.58,14.73,2.36,67.67,Negele
2009-06-01,5.34,39.57,22.34,31.1,15.05,0.72,61.54,Negele
2009-07-01,5.34,39.57,21.09,30.49,12.16,0.52,57.46,Negele
2009-08-01,5.34,39.57,21.81,30.94,14.75,0.43,55.71,Negele
2009-09-01,5.34,39.57,23.05,32.26,16.0,1.25,53.75,Negele
2009-10-01,5.34,39.57,21.15,29.51,13.22,3.76,71.66,Negele
2009-11-01,5.34,39.57,20.86,30.54,11.99,1.25,59.48,Negele
2009-12-01,5.34,39.57,21.82,30.84,13.78,1.2,57.63,Negele
2010-01-01,5.34,39.57,22.06,31.99,11.4,0.14,41.75,Negele
